"","Description","Creator","First public release date","Latest stable version","Latest Stable Release Date","USD , URL: /wiki/United_States_dollar
","Software license , URL: /wiki/Software_license
"
"HDR PhotoStudio , URL: /wiki/HDR_PhotoStudio
","HDR (High Dynamic Range Editor) with human vision imaging model","Unified Color","October 2009","2.15.42","2010","","Proprietary , URL: /wiki/Proprietary_software
"
"Helicon Filter , URL: /wiki/Helicon_Filter
","Advanced image editor with a simplified tabbed interface, new Helicon Focus","Helicon Soft Ltd.","August 2004","7.6.6","2020","","Proprietary , URL: /wiki/Proprietary_software
"
"ImageJ , URL: /wiki/ImageJ
","Image processing program developed at the National Institutes of Health. See ImageJ2 and FIJI for modified and extended versions.","Wayne Rasband (NIH)","1997","1.53k","June 26, 2021","","Public Domain"
"ImageMagick , URL: /wiki/ImageMagick
","Command line software suite for displaying, converting, and editing raster image files","ImageMagick Studio LLC","1990","7.1.0-17","December 5, 2021","","Apache-2.0 , URL: /wiki/Apache_License
"
"iPhoto , URL: /wiki/IPhoto
","macOS , URL: /wiki/MacOS
Photos , URL: /wiki/Photos_(Apple)
","Apple Inc. , URL: /wiki/Apple_Inc.
","2002","9.6","","","Proprietary , URL: /wiki/Proprietary_software
"
"IrfanView , URL: /wiki/IrfanView
","Image and video viewer with basic editing functions","Irfan Skiljan","1996","4.58[4]","May 26, 2021","12$ Commercial use","Freeware"
"Iridient Developer , URL: /wiki/Iridient_Developer
","Powerful raw image conversion application designed and optimized for macOS","Iridient Digital","2004","3.6.0","March 9, 2021","","Proprietary , URL: /wiki/Proprietary_software
"
"KolourPaint , URL: /wiki/KolourPaint
","","KDE , URL: /wiki/KDE
","2004","21.04.2","June 10, 2021","","BSD , URL: /wiki/BSD_licenses
"
"Krita , URL: /wiki/Krita
","Digital painting oriented free and open-source raster graphic editor with vector support. KDE/Calligra based.","KDE , URL: /wiki/KDE
","2005","
URL: https://www.wikidata.org/wiki/Q604945?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-07 (2022-01-07)","","GPL-3.0-only , URL: /wiki/GNU_General_Public_License
"
"LazPaint , URL: /wiki/LazPaint
","Free multiplatform layered image editor","circular","2011","7.1.6","December 2, 2020","","GPL-3.0-only , URL: /wiki/GNU_General_Public_License
"
"LiveQuartz , URL: /wiki/LiveQuartz
","Basic multi-layer photo editor","Romain Piveteau","2005","2.8","December 1, 2018","","Proprietary , URL: /wiki/Proprietary_software
"
"MacPaint , URL: /wiki/MacPaint
","Obsolete basic editor","Bill Atkinson , URL: /wiki/Bill_Atkinson
","1984","2.0","","","Proprietary , URL: /wiki/Proprietary_software
"
"Microsoft Office Picture Manager , URL: /wiki/Microsoft_Office_Picture_Manager
","Basic image editor","Microsoft , URL: /wiki/Microsoft
","2002","14.0","","","Proprietary , URL: /wiki/Proprietary_software
"
"Microsoft Paint , URL: /wiki/Microsoft_Paint
","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Microsoft","1985","10.19043","June 29, 2021","","Proprietary , URL: /wiki/Proprietary_software
"
"Microsoft Photo Editor , URL: /wiki/Microsoft_Photo_Editor
","Obsolete basic image editor for Windows","Microsoft","2000","3.01","","","Proprietary , URL: /wiki/Proprietary_software
"
"mtPaint , URL: /wiki/MtPaint
","pixel art , URL: /wiki/Pixel_art
photo editing , URL: /wiki/Image_editing
","Mark Tyler","September 13, 2004","3.50","December 30, 2020","","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
"
"MyPaint , URL: /wiki/MyPaint
","Digital painting application","Martin Renold","March 12, 2005","2.0.1","May 29, 2020","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
"
"UFRaw , URL: /wiki/UFRaw
","Raw image format processor, GTK 2, compatible with gimp 2.8 to 2.10,[6] see also UFRaw","Matteo Lucarelli [7]","","0.43","March 2, 2020","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
"
"OpenCanvas , URL: /wiki/OpenCanvas
","","Portalgraphics","2000","7.0.25","2019","","Proprietary , URL: /wiki/Proprietary_software
"
"paint.net , URL: /wiki/Paint.NET
",".Net framework , URL: /wiki/.Net_framework
","et al. , URL: /wiki/Paint.NET
","May 6, 2004","4.2.16 (for Windows 7 SP1 or newer) / 3.5.11 (the last version to support Windows XP)","April 21, 2021","","Freeware[8][9]"
"Paint Tool SAI , URL: /wiki/Paint_Tool_SAI
","Simple and lightweight painting software","Systemax Software","February 25, 2008","1.2.5","April 25, 2016","~$50 (5500JPY)","Proprietary , URL: /wiki/Proprietary_software
"
"PC Paintbrush , URL: /wiki/PC_Paintbrush
","Obsolete basic editor","ZSoft Corporation , URL: /wiki/ZSoft_Corporation
","1984","5","","","Proprietary , URL: /wiki/Proprietary_software
"
"Pencil2D , URL: /wiki/Pencil2D
","2D graphical animation software.","Pascal Naidon","","0.6.6","February 17, 2021","","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
"
"Phatch , URL: /wiki/Phatch
","Editor for batch processing digital graphics and photographs.","Stani Michiels","","0.2.7","2010","discontinued","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
"
"Photogenics , URL: /wiki/Photogenics
","HDRs , URL: /wiki/High_dynamic_range_imaging
","Idruna Software Inc.","1995","HDR 7.0","","discontinued","Proprietary , URL: /wiki/Proprietary_software
"
"PhotoLine , URL: /wiki/PhotoLine
","Image editor with advanced features","Computerinsel (Germany)","1995","22.51","January 7, 2021","€59","Proprietary , URL: /wiki/Proprietary_software
"
"PhotoPerfect , URL: /wiki/PhotoPerfect
","Image editor with some advanced features","Arcadia Software AG, Joachim Koopmann Software","2002","2.9","","","Proprietary , URL: /wiki/Proprietary_software
"
"Photos , URL: /wiki/Photos_(Apple)
","macOS , URL: /wiki/MacOS
","Apple Inc. , URL: /wiki/Apple_Inc.
","2014","1.0","2021","","Proprietary , URL: /wiki/Proprietary_software
"
"Photo Raster , URL: /wiki/Photo_Raster
","online , URL: /wiki/Online
photo editor , URL: /wiki/Raster_graphics_editor
","David Levinsky","2012","1.3","March 15, 2013","","Proprietary , URL: /wiki/Proprietary_software
"
"Picasa , URL: /wiki/Picasa
","Efficient image organizer with basic editing tools, other image effects","Google","2002","3.9.141.259","October 9, 2015","Discontinued","Freeware"
"PicMaster , URL: /wiki/PicMaster
","true 3D , URL: /wiki/True_3D
","Alexander Sabov","December 1999","6.0","2020","","Proprietary , URL: /wiki/Proprietary_software
"
"Pinta , URL: /wiki/Pinta_(software)
","Mid-level Free and Open Source raster graphics editor, based on Paint.Net","Jonathan Pobst","February 7, 2010","1.7","August 4, 2020","","MIT , URL: /wiki/MIT_License
"
"StudioPixBuilder","See pixbuilder studio features , URL: https://www.wnsoft.com/de/pixbuilder/.
","WnSoft Graphic Software","June 2005","2.20","2020","","Freeware"
"Pixelmator , URL: /wiki/Pixelmator
","macOS , URL: /wiki/MacOS
","Pixelmator Team ltd.","September 25, 2007","3.9","November 13, 2019","","Proprietary , URL: /wiki/Proprietary_software
"
"Pixen App","macOS , URL: /wiki/MacOS
iOS , URL: /wiki/IOS
","Open Sword Group","","3.8","2021","","Proprietary , URL: /wiki/Proprietary_software
"
"Pixia , URL: /wiki/Pixia
","Originally designed for Anime/Manga art.","Isao Maruoka","1998","6.50s","March 28, 2021","","Proprietary , URL: /wiki/Proprietary_software
"
"PMview , URL: /wiki/PMview
","Fast image viewer with basic editing functions","Peter Nielsen","1992","3.82","February 24, 2020","","Proprietary , URL: /wiki/Proprietary_software
"
"Project Dogwaffle , URL: /wiki/Project_Dogwaffle
","Dan Ritchie retired but others continue active development[10]","Dan Ritchie","1997","V14 (1.2 available as freeware)","2021","","Proprietary , URL: /wiki/Proprietary_software
"
"QFX , URL: /wiki/QFX
","Mature and complete image editing package","Ron Scott","1990","8","","discontinued","Proprietary , URL: /wiki/Proprietary_software
"
"Rawstudio , URL: /wiki/Rawstudio
","Raw image processor.","Anders Brander & Anders Kvist","June 22, 2006","2.0","April 17, 2017","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
"
"RawTherapee , URL: /wiki/RawTherapee
","Powerful free and cross-platform raw image editor, for developing raw photos from digital cameras.","Gabor Horvath","September 21, 2006","5.8","February 4, 2020","","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
"
"Seashore , URL: /wiki/Seashore_(software)
","GIMP , URL: /wiki/GIMP
XCF , URL: /wiki/XCF_(file_format)
","Mark Pazolli","January 16, 2003","2.5.10","December 20, 2020","","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
"
"Serif PhotoPlus , URL: /wiki/Serif_PhotoPlus
","Complete editor and photo organizer suite; similar features and menus to other software from Serif; available as economy version or in bundle with clipart, effects, public domain image library; made for easy use","Serif , URL: /wiki/Serif_Europe
","1999","X8","August 10, 2015","","Proprietary , URL: /wiki/Proprietary_software
"
"Shotwell , URL: /wiki/Shotwell_(software)
","Image organizer for GNOME","Yorba Foundation","June 26, 2009","0.30.10","May 22, 2020","","LGPL-2.1-or-later , URL: /wiki/GNU_Lesser_General_Public_License
"
"Turbo Play","Audio, Image, Animation and hardware accelerated Video editor","TurboIRC.COM","Jan 2, 2021","2.2051","April 7, 2021","","Proprietary , URL: /wiki/Proprietary_software
"
"Tux Paint , URL: /wiki/Tux_Paint
","Drawing program for young children.","Bill Kendrick , URL: /wiki/Bill_Kendrick
","June 16, 2002","0.9.25","December 27, 2020","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
"
"TVPaint , URL: /wiki/TVPaint_Animation
","2D animation software","Herve ADAM","June 16, 1991","11.5.0","December 1, 2020","","Proprietary , URL: /wiki/Proprietary_software
"
"UFRaw , URL: /wiki/UFRaw
","Raw image format processor, GTK 2, compatible with gimp 2.0 to 2.8 (2.10 incompatible), see also NUFRaw 0.43","Udi Fuchs","","0.22","June 17, 2015","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
"
"Ulead PhotoImpact , URL: /wiki/Ulead_PhotoImpact
","","Ulead Systems , URL: /wiki/Ulead_Systems
","","13","2008","","Proprietary , URL: /wiki/Proprietary_software
"
"WinImages , URL: /wiki/WinImages
","Animation-centric","Black Belt Systems","1985","7.5","2004","no progress","Freeware"
"Xara Photo & Graphic Designer , URL: /wiki/Xara_Photo_%26_Graphic_Designer
","Graphic design program including photo editing and vector illustration tools","Xara , URL: /wiki/Xara
","1995 (Windows)","October 2018","October 1, 2018","","Proprietary , URL: /wiki/Proprietary_software
"
"XnView , URL: /wiki/XnView
","Cross-platform image viewer used for converting, organising and editing graphical & video files.","Pierre-emmanuel Gougelet","1998 (1.06)","2.50.0 (Windows)/0.64 (Linux, macOS)","April 29, 2021","","Proprietary , URL: /wiki/Proprietary_software
"
"XPaint","Simple Drawing program for Unix/X11 with Xaw3d widgets","Jean-Pierre Demailly , URL: /wiki/Jean-Pierre_Demailly
","1993","3.0.3","August 4, 2020","","Custom open source license"
"Zoner Photo Studio , URL: /wiki/Zoner_Photo_Studio
","All-in-one editor package","Zoner Inc.","","19.2103","March 26, 2021","","Proprietary , URL: /wiki/Proprietary_software
"
