"Double Commander , URL: /wiki/Double_Commander
","Alexander Koblov[c]","","2007","macOS","
URL: https://www.wikidata.org/wiki/Q4037550?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-05","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Double Commander , URL: /wiki/Double_Commander
","Alexander Koblov[c]","","2007","Unix","
URL: https://www.wikidata.org/wiki/Q4037550?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-05","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Double Commander , URL: /wiki/Double_Commander
","Alexander Koblov[c]","","2007","Windows","
URL: https://www.wikidata.org/wiki/Q4037550?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-05","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"emelFM2 , URL: /wiki/EmelFM2
","tooar","","2003-09-06","BSD","
URL: https://www.wikidata.org/wiki/Q248253?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2014-02-18","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"emelFM2 , URL: /wiki/EmelFM2
","tooar","","2003-09-06","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q248253?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2014-02-18","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"emelFM2 , URL: /wiki/EmelFM2
","tooar","","2003-09-06","Unix","
URL: https://www.wikidata.org/wiki/Q248253?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2014-02-18","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Explorer++ , URL: /wiki/Explorer%2B%2B
","David Ercig","","2008-01-08","Windows","
URL: https://www.wikidata.org/wiki/Q16250135?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2013-02-03","GPL-3.0-only , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Far Manager , URL: /wiki/Far_Manager
","Eugene Roshal Far Group","","1996","Windows","
URL: https://www.wikidata.org/wiki/Q1386527?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-03-10","BSD-3-Clause , URL: /wiki/BSD_licenses
","No cost , URL: /wiki/Gratis_versus_libre
"
"File Commander , URL: /wiki/File_Commander
","Brian Havard","","1993","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q1412589?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2011-03-03","Proprietary , URL: /wiki/Proprietary_software
","A$35.00"
"File Commander , URL: /wiki/File_Commander
","Brian Havard","","1993","OS/2","
URL: https://www.wikidata.org/wiki/Q1412589?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2011-03-03","Proprietary , URL: /wiki/Proprietary_software
","A$35.00"
"File Commander , URL: /wiki/File_Commander
","Brian Havard","","1993","Windows","
URL: https://www.wikidata.org/wiki/Q1412589?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2011-03-03","Proprietary , URL: /wiki/Proprietary_software
","A$35.00"
"File Explorer , URL: /wiki/File_Explorer
","Microsoft , URL: /wiki/Microsoft
","","1995-08-24","Windows","","2015-07-29","Proprietary , URL: /wiki/Proprietary_software
","Bundled[e]"
"File Manager , URL: /wiki/File_Manager_(Windows)
","Microsoft , URL: /wiki/Microsoft
","","1990","Windows","
URL: https://www.wikidata.org/wiki/Q1172307?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-06-16","MIT , URL: /wiki/MIT_License
","Bundled[e]"
"Files (Apple) , URL: /wiki/Files_(Apple)
","Apple Inc. , URL: /wiki/Apple_Inc.
","","2017-09-19","macOS","
URL: https://www.wikidata.org/wiki/Q30612706?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2019-09-19","Proprietary , URL: /wiki/Proprietary_software
","Bundled[f]"
"Files by Google , URL: /wiki/Files_by_Google
","Google LLC , URL: /wiki/Google_LLC
","","2017-12-05","","","","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"GeoManager , URL: /wiki/GeoManager
","Berkeley Softworks , URL: /w/index.php?title=Berkeley_Softworks&action=edit&redlink=1
Breadbox Ensemble , URL: /wiki/Breadbox_Ensemble
","","1990","GEOS","","2009","Proprietary , URL: /wiki/Proprietary_software
","Bundled[i]"
"Finder , URL: /wiki/Macintosh_Finder
","Apple Inc. , URL: /wiki/Apple_Inc.
","","1984-01","macOS","10.10.5","2015-08-13","Proprietary , URL: /wiki/Proprietary_software
","Bundled[j]"
"fman , URL: /wiki/Fman
","Michael Herrmann","","2016-07-18","","1.5.8","2019-04-22","Proprietary , URL: /wiki/Proprietary_software
","US$18[a]"
"ForkLift , URL: /wiki/ForkLift_(File_Manager)
","BinaryNights","","2007-06-01","macOS","
URL: https://www.wikidata.org/wiki/Q30603625?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-09-21","Proprietary , URL: /wiki/Proprietary_software
","US$29.95[a]"
"gentoo , URL: /wiki/Gentoo_(file_manager)
","Emil Brink","","?","","
URL: https://www.wikidata.org/wiki/Q288753?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2016-06-16","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"GNOME Commander , URL: /wiki/GNOME_Commander
","GNOME Commander","","2001-09","","
URL: https://www.wikidata.org/wiki/Q1533264?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-05","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"GNOME Files , URL: /wiki/GNOME_Files
","Eazel , URL: /wiki/Eazel
","","2001-04-11","","
URL: https://www.wikidata.org/wiki/Q240298?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-30","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Konqueror , URL: /wiki/Konqueror
","KDE","","2000-10","","
URL: https://www.wikidata.org/wiki/Q178565?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-28","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Krusader , URL: /wiki/Krusader
","Krusader Krew","","2000-07-11","","
URL: https://www.wikidata.org/wiki/Q1342934?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2019-08-25","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Midnight Commander , URL: /wiki/Midnight_Commander
","Miguel de Icaza GNU","","1994-05[m]","","
URL: https://www.wikidata.org/wiki/Q1340000?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-15","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"muCommander , URL: /wiki/MuCommander
","Maxence Bernard","","2002-02-17","","
URL: https://www.wikidata.org/wiki/Q1943898?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-05-08","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Nemo , URL: /wiki/Nemo_(file_manager)
","Linux Mint , URL: /wiki/Linux_Mint
","1.0.0","2012-07","","
URL: https://www.wikidata.org/wiki/Q6991197?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-11","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"nnn , URL: /wiki/Nnn_(file_manager)
","Arun Prakash Jana","","2017-04-13","","
URL: https://www.wikidata.org/wiki/Q69904311?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-11-23","BSD-2-Clause , URL: /wiki/BSD_licenses
","No cost , URL: /wiki/Gratis_versus_libre
"
"Nomad.NET , URL: /wiki/Nomad.NET
","Eugene Sichkar","2.2.0.537 beta","2008-08-14","","3.2.0.2890","2016-06-13","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"Norton Commander , URL: /wiki/Norton_Commander
","Peter Norton Computing , URL: /wiki/Peter_Norton_Computing
Symantec , URL: /wiki/NortonLifeLock
","","1986","DOS","5.51","1998-07-01","Proprietary , URL: /wiki/Proprietary_software
","?"
"Norton Commander , URL: /wiki/Norton_Commander
","Peter Norton Computing , URL: /wiki/Peter_Norton_Computing
Symantec , URL: /wiki/NortonLifeLock
","","1986","Windows","2.01","1999-02-01","Proprietary , URL: /wiki/Proprietary_software
","?"
"Path Finder , URL: /wiki/Path_Finder
","Cocoatech","","2001-04","macOS","9.1","2020-03-24","Proprietary , URL: /wiki/Proprietary_software
","US$36.00"
"PathMinder , URL: /wiki/PathMinder
","Albert Nurick Brittain Fraley","","1984","DOS","4.11","1988","Proprietary , URL: /wiki/Proprietary_software
","US$39.95"
"PCManFM , URL: /wiki/PCMan_File_Manager
","Hong Jen Yee","","2006-01-09","","1.2.4","2016-02-21","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"PC Shell , URL: /wiki/PC_Shell
","Central Point Software , URL: /wiki/Central_Point_Software
","","1986","","","","Proprietary , URL: /wiki/Proprietary_software
","?[p]"
"ranger , URL: /wiki/Ranger_(file_manager)
","Roman Zimbelmann","","2010-06-09","BSD","
URL: https://www.wikidata.org/wiki/Q18215973?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2019-12-31","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"ranger , URL: /wiki/Ranger_(file_manager)
","Roman Zimbelmann","","2010-06-09","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q18215973?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2019-12-31","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"ranger , URL: /wiki/Ranger_(file_manager)
","Roman Zimbelmann","","2010-06-09","macOS","
URL: https://www.wikidata.org/wiki/Q18215973?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2019-12-31","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"ROX-Filer , URL: /wiki/ROX-Filer
","Thomas Leonard et al.","","2000-03-10","","
URL: https://www.wikidata.org/wiki/Q2466393?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2011-10-09","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"SpaceFM , URL: /wiki/SpaceFM
","IgnorantGuru","0.5.0","2012-01-13","","
URL: https://www.wikidata.org/wiki/Q17082538?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2018-03-04","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"STDU Explorer , URL: /wiki/STDU_Explorer
","STDUtility","","2009-03-23","Windows","1.0.465","2012-05-24","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"Tabbles , URL: /wiki/Tabbles
","Yellow blue soft UAB","","2009-08-01","Windows","3.1.29","2016-08-12","Proprietary , URL: /wiki/Proprietary_software
","US$29.95[a]"
"Thunar , URL: /wiki/Thunar
","Xfce , URL: /wiki/Xfce
","","2006-01-22","","
URL: https://www.wikidata.org/wiki/Q757834?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-07-18","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Total Commander , URL: /wiki/Total_Commander
","Christian Ghisler","1.00d","1993-09-25","Android","
URL: https://www.wikidata.org/wiki/Q80201?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-18","Proprietary , URL: /wiki/Proprietary_software
","CHF , URL: /wiki/Swiss_franc
"
"Total Commander , URL: /wiki/Total_Commander
","Christian Ghisler","1.00d","1993-09-25","Windows","
URL: https://www.wikidata.org/wiki/Q80201?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-06-10","Proprietary , URL: /wiki/Proprietary_software
","CHF , URL: /wiki/Swiss_franc
"
"ViewMAX , URL: /wiki/ViewMAX
","Digital Research , URL: /wiki/Digital_Research
Novell , URL: /wiki/Novell
","1.0","1990","DR-DOS","3.0","1993","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","Bundled[s]"
"Volkov Commander , URL: /wiki/Volkov_Commander
","Vsevolod Volkov","","1992","DOS","
URL: https://www.wikidata.org/wiki/Q1431723?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2000-06-16","Proprietary , URL: /wiki/Proprietary_software
","Depends[t]"
"WinSCP , URL: /wiki/WinSCP
","WinSCP , URL: /wiki/WinSCP
","","2000-09-30","Windows","
URL: https://www.wikidata.org/wiki/Q1160381?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-22","GPL-3.0-only , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Xandros File Manager , URL: /wiki/Xandros_File_Manager
","Xandros Corporation , URL: /wiki/Xandros_Corporation
","","?","","4.2","2007-07-26","Proprietary , URL: /wiki/Proprietary_software
","Bundled[u]"
"Xfe , URL: /wiki/Xfe
","Roland Baudin","","2002","","
URL: https://www.wikidata.org/wiki/Q2787343?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-03-14","GPL , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Xfile , URL: /wiki/Xfile
","Rixstep","","2003-03-02","macOS","2.1.0.10","2010-02-14","Proprietary , URL: /wiki/Proprietary_software
","US$79.00[v]"
"Xfm , URL: /wiki/Xfm_(file_manager)
","Simon Marlow Albert Gräf Till Straumann Robert Vogelgesang Juan D. Martin","","1992","","
URL: https://www.wikidata.org/wiki/Q3570943?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2001-09-03","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"xplorer² , URL: /wiki/Xplorer%C2%B2
","Nikos Bozinis","","2004-06-10","Windows","5.0.0.0","2021-02-28","Proprietary , URL: /wiki/Proprietary_software
","US$29.95 - 49.95[w]"
"XTree , URL: /wiki/XTree
","Jeffery C. Johnson","","1985-04-01","DOS","","1992","Proprietary , URL: /wiki/Proprietary_software
","US$39.95"
"XTree , URL: /wiki/XTree
","Jeffery C. Johnson","","1992","Windows","","1992","Proprietary , URL: /wiki/Proprietary_software
","US$39.95"
"XYplorer , URL: /wiki/XYplorer
","Donald Lessau","","1997","Windows","20.80.0100","2020-02-13","Proprietary , URL: /wiki/Proprietary_software
","US$39.95 - 79.95[x]"
"ZTreeWin , URL: /wiki/ZTreeWin
","Kim Henkel","","1996","Windows","2.2.19","2011-05-27","Proprietary , URL: /wiki/Proprietary_software
","US$29.95 (1-4)"
"Name","Developer","Initial release","Initial release","Platform","Latest release","Latest release","License , URL: /wiki/Software_license
","Cost"
"Name","Developer","Version","Date","Platform","Version","Date","License , URL: /wiki/Software_license
","Cost"
