"System","reporting , URL: /wiki/Business_reporting
","Test planning integration","Customizable workflow","Unicode support","Custom fields","SLA[6]","Plugin API[7]","Multiple projects","Full-text search , URL: /wiki/Full-text_search
","Indexed , URL: /wiki/Index_(search_engine)
","Indexed , URL: /wiki/Index_(search_engine)
","Edit conflict , URL: /wiki/Edit_conflict
"
"MantisBT , URL: /wiki/Mantis_Bug_Tracker
","MediaWiki , URL: /wiki/MediaWiki
DokuWiki , URL: /wiki/DokuWiki
XWiki , URL: /wiki/XWiki
","No","Yes","Yes","Yes","No","Yes","Yes","Yes[26]","Yes","No[27]","Yes"
"Microsoft Dynamics CRM , URL: /wiki/Microsoft_Dynamics_CRM
","Yes, reporting: integrated charts and reports, export to Excel, Mail Merge","No","Yes","Yes","Yes","No","Yes","Unknown","","","","No"
"org-mode , URL: /wiki/Org-mode
","Yes, org-mode has built-in export to HTML, Latex, .md and literate programming capabilities for multiple languages in a single document","No","Yes","Yes","Yes","No","No","Yes","Yes","","","No"
"OTRS , URL: /wiki/OTRS
","Yes, Advanced reporting, configurable dashboards","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Phabricator , URL: /wiki/Phabricator
","burn down charts , URL: /wiki/Burn_down_chart
","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"Pivotal Tracker , URL: /wiki/Pivotal_Tracker
","Yes, real time collaborative story backlog, integrated reports, email notification","Yes","No","Yes","No","No","Yes","Yes","","","","No"
"Redmine , URL: /wiki/Redmine
","Yes, integrated wiki, discussion forums, news blogs, email integration, calendars, Gantt Charts, RSS, export to PDF, export to Excel/CSV","Yes[28]","Yes","Yes","Yes","Optional[29]","Yes","Yes","Yes[30]","Optional, when using PostgreSQL[31]","Optional[32]","Yes[33]"
"Request Tracker , URL: /wiki/Request_Tracker
","MediaWiki , URL: /wiki/MediaWiki
","No","Yes","Yes","Yes","Yes[35]","Yes[36]","Yes","Yes[37]","Yes[37]","","No"
"Roundup , URL: /wiki/Roundup_(issue_tracker)
","Yes, wiki can be integrated or linked","No, can be implemented at tracker level","Yes","Yes","Yes","No, can be implemented at tracker level","Yes[38]","Yes","Yes[39]","Yes with issues[40]","Yes","Yes"
"StarTeam , URL: /wiki/StarTeam
","No","Yes[41]","Yes","No","Yes","No","No","Unknown","","","","No"
"Supportworks , URL: /wiki/Supportworks
","wizard , URL: /wiki/Wizard_(software)
PHP , URL: /wiki/PHP
Crystal Reports , URL: /wiki/Crystal_Reports
Microsoft Excel , URL: /wiki/Microsoft_Excel
CSV , URL: /wiki/Comma-separated_values
knowledge base , URL: /wiki/Knowledge_base
asset management , URL: /wiki/IT_asset_management
","No","Yes","No","Yes","Yes","Yes[42]","Unknown","","","","No"
"SysAid , URL: /wiki/SysAid_Technologies
","LDAP , URL: /wiki/Lightweight_Directory_Access_Protocol
Email , URL: /wiki/Email
integrated Asset Management , URL: /wiki/Asset_management
SSO , URL: /wiki/Single_sign-on
CSV , URL: /wiki/Comma-separated_values
PDF , URL: /wiki/Portable_Document_Format
KB , URL: /wiki/Knowledge_base
","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","No"
"Teamwork , URL: /wiki/Teamwork_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes[43]","Lucene , URL: /wiki/Lucene
","","No"
"Trac , URL: /wiki/Trac
","Yes, integrated wiki","Yes[44]","Yes","Yes","Yes","No","Yes[45]","Yes[46]","Yes","No[47]","","Yes[48]"
"TrackerSuite.Net , URL: /wiki/Tracker_(Business_Software)
","Crystal Reports , URL: /wiki/Crystal_Reports
Microsoft Excel , URL: /wiki/Microsoft_Excel
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No"
"Tuleap , URL: /wiki/Tuleap_(project_management)
","Yes, Kanban boards, Scrum planning and burndown charts, pies, Gantt, barrs, cardwall, Document Manager with approval workflow and fine grained permissions, wikis","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes with plugin fulltext","Yes with plugin fulltext","No","No"
"Wrike , URL: /wiki/Wrike_(software)
","Gantt charts , URL: /wiki/Gantt_charts
","No","Yes","Yes","Yes","No","Yes","Yes","Unknown","","","Yes"
"YouTrack , URL: /wiki/YouTrack
","Yes: Wiki syntax, custom workflow, custom issue attributes, notifications (email, jabber, RSS, etc.), email integration, reports, export to HTML and CSV, integration with VCSs.","Yes[49]","Yes","Yes","Yes","Yes[50]","Yes[51]","Yes","Yes[52]","Lucene , URL: /wiki/Lucene
","","No"
"Zammad , URL: /wiki/Zammad
","Yes: Documentation integration/generation, reporting: integrated knowledge base, dashboard","No","No","Yes","Yes","Yes[53]","Yes","Yes","Yes[54]","Yes","Yes","Yes[55]"
"System","Dynamic documentation integration/generation","Test planning integration","Customizable workflow","Unicode support","Custom fields","SLA[6]","Plugin API[7]","Multiple projects","Full-text search , URL: /wiki/Full-text_search
","Indexed , URL: /wiki/Index_(search_engine)
","Indexed , URL: /wiki/Index_(search_engine)
","Edit conflict , URL: /wiki/Edit_conflict
"
