"XEP","Description","Status","ejabberd , URL: /wiki/Ejabberd
","iChat Server , URL: /wiki/Messages_Server
","jabberd14","jabberd2 , URL: /wiki/Jabberd2
","Metronome , URL: /wiki/Metronome_IM
","Isode M-Link , URL: /w/index.php?title=Isode_M-Link&action=edit&redlink=1
","MongooseIM , URL: /w/index.php?title=MongooseIM&action=edit&redlink=1
","Openfire , URL: /wiki/Openfire
","Prosody , URL: /wiki/Prosody_(software)
","Tigase , URL: /wiki/Tigase
"
"0033 , URL: http://xmpp.org/extensions/xep-0033.html
","Extended Stanza Addressing","Stable","Yes[8][23]","Unknown","Unknown","No[17]","No[18]","No","No","Yes[5]","Partial Contrib.[20][24]","No[6]"
"0039 , URL: http://xmpp.org/extensions/xep-0039.html
","Statistics Gathering (deferred)","Deferred","Yes[8]","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","Unknown","Yes[6]"
"0045 , URL: http://xmpp.org/extensions/xep-0045.html
","Multi User Chat","Stable","Yes[8]","Unknown","Contrib.[2][25]","No[17]","Yes[18]","Yes[19]","Yes","Yes[5]","Yes[20]","Yes[6]"
"0047 , URL: http://xmpp.org/extensions/xep-0047.html
","In-Band Bytestreams","Final","Yes[8]","Unknown","Unknown","No[17]","Unknown","No","Yes","Yes[5]","Yes[20]","Yes[6]"
"0049 , URL: http://xmpp.org/extensions/xep-0049.html
","Private XML Storage","Historical Use","Yes[8]","Unknown","Yes[2]","Yes[17]","Yes[18]","Yes[19]","Yes","Yes[5]","Yes[20]","Yes[6]"
"0050 , URL: http://xmpp.org/extensions/xep-0050.html
","Ad-Hoc Commands","Stable","Yes[8]","Unknown","Unknown","No[17]","Yes[18]","Yes[19]","Yes","Yes[5]","Yes[20]","Yes[6]"
"0054 , URL: http://xmpp.org/extensions/xep-0054.html
","vcard-temp","Historical Use","Yes[8]","Unknown","Yes[2]","Yes[17]","Yes[18]","Yes[19]","Yes","Yes[5]","Yes[20]","Yes[6]"
"XEP","Description","Status","ejabberd , URL: /wiki/Ejabberd
","iChat Server , URL: /wiki/Messages_Server
","jabberd14","jabberd2 , URL: /wiki/Jabberd2
","Metronome , URL: /wiki/Metronome_IM
","Isode M-Link , URL: /w/index.php?title=Isode_M-Link&action=edit&redlink=1
","MongooseIM , URL: /w/index.php?title=MongooseIM&action=edit&redlink=1
","Openfire , URL: /wiki/Openfire
","Prosody , URL: /wiki/Prosody_(software)
","Tigase , URL: /wiki/Tigase
"
"0055 , URL: http://xmpp.org/extensions/xep-0055.html
","Jabber Search","Historical Use","Yes[8]","Unknown","Unknown","No[17]","Yes[18]","Yes[19]","Yes","Yes[5][26]","No[20]","Unknown"
"0059 , URL: http://xmpp.org/extensions/xep-0059.html
","Result set management","Stable","Yes[8]","Unknown","Unknown","No[17]","Partial[18]","No","Yes","Yes[5]","No[20]","Yes[6]"
"0060 , URL: http://xmpp.org/extensions/xep-0060.html
","Publish-Subscribe","Stable","Yes[8]","Unknown","Contrib.[2][27]","No[17]","Yes[18]","Yes[19]","Yes","Yes[5]","Yes[20]","Yes[6]"
"0065 , URL: http://xmpp.org/extensions/xep-0065.html
","SOCKS5 Bytestreams","Stable","Yes[8]","Unknown","Contrib.[2][28]","No[17]","Yes[18]","No","No","Yes[5]","Yes[20]","Yes[6]"
"0066 , URL: http://xmpp.org/extensions/xep-0066.html
","Out of Band Data","Stable","Yes[8]","Unknown","Unknown","No[17]","Unknown","No","Yes","Unknown","Yes","Yes[6]"
"0068 , URL: http://xmpp.org/extensions/xep-0068.html
","Field Standardization for Data Forms","Approved","Yes[8]","Unknown","Unknown","No[17]","Unknown","Yes[19]","Yes","Unknown","Yes[20]","Yes[6]"
"0070 , URL: http://xmpp.org/extensions/xep-0070.html
","Verifying HTTP Requests via XMPP","Stable","No[8]","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","No[20]","No[6]"
"0073 , URL: http://xmpp.org/extensions/xep-0073.html
","Basic IM Protocol Suite","Obsolete","Unknown","Unknown","Yes[2]","Yes[17]","Yes","No","Yes","Yes[5]","Yes","Yes[6]"
"0077 , URL: http://xmpp.org/extensions/xep-0077.html
","In-Band Registration","Final","Yes[8]","Unknown","Yes[2]","Yes[17]","Yes[18]","Yes[19]","Yes","Yes[5]","Yes[20]","Yes[6]"
"0078 , URL: http://xmpp.org/extensions/xep-0078.html
","Non-SASL Authentication","Obsolete","Yes[8]","Unknown","Yes[2]","Yes[17]","No[18]","Yes[19]","Yes","Yes[5]","Yes[20]","Yes[6]"
"0079 , URL: http://xmpp.org/extensions/xep-0079.html
","Advanced Message Processing","Stable","Contrib.[8][29]","Contrib.[8]","Unknown","Yes[17]","No[18]","No","Yes, partial","Unknown","No[20]","Yes[6]"
"0080 , URL: http://xmpp.org/extensions/xep-0080.html
","User Location","Stable","Unknown","Unknown","Unknown","No[17]","Yes[18]","No","Yes","Unknown","Yes[20]","Yes[6]"
"0082 , URL: http://xmpp.org/extensions/xep-0082.html
","XMPP Date and Time Profiles","Approved","Yes[8]","Unknown","Unknown","No[17]","Yes[18]","Yes[19]","Yes","Yes[5]","Yes[20]","Yes[6]"
"0083 , URL: http://xmpp.org/extensions/xep-0083.html
","Nested Roster Groups","Approved","Yes[8]","Unknown","Yes[2]","Yes[17]","Yes[18]","No","Yes","Unknown","Yes[20]","Yes[6]"
"0084 , URL: http://xmpp.org/extensions/xep-0084.html
","User Avatar","Stable","Unknown","Unknown","Unknown","No[17]","Yes[18]","No","No","Unknown","Yes[20]","Yes[6]"
"0085 , URL: http://xmpp.org/extensions/xep-0085.html
","Chat State Notifications","Final","Yes[8]","Unknown","Unknown","No[17]","Yes","No","Yes","Unknown","Yes[20]","Yes[6]"
"0086 , URL: http://xmpp.org/extensions/xep-0086.html
","Error Condition Mappings","Deprecated","Yes[8]","Unknown","Yes[2]","Yes[17]","No[18]","No","Yes","Yes[5]","No","Yes[6]"
"0090 , URL: http://xmpp.org/extensions/xep-0090.html
","Legacy Entity Time","Obsolete","Yes[8][30]","Unknown","Yes[2]","Yes[17]","No[18]","No","No","Yes[5]","Yes[20]","Yes[6]"
"XEP","Description","Status","ejabberd , URL: /wiki/Ejabberd
","iChat Server , URL: /wiki/Messages_Server
","jabberd14","jabberd2 , URL: /wiki/Jabberd2
","Metronome , URL: /wiki/Metronome_IM
","Isode M-Link , URL: /w/index.php?title=Isode_M-Link&action=edit&redlink=1
","MongooseIM , URL: /w/index.php?title=MongooseIM&action=edit&redlink=1
","Openfire , URL: /wiki/Openfire
","Prosody , URL: /wiki/Prosody_(software)
","Tigase , URL: /wiki/Tigase
"
"0091 , URL: http://xmpp.org/extensions/xep-0091.html
","Legacy Delayed Delivery","Obsolete","Yes[8][30]","Unknown","Yes[2]","Yes[17]","Yes","Yes[19]","No","Yes[5]","Yes[20]","Yes[6]"
"0092 , URL: http://xmpp.org/extensions/xep-0092.html
","Software Version","Stable","Yes[8]","Unknown","Yes[2]","Yes[17]","Yes[18]","Yes[19]","No","Yes[5]","Yes[20]","Yes[6]"
"0093 , URL: http://xmpp.org/extensions/xep-0093.html
","Roster Item Exchange","Deprecated","Unknown","Unknown","Yes[2]","Yes[17]","Unknown","No","Yes","Unknown","No","No"
"0095 , URL: http://xmpp.org/extensions/xep-0095.html
","Stream Initiation","Deprecated","Unknown","Unknown","Unknown","No[17]","Unknown","No","Yes","Unknown","No","No"
"0096 , URL: http://xmpp.org/extensions/xep-0096.html
","SI File Transfer","Deprecated","Unknown","Unknown","Unknown","No[17]","Unknown","No","Yes","Yes[5]","Yes[20]","Yes[6]"
"0106 , URL: http://xmpp.org/extensions/xep-0106.html
","JID escaping","Stable","Yes[8]","Unknown","Unknown","No[17]","Yes","No","Yes","Yes[5]","Yes[20]","Yes[6]"
"0107 , URL: http://xmpp.org/extensions/xep-0107.html
","User Mood","Stable","Unknown","Unknown","Unknown","No[17]","Yes[18]","No","No","Unknown","Yes[20]","Yes[6]"
"0108 , URL: http://xmpp.org/extensions/xep-0108.html
","User Activity","Stable","Unknown","Unknown","Unknown","No[17]","Yes[18]","No","No","Unknown","Yes[20]","Yes[6]"
"0114 , URL: http://xmpp.org/extensions/xep-0114.html
","Jabber Component Protocol","Historical Use","Yes[8]","Unknown","Yes[2]","Yes[17]","Yes[18]","Yes[19]","Yes","Yes[5]","Yes[20]","Yes[6]"
"0115 , URL: http://xmpp.org/extensions/xep-0115.html
","Entity Capabilities","Stable","Yes[8]","Unknown","Unknown","No[17]","Yes[18]","No","Yes[31]","Yes[5]","Yes[20]","Yes[6]"
"0118 , URL: http://xmpp.org/extensions/xep-0118.html
","User Tune","Stable","Unknown","Unknown","Unknown","No[17]","Yes[18]","No","No","Unknown","Yes[20]","Yes[6]"
"0122 , URL: http://xmpp.org/extensions/xep-0122.html
","Data Forms Validation","Stable","Unknown","Unknown","Unknown","No[17]","No[18]","No","Yes","No","Yes[20]","No"
"0124 , URL: http://xmpp.org/extensions/xep-0124.html
","Bidirectional-streams Over Synchronous HTTP (BOSH)","Stable","Yes[8]","Unknown","Contrib.[2][32]","No[17]","Yes[18]","No","Yes","Yes[5]","Yes[20]","Yes[6]"
"0126 , URL: http://xmpp.org/extensions/xep-0126.html
","Invisibility","Approved","Unknown","Unknown","Unknown","No[17]","Yes[18]","No","Yes","Yes[5]","Yes[20]","No"
"0128 , URL: http://xmpp.org/extensions/xep-0128.html
","Service Discovery Extensions","Approved","No[8]","Unknown","Unknown","Yes[17]","Yes[18]","Yes[19]","No","Yes[5]","Yes[20]","Yes[6]"
"0130 , URL: http://xmpp.org/extensions/xep-0130.html
","Waiting Lists","Deprecated","No[8]","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","No[20]","No"
"0131 , URL: http://xmpp.org/extensions/xep-0131.html
","Stanza Headers and Internet Metadata","Stable","No[8]","Unknown","Unknown","No[17]","Unknown","Yes[19]","No","Unknown","Yes[20]","Yes[6]"
"0133 , URL: http://xmpp.org/extensions/xep-0133.html
","Service Administration","Approved","Yes[8]","Unknown","Unknown","No[17]","Yes[18]","Yes[19]","No","Unknown","Yes[20]","Yes[6]"
"0136 , URL: http://xmpp.org/extensions/xep-0136.html
","Message archiving","Deprecated","Contrib.[8][33]","Unknown","Contrib.[2][34]","No[17]","No[18]","No","No","Yes/Plugin[35]","Contrib.[36]","Yes[6]"
"0137 , URL: http://xmpp.org/extensions/xep-0137.html
","Publishing SI Requests","Deprecated","No[8]","Unknown","Unknown","No[17]","Yes","No","No","Unknown","No","No"
"XEP","Description","Status","ejabberd , URL: /wiki/Ejabberd
","iChat Server , URL: /wiki/Messages_Server
","jabberd14","jabberd2 , URL: /wiki/Jabberd2
","Metronome , URL: /wiki/Metronome_IM
","Isode M-Link , URL: /w/index.php?title=Isode_M-Link&action=edit&redlink=1
","MongooseIM , URL: /w/index.php?title=MongooseIM&action=edit&redlink=1
","Openfire , URL: /wiki/Openfire
","Prosody , URL: /wiki/Prosody_(software)
","Tigase , URL: /wiki/Tigase
"
"0138 , URL: http://xmpp.org/extensions/xep-0138.html
","Stream Compression","Final","Yes[8]","Unknown","Unknown","Yes[17]","Yes[18]","Yes[19]","Yes","Yes[5]","Yes[20]","Yes[6]"
"0148 , URL: http://xmpp.org/extensions/xep-0148.html
","Instant Messaging Intelligence Quotient","Humorous","Unknown","Unknown","Unknown","No[17]","unfinished [citation needed]","No","No","Unknown","experimental [citation needed]","Yes[6]"
"0153 , URL: http://xmpp.org/extensions/xep-0153.html
","vCard-Based Avatars","Historical Use","Yes[8]","Unknown","Yes[2]","Yes[17]","Yes[18]","No","Yes","Unknown","Yes[20]","Yes[6]"
"0154 , URL: http://xmpp.org/extensions/xep-0154.html
","User profile","Deferred","Contrib.[8]","Unknown","Unknown","No[17]","Yes[18]","No","No","Unknown","No[20]","No"
"0157 , URL: http://xmpp.org/extensions/xep-0157.html
","Contact Addresses for XMPP Services","Approved","Yes[8][37]","Unknown","Yes[2]","Yes[17]","Yes[18]","No","Yes","Unknown","Contrib.[20]","Yes[6]"
"0158 , URL: http://xmpp.org/extensions/xep-0158.html
","CAPTCHA Forms","Stable","Yes[8]","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","No[20]","No"
"0159 , URL: http://xmpp.org/extensions/xep-0159.html
","Spim-Blocking Control","Deferred","Unknown","Unknown","Unknown","No[17]","Yes[18]","No","No","Unknown","No[20]","No"
"0160 , URL: http://xmpp.org/extensions/xep-0160.html
","Best Practices for Handling Offline Messages","Approved","Yes[8]","Unknown","Yes[2]","Yes[17]","Yes[18]","No","Yes","Unknown","Yes[20]","Yes[6]"
"0161 , URL: http://xmpp.org/extensions/xep-0161.html
","Abuse Reporting","Deferred","Unknown","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","No[20]","No"
"0163 , URL: http://xmpp.org/extensions/xep-0163.html
","Personal Eventing Protocol","Stable","Yes[8]","Unknown","Unknown","No[17]","Yes[18]","Yes[19]","Yes","Yes[5]","Yes[20]","Yes[6]"
"0168 , URL: http://xmpp.org/extensions/xep-0168.html
","Resource Application Priority","Deferred","Unknown","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","No[20]","No"
"0170 , URL: http://xmpp.org/extensions/xep-0170.html
","Recommended Order of Stream Feature Negotiation","Approved","Yes[8][38]","Yes[8]","Yes[2]","Yes[17]","Yes[18]","No","Yes","Unknown","Yes[20]","Yes[6]"
"0171 , URL: http://xmpp.org/extensions/xep-0171.html
","Language Translation","Stable","Unknown","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","Yes[20]","No"
"0172 , URL: http://xmpp.org/extensions/xep-0172.html
","User Nickname","Stable","No[8]","Unknown","Unknown","No[17]","Yes[18]","No","No","Unknown","Yes[20]","Yes[6]"
"0175 , URL: http://xmpp.org/extensions/xep-0175.html
","Best Practices for Use of SASL ANONYMOUS","Approved","Yes[8]","Unknown","Unknown","Yes[17]","Yes[18]","No","Yes","Yes[5]","Yes[20]","Yes[6]"
"0176 , URL: http://xmpp.org/extensions/xep-0176.html
","Jingle ICE-UDP Transport Method","Stable","Yes[8]","Unknown","Unknown","No[17]","Unknown","No","No","Unknown","Yes[20]","Yes[6]"
"0178 , URL: http://xmpp.org/extensions/xep-0178.html
","Best Practices for Use of SASL EXTERNAL with Certificates","Approved","No[8]","Unknown","Yes[2]","Yes[17]","Yes[18]","No","No","Unknown","Yes[20]","Yes[6]"
"0182 , URL: http://xmpp.org/extensions/xep-0182.html
","Application-Specific Error Conditions","Approved","Unknown","Unknown","Unknown","No[17]","Yes[18]","No","Unknown","Unknown","Yes[20]","No"
"XEP","Description","Status","ejabberd , URL: /wiki/Ejabberd
","iChat Server , URL: /wiki/Messages_Server
","jabberd14","jabberd2 , URL: /wiki/Jabberd2
","Metronome , URL: /wiki/Metronome_IM
","Isode M-Link , URL: /w/index.php?title=Isode_M-Link&action=edit&redlink=1
","MongooseIM , URL: /w/index.php?title=MongooseIM&action=edit&redlink=1
","Openfire , URL: /wiki/Openfire
","Prosody , URL: /wiki/Prosody_(software)
","Tigase , URL: /wiki/Tigase
"
"0184 , URL: http://xmpp.org/extensions/xep-0184.html
","Message Delivery Receipts","Stable","No[8]","Unknown","Unknown[2]","Unknown[17]","Unknown","No","Yes","Unknown","Yes[20]","Yes[6]"
"0185 , URL: http://xmpp.org/extensions/xep-0185.html
","Dialback Key Generation and Validation","Approved","Unknown","Unknown","Yes[2]","Yes[17]","Yes[18]","No","Yes","Unknown","Yes[20]","Yes[6]"
"0189 , URL: http://xmpp.org/extensions/xep-0189.html
","Public Key Publishing","Deferred","Unknown","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","Yes[20]","Yes[6]"
"0190 , URL: http://xmpp.org/extensions/xep-0190.html
","Best Practice for Closing Idle Streams","Obsolete","Yes[8]","Unknown","Unknown","Yes[17]","Yes[18]","No","Unknown","Unknown","No[20]","Yes[6]"
"0191 , URL: http://xmpp.org/extensions/xep-0191.html
","Blocking Command","Stable","Yes[8]","Unknown","Unknown","Yes[17]","Yes[18]","No","Yes","Unknown","Yes[39]","Yes[6]"
"0192 , URL: http://xmpp.org/extensions/xep-0192.html
","Proposed Stream Feature Improvements","Obsolete","Unknown","Unknown","Unknown","Yes[17]","No[18]","No","Unknown","Unknown","Unknown","Unknown"
"0193 , URL: http://xmpp.org/extensions/xep-0193.html
","Proposed Resource Binding Improvements","Obsolete","Contrib.[8][40]","Contrib.[8]","Unknown","Yes[17]","No[18]","No","Unknown","Unknown","Unknown","Unknown"
"0194 , URL: http://xmpp.org/extensions/xep-0194.html
","User Chatting","Deferred","Unknown","Unknown","Unknown","No[17]","Yes[18]","No","No","Unknown","Yes[20]","Unknown"
"0195 , URL: http://xmpp.org/extensions/xep-0195.html
","User Browsing","Deferred","Unknown","Unknown","Unknown","No[17]","Yes[18]","No","No","Unknown","Yes[20]","Unknown"
"0198 , URL: http://xmpp.org/extensions/xep-0198.html
","Stream Management","Stable","Yes[8][41][42]","No[8]","No","Yes[17]","Yes[18]","Yes[19]","Yes","Partial[43]","Yes[20]","Yes[6]"
"0199 , URL: http://xmpp.org/extensions/xep-0199.html
","XMPP Ping","Final","Yes[8][44]","Yes[8]","Yes[2]","Yes[17]","Yes[18]","Yes[19]","Yes","Unknown","Yes[20]","Yes[6]"
"0202 , URL: http://xmpp.org/extensions/xep-0202.html
","Entity Time","Final","Yes[8]","Unknown","Unknown","Yes[17]","Yes[18]","No","Yes","Unknown","Yes[20]","No"
"0203 , URL: http://xmpp.org/extensions/xep-0203.html
","Delayed Delivery","Final","Yes[8]","Unknown","Unknown","Yes[17]","Yes[18]","Yes[19]","Yes","Yes[5]","Yes[20]","Yes[6]"
"0205 , URL: http://xmpp.org/extensions/xep-0205.html
","Best Practices to Discourage Denial of Service Attacks","Approved","Partial[8]","Yes","Unknown","Yes[17]","Yes[18]","No","Partial","Unknown","No[20]","Yes[6]"
"0206 , URL: http://xmpp.org/extensions/xep-0206.html
","XMPP over BOSH","Stable","Yes[8]","Unknown","Unknown","No[17]","Yes[18]","No","Yes","Unknown","Yes[20]","Yes[6]"
"0209 , URL: http://xmpp.org/extensions/xep-0209.html
","Metacontacts","Deferred","Unknown","Unknown","Unknown","Yes[17]","Yes[18]","No","Yes","Unknown","Yes[20]","Yes[6]"
"0212 , URL: http://xmpp.org/extensions/xep-0212.html
","XMPP Basic Server 2008","Obsolete","Yes[8]","Unknown","Unknown","Yes[17]","Unknown","Yes[19]","Yes","Unknown","Yes","Yes[6]"
"0214 , URL: http://xmpp.org/extensions/xep-0214.html
","File Repository and Sharing","Deferred","Unknown","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","No[20]","Unknown"
"0215 , URL: http://xmpp.org/extensions/xep-0215.html
","External Service Discovery","Deferred","Yes[8][45][46]","No[8]","Unknown","No[17]","Yes[18]","No","No","Unknown","Yes[20]","No"
"0216 , URL: http://xmpp.org/extensions/xep-0216.html
","XMPP Intermediate IM Server 2008","Obsolete","Yes[8]","Unknown","Unknown","Yes[17]","Unknown","No","Yes","Unknown","Yes[20]","Yes[6]"
"0220 , URL: http://xmpp.org/extensions/xep-0220.html
","Server Dialback","Stable","Unknown","Unknown","Unknown","Yes[17]","Yes[18]","Yes[19]","Unknown","Unknown","Yes[20]","Yes[6]"
"XEP","Description","Status","ejabberd , URL: /wiki/Ejabberd
","iChat Server , URL: /wiki/Messages_Server
","jabberd14","jabberd2 , URL: /wiki/Jabberd2
","Metronome , URL: /wiki/Metronome_IM
","Isode M-Link , URL: /w/index.php?title=Isode_M-Link&action=edit&redlink=1
","MongooseIM , URL: /w/index.php?title=MongooseIM&action=edit&redlink=1
","Openfire , URL: /wiki/Openfire
","Prosody , URL: /wiki/Prosody_(software)
","Tigase , URL: /wiki/Tigase
"
"0221 , URL: http://xmpp.org/extensions/xep-0221.html
","Data Forms Media Element","Stable","Unknown","Unknown","Unknown","No[17]","No[18]","No","Unknown","Unknown","Yes[20]","No"
"0223 , URL: http://xmpp.org/extensions/xep-0223.html
","Persistent Storage of Private Data via PubSub","Approved","Yes[8]","Yes","Unknown","No[17]","Yes","No","No","Unknown","Yes","Yes[6]"
"0225 , URL: http://xmpp.org/extensions/xep-0225.html
","Component Connections","Deferred","No[8]","Unknown","Unknown","Yes[17]","No[18]","No","No","Unknown","No[20]","Yes[6]"
"0227 , URL: http://xmpp.org/extensions/xep-0227.html
","Portable Import/Export Format for XMPP-IM Servers (proposed)","Stable","Yes[8]","Unknown","Unknown","No[17]","No[18]","Yes[19]","No","Unknown","Yes[20]","No"
"0230 , URL: http://xmpp.org/extensions/xep-0230.html
","Service Discovery Notifications","Deferred","Unknown","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","No[20]","No"
"0232 , URL: http://xmpp.org/extensions/xep-0232.html
","Software Information","Deferred","Unknown","Unknown","Unknown","Yes[17]","No[18]","No","No","Unknown","No[20]","No"
"0233 , URL: http://xmpp.org/extensions/xep-0233.html
","Use of Domain-Based Service Names in XMPP SASL Negotiation","Stable","Unknown","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","No[20]","No"
"0235 , URL: http://xmpp.org/extensions/xep-0235.html
","OAuth Over XMPP","Deferred","Unknown","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","No[20]","No"
"0236 , URL: http://xmpp.org/extensions/xep-0236.html
","Abuse Reporting","Retracted","Unknown","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","No[20]","No"
"0237 , URL: http://xmpp.org/extensions/xep-0237.html
","Roster Versioning","Obsolete","Yes[8]","Unknown","Unknown","Yes[17]","Yes[18]","Yes[19]","Yes","Unknown","Yes[20]","Yes[6]"
"0238 , URL: http://xmpp.org/extensions/xep-0238.html
","XMPP Protocol Flows for Inter-Domain Federation","Deferred","Unknown","Unknown","Unknown","Yes[17]","Unknown","No","Unknown","Unknown","Unknown","Unknown"
"0241 , URL: http://xmpp.org/extensions/xep-0241.html
","Encryption of Archived Messages","Deferred","Unknown","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","No[20]","No"
"0243 , URL: http://xmpp.org/extensions/xep-0243.html
","XMPP Server Compliance 2009","Obsolete","Yes[8]","Unknown","Unknown","Yes[17]","Yes","Yes[19]","Yes","Unknown","Yes[20]","Yes[6]"
"0248 , URL: http://xmpp.org/extensions/xep-0248.html
","PubSub Collection Nodes","Deferred","Yes[8]","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","No[20]","Partial[6]"
"0252 , URL: http://xmpp.org/extensions/xep-0252.html
","BOSH Script Syntax","Deferred","Unknown","Unknown","Unknown","No[17]","Yes[18]","No","No","Unknown","No[20]","No"
"0253 , URL: http://xmpp.org/extensions/xep-0253.html
","PubSub Chaining","Deferred","Unknown","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","No[20]","Partial[6]"
"0254 , URL: http://xmpp.org/extensions/xep-0254.html
","PubSub Queueing","Deferred","Unknown","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","No[20]","Unknown"
"0255 , URL: http://xmpp.org/extensions/xep-0255.html
","Location Query","Deferred","Unknown","Unknown","Unknown","No[17]","No","No","No","Unknown","No[20]","No"
"0256 , URL: http://xmpp.org/extensions/xep-0256.html
","Last Activity in Presence","Stable","Unknown","Unknown","Unknown","No[17]","No[18]","No","Unknown","Unknown","No[20]","No"
"0257 , URL: http://xmpp.org/extensions/xep-0257.html
","Client Certificate Management for SASL EXTERNAL","Deferred","Unknown","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","Contrib.[20]","Unknown"
"0258 , URL: http://xmpp.org/extensions/xep-0258.html
","Security Labels in XMPP","Stable","Unknown","Unknown","Unknown","Unknown","Yes[18]","Yes[19]","No","Unknown","Contrib.[20]","Unknown"
"0259 , URL: http://xmpp.org/extensions/xep-0259.html
","Message Mine-ing","Deferred","Unknown","Unknown","Unknown","No[17]","No[18]","No","No","Unknown","No[20]","Unknown"
"0268 , URL: http://xmpp.org/extensions/xep-0268.html
","Incident Handling","Deferred","Unknown","Unknown","Unknown","Unknown","Yes[18]","No","No","Unknown","Contrib.[47]","No"
"0270 , URL: http://xmpp.org/extensions/xep-0270.html
","XMPP Compliance Suites 2010","Obsolete","Yes[8]","Unknown","Unknown","No[17]","Yes","Yes[19]","Yes","Unknown","Unknown","Unknown"
"0273 , URL: http://xmpp.org/extensions/xep-0273.html
","Stanza Interception and Filtering Technology (SIFT)","Deferred","Unknown","Unknown","Unknown","Unknown","Partial[18]","No","No","Unknown","Contrib.[20]","No"
"0278 , URL: http://xmpp.org/extensions/xep-0278.html
","Jingle Relay Nodes","Experimental","Yes[8]","Unknown","Unknown","No[17]","Yes[18]","No","No","Unknown","Unknown","No"
"0279 , URL: http://xmpp.org/extensions/xep-0279.html
","Server IP Check","Deferred","Yes[8]","Unknown","Unknown","No[48]","Yes[18]","No","Yes","Unknown","Contrib.[20][49]","No"
"0280 , URL: http://xmpp.org/extensions/xep-0280.html
","Message Carbons","Experimental","Yes[8]","Unknown","Unknown","Unknown","Yes[18]","No","Yes[50]","Yes[43]","Yes[51]","Yes[52]"
