"Card","Varieties","nom. , URL: https://en.wiktionary.org/wiki/nominal
GiB , URL: /wiki/Gibibyte
","nom. , URL: https://en.wiktionary.org/wiki/nominal
GiB , URL: /wiki/Gibibyte
","MB , URL: /wiki/Megabyte
","Max write speed (MB/s)","Read-write cycles","Low-level access","Operating voltage (V)[11]","Controller chip[12]","# of pins"
"Memory Stick , URL: /wiki/Memory_Stick
","PRO Duo","32[27]","TiB , URL: /wiki/Tebibyte
GiB , URL: /wiki/Gibibyte
","20","20","","NAND , URL: /wiki/Flash_memory#NAND_memories
","3.3","Yes","10"
"Memory Stick , URL: /wiki/Memory_Stick
","PRO-HG Duo","32[28]","TiB , URL: /wiki/Tebibyte
GiB , URL: /wiki/Gibibyte
","30 (actual;[29] theoretical: 60[30])","30 (actual;[29] theoretical: 60[30])","","NAND , URL: /wiki/Flash_memory#NAND_memories
","3.3","Yes","10"
"Memory Stick , URL: /wiki/Memory_Stick
","Micro (M2)","16[31]","32","20","20","","NAND , URL: /wiki/Flash_memory#NAND_memories
","1.8 and 3.3","Yes","10"
"Memory Stick , URL: /wiki/Memory_Stick
","xC","","TiB , URL: /wiki/Tebibyte
GiB , URL: /wiki/Gibibyte
","60","60","","NAND , URL: /wiki/Flash_memory#NAND_memories
","3.3","Yes","10"
"xD , URL: /wiki/XD-Picture_Card
","","MiB , URL: /wiki/Mebibyte
GiB , URL: /wiki/Gibibyte
","MiB , URL: /wiki/Mebibyte
GiB , URL: /wiki/Gibibyte
","5","3","","NAND , URL: /wiki/Flash_memory#NAND_memories
","3.3","No","18"
"xD , URL: /wiki/XD-Picture_Card
","Type M","2","8","4","2.5","","NAND , URL: /wiki/Flash_memory#NAND_memories
","3.3","No","18"
"xD , URL: /wiki/XD-Picture_Card
","Type H","2","8","5","4","","NAND , URL: /wiki/Flash_memory#NAND_memories
","3.3","No","18"
"xD , URL: /wiki/XD-Picture_Card
","Type M+","2","8","6","3.75","","NAND , URL: /wiki/Flash_memory#NAND_memories
","3.3","No","18"
"XQD , URL: /wiki/XQD
","","64","TiB , URL: /wiki/Tebibyte
GiB , URL: /wiki/Gibibyte
","168","168","","NAND , URL: /wiki/Flash_memory#NAND_memories
","5","",""
"USB , URL: /wiki/USB_flash_drive
","Full speed (USB 1)","TiB , URL: /wiki/Tebibyte
","No hardware limit","1","1","","NAND , URL: /wiki/Flash_memory#NAND_memories
","5","Yes","4"
"USB , URL: /wiki/USB_flash_drive
","High speed (USB 2.0)","TiB , URL: /wiki/Tebibyte
","No hardware limit","40","40","","NAND , URL: /wiki/Flash_memory#NAND_memories
","5","Yes","4"
"USB , URL: /wiki/USB_flash_drive
","Super speed (USB 3.0)","TiB , URL: /wiki/Tebibyte
","No hardware limit","240","160","","NAND , URL: /wiki/Flash_memory#NAND_memories
","5","Yes","4"
