"Version","Shell","Visual styles , URL: /wiki/Skin_(computing)
","Browser","Web server","Windows Media Player , URL: /wiki/Windows_Media_Player
","Command-line interpreter , URL: /wiki/Command-line_interpreter
"
"Windows XP , URL: /wiki/Windows_XP
","Windows shell , URL: /wiki/Windows_shell
","Luna , URL: /wiki/Windows_XP_visual_styles
Classic , URL: /wiki/Windows_XP_visual_styles#Windows_Classic
","Internet Explorer 6","IIS , URL: /wiki/Internet_Information_Services
","5.1, 6.4 and 8 (in RTM) 5.1, 6.4 and 9 (in SP2)","COMMAND.COM , URL: /wiki/COMMAND.COM
CMD.EXE , URL: /wiki/CMD.EXE
PowerShell , URL: /wiki/Windows_PowerShell
"
"Windows Server 2003 , URL: /wiki/Windows_Server_2003
","Windows shell , URL: /wiki/Windows_shell
","Classic , URL: /wiki/Windows_XP_visual_styles#Windows_Classic
Luna , URL: /wiki/Windows_XP_visual_styles
","Internet Explorer 6","IIS , URL: /wiki/Internet_Information_Services
","9 (in RTM), 10 (in SP1)","COMMAND.COM , URL: /wiki/COMMAND.COM
CMD.EXE , URL: /wiki/CMD.EXE
PowerShell , URL: /wiki/Windows_PowerShell
"
"Windows Vista , URL: /wiki/Windows_Vista
","Windows shell , URL: /wiki/Windows_shell
","Aero , URL: /wiki/Aero_Glass
Classic , URL: /wiki/Windows_XP_visual_styles#Windows_Classic
","Internet Explorer 7","IIS , URL: /wiki/Internet_Information_Services
","11","COMMAND.COM , URL: /wiki/COMMAND.COM
CMD.EXE , URL: /wiki/CMD.EXE
PowerShell , URL: /wiki/Windows_PowerShell
"
"Windows Server 2008 , URL: /wiki/Windows_Server_2008
","Windows shell , URL: /wiki/Windows_shell
Server Core , URL: /wiki/Server_Core
","Classic , URL: /wiki/Windows_XP_visual_styles#Windows_Classic
Aero , URL: /wiki/Aero_Glass
","Internet Explorer 7","IIS , URL: /wiki/Internet_Information_Services
","11 (enabled by installing "Desktop Experience")","COMMAND.COM , URL: /wiki/COMMAND.COM
CMD.EXE , URL: /wiki/CMD.EXE
PowerShell , URL: /wiki/Windows_PowerShell
"
"Windows 7 , URL: /wiki/Windows_7
","Windows shell , URL: /wiki/Windows_shell
","Aero , URL: /wiki/Aero_Glass
Classic , URL: /wiki/Windows_XP_visual_styles#Windows_Classic
","Internet Explorer 8","IIS , URL: /wiki/Internet_Information_Services
","12","COMMAND.COM , URL: /wiki/COMMAND.COM
CMD.EXE , URL: /wiki/CMD.EXE
PowerShell , URL: /wiki/Windows_PowerShell
"
"Windows Server 2008 R2 , URL: /wiki/Windows_Server_2008_R2
","Windows shell , URL: /wiki/Windows_shell
Server Core , URL: /wiki/Server_Core
","Classic , URL: /wiki/Windows_XP_visual_styles#Windows_Classic
Aero , URL: /wiki/Aero_Glass
","Internet Explorer 8","IIS , URL: /wiki/Internet_Information_Services
","12 (via "Desktop Experience")","CMD.EXE , URL: /wiki/CMD.EXE
PowerShell , URL: /wiki/Windows_PowerShell
"
"Windows Server 2012 , URL: /wiki/Windows_Server_2012
","Windows shell , URL: /wiki/Windows_shell
Server Core , URL: /wiki/Server_Core
","Metro , URL: /wiki/Metro_(design_language)
","Internet Explorer 10","IIS , URL: /wiki/Internet_Information_Services
","12 (via "Desktop Experience")","CMD.EXE , URL: /wiki/CMD.EXE
PowerShell , URL: /wiki/Windows_PowerShell
"
"Windows 8 , URL: /wiki/Windows_8
","Windows shell , URL: /wiki/Windows_shell
","Metro , URL: /wiki/Metro_(design_language)
","Internet Explorer 10","IIS , URL: /wiki/Internet_Information_Services
","12","COMMAND.COM , URL: /wiki/COMMAND.COM
CMD.EXE , URL: /wiki/CMD.EXE
PowerShell , URL: /wiki/Windows_PowerShell
"
"Windows Server 2012 R2 , URL: /wiki/Windows_Server_2012_R2
","Windows shell , URL: /wiki/Windows_shell
Windows server core , URL: /wiki/Windows_server_core
","Metro , URL: /wiki/Metro_(design_language)
","Internet Explorer 11","IIS , URL: /wiki/Internet_Information_Services
","12 (via "Desktop Experience")","CMD.EXE , URL: /wiki/CMD.EXE
PowerShell , URL: /wiki/Windows_PowerShell
"
"Windows 8.1 , URL: /wiki/Windows_8.1
","Windows shell , URL: /wiki/Windows_shell
","Metro , URL: /wiki/Metro_(design_language)
","Internet Explorer 11","IIS , URL: /wiki/Internet_Information_Services
","12","COMMAND.COM , URL: /wiki/COMMAND.COM
CMD.EXE , URL: /wiki/CMD.EXE
PowerShell , URL: /wiki/Windows_PowerShell
"
"Windows 10 , URL: /wiki/Windows_10
","Windows shell , URL: /wiki/Windows_shell
","Metro , URL: /wiki/Metro_(design_language)
","Internet Explorer 11 Microsoft Edge 12-13","IIS , URL: /wiki/Internet_Information_Services
","12","COMMAND.COM , URL: /wiki/COMMAND.COM
CMD.EXE , URL: /wiki/CMD.EXE
PowerShell , URL: /wiki/Windows_PowerShell
"
"Windows Server 2016 , URL: /wiki/Windows_Server_2016
","Windows shell , URL: /wiki/Windows_shell
Windows server core , URL: /wiki/Windows_server_core
","Metro , URL: /wiki/Metro_(design_language)
","Internet Explorer 11 Microsoft Edge 13","IIS , URL: /wiki/Internet_Information_Services
","12 (via "Desktop Experience")","CMD.EXE , URL: /wiki/CMD.EXE
PowerShell , URL: /wiki/Windows_PowerShell
"
"Windows Server 2019 , URL: /wiki/Windows_Server_2019
","Windows shell , URL: /wiki/Windows_shell
Windows server core , URL: /wiki/Windows_server_core
","Metro , URL: /wiki/Metro_(design_language)
","Internet Explorer 11 Microsoft Edge 13","IIS , URL: /wiki/Internet_Information_Services
","12 (via "Desktop Experience")","CMD.EXE , URL: /wiki/CMD.EXE
PowerShell , URL: /wiki/Windows_PowerShell
"
