"Engine","Origin","Designer","Vehicle , URL: /wiki/Spacecraft
","Use , URL: /wiki/Multistage_rocket
","Propellant , URL: /wiki/Rocket_propellant
","Power cycle","Specific impulse , URL: /wiki/Specific_impulse
","Thrust , URL: /wiki/Thrust
","Mass (kg)","Thrust:weight ratio , URL: /wiki/Thrust-to-weight_ratio
","Chamber , URL: /wiki/Combustion_chamber
","Oxidiser:fuel ratio"
"RD-8 , URL: /wiki/RD-8
","Soviet Union , URL: /wiki/Soviet_Union
","Pivdenne , URL: /wiki/Yuzhnoye_Design_Office
Pivdenmash , URL: /wiki/Yuzhmash
","Zenit , URL: /wiki/Zenit_(rocket_family)
","2nd vernier","RP-1 , URL: /wiki/RP-1
LOX , URL: /wiki/LOX
","Staged, oxidizer-rich , URL: /wiki/Staged_combustion_cycle
","342","78,450","356","","77.47","2.4"
"RD-56 (KVD-1) , URL: /wiki/KVD-1
","Russia , URL: /wiki/Russia
","KBKhM , URL: /wiki/KBKhM
","GSLV Mk I , URL: /wiki/GSLV#GSLV_Mk_I_(a)
","Upper","LH2 , URL: /wiki/Liquid_hydrogen
LOX , URL: /wiki/LOX
","Staged, fuel-rich","462[92]","69,626","282","25.17","55.9",""
"RD-117 , URL: /wiki/RD-107
","Soviet Union , URL: /wiki/Soviet_Union
","NPO Energomash , URL: /wiki/NPO_Energomash
","Soyuz-U , URL: /wiki/Soyuz-U
","1st","RP-1 , URL: /wiki/RP-1
LOX , URL: /wiki/LOX
","Gas generator","316[93] 253 (SL)","978,000 778,648 (SL)","1,100","72.18","54.2",""
"RD-118 , URL: /wiki/RD-107
","Soviet Union , URL: /wiki/Soviet_Union
","NPO Energomash , URL: /wiki/NPO_Energomash
","Soyuz-U , URL: /wiki/Soyuz-U
","2nd","RP-1 , URL: /wiki/RP-1
LOX , URL: /wiki/LOX
","Gas generator","314[93] 257 (SL)","1,000,278 818,855 (SL)","1,100","75.91","59.7",""
"RD-170 , URL: /wiki/RD-170_(rocket_engine)
","Soviet Union , URL: /wiki/Soviet_Union
","NPO Energomash , URL: /wiki/NPO_Energomash
","Energia , URL: /wiki/Energia
","1st","RP-1 , URL: /wiki/RP-1
LOX , URL: /wiki/LOX
","Staged, oxidizer-rich","337.2 309.5 (SL)","7,904,160 7,256,921 (SL)","9,300","79.57","250",""
"RD-264 , URL: /wiki/RD-264
","Soviet Union , URL: /wiki/Soviet_Union
","NPO Energomash , URL: /wiki/NPO_Energomash
","Dnepr , URL: /wiki/Dnepr_(rocket)
","1st","N2O4 , URL: /wiki/Dinitrogen_tetroxide
UDMH , URL: /wiki/UDMH
","Staged, oxidizer-rich","318[95] 293 (SL)","4,521,000","3,600","128.15","206",""
"RD-275 , URL: /wiki/RD-275
","Russia , URL: /wiki/Russia
","NPO Energomash , URL: /wiki/NPO_Energomash
","Proton-M , URL: /wiki/Proton-M
","1st","N2O4 , URL: /wiki/Dinitrogen_tetroxide
UDMH , URL: /wiki/UDMH
","Staged, oxidizer-rich","316[96] 287 (SL)","1,831,882 1,671,053 (SL)","1,070","171.2","160.0",""
"RD-854 , URL: /wiki/RD-854
","Soviet Union , URL: /wiki/Soviet_Union
","Pivdenne , URL: /wiki/Yuzhnoye_Design_Office
Pivdenmash , URL: /wiki/Yuzhmash
","R-36ORB , URL: /wiki/R-36ORB
","3rd","N2O4 , URL: /wiki/Dinitrogen_tetroxide
UDMH , URL: /wiki/UDMH
","Gas generator","","","","","",""
"RD-855 , URL: /wiki/RD-855
","Soviet Union , URL: /wiki/Soviet_Union
","Pivdenne , URL: /wiki/Yuzhnoye_Design_Office
Pivdenmash , URL: /wiki/Yuzhmash
","Tsyklon-2 , URL: /wiki/Tsyklon-2
-3 , URL: /wiki/Tsyklon-3
R-36 , URL: /wiki/R-36_(missile)
","1st vernier","N2O4 , URL: /wiki/Dinitrogen_tetroxide
UDMH , URL: /wiki/UDMH
","Gas generator","","328,000","320","","65.70","1.97"
"RD-856 , URL: /wiki/RD-856
","Soviet Union , URL: /wiki/Soviet_Union
","Pivdenne , URL: /wiki/Yuzhnoye_Design_Office
Pivdenmash , URL: /wiki/Yuzhmash
","Tsyklon-2 , URL: /wiki/Tsyklon-2
-3 , URL: /wiki/Tsyklon-3
-4 , URL: /wiki/Tsyklon-4
R-36 , URL: /wiki/R-36_(missile)
","2nd vernier","N2O4 , URL: /wiki/Dinitrogen_tetroxide
UDMH , URL: /wiki/UDMH
","Gas generator","","54,230","112.5","","71.60","1.98"
"RD-861 , URL: /wiki/RD-861
","Soviet Union , URL: /wiki/Soviet_Union
","Pivdenne , URL: /wiki/Yuzhnoye_Design_Office
Pivdenmash , URL: /wiki/Yuzhmash
","Tsyklon-2 , URL: /wiki/Tsyklon-2
-3 , URL: /wiki/Tsyklon-3
","3rd","N2O4 , URL: /wiki/Dinitrogen_tetroxide
UDMH , URL: /wiki/UDMH
","Gas generator","","78,710","123","","88.8","2.1"
"RD-864 , URL: /wiki/RD-864
","Soviet Union , URL: /wiki/Soviet_Union
","Pivdenne , URL: /wiki/Yuzhnoye_Design_Office
Pivdenmash , URL: /wiki/Yuzhmash
","R-36 (missile) , URL: /wiki/R-36M
Dnipro , URL: /wiki/Dnepr_(rocket)
","3rd","N2O4 , URL: /wiki/Dinitrogen_tetroxide
UDMH , URL: /wiki/UDMH
","Gas generator","298–309","8,450–20,200","199","","17–41","1.8"
"RD-869 , URL: /wiki/RD-869
","Soviet Union , URL: /wiki/Soviet_Union
","Pivdenne , URL: /wiki/Yuzhnoye_Design_Office
Pivdenmash , URL: /wiki/Yuzhmash
","R-36M , URL: /wiki/R-36M
","3rd","N2O4 , URL: /wiki/Dinitrogen_tetroxide
UDMH , URL: /wiki/UDMH
","Gas generator","302.3–313","8,580–20,470","196","","17–41","1.8"
"RS-27A , URL: /wiki/RS-27A
","USA , URL: /wiki/United_States
","Rocketdyne , URL: /wiki/Rocketdyne
","Delta , URL: /wiki/Delta_(rocket_family)
","1st","RP-1 , URL: /wiki/RP-1
LOX , URL: /wiki/LOX
","Gas generator , URL: /wiki/Gas-generator_cycle
","302[97] 255 (SL)","1,054,200","1,091","102.5","49","2.245"
"Space Shuttle Solid Rocket Booster , URL: /wiki/Space_Shuttle_Solid_Rocket_Booster
","USA , URL: /wiki/United_States
","Thiokol , URL: /wiki/Thiokol
","Space Shuttle , URL: /wiki/Space_Shuttle
Ares I , URL: /wiki/Ares_I
","Booster , URL: /wiki/Solid_Rocket_Booster
","PBAN , URL: /wiki/Polybutadiene_acrylonitrile
APCP , URL: /wiki/APCP
","Solid fuel","268","14,000,000 12,500,000 (SL)","590,000 with fuel","","",""
"SRB-A , URL: /wiki/SRB-A
","Japan , URL: /wiki/Japan
","IHI Aerospace , URL: /wiki/IHI_Corporation
JAXA , URL: /wiki/Japan_Aerospace_Exploration_Agency
","H-IIA , URL: /wiki/H-IIA
","Booster , URL: /wiki/Solid_rocket_booster
","HTPB , URL: /wiki/HTPB
","Solid fuel","280[98]","2,250,000","76,400 with fuel","","",""
"UA120 , URL: /wiki/UA120
","USA , URL: /wiki/United_States
","United Technologies , URL: /wiki/United_Technologies
","Titan IV , URL: /wiki/Titan_IV
","Booster , URL: /wiki/Solid_Rocket_Booster
","PBAN , URL: /wiki/Polybutadiene_acrylonitrile
","Solid fuel","272[99] 245 (SL)","7,116,000 6,410,400 (SL)","319,330 with fuel","","",""
"Viking 2 , URL: /wiki/Viking_(rocket_engine)
","Europe , URL: /wiki/Europe
","Snecma , URL: /wiki/Snecma
","Ariane 1 , URL: /wiki/Ariane_1
","1st","N2O4 , URL: /wiki/Dinitrogen_tetroxide
UDMH , URL: /wiki/UDMH
","Gas generator , URL: /wiki/Gas-generator_cycle
","","690,000 611,200 (SL)","776","90.67","",""
"Viking 2B , URL: /wiki/Viking_(rocket_engine)
","Europe , URL: /wiki/Europe
","Snecma , URL: /wiki/Snecma
","Ariane 2 , URL: /wiki/Ariane_2
3 , URL: /wiki/Ariane_3
","1st","N2O4 , URL: /wiki/Dinitrogen_tetroxide
UH 25 , URL: /wiki/UH_25
","Gas generator , URL: /wiki/Gas-generator_cycle
","","643,000 (SL)","776","84.5","",""
"Viking 4 , URL: /wiki/Viking_(rocket_engine)
","Europe , URL: /wiki/Europe
","Snecma , URL: /wiki/Snecma
","Ariane 1 , URL: /wiki/Ariane_1
","2nd","N2O4 , URL: /wiki/Dinitrogen_tetroxide
UDMH , URL: /wiki/UDMH
","Gas generator , URL: /wiki/Gas-generator_cycle
","","713,000","826","88","",""
"Viking 4B , URL: /wiki/Viking_(rocket_engine)
","Europe , URL: /wiki/Europe
","Snecma , URL: /wiki/Snecma
","Ariane 2 , URL: /wiki/Ariane_2
3 , URL: /wiki/Ariane_3
4 , URL: /wiki/Ariane_4
","2nd","N2O4 , URL: /wiki/Dinitrogen_tetroxide
UH 25 , URL: /wiki/UH_25
","Gas generator , URL: /wiki/Gas-generator_cycle
","","800,000","826","98.76","",""
"Viking 5C , URL: /wiki/Viking_(rocket_engine)
","Europe , URL: /wiki/Europe
","Snecma , URL: /wiki/Snecma
","Ariane 4 , URL: /wiki/Ariane_4
","1st","N2O4 , URL: /wiki/Dinitrogen_tetroxide
UH 25 , URL: /wiki/UH_25
","Gas generator , URL: /wiki/Gas-generator_cycle
","","758,000 678,000 (SL)","826","93.57","",""
"Viking 6 , URL: /wiki/Viking_(rocket_engine)
","Europe , URL: /wiki/Europe
","Snecma , URL: /wiki/Snecma
","Ariane 4 , URL: /wiki/Ariane_4
","Booster , URL: /wiki/Booster_(rocketry)
","N2O4 , URL: /wiki/Dinitrogen_tetroxide
UH 25 , URL: /wiki/UH_25
","Gas generator , URL: /wiki/Gas-generator_cycle
","","750,000","826","92.59","",""
"Vulcain , URL: /wiki/Vulcain_(rocket_engine)
","Europe , URL: /wiki/Europe
","Snecma , URL: /wiki/Snecma
","Ariane 5 , URL: /wiki/Ariane_5
","1st","LH2 , URL: /wiki/Liquid_hydrogen
LOX , URL: /wiki/LOX
","Gas generator , URL: /wiki/Gas-generator_cycle
","439[100] 326 (SL)[101]","1,113,000[100] 773,200 (SL)[101]","1,300[101]","84.38","109[100]",""
"Waxwing , URL: /wiki/Waxwing_(Rocket_motor)
","United Kingdom , URL: /wiki/United_Kingdom
","Bristol Aerojet , URL: /wiki/Bristol_Aerojet
","Black Arrow , URL: /wiki/Black_Arrow
","Upper","","Solid fuel","278[102] 245 (SL)","29,400 25,900 (SL)","87","34.48","",""
