"MySQL , URL: /wiki/MySQL
","Oracle Corporation , URL: /wiki/Oracle_Corporation
","1995-11","
URL: https://www.wikidata.org/wiki/Q850?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-18; 48 days ago","GPL , URL: /wiki/GNU_General_Public_License
Proprietary , URL: /wiki/Proprietary_software
","Yes[26]"
"NexusDB , URL: /wiki/NexusDB
","NexusDB Pty Ltd","2003","4.00.14","2015-06-25","Proprietary , URL: /wiki/Proprietary_software
","No"
"HPE NonStop SQL , URL: /wiki/NonStop_SQL
","Hewlett-Packard Enterprise , URL: /wiki/Hewlett-Packard_Enterprise
","1987","SQL/MX 3.4","","Proprietary , URL: /wiki/Proprietary_software
","No"
"NuoDB , URL: /wiki/NuoDB
","NuoDB , URL: /wiki/NuoDB
","2013","4.1","August 2020","Proprietary , URL: /wiki/Proprietary_software
","No"
"Omnis Studio , URL: /wiki/Omnis
","TigerLogic Inc","1982-07","6.1.3 Release 1no","2015-12","Proprietary , URL: /wiki/Proprietary_software
","No"
"OpenEdge , URL: /wiki/OpenEdge_Database
","Progress Software Corporation , URL: /wiki/Progress_Software_Corporation
","1984","11.6.3","2016-08-19","Proprietary , URL: /wiki/Proprietary_software
","No"
"OpenLink Virtuoso , URL: /wiki/Virtuoso_Universal_Server
","OpenLink Software","1998","7.2.5.1","2018-08-15","GPL , URL: /wiki/GNU_General_Public_License
Proprietary , URL: /wiki/Proprietary_software
","Yes[27]"
"Oracle DB , URL: /wiki/Oracle_Database
","Oracle Corporation , URL: /wiki/Oracle_Corporation
","1979-11","
URL: https://www.wikidata.org/wiki/Q185524?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2019-02-13; 3 years ago","Proprietary , URL: /wiki/Proprietary_software
","No"
"Oracle Rdb , URL: /wiki/Oracle_Rdb
","Oracle Corporation , URL: /wiki/Oracle_Corporation
","1984","7.4.1.1[29]","2021-04-21[±]","Proprietary , URL: /wiki/Proprietary_software
","No"
"Paradox , URL: /wiki/Paradox_(database)
","Corel Corporation","1985","11","2009-09-07","Proprietary , URL: /wiki/Proprietary_software
","No"
"Percona Server , URL: /wiki/Percona_Server
","Percona , URL: /wiki/Percona
","2006","8.0.25-15","2021-07-13[±]","GPL , URL: /wiki/GNU_General_Public_License
","Yes"
"Pervasive PSQL , URL: /wiki/Pervasive_PSQL
","Pervasive Software , URL: /wiki/Pervasive_Software
","1982","v12","2015","Proprietary , URL: /wiki/Proprietary_software
","No"
"Polyhedra DBMS , URL: /wiki/Polyhedra_DBMS
","ENEA AB , URL: /wiki/ENEA_AB
","1993","9.0","2015-06-24","Proprietary , URL: /wiki/Proprietary_software
Freeware , URL: /wiki/Freeware
","No"
"PostgreSQL , URL: /wiki/PostgreSQL
","PostgreSQL Global Development Group","1989-06","
URL: https://www.wikidata.org/wiki/Q192490?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-10; 25 days ago","Postgres License , URL: /wiki/Postgres_License
","No[33]"
"R:Base , URL: /wiki/R:Base
","R:BASE Technologies","1982","10.0","2016-05-26","Proprietary , URL: /wiki/Proprietary_software
","No"
"Raima Database Manager , URL: /wiki/Raima_Database_Manager
","Raima Inc.","1984","15.2","2022-02-28","Proprietary , URL: /wiki/Proprietary_software
","No"
"RDM Server , URL: /wiki/RDM_Server
","Raima Inc.","1993","8.4","2012-10-31","Proprietary , URL: /wiki/Proprietary_software
","No"
"SAP HANA , URL: /wiki/SAP_HANA
","SAP AG , URL: /wiki/SAP_AG
","2010","2.0 SPS04","2019-08-08","Proprietary , URL: /wiki/Proprietary_software
","No"
"solidDB , URL: /wiki/SolidDB
","UNICOM Global , URL: /wiki/UNICOM_Global
","1992","7.0.0.10","2014-04-29","Proprietary , URL: /wiki/Proprietary_software
","No"
"SQL Anywhere , URL: /wiki/SQL_Anywhere
","SAP AG , URL: /wiki/SAP_AG
","1992","17.0.0.48","2019-07-26","Proprietary , URL: /wiki/Proprietary_software
","No"
"SQLBase , URL: /wiki/SQLBase
","Unify Corp.","1982","11.5","2008-11","Proprietary , URL: /wiki/Proprietary_software
","No"
"SQLite , URL: /wiki/SQLite
","D. Richard Hipp , URL: /wiki/D._Richard_Hipp
","2000-09-12","
URL: https://www.wikidata.org/wiki/Q319417?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-22; 13 days ago","Public domain , URL: /wiki/Public_domain
","Yes[35]"
"SQream DB , URL: /wiki/SQream_DB
","SQream Technologies","2014","2.1[36]","2018-01-15","Proprietary , URL: /wiki/Proprietary_software
","No"
"Superbase , URL: /wiki/Superbase_database
","Superbase , URL: /wiki/Superbase_database
","1984","Classic","2003","Proprietary , URL: /wiki/Proprietary_software
","No"
"Superbase NG , URL: /wiki/Superbase_database
","Superbase NG , URL: /wiki/Superbase_database
","2002","Superbase NG 2.10","2017","Proprietary , URL: /wiki/Proprietary_software
","Yes[37]"
"Teradata , URL: /wiki/Teradata
","Teradata , URL: /wiki/Teradata
","1984","15","2014-04","Proprietary , URL: /wiki/Proprietary_software
","No"
"Tibero , URL: /wiki/Tibero
","TmaxSoft , URL: /wiki/TmaxSoft
","1992","6.0 FS07_CS_2005","2021-03","Proprietary , URL: /wiki/Proprietary_software
","No"
"TiDB , URL: /wiki/TiDB
","Apache , URL: /wiki/Apache_Software_Foundation
","2016","
URL: https://www.wikidata.org/wiki/Q56375088?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-04-23; 10 months ago","Apache License , URL: /wiki/Apache_license
","Yes[39]"
"UniData , URL: /wiki/UniData
","Rocket Software","1988","8.2.1","2017-07","Proprietary , URL: /wiki/Proprietary_software
","No"
"YugabyteDB , URL: /wiki/YugabyteDB
","Apache , URL: /wiki/Apache_Software_Foundation
","2018","2.7.2.0[40]","2021-07-29[±]","Apache License , URL: /wiki/Apache_license
","Yes[41]"
"","Maintainer","First public release date","Latest stable version","Latest release date","License","Public issues list"
