"Name","Developer","Software license , URL: /wiki/Software_license
","Latest stable software release , URL: /wiki/Latest_stable_software_release
","Latest stable software release , URL: /wiki/Latest_stable_software_release
","Operating system","Year (not dynamic, but easier for sorting)"
"KTorrent , URL: /wiki/KTorrent
","Joris Guisson, Ivan Vasić","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","5.2.0 (June 6, 2020; 21 months ago (2020-06-06)[12]) [±]","5.2.0 (June 6, 2020; 21 months ago (2020-06-06)[12]) [±]","Linux","2020"
"Lftp , URL: /wiki/Lftp
","Alexander V. Lukya","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","4.9.2 (August 13, 2020; 19 months ago (2020-08-13)[13]) [±]","4.9.2 (August 13, 2020; 19 months ago (2020-08-13)[13]) [±]","Linux","2018"
"LimeWire , URL: /wiki/LimeWire
","Lime Wire LLC","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","5.5.16 (September 30, 2010; 11 years ago (2010-09-30)) [±]","5.5.16 (September 30, 2010; 11 years ago (2010-09-30)) [±]","Windows, macOS, Linux","2010"
"Miro , URL: /wiki/Miro_(software)
","Participatory Culture Foundation , URL: /wiki/Participatory_Culture_Foundation
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","6.0 (April 16, 2013; 8 years ago (2013-04-16)) [±][14]","6.0 (April 16, 2013; 8 years ago (2013-04-16)) [±][14]","Windows, macOS, Linux","2013"
"MLDonkey , URL: /wiki/MLDonkey
","MLDonkey Project","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","3.1.7 (July 6, 2020; 20 months ago (2020-07-06)[15]) [±]","3.1.7 (July 6, 2020; 20 months ago (2020-07-06)[15]) [±]","Windows, macOS, Linux, MorphOs","2020"
"μTorrent , URL: /wiki/%CE%9CTorrent
","BitTorrent , URL: /wiki/BitTorrent_(company)
","Proprietary , URL: /wiki/Proprietary_software
Adware , URL: /wiki/Adware
","3.5.5 (build 46200) (2 February 2022; 43 days ago (2022-02-02)) [±][16]","3.5.5 (build 46200) (2 February 2022; 43 days ago (2022-02-02)) [±][16]","Windows, macOS, Android","2018"
"Opera 12 , URL: /wiki/Opera_(web_browser)
","Opera Software , URL: /wiki/Opera_Software
","Proprietary , URL: /wiki/Proprietary_software
","Windows (Presto) – 12.17 Linux, FreeBSD, macOS – 12.16","Windows (Presto) – 12.17 Linux, FreeBSD, macOS – 12.16","Windows, macOS, Linux","2016"
"qBittorrent , URL: /wiki/QBittorrent
","Christophe Dumez","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","4.3.9 (October 31, 2021; 4 months ago (2021-10-31)) [±][17] [18][failed verification]","4.3.9 (October 31, 2021; 4 months ago (2021-10-31)) [±][17] [18][failed verification]","Windows, macOS, Linux, BSD","2021"
"rTorrent , URL: /wiki/RTorrent
","Jari Sundell","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","rTorrent 0.9.8 / libTorrent 0.13.8 (July 19, 2019; 2 years ago (2019-07-19)) [±][19]","rTorrent 0.9.8 / libTorrent 0.13.8 (July 19, 2019; 2 years ago (2019-07-19)) [±][19]","Linux","2019"
"Robert , URL: /wiki/Robert_(P2P_software)
","I2P , URL: /wiki/I2P
","GPL , URL: /wiki/GPL
","","","","2009"
"Shareaza , URL: /wiki/Shareaza
","Shareaza Development Team","GPL , URL: /wiki/GPL
","2.7.10.2 (September 18, 2017; 4 years ago (2017-09-18)[20]) [±]","2.7.10.2 (September 18, 2017; 4 years ago (2017-09-18)[20]) [±]","Windows","2017"
"Tixati , URL: /wiki/Tixati
","Kevin Hearn","Proprietary , URL: /wiki/Proprietary_software
","2.88 (January 15, 2022; 2 months ago (2022-01-15)[21]) [±]","2.88 (January 15, 2022; 2 months ago (2022-01-15)[21]) [±]","Windows, Linux","2020"
"Tonido , URL: /wiki/Tonido
","CodeLathe","Proprietary , URL: /wiki/Proprietary_software
","14.90.0.34030 (January 13, 2017; 5 years ago (2017-01-13)) [±]","14.90.0.34030 (January 13, 2017; 5 years ago (2017-01-13)) [±]","Windows, macOS, Linux, BSD","2012"
"Transmission , URL: /wiki/Transmission_(BitTorrent_client)
","various","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
GPL-3.0-only , URL: /wiki/GNU_General_Public_License
MIT , URL: /wiki/MIT_License
","3.00 (May 22, 2020; 21 months ago (2020-05-22)) [±][23]","3.00 (May 22, 2020; 21 months ago (2020-05-22)) [±][23]","Windows, macOS, Linux, BSD","2020"
"Tribler , URL: /wiki/Tribler
","The Tribler Team","GPL-3.0-only , URL: /wiki/GNU_General_Public_License
","7.11.0 (January 1, 2022; 2 months ago (2022-01-01)) [±][24]","7.11.0 (January 1, 2022; 2 months ago (2022-01-01)) [±][24]","Windows, macOS, Linux, Android","2022"
"Vuze , URL: /wiki/Vuze
","Vuze","Proprietary , URL: /wiki/Proprietary_software
GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","5.7.6.0 (November 2, 2017; 4 years ago (2017-11-02)) [±][25]","5.7.6.0 (November 2, 2017; 4 years ago (2017-11-02)) [±][25]","Windows, macOS, Linux, Android","2017"
"Xunlei , URL: /wiki/Xunlei
","Thunder Networking Technologies","Proprietary , URL: /wiki/Proprietary_software
Adware , URL: /wiki/Adware
","Microsoft Windows: 11,3,3,1842 (9 November 2021; 4 months ago (2021-11-09)) [±][26] macOS: 4.1.2.65083 (27 November 2021; 3 months ago (2021-11-27)) [±][27] iOS: 1.3.9 (9 December 2021; 3 months ago (2021-12-09)) [±][28] Android: 7.35.0.7776 (9 December 2021; 3 months ago (2021-12-09)) [±][26]","Microsoft Windows: 11,3,3,1842 (9 November 2021; 4 months ago (2021-11-09)) [±][26] macOS: 4.1.2.65083 (27 November 2021; 3 months ago (2021-11-27)) [±][27] iOS: 1.3.9 (9 December 2021; 3 months ago (2021-12-09)) [±][28] Android: 7.35.0.7776 (9 December 2021; 3 months ago (2021-12-09)) [±][26]","Windows, macOS, Android, iOS","2017"
"Name","Developer","Software license , URL: /wiki/Software_license
","Latest stable software release","Latest stable software release","","Year"
