"Name","Developer(s)","License , URL: /wiki/Software_license
","Platforms"
"Open-Sankoré , URL: /wiki/Open-Sankor%C3%A9
","Sankoré","LGPL-2.0-only , URL: /wiki/GNU_Lesser_General_Public_License
","Linux, macOS, Unix, Microsoft Windows"
"Org-mode , URL: /wiki/Org-mode
Emacs , URL: /wiki/Emacs
","Carsten Dominik, et al.","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","Emacs mode , URL: /wiki/Emacs
"
"Outline , URL: /wiki/Outline_(software)
","Gorillized Corporation","Proprietary , URL: /wiki/Proprietary_software
Commercial , URL: /wiki/Commercial_software
","macOS, iOS"
"PDF Studio , URL: /wiki/PDF_Studio
","Qoppa Software","Proprietary , URL: /wiki/Proprietary_software
Shareware , URL: /wiki/Shareware
","web-based , URL: /wiki/Software_as_a_service
"
"Personal Knowbase , URL: /wiki/Personal_Knowbase
","Bitsmith Software","Proprietary , URL: /wiki/Proprietary_software
Commercial , URL: /wiki/Commercial_software
","Microsoft Windows"
"QOwnNotes , URL: /wiki/QOwnNotes
","Patrizio Bekerle","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","Linux, macOS, Microsoft Windows"
"Qiqqa , URL: /wiki/Qiqqa
","Quantisle Ltd.","Proprietary , URL: /wiki/Proprietary_software
Freemium , URL: /wiki/Freemium
","Microsoft Windows XP/Vista/7/8, Web-based, Android"
"Simplenote , URL: /wiki/Simplenote
","Automattic inc.","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
Proprietary , URL: /wiki/Proprietary_software
","Cross-platform , URL: /wiki/Cross-platform
"
"Standard Notes , URL: /w/index.php?title=Standard_Notes&action=edit&redlink=1
","Standard Notes.","AGPL-3.0-only , URL: /wiki/GNU_Affero_General_Public_License
","Cross-platform , URL: /wiki/Cross-platform
"
"TagSpaces , URL: /wiki/TagSpaces
","TagSpaces UG","AGPL-3.0-only , URL: /wiki/GNU_Affero_General_Public_License
","Cross-platform , URL: /wiki/Cross-platform
web-based , URL: /wiki/Software_as_a_service
"
"TiddlyWiki , URL: /wiki/TiddlyWiki
","Jeremy Ruston","BSD-3-Clause , URL: /wiki/BSD_licenses
","Cross-platform , URL: /wiki/Cross-platform
"
"Tomboy , URL: /wiki/Tomboy_(software)
","Alex Graveley","LGPL-2.1-or-later , URL: /wiki/GNU_Lesser_General_Public_License
","Cross-platform , URL: /wiki/Cross-platform
Mono , URL: /wiki/Mono_(software)
GTK+ , URL: /wiki/GTK%2B
"
"Ulysses , URL: /wiki/Ulysses_(text_editor)
","The Soulmen","SaaS , URL: /wiki/SaaS
","macOS, iOS"
"Whizfolders , URL: /wiki/Whizfolders
","AvniTech Solutions","Proprietary , URL: /wiki/Proprietary_software
Commercial , URL: /wiki/Commercial_software
","Microsoft Windows"
"Microsoft Windows Journal , URL: /wiki/Microsoft_Windows_Journal
","Microsoft , URL: /wiki/Microsoft
","Proprietary , URL: /wiki/Proprietary_software
Commercial , URL: /wiki/Commercial_software
","Microsoft Windows XP Tablet PC edition, Microsoft Windows Vista, Microsoft Windows 7/8/10 (included with OS)"
"Xournal++ , URL: /w/index.php?title=Xournal%2B%2B&action=edit&redlink=1
","Xournalpp Team , URL: /w/index.php?title=Xournalpp_Team&action=edit&redlink=1
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","Linux, macOS, Microsoft Windows, Android (beta)"
"Zim , URL: /wiki/Zim_(software)
","Jaap Karssenberg","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","Cross-platform , URL: /wiki/Cross-platform
Python , URL: /wiki/Python_(programming_language)
GTK+ , URL: /wiki/GTK%2B
"
"ZOHO Notebook , URL: /wiki/Zoho_Office_Suite
","ZOHO Corporation , URL: /wiki/ZOHO_Corporation
","Proprietary , URL: /wiki/Proprietary_software
Commercial , URL: /wiki/Commercial_software
Freemium , URL: /wiki/Freemium
","Self-hosted. SaaS."
