"Model","Micro- architecture , URL: /wiki/Microarchitecture
","Launch","Chips","MHz , URL: /wiki/Hertz
","Shaders","Shaders","Shaders","Memory","Memory","Memory","Memory","Memory","GFLOPS , URL: /wiki/GFLOPS
","GFLOPS , URL: /wiki/GFLOPS
","GFLOPS , URL: /wiki/GFLOPS
","CUDA compute ability[b]","TDP , URL: /wiki/Thermal_design_power
","Notes, form_factor"
"M60 GPU accelerator[334]","Maxwell , URL: /wiki/Maxwell_(microarchitecture)
","August 30, 2015","2× GM204-895-A1","N/A","4096","899","1178","GDDR5","2× 256","2× 8","5000","2× 160","No","7365–9650","230.1–301.6","5.2","225–300","Internal PCIe GPU (full-height, dual-slot)"
"P4 GPU accelerator[335]","Pascal , URL: /wiki/Pascal_(microarchitecture)
","September 13, 2016","1× GP104","N/A","2560","810","1063","GDDR5","256","8","6000","192.0","No","4147–5443","129.6–170.1","6.1","50-75","PCIe , URL: /wiki/PCIe
"
"P6 GPU accelerator[336][337]","Pascal , URL: /wiki/Pascal_(microarchitecture)
","March 24, 2017","1× GP104-995-A1","N/A","2048","1012","1506","GDDR5","256","16","3003","192.2","No","6169","192.8","6.1","90","MXM , URL: /wiki/Mobile_PCI_Express_Module
"
"P40 GPU accelerator[335]","Pascal , URL: /wiki/Pascal_(microarchitecture)
","September 13, 2016","1× GP102","N/A","3840","1303","1531","GDDR5","384","24","7200","345.6","No","10007–11758","312.7–367.4","6.1","250","PCIe , URL: /wiki/PCIe
"
"P100 GPU accelerator (mezzanine)[338][339]","Pascal , URL: /wiki/Pascal_(microarchitecture)
","April 5, 2016","1× GP100-890-A1","N/A","3584","1328","1480","HBM2 , URL: /wiki/High_Bandwidth_Memory
","4096","16","1430","732","No","9519–10609","4760–5304","6.0","300","NVLink , URL: /wiki/NVLink
"
"P100 GPU accelerator (16 GB card)[340]","Pascal , URL: /wiki/Pascal_(microarchitecture)
","June 20, 2016","1× GP100","N/A","3584","1126","1303","HBM2 , URL: /wiki/High_Bandwidth_Memory
","4096","16","1430","732","No","8071‒9340","4036‒4670","6.0","250","PCIe , URL: /wiki/PCIe
"
"P100 GPU accelerator (12 GB card)[340]","Pascal , URL: /wiki/Pascal_(microarchitecture)
","June 20, 2016","1× GP100","N/A","3584","1126","1303","HBM2 , URL: /wiki/High_Bandwidth_Memory
","3072","12","1430","549","No","8071‒9340","4036‒4670","6.0","250","PCIe , URL: /wiki/PCIe
"
"V100 GPU accelerator (mezzanine)[341][342][343]","Volta , URL: /wiki/Volta_(microarchitecture)
","","1× GV100-895-A1","N/A","5120","Unknown","1455","HBM2","4096","16 or 32","1750","900","No","14899","7450","7.0","300","NVlink card"
"V100 GPU accelerator (PCIe card)[341][342][343]","Volta , URL: /wiki/Volta_(microarchitecture)
","June 21, 2017","1× GV100","N/A","5120","Unknown","1370","HBM2","4096","16 or 32","1750","900","No","14028","7014","7.0","250","PCIe card"
"V100 GPU accelerator (PCIe FHHL card)","Volta , URL: /wiki/Volta_(microarchitecture)
","March 27, 2018","1× GV100","N/A","5120","937","1290","HBM2","4096","16","1620","829.44","No","13210","6605","7.0","250","PCIe FHHL card"
"T4 GPU accelerator (PCIe card)[344][345]","Turing , URL: /wiki/Turing_(microarchitecture)
","September 12, 2018","1× TU104-895-A1","N/A","2560","585","1590","GDDR6","256","16","Unknown","320","No","8100","Unknown","7.5","70","PCIe card"
"A2 GPU accelerator (PCIe card)[346]","Ampere , URL: /wiki/Ampere_(microarchitecture)
","November 10th, 2021","1× GA107","N/A","1280","1440","1770","GDDR6","128","24","Unknown","600","No","4531","140","8.6","40-60","PCIe card (half height, single-slot)"
"A10 GPU accelerator (PCIe card)[347]","Ampere , URL: /wiki/Ampere_(microarchitecture)
","April 12th, 2021","1× GA102-890-A1","N/A","9216","885","1695","GDDR6","384","24","Unknown","600","No","31240","976","8.6","150","PCIe card (single-slot)"
"A16 GPU accelerator (PCIe card)[348]","Ampere , URL: /wiki/Ampere_(microarchitecture)
","April 12th, 2021","4× GA107","N/A","4× 1280","885","1695","GDDR6","4× 128","4× 16","Unknown","4× 200","No","4× 4608","1084.8","8.6","250","PCIe card (dual-slot)"
"A30 GPU accelerator (PCIe card)[349]","Ampere , URL: /wiki/Ampere_(microarchitecture)
","April 12th, 2021","1× GA100","N/A","3584","930","1440","HBM2","3072","24","Unknown","933.1","No","10320","5161","8.0","165","PCIe card (dual-slot)"
"A40 GPU accelerator (PCIe card)[350]","Ampere , URL: /wiki/Ampere_(microarchitecture)
","October 5th, 2020","1× GA102","N/A","10752","1305","1740","GDDR6","384","48","Unknown","695.8","No","37420","1168","8.6","300","PCIe card (dual-slot)"
"A100 GPU accelerator (PCIe card)[351][352]","Ampere , URL: /wiki/Ampere_(microarchitecture)
","May 14th, 2020[353]","1× GA100-883AA-A1","N/A","6912","765","1410","HBM2","5120","40 or 80","Unknown","1555","No","19500","9700","8.0","250","PCIe card"
"Model","Micro- architecture , URL: /wiki/Microarchitecture
","Launch","Chips","MHz , URL: /wiki/Hertz
","Shaders","Shaders","Shaders","Memory","Memory","Memory","Memory","Memory","GFLOPS , URL: /wiki/GFLOPS
","GFLOPS , URL: /wiki/GFLOPS
","GFLOPS , URL: /wiki/GFLOPS
","CUDA compute ability","TDP , URL: /wiki/Thermal_design_power
","Notes, form factor"
"Model","Micro- architecture , URL: /wiki/Microarchitecture
","Launch","Chips","MHz , URL: /wiki/Hertz
","Cuda cores (total)","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","Bus type","bit , URL: /wiki/Bit
","GB , URL: /wiki/Gigabyte
","MT/s , URL: /wiki/Transfer_(computing)
","GB , URL: /wiki/Gigabyte
","Single precision , URL: /wiki/Single_precision_floating-point_format
","Single precision , URL: /wiki/Single_precision_floating-point_format
FMA , URL: /wiki/Fused_multiply%E2%80%93add
","Double precision , URL: /wiki/Double_precision_floating-point_format
FMA , URL: /wiki/Fused_multiply%E2%80%93add
","CUDA compute ability","TDP , URL: /wiki/Thermal_design_power
","Notes, form factor"
