"Name","Windows NT , URL: /wiki/Windows_NT
","Windows Mobile , URL: /wiki/Windows_Mobile
Pocket PC , URL: /wiki/Pocket_PC
","FreeBSD , URL: /wiki/FreeBSD
","Linux , URL: /wiki/Linux
","Mac OS X , URL: /wiki/Mac_OS_X
","NetBSD , URL: /wiki/NetBSD
","OpenBSD , URL: /wiki/OpenBSD
","DragonFly BSD , URL: /wiki/DragonFly_BSD
","Android , URL: /wiki/Android_(operating_system)
","iOS , URL: /wiki/IOS
"
"GELI , URL: /wiki/Geli_(software)
","No","No","Yes","No","No","No","No","No","?","?"
"Knox","No","No","No","No","Yes","No","No","No","?","?"
"LibreCrypt","Yes","No","No","Partial[56]","No","No","No","No","Yes[57]","?"
"Loop-AES","No","No","No","Yes","No","No","No","No","?","?"
"McAfee Drive Encryption (SafeBoot)","Yes","Yes[58]","No","No","Yes","No","No","No","?","?"
"n-Crypt Pro","Yes","No","No","No","No","No","No","No","?","?"
"NetLib Encryptionizer (directory encryption) , URL: https://netlibsecurity.com/
","Yes","No","No","No","No","No","No","No","No","No"
"PGPDisk , URL: /wiki/PGPDisk
","Yes","No","No","No","Yes","No","No","No","?","?"
"PGP Whole Disk Encryption , URL: /wiki/PGP_Whole_Disk_Encryption
","Yes","Yes","No","Yes","Yes","No","No","No","?","?"
"Private Disk , URL: /wiki/Private_Disk
","Yes","No","No","No","No","No","No","No","?","?"
"ProxyCrypt","Yes","No","No","No","No","No","No","No","No","?"
"R-Crypto","Yes","No","No","No","No","No","No","No","?","?"
"SafeGuard Easy","Yes","No","No","No","No","No","No","No","?","?"
"SafeGuard Enterprise","Yes","No","No","No","Yes","No","No","No","?","?"
"SafeGuard PrivateDisk","Yes","No","No","No","No","No","No","No","?","?"
"SafeHouse Professional","Yes","No","No","No","No","No","No","No","?","?"
"Scramdisk , URL: /wiki/Scramdisk
","Yes","No","No","Yes","No","No","No","No","?","?"
"Scramdisk , URL: /wiki/Scramdisk
","No","No","No","Yes","No","No","No","No","?","?"
"SecuBox","No","Yes","No","No","No","No","No","No","?","?"
"SecureDoc","Yes","No","No","Yes","Yes","No","No","No","?","?"
"Sentry 2020 , URL: /wiki/Sentry_2020
","Yes","No","No","No","No","No","No","No","?","?"
"Seqrite , URL: /wiki/Seqrite
","Yes","No","No","No","No","No","No","No","No","No"
"Softraid / RAID C","No","No","No","No","No","No","Yes","No","?","?"
"SpyProof!","Yes","No","No","No","No","No","No","No","?","?"
"Svnd / Vnconfig","No","No","No","No","No","No","Yes","No","?","?"
"Symantec , URL: /wiki/NortonLifeLock
","Yes","No","No","No[59]","Yes","No","No","No","?","?"
"Tcplay","No","No","No","Yes","No","No","No","Yes","No","?"
"Trend Micro , URL: /wiki/Trend_Micro
","Yes","No","No","No","Yes","No","No","No","No","?"
"TrueCrypt , URL: /wiki/TrueCrypt
","Yes","No","No[60]","Yes","Yes","No","No","No","Yes[46]","Yes"
"USBCrypt","Yes","No","No","No","No","No","No","No","No","?"
"VeraCrypt , URL: /wiki/VeraCrypt
","Yes","No","Yes","Yes","Yes","No","No","No","Yes[61]","Yes[62]"
"CyberSafe Top Secret","Yes","No","No","No","No","No","No","No","Yes","?"
"Name","Windows NT , URL: /wiki/Windows_NT
","Windows Mobile , URL: /wiki/Windows_Mobile
Pocket PC , URL: /wiki/Pocket_PC
","FreeBSD , URL: /wiki/FreeBSD
","Linux , URL: /wiki/Linux
","Mac OS X , URL: /wiki/Mac_OS_X
","NetBSD , URL: /wiki/NetBSD
","OpenBSD , URL: /wiki/OpenBSD
","DragonFly BSD , URL: /wiki/DragonFly_BSD
","Android , URL: /wiki/Android_(operating_system)
","iOS , URL: /wiki/IOS
"
