"Client","IMSP , URL: /wiki/IMSP
","ACAP , URL: /wiki/Application_Configuration_Access_Protocol
","RSS 0.91 , URL: /wiki/RSS_(file_format)
Feeds , URL: /wiki/Web_feed
","RSS 1.0 , URL: /wiki/RSS_(file_format)
Feeds , URL: /wiki/Web_feed
","RSS 2.0 , URL: /wiki/RSS_(file_format)
Feeds , URL: /wiki/Web_feed
","ATOM , URL: /wiki/Atom_(standard)
Feeds , URL: /wiki/Web_feed
","iCalendar , URL: /wiki/ICalendar
","MAPI/RPC , URL: /wiki/Messaging_Application_Programming_Interface
","CalDAV , URL: /wiki/CalDAV
","CardDAV , URL: /wiki/CardDAV
"
"Microsoft Office Outlook , URL: /wiki/Microsoft_Office_Outlook
","?","?","Yes [Note 15]","Yes [Note 15]","Yes [Note 15]","Yes [Note 15]","Yes [Note 16]","Yes","No","No"
"Mozilla Mail & Newsgroups , URL: /wiki/Mozilla_Mail_%26_Newsgroups
","?","?","?","?","?","?","?","?","?","?"
"Mozilla Thunderbird , URL: /wiki/Mozilla_Thunderbird
","No","No","Yes","Yes","Yes","Yes","Yes [Note 17]","Yes [Note 18]","Yes","Yes"
"Mulberry , URL: /wiki/Mulberry_(email_client)
","Yes","Yes","No","No","No","No","Yes","?","Yes","?"
"Mutt , URL: /wiki/Mutt_(email_client)
","?","?","No","No","No","No","No","?","?","?"
"Netscape Messenger , URL: /wiki/Netscape_Messenger
","?","?","?","?","?","?","?","?","?","?"
"Netscape Messenger 9 , URL: /wiki/Netscape_Messenger_9
","?","?","?","?","?","?","?","?","?","?"
"nmh / MH , URL: /wiki/MH_Message_Handling_System
","?","?","?","?","?","?","?","?","?","?"
"Opera Mail , URL: /wiki/Opera_Mail
","?","?","Yes","Yes","Yes","Yes","No","?","No","No"
"Outlook Express , URL: /wiki/Outlook_Express
","?","?","No","No","No","No","No","?","No","No"
"Pegasus Mail , URL: /wiki/Pegasus_Mail
","?","?","Yes [Note 4]","Yes [Note 4]","Yes [Note 4]","?","?","?","?","?"
"Pine , URL: /wiki/Pine_(email_client)
","No","No","No","No","No","No","No","?","?","?"
"Pocomail , URL: /wiki/Pocomail
","No","No","Yes","Yes","Yes","No","No","?","?","?"
"SeaMonkey , URL: /wiki/SeaMonkey
","No","No","Yes","Yes","Yes","Yes","Yes [Note 17]","?","?","?"
"SquirrelMail , URL: /wiki/SquirrelMail
","?","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"Sylpheed , URL: /wiki/Sylpheed
","No","No","No","No","No","No","No","No","?","?"
"The Bat! , URL: /wiki/The_Bat!
","No","No","Yes [Note 19]","Yes [Note 19]","Yes [Note 19]","Yes [Note 19]","No","Yes","?","Yes"
"Trojitá , URL: /wiki/Trojit%C3%A1
","No","No","No","No","No","No","No","No","?","?"
"Turnpike , URL: /wiki/Turnpike_(software)
","?","?","?","?","?","?","?","?","?","?"
"Windows Live Mail , URL: /wiki/Windows_Live_Mail
","?","?","Yes","Yes","Yes","Yes","No","?","?","?"
"Windows Mail , URL: /wiki/Windows_Mail
","?","?","?","?","?","?","?","?","?","?"
"YAM , URL: /wiki/YAM_(Yet_Another_Mailer)
","No","No","No","No","No","No","No","?","?","?"
"Zimbra , URL: /wiki/Zimbra
","?","?","Yes","Yes","Yes","Yes","Yes","?","?","?"
"Client","IMSP , URL: /wiki/IMSP
","ACAP , URL: /wiki/Application_Configuration_Access_Protocol
","RSS 0.91 , URL: /wiki/RSS_(file_format)
Feeds , URL: /wiki/Web_feed
","RSS 1.0 , URL: /wiki/RSS_(file_format)
Feeds , URL: /wiki/Web_feed
","RSS 2.0 , URL: /wiki/RSS_(file_format)
Feeds , URL: /wiki/Web_feed
","ATOM , URL: /wiki/Atom_(standard)
Feeds , URL: /wiki/Web_feed
","iCalendar , URL: /wiki/ICalendar
","MAPI/RPC , URL: /wiki/MAPI/RPC
","CalDAV , URL: /wiki/CalDAV
","CardDAV , URL: /wiki/CardDAV
"
