"Name","Description","Owner","Registered users , URL: /wiki/Registered_user
","Alexa ranking , URL: /wiki/Alexa_ranking
","Free","All features free","Heterosexual connections","Polygamous connections","Free Messaging","STD-notification , URL: /wiki/Safe_sex#Other_forms_of_safe_sex
"
"Manhunt , URL: /wiki/Manhunt_(social_network)
","Profile-based dating website for men seeking men","","","28,291[44]","Yes","No. Messaging, search, 20 profile views per day, video chat is free. Manhunt VIP includes unlimited profile views, view full-sized profile photos, unlimited buddies, unlimited blocks, saved searches","No","Yes","Yes","Yes"
"Match.com , URL: /wiki/Match.com
","","IAC , URL: /wiki/IAC_(company)
","96,000,000 registered as of 2010[45] 1,377,000 active (2009)[46]","2,113[47]","No","No","Yes","?","No",""
"Meetic , URL: /wiki/Meetic
","European online dating service","IAC , URL: /wiki/IAC_(company)
","42,000,000 registered as of 2011[48]","67,919[49]","No","No","Yes","","",""
"Moonit , URL: /wiki/Moonit
","Offers compatibility match according to user' birthdate.","","2,000,000 registered as of 2014[50]","747,471[51]","Yes","No","Yes","?","Partial",""
"OkCupid , URL: /wiki/OkCupid
","Uses answers from user-generated questions to find matches that conform to a user's stated preferences.","IAC , URL: /wiki/IAC_(company)
","30,000,000+ active as of 2013","1,519[52]","Yes","No; Free to join, search, messaging, and chat. Non essential features like sponsored profile promotion available for paid ""A-List"" members.[53][54]","Yes","Yes","After match",""
"Parship , URL: /wiki/Parship
","personality test , URL: /wiki/Personality_test
","ProSiebenSat.1 Media","","224,512[55]","Yes","No; free profile but subscription required for most features including messaging.","Yes","","No",""
"Perfectmatch.com , URL: /wiki/Perfectmatch.com
","This dating website is using heuristic algorithms to find matches.","","","2,300,989[56]","No","No","Yes","","No",""
"POF , URL: /wiki/POF_(dating_website)
","United States , URL: /wiki/United_States
Canada , URL: /wiki/Canada
United Kingdom , URL: /wiki/United_Kingdom
Brazil , URL: /wiki/Brazil
","IAC , URL: /wiki/IAC_(company)
","100,000,000 registered as of 2015[57]","3,354[58]","Yes","No; Features such as seeing the date and time a user viewed your profile and allowing you to see whether a user read and/or deleted your message.[59]","Yes","","Yes",""
"Right Stuff , URL: /wiki/The_Right_Stuff_(dating_web_site)
","Dating site for graduates and faculty of Ivy League, Seven Sisters, and about 50 similar colleges and universities and medical schools","","4900","4,522,502[60]","No","No, $50 Fee for 6 month membership, plus $3 for profile of members of interest","?","?","Yes",""
"Scruff , URL: /wiki/Scruff_(app)
","Dating app for gay and bisexual men","","10 million registered users (2016)[61]","339,730[62]","Yes","No","No","Yes","Yes","Yes"
"SpeedDate.com , URL: /wiki/SpeedDate.com
","Former online speed dating site, where users meet via text, audio, and video chat - Domain now owned by Match.com - No longer a Speed Dating site","","9,000,000 registered as of 2010[45]","299,586[63]","Yes","No, Premium users can continue communicating after unlimited free speed dates","Yes","","",""
"Squirt.org , URL: /wiki/Squirt.org
","Cruising and hookup site for men seeking men","","","11,898[64]","Yes","No","No","Yes","Yes","Yes"
"Taimi , URL: /wiki/Taimi_(app)
","Geosocial networking , URL: /wiki/Geosocial_networking
LGBTQI+ , URL: /wiki/LGBT
","","2,000,000+ as of 2019[65]","342,235[66]","Yes","No","Yes","Yes","Yes",""
"Tastebuds.fm , URL: /wiki/Tastebuds.fm
","Utilizes tastes in music","","","115,370[67]","No","No; Subscription required to send or receive messages.","Yes","","No",""
"Tawkify , URL: /wiki/Tawkify
","matchmakers , URL: /wiki/Matchmaking
","","","169,895[69]","No","No based on user creating activities.","Yes","","No",""
"Tinder , URL: /wiki/Tinder_(app)
","Mobile single dating site","IAC , URL: /wiki/IAC_(company)
","50,000,000 registered as of 2015[70]","14,870[71]","Yes","No – premium users get unlimited swipes, can undo a no-swipe, can browse in other locations, in addition to some other preferences and features","Yes","?","After match",""
"Zoosk , URL: /wiki/Zoosk
","Has an integration with Facebook community.[72]","Spark Networks","50,000,000 as of 2011[73]","5,153[74]","Yes","No; Searching and viewing partial profiles is included with free account like most dating sites, fee or monthly subscription for full communication with other members.[75]","Yes","","No",""
