"","","Lower house","Lower house","Lower house","Lower house","Upper house","Upper house","Upper house","Upper house","Upper house","Ratio","Total"
"Georgia , URL: /wiki/Government_of_Georgia_(U.S._state)
","Georgia General Assembly , URL: /wiki/Georgia_General_Assembly
","Georgia House of Representatives , URL: /wiki/Georgia_House_of_Representatives
","180","2","None","Georgia Senate , URL: /wiki/Georgia_Senate
","56","2","None","No","3.214286","236"
"Hawaii , URL: /wiki/Hawaii#Law_and_government
","Hawaii State Legislature , URL: /wiki/Hawaii_State_Legislature
","Hawaii House of Representatives , URL: /wiki/Hawaii_House_of_Representatives
","51","2","None","Hawaii Senate , URL: /wiki/Hawaii_Senate
","25","4","None","Yes","2.04","76"
"Idaho , URL: /wiki/Government_of_Idaho
","Idaho Legislature , URL: /wiki/Idaho_Legislature
","Idaho House of Representatives , URL: /wiki/Idaho_House_of_Representatives
","70","2","None","Idaho Senate , URL: /wiki/Idaho_Senate
","35","2","None","Yes","2","105"
"Illinois , URL: /wiki/Government_of_Illinois
","Illinois General Assembly , URL: /wiki/Illinois_General_Assembly
","Illinois House of Representatives , URL: /wiki/Illinois_House_of_Representatives
","118","2","None","Illinois Senate , URL: /wiki/Illinois_Senate
","59","2 or 4","None","No","2","177"
"Indiana , URL: /wiki/Government_of_Indiana
","Indiana General Assembly , URL: /wiki/Indiana_General_Assembly
","Indiana House of Representatives , URL: /wiki/Indiana_House_of_Representatives
","100","2","None","Indiana Senate , URL: /wiki/Indiana_Senate
","50","4","None","No","2","150"
"Iowa , URL: /wiki/Government_of_Iowa
","Iowa General Assembly , URL: /wiki/Iowa_General_Assembly
","Iowa House of Representatives , URL: /wiki/Iowa_House_of_Representatives
","100","2","None","Iowa Senate , URL: /wiki/Iowa_Senate
","50","4","None","No","2","150"
"Kansas , URL: /wiki/Government_of_Kansas
","Kansas Legislature , URL: /wiki/Kansas_Legislature
","Kansas House of Representatives , URL: /wiki/Kansas_House_of_Representatives
","125","2","None","Kansas Senate , URL: /wiki/Kansas_Senate
","40","4","None","No","3.125","165"
"Kentucky , URL: /wiki/Government_of_Kentucky
","Kentucky General Assembly , URL: /wiki/Kentucky_General_Assembly
","Kentucky House of Representatives , URL: /wiki/Kentucky_House_of_Representatives
","100","2","None","Kentucky Senate , URL: /wiki/Kentucky_Senate
","38","4","None","No","2.631579","138"
"Louisiana , URL: /wiki/Government_of_Louisiana
","Louisiana State Legislature , URL: /wiki/Louisiana_State_Legislature
","Louisiana House of Representatives , URL: /wiki/Louisiana_House_of_Representatives
","105","4","Three terms","Louisiana State Senate , URL: /wiki/Louisiana_State_Senate
","39","4","Three terms","No","2.692308","144"
"Maine , URL: /wiki/Government_of_Maine
","Maine Legislature , URL: /wiki/Maine_Legislature
","Maine House of Representatives , URL: /wiki/Maine_House_of_Representatives
","153","2","Four terms","Maine Senate , URL: /wiki/Maine_Senate
","35","2","Four terms","Yes","4.371429","188"
"Maryland , URL: /wiki/Government_of_Maryland
","Maryland General Assembly , URL: /wiki/Maryland_General_Assembly
","Maryland House of Delegates , URL: /wiki/Maryland_House_of_Delegates
","141","4","None","Maryland State Senate , URL: /wiki/Maryland_State_Senate
","47","4","None","No","3","188"
"Massachusetts , URL: /wiki/Government_of_Massachusetts
","General Court of Massachusetts , URL: /wiki/General_Court_of_Massachusetts
","Massachusetts House of Representatives , URL: /wiki/Massachusetts_House_of_Representatives
","160","2","None","Massachusetts Senate , URL: /wiki/Massachusetts_Senate
","40","2","None","No","4","200"
"Michigan , URL: /wiki/Government_of_Michigan
","Michigan Legislature , URL: /wiki/Michigan_Legislature
","Michigan House of Representatives , URL: /wiki/Michigan_House_of_Representatives
","110","2","Three terms","Michigan Senate , URL: /wiki/Michigan_Senate
","38","4","Two terms","No","2.894737","148"
"Minnesota , URL: /wiki/Government_of_Minnesota
","Minnesota Legislature , URL: /wiki/Minnesota_Legislature
","Minnesota House of Representatives , URL: /wiki/Minnesota_House_of_Representatives
","134","2","None","Minnesota Senate , URL: /wiki/Minnesota_Senate
","67","2 or 4","None","No","2","201"
"Mississippi , URL: /wiki/Government_of_Mississippi
","Mississippi Legislature , URL: /wiki/Mississippi_Legislature
","Mississippi House of Representatives , URL: /wiki/Mississippi_House_of_Representatives
","122","4","None","Mississippi State Senate , URL: /wiki/Mississippi_State_Senate
","52","4","None","Yes","2.346154","174"
"Missouri , URL: /wiki/Government_of_Missouri
","Missouri General Assembly , URL: /wiki/Missouri_General_Assembly
","Missouri House of Representatives , URL: /wiki/Missouri_House_of_Representatives
","163","2","Four terms[6]","Missouri Senate , URL: /wiki/Missouri_Senate
","34","4","Eight years[6] (Two terms)","No","4.794118","197"
"Montana , URL: /wiki/Government_of_Montana
","Montana State Legislature , URL: /wiki/Montana_State_Legislature
","Montana House of Representatives , URL: /wiki/Montana_House_of_Representatives
","100","2","Four terms","Montana Senate , URL: /wiki/Montana_Senate
","50","4","Two terms","No","2","150"
"Nebraska , URL: /wiki/Government_of_Nebraska
","Nebraska Legislature , URL: /wiki/Nebraska_Legislature
","N/A","N/A","N/A","N/A","Nebraska Legislature","49","4","Two terms","Yes","N/A","49"
"Nevada , URL: /wiki/Government_of_Nevada
","Nevada Legislature , URL: /wiki/Nevada_Legislature
","Nevada Assembly , URL: /wiki/Nevada_Assembly
","42","2","Six terms","Nevada Senate , URL: /wiki/Nevada_Senate
","21","4","Three terms","No","2","63"
"New Hampshire , URL: /wiki/Government_of_New_Hampshire
","New Hampshire General Court , URL: /wiki/New_Hampshire_General_Court
","New Hampshire House of Representatives , URL: /wiki/New_Hampshire_House_of_Representatives
","400","2","None","New Hampshire Senate , URL: /wiki/New_Hampshire_Senate
","24","2","None","No","16.66667","424"
"New Jersey , URL: /wiki/Government_of_New_Jersey
","New Jersey Legislature , URL: /wiki/New_Jersey_Legislature
","New Jersey General Assembly , URL: /wiki/New_Jersey_General_Assembly
","80","2","None","New Jersey Senate , URL: /wiki/New_Jersey_Senate
","40","2 or 4","None","No","2","120"
"New Mexico , URL: /wiki/Government_of_New_Mexico
","New Mexico Legislature , URL: /wiki/New_Mexico_Legislature
","New Mexico House of Representatives , URL: /wiki/New_Mexico_House_of_Representatives
","70","2","None","New Mexico Senate , URL: /wiki/New_Mexico_Senate
","42","4","None","No","1.666667","112"
"New York , URL: /wiki/Government_of_New_York_(state)
","New York State Legislature , URL: /wiki/New_York_State_Legislature
","New York State Assembly , URL: /wiki/New_York_State_Assembly
","150","2","None","New York State Senate , URL: /wiki/New_York_State_Senate
","63","2","None","No","2.380952","213"
"North Carolina , URL: /wiki/Government_of_North_Carolina
","North Carolina General Assembly , URL: /wiki/North_Carolina_General_Assembly
","North Carolina House of Representatives , URL: /wiki/North_Carolina_House_of_Representatives
","120","2","None","North Carolina Senate , URL: /wiki/North_Carolina_Senate
","50","2","None","No","2.4","170"
"North Dakota , URL: /wiki/Government_of_North_Dakota
","North Dakota Legislative Assembly , URL: /wiki/North_Dakota_Legislative_Assembly
","North Dakota House of Representatives , URL: /wiki/North_Dakota_House_of_Representatives
","94","4","None","North Dakota Senate , URL: /wiki/North_Dakota_Senate
","47","4","None","No","2","141"
"Ohio , URL: /wiki/Government_of_Ohio
","Ohio General Assembly , URL: /wiki/Ohio_General_Assembly
","Ohio House of Representatives , URL: /wiki/Ohio_House_of_Representatives
","99","2","Four terms","Ohio Senate , URL: /wiki/Ohio_Senate
","33","4","Two terms","No","3","132"
"Oklahoma , URL: /wiki/Government_of_Oklahoma
","Oklahoma Legislature , URL: /wiki/Oklahoma_Legislature
","Oklahoma House of Representatives , URL: /wiki/Oklahoma_House_of_Representatives
","101","2","12 years in either house, combined","Oklahoma Senate , URL: /wiki/Oklahoma_Senate
","48","4","12 years in either house, combined","No","2.104167","149"
"Oregon , URL: /wiki/Government_of_Oregon
","Oregon Legislative Assembly , URL: /wiki/Oregon_Legislative_Assembly
","Oregon House of Representatives , URL: /wiki/Oregon_House_of_Representatives
","60","2","None[note 1]","Oregon State Senate , URL: /wiki/Oregon_State_Senate
","30","4","None[note 2]","No","2","90"
"Pennsylvania , URL: /wiki/Government_of_Pennsylvania
","Pennsylvania General Assembly , URL: /wiki/Pennsylvania_General_Assembly
","Pennsylvania House of Representatives , URL: /wiki/Pennsylvania_House_of_Representatives
","203","2","None","Pennsylvania State Senate , URL: /wiki/Pennsylvania_State_Senate
","50","4","None","No","4.06","253"
"Rhode Island , URL: /wiki/Government_of_Rhode_Island
","Rhode Island General Assembly , URL: /wiki/Rhode_Island_General_Assembly
","Rhode Island House of Representatives , URL: /wiki/Rhode_Island_House_of_Representatives
","75","2","None","Rhode Island Senate , URL: /wiki/Rhode_Island_Senate
","38","2","None","No","1.973684","113"
"South Carolina , URL: /wiki/Government_of_South_Carolina
","South Carolina General Assembly , URL: /wiki/South_Carolina_General_Assembly
","South Carolina House of Representatives , URL: /wiki/South_Carolina_House_of_Representatives
","124","2","None","South Carolina Senate , URL: /wiki/South_Carolina_Senate
","46","4","None","Yes","2.695652","170"
"South Dakota , URL: /wiki/Government_of_South_Dakota
","South Dakota State Legislature , URL: /wiki/South_Dakota_State_Legislature
","South Dakota House of Representatives , URL: /wiki/South_Dakota_House_of_Representatives
","70","2","Four terms","South Dakota Senate , URL: /wiki/South_Dakota_Senate
","35","4","Two terms","No","2","105"
"Tennessee , URL: /wiki/Government_of_Tennessee
","Tennessee General Assembly , URL: /wiki/Tennessee_General_Assembly
","Tennessee House of Representatives , URL: /wiki/Tennessee_House_of_Representatives
","99","2","None","Tennessee Senate , URL: /wiki/Tennessee_Senate
","33","4","None","No","3","132"
"Texas , URL: /wiki/Government_of_Texas
","Texas Legislature , URL: /wiki/Texas_Legislature
","Texas House of Representatives , URL: /wiki/Texas_House_of_Representatives
","150","2","None","Texas Senate , URL: /wiki/Texas_Senate
","31","2 or 4","None","Yes","4.83871","181"
"Utah , URL: /wiki/Government_of_Utah
","Utah State Legislature , URL: /wiki/Utah_State_Legislature
","Utah House of Representatives , URL: /wiki/Utah_House_of_Representatives
","75","2","None","Utah State Senate , URL: /wiki/Utah_State_Senate
","29","4","None","Yes","2.586207","104"
"Vermont , URL: /wiki/Government_of_Vermont
","Vermont General Assembly , URL: /wiki/Vermont_General_Assembly
","Vermont House of Representatives , URL: /wiki/Vermont_House_of_Representatives
","150","2","None","Vermont Senate , URL: /wiki/Vermont_Senate
","30","2","None","Yes","5","180"
"Virginia , URL: /wiki/Government_of_Virginia
","Virginia General Assembly , URL: /wiki/Virginia_General_Assembly
","Virginia House of Delegates , URL: /wiki/Virginia_House_of_Delegates
","100","2","None","Senate of Virginia , URL: /wiki/Senate_of_Virginia
","40","4","None","No","2.5","140"
"Washington , URL: /wiki/Government_of_Washington_(state)
","Washington State Legislature , URL: /wiki/Washington_State_Legislature
","Washington House of Representatives , URL: /wiki/Washington_House_of_Representatives
","98","2","None","Washington State Senate , URL: /wiki/Washington_State_Senate
","49","4","None","No","2","147"
"West Virginia , URL: /wiki/Government_of_West_Virginia
","West Virginia Legislature , URL: /wiki/West_Virginia_Legislature
","West Virginia House of Delegates , URL: /wiki/West_Virginia_House_of_Delegates
","100","2","None","West Virginia Senate , URL: /wiki/West_Virginia_Senate
","34","4","None","No","2.941176","134"
"Wisconsin , URL: /wiki/Government_of_Wisconsin
","Wisconsin Legislature , URL: /wiki/Wisconsin_Legislature
","Wisconsin State Assembly , URL: /wiki/Wisconsin_State_Assembly
","99","2","None","Wisconsin Senate , URL: /wiki/Wisconsin_Senate
","33","4","None","No","3","132"
"Wyoming , URL: /wiki/Government_of_Wyoming
","Wyoming Legislature , URL: /wiki/Wyoming_Legislature
","Wyoming House of Representatives , URL: /wiki/Wyoming_House_of_Representatives
","60","2","None","Wyoming Senate , URL: /wiki/Wyoming_Senate
","30","4","None","No","2","90"
