"Model","Launch","Code name , URL: /wiki/Code_name
","Fab , URL: /wiki/Semiconductor_device_fabrication
nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm²)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","Core config1","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Memory","Memory","Memory","Memory"
"GeForce FX 5800 Ultra","January 27, 2003","NV30","TSMC 130 nm","125[21]","199","AGP 8x","500","500","4:2:8:4","2000","2000","4000","200","128","16","GDDR2","128"
"GeForce FX 5900 ZT","December 15, 2003","NV35","TSMC 130 nm","135[22]","207","AGP 8x","325","350","4:3:8:4","1300","1300","2600","343.75","128","22.4","DDR","256"
"GeForce FX 5900 XT","December 15, 2003[23]","NV35","TSMC 130 nm","135[22]","207","AGP 8x","390","350","4:3:8:4","1600","1600","3200","300","128","22.4","DDR","256"
"GeForce FX 5900","May 2003","NV35","TSMC 130 nm","135[22]","207","AGP 8x","","","4:3:8:4","1600","1600","3200","300","128","","DDR","256"
"GeForce FX 5900 Ultra","May 12, 2003","NV35","TSMC 130 nm","135[22]","207","AGP 8x","450","1800","4:3:8:4","1800","3600","337.5","128 256","","","DDR","256"
"GeForce PCX 5900","March 17, 2004","NV35","TSMC 130 nm","135[22]","207","","450","1800","4:3:8:4","1800","3600","337.5","128 256","","","DDR","256"
"GeForce FX 5950 Ultra","October 23, 2003","NV38","TSMC 130 nm","135[24]","207","AGP 8x","475","475","4:3:8:4","1900","1900","3800","356.25","256","30.4","DDR","256"
"GeForce PCX 5950","February 17, 2004","NV38","TSMC 130 nm","135[24]","207","","475","475","4:3:8:4","1900","1900","3800","356.25","256","30.4","","256"
"Model","Launch","Code name , URL: /wiki/Code_name
","nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm²)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","Core config1","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Memory","Memory","Memory","Memory"
"Model","Launch","Code name , URL: /wiki/Code_name
","nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm²)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","Core config1","MOperations/s","MPixels/s","MTexels/s","MVertices/s","MB , URL: /wiki/Megabyte
","GB , URL: /wiki/Gigabyte
","Bus type","bit , URL: /wiki/Bit
"
