"Name","Name","Release date","Version","RTM build","Latest build","Status support","Codename, working name","Supported architectures","Editions","OS type"
"Windows Home Server , URL: /wiki/Windows_Home_Server
","Windows Home Server , URL: /wiki/Windows_Home_Server
","2007-11-04","5.2","3790","N/A","Unsupported (2013-01-08)","Q, Quattro","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
","Home Server","Server"
"Windows Server 2008 , URL: /wiki/Windows_Server_2008
","Windows Server 2008 , URL: /wiki/Windows_Server_2008
","2008-02-04","6.0","6001","6002 (SP2) (2009-04-28)","Unsupported (2020-01-14)","Longhorn Server","IA-32 , URL: /wiki/IA-32
IA-64 , URL: /wiki/IA-64
x86-64 , URL: /wiki/X86-64
","Web Core, Standard Core wHV CwHV, Enterprise Core wHV CwHV, Small Business Server, Datacenter Core wHV CwHV, HPC, HyperV Core, Foundation, Storage","Server"
"Windows 7 , URL: /wiki/Windows_7
","Windows 7 , URL: /wiki/Windows_7
","2009-07-22","6.1","7600","7601 (SP1) (2011-02-22)","Unsupported (2020-01-14)","7","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
","Starter K, Home Basic K, Home Premium K, Professional K, Ultimate K, Enterprise K","Multi-touch , URL: /wiki/Multi-touch
"
"Windows Server 2008 R2 , URL: /wiki/Windows_Server_2008_R2
","Windows Server 2008 R2 , URL: /wiki/Windows_Server_2008_R2
","2009-07-22","6.1","7600","7601 (SP1) (2011-02-22)","Unsupported (2020-01-14)","7 Server","IA-64 , URL: /wiki/IA-64
x86-64 , URL: /wiki/X86-64
","Standard Core, Enterprise Core, Datacenter Core, Web Core","Server"
"Windows Home Server 2011 , URL: /wiki/Windows_Home_Server_2011
","Windows Home Server 2011 , URL: /wiki/Windows_Home_Server_2011
","2011-04-06","6.1","8400","N/A","Unsupported (2016-04-12)","Vail","x86-64 , URL: /wiki/X86-64
","Home Server","Server"
"Windows Server 2012 , URL: /wiki/Windows_Server_2012
","Windows Server 2012 , URL: /wiki/Windows_Server_2012
","2012-08-01","6.2","9200","N/A","Supported (2023-10-10)","8 Server","x86-64 , URL: /wiki/X86-64
","Foundation, Essentials, Standard, Datacenter","Server"
"Windows 8 , URL: /wiki/Windows_8
","Windows 8 , URL: /wiki/Windows_8
","2012-08-01","6.2","9200","N/A","Unsupported (2016-01-12)","8","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
ARMv7 , URL: /wiki/ARMv7
","Windows 8, Pro, Enterprise K, Windows RT","Desktop, Workstation, Multi-touch"
"Windows 8.1 , URL: /wiki/Windows_8.1
","Windows 8.1 , URL: /wiki/Windows_8.1
","2013-08-27","6.3","9600","N/A","Supported (2023-01-10)","Blue","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
ARMv7 , URL: /wiki/ARMv7
","Windows 8, Pro, Enterprise K, Windows RT 8.1","Desktop, Workstation, Multi-touch"
"Windows Server 2012 R2 , URL: /wiki/Windows_Server_2012_R2
","Windows Server 2012 R2 , URL: /wiki/Windows_Server_2012_R2
","2013-10-18","6.3","9600","N/A","Supported (2023-10-10)","Blue Server","x86-64 , URL: /wiki/X86-64
","Foundation, Essentials, Standard, Datacenter","Server"
"Windows 10 , URL: /wiki/Windows_10
","Original Release , URL: /wiki/Windows_10_version_history_(version_1507)
","2015-07-29","10.0","10240","N/A","Unsupported (2017-05-09)","Threshold","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
","Home, IoT Core, Pro, IoT Core Pro, Education, Enterprise, IoT Enterprise","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","Original Release , URL: /wiki/Windows_10_version_history_(version_1507)
","2015-07-29","10.0","10240","N/A","Supported (2025-10-14)","Threshold","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
","","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","November Update , URL: /wiki/Windows_10_version_1511
","2015-11-12","10.0","10586","N/A","Unsupported (2017-10-10)","Threshold 2","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
","Home, IoT Core, Pro, IoT Core Pro","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","November Update , URL: /wiki/Windows_10_version_1511
","2015-11-12","10.0","10586","N/A","Unsupported (2018-04-10)","Threshold 2","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
","","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","Anniversary Update , URL: /wiki/Windows_10_version_1607
","2016-08-01","10.0","14393","N/A","Unsupported (2018-04-10)","Redstone","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
","Home, IoT Core, Pro, IoT Core Pro, Pro Education","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","Anniversary Update , URL: /wiki/Windows_10_version_1607
","2016-08-01","10.0","14393","N/A","Unsupported (2019-04-09)","Redstone","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
","","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","Anniversary Update , URL: /wiki/Windows_10_version_1607
","2016-08-01","10.0","14393","N/A","Supported (2026-10-13)","Redstone","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
","","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","Creators Update , URL: /wiki/Windows_10_version_1703
","2017-04-11","10.0","15063","N/A","Unsupported (2018-10-09)","Redstone 2","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
","Home, IoT Core, Pro, IoT Core Pro, Pro Education","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","Creators Update , URL: /wiki/Windows_10_version_1703
","2017-04-11","10.0","15063","N/A","Unsupported (2019-10-08)","Redstone 2","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
","","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","Fall Creators Update , URL: /wiki/Windows_10_version_1709
","2017-10-17","10.0","16299","N/A","Unsupported (2019-04-09)","Redstone 3","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","Home, IoT Core, Pro, IoT Core Pro, Pro for Workstations, Pro Education","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","Fall Creators Update , URL: /wiki/Windows_10_version_1709
","2017-10-17","10.0","16299","N/A","Unsupported (2020-10-13)","Redstone 3","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","April 2018 Update , URL: /wiki/Windows_10_version_1803
","2018-04-30","10.0","17134","N/A","Unsupported (2019-11-12)","Redstone 4","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","Home, IoT Core, Pro, IoT Core Pro, Pro for Workstations, Pro Education","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","April 2018 Update , URL: /wiki/Windows_10_version_1803
","2018-04-30","10.0","17134","N/A","Unsupported (2021-05-11)","Redstone 4","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","October 2018 Update , URL: /wiki/Windows_10_version_1809
","2018-10-02","10.0","17763","N/A","Unsupported (2020-11-10)","Redstone 5","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","Home, IoT Core, Pro, IoT Core Pro, Pro for Workstations, Pro Education","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","October 2018 Update , URL: /wiki/Windows_10_version_1809
","2018-10-02","10.0","17763","N/A","Unsupported (2021-05-11)","Redstone 5","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","October 2018 Update , URL: /wiki/Windows_10_version_1809
","2018-10-02","10.0","17763","N/A","Supported (2029-01-09)","Redstone 5","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","May 2019 Update , URL: /wiki/Windows_10_version_1903
","2019-05-21","10.0","18362","N/A","Unsupported (2021-12-08)","19H1","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","Home, Pro, Pro for Workstations, Pro Education, Education, Enterprise, IoT Enterprise","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","November 2019 Update , URL: /wiki/Windows_10_version_1909
","2019-11-12","10.0","18363","N/A","Unsupported (2021-05-11)","19H2","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","Home, Pro, Pro for Workstations, Pro Education","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","November 2019 Update , URL: /wiki/Windows_10_version_1909
","2019-11-12","10.0","18363","N/A","Supported (2022-05-10)","19H2","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","May 2020 Update , URL: /wiki/Windows_10_version_2004
","2020-05-27","10.0","19041","N/A","Unsupported (2021-12-14)","20H1","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","Home, Pro, Pro for Workstations, Pro Education, Education, Enterprise, IoT Enterprise","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","October 2020 Update , URL: /wiki/Windows_10_version_20H2
","2020-10-20","10.0","19042","N/A","Supported (2022-05-10)","20H2","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","Home, Pro, Pro for Workstations, Pro Education","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","October 2020 Update , URL: /wiki/Windows_10_version_20H2
","2020-10-20","10.0","19042","N/A","Supported (2023-05-09)","20H2","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","May 2021 Update , URL: /wiki/Windows_10_version_21H1
","2021-05-18","10.0","19043","N/A","Supported (2022-12-13)","21H1","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","Home, Pro, Pro for Workstations, Pro Education, Education, Enterprise, IoT Enterprise","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","November 2021 Update , URL: /wiki/Windows_10_version_21H2
","2021-10-16","10.0","19044","N/A","Supported (2023-06-13)","21H2","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","Home, Pro, Pro for Workstations, Pro Education","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","November 2021 Update , URL: /wiki/Windows_10_version_21H2
","2021-10-16","10.0","19044","N/A","Supported (2024-06-11)","21H2","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","November 2021 Update , URL: /wiki/Windows_10_version_21H2
","2021-10-16","10.0","19044","N/A","Supported (2027-01-12)","21H2","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","","IoT , URL: /wiki/Internet_of_things
"
"Windows 10 , URL: /wiki/Windows_10
","November 2021 Update , URL: /wiki/Windows_10_version_21H2
","2021-10-16","10.0","19044","N/A","Supported (2032-01-13)","21H2","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
x86 , URL: /wiki/X86
ARMv7 , URL: /wiki/ARMv7
ARM64 , URL: /wiki/ARM64
","","IoT , URL: /wiki/Internet_of_things
"
"Windows Server 2016 , URL: /wiki/Windows_Server_2016
","Windows Server 2016 , URL: /wiki/Windows_Server_2016
","2016-09-26","10.0","14393","N/A","Supported (2027-01-12)","Redstone Server","x86-64 , URL: /wiki/X86-64
","Essentials, Standard, Datacenter","Server"
"Windows Server 2019 , URL: /wiki/Windows_Server_2019
","Windows Server 2019 , URL: /wiki/Windows_Server_2019
","2018-10-02","10.0","17763","N/A","Supported (2029-01-09)","Redstone 5 Server","x86-64 , URL: /wiki/X86-64
","Essentials, Standard, Datacenter","Server"
"Windows Server 2022 , URL: /wiki/Windows_Server_2022
","Windows Server 2022 , URL: /wiki/Windows_Server_2022
","2021-08-18","10.0","20348","N/A","Supported (2031-10-14)","21H2 Server","x86-64 , URL: /wiki/X86-64
","Essentials, Standard, Datacenter","Server"
"Windows 11 , URL: /wiki/Windows_11
","Windows 11 , URL: /wiki/Windows_11
","2021-10-05","10.0","22000","N/A","Supported (2023-10-04)","Sunvalley (21H2)","x86-64 , URL: /wiki/X86-64
ARM64 , URL: /wiki/ARM64
","Home, Pro, Enterprise, Education, Pro for Workstations, Pro Education","Desktop, Workstation, Multi-Touch"
"Name","Name","Release date","Version","RTM build","Latest build","Status support","Codename, working name","Supported architectures","Editions","OS type"
