"","Selection editing , URL: /wiki/Image_editing#Selection
","Layers , URL: /wiki/Layers_(digital_image_editing)
","Alpha Channel , URL: /wiki/Alpha_Channel
","Histogram , URL: /wiki/Color_histogram
","Scripting , URL: /wiki/Scripting_language
","HDR , URL: /wiki/High_dynamic_range_imaging
","Retouching , URL: /wiki/Image_editing#Removal_of_unwanted_elements
","Resizing , URL: /wiki/Image_scaling
","Noise removal , URL: /wiki/Image_editing#Noise_reduction
","Lens correction , URL: /wiki/Image_editing#Lens_correction
","Sized Printing , URL: /wiki/Image_editing#Printing
","Sharpening , URL: /wiki/Unsharp_masking
","Color correction , URL: /wiki/Color_temperature
","Image library , URL: /wiki/Photograph_album
","Plug-in support , URL: /wiki/Plug-in_(computing)
","Non-destructive editing , URL: /wiki/Non-destructive_editing
"
"Black Ink","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes","No","Yes","No","No","Yes"
"Brush Strokes Image Editor , URL: /wiki/Brush_Strokes_Image_Editor
","Yes","No","?","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Capture One , URL: /wiki/Capture_One
","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Chasys Draw IES , URL: /wiki/Chasys_Draw_IES
","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"CinePaint , URL: /wiki/CinePaint
","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","?"
"CodedColor PhotoStudio Pro , URL: /wiki/CodedColor_PhotoStudio_Pro
","Yes","Yes","?","Yes","No","?","?","?","?","?","?","?","?","?","?","?"
"Corel PaintShop Pro , URL: /wiki/Corel_PaintShop_Pro
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Corel Painter , URL: /wiki/Corel_Painter
","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","?","?","Yes","Yes","?","Yes","?"
"Corel Photo-Paint , URL: /wiki/Corel_Photo-Paint
","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"darktable , URL: /wiki/Darktable
","No","No","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes"
"Deluxe Paint , URL: /wiki/Deluxe_Paint
","No","Partial[23]","?","Partial","Yes","No","Yes","Yes","No","No","?","No","No","?","No","?"
"DigiKam , URL: /wiki/DigiKam
","No","No","?","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Erdas Imagine , URL: /wiki/Erdas_Imagine
","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","?"
"Fatpaint , URL: /wiki/Fatpaint
","Yes","Yes","?","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","?"
"Fotografix , URL: /wiki/Fotografix
","Yes","Yes","?","No","Partial","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","?"
"GIMP , URL: /wiki/GIMP
","Yes","Yes","Yes","Yes","Yes","2.10+","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"GIMPshop , URL: /wiki/GIMPshop
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?"
"GraphicConverter , URL: /wiki/GraphicConverter
","Yes","Partial","?","Yes","Yes","No","Yes","Yes","Yes","Via plug-in","Yes","Yes","Yes","Yes","Yes","?"
"HDR PhotoStudio , URL: /wiki/HDR_PhotoStudio
","No","No","?","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","?"
"Helicon Filter , URL: /wiki/Helicon_Filter
","Partial","No[24]","?","Yes","No[25]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?"
"iPhoto , URL: /wiki/IPhoto
","No","No","?","Yes","Partial[26]","No","Yes","Partial","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes"
"IrfanView , URL: /wiki/IrfanView
","Yes","No","?","Yes","No","No","Via plug-in[27]","Yes","No","No","?","Yes","Yes","?","Yes","?"
"Iridient Developer , URL: /wiki/Iridient_Developer
","?","Yes","?","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kolourpaint , URL: /wiki/Kolourpaint
","Yes","No","?","No","No","No","?","?","?","?","?","?","?","?","?","?"
"Krita , URL: /wiki/Krita
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes"
"LiveQuartz , URL: /wiki/LiveQuartz
","Yes","Yes","?","No","No","No","Yes","Yes","Yes","No","?","Yes","Yes","No","No","Partial"
"MacPaint , URL: /wiki/MacPaint
","Yes","No","?","No","No","No","?","?","?","?","?","?","?","?","?","?"
"Microsoft Office Picture Manager , URL: /wiki/Microsoft_Office_Picture_Manager
","Partial","No","?","No","No","No","No","Yes","No","No","Yes","No","?","No","No","?"
"Microsoft Paint , URL: /wiki/Microsoft_Paint
","No","No","?","No","No","No","Partial","Yes","No","No","No","No","No","No","No","No"
"Microsoft Photo Editor , URL: /wiki/Microsoft_Photo_Editor
","Yes","No","?","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","?"
"mtPaint , URL: /wiki/MtPaint
","Yes","Yes","Yes","No","Yes","No","?","Yes","No","No","No","Yes","Yes","No","No","Yes"
"OpenCanvas , URL: /wiki/OpenCanvas
","Yes","Yes","?","Yes","No","?","Yes","Yes","No","No","Yes","Yes","Yes","No","?","?"
"Paint.NET , URL: /wiki/Paint.NET
","Yes","Yes","?","Yes","Partial","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No"
"Paint Tool SAI , URL: /wiki/Paint_Tool_SAI
","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"PC Paintbrush , URL: /wiki/PC_Paintbrush
","Yes","No","?","No","No","No","?","?","?","?","?","?","?","?","?","?"
"Photogenics , URL: /wiki/Photogenics
","Yes","Yes","?","Yes","?","Yes","?","?","?","?","?","?","?","?","?","?"
"PhotoLine , URL: /wiki/PhotoLine
","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PhotoPerfect , URL: /wiki/PhotoPerfect
","Yes","No","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"Photos , URL: /wiki/Photos_(Apple)
","No","No","?","Yes","Partial[28]","No","Yes","Partial","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes"
"Photo Raster , URL: /wiki/Photo_Raster
","Yes","Yes","?","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","?"
"Picasa , URL: /wiki/Picasa
","No","No","?","Yes","No","Partial[29]","Partial","Partial","No","No","Yes","Yes","Yes","Yes","No","Yes"
"PicMaster , URL: /wiki/PicMaster
","Yes","No","?","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","?"
"PixBuilder Photo Editor","Yes","Yes","?","Yes","No","No","?","?","?","?","?","?","?","?","?","?"
"Pixelmator , URL: /wiki/Pixelmator
","Yes","Yes","?","Yes","Yes [30] [31]","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"Pixia , URL: /wiki/Pixia
","Yes","Yes","?","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","?","?","Yes","?"
"Project Dogwaffle , URL: /wiki/Project_Dogwaffle
","?","Commercial version","?","Yes","Partial","No","Yes","Yes","?","?","?","Yes","Yes","?","Yes","?"
"QFX , URL: /wiki/QFX
","Yes","Yes","?","Yes","Yes","?","?","?","?","?","?","?","?","?","Yes","?"
"RawTherapee , URL: /wiki/RawTherapee
","No","No","?","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Serif PhotoPlus , URL: /wiki/Serif_PhotoPlus
","Yes","Yes","?","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","?"
"Side Effects Houdini , URL: /wiki/Houdini_(software)
","Yes","Yes","?","Yes","Yes","No","Yes","Yes","Yes","No","?","Yes","Yes","No","Yes","?"
"Turbo Play","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes"
"Tux Paint , URL: /wiki/Tux_Paint
","No","No","?","No","No","No","No","No","No","No","No","Yes","No","No","Yes","?"
"TVPaint , URL: /wiki/TVPaint_Animation
","Yes","Yes","?","Yes","Yes","No","Yes","Yes","?","?","?","?","Yes","?","Yes","?"
"Ulead PhotoImpact , URL: /wiki/Ulead_PhotoImpact
","Yes","Yes","?","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Ultimate Paint*","Yes","No","?","Yes","No","No","?","?","?","?","?","?","?","?","?","?"
"WinImages , URL: /wiki/WinImages
","Yes","Yes","?","?","Yes","?","?","?","?","?","?","?","?","?","?","?"
"Xara Photo & Graphic Designer , URL: /wiki/Xara_Photo_%26_Graphic_Designer
","Yes","Yes","?","Yes","No","No","Yes","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes"
"XnView , URL: /wiki/XnView
","No","Partial","?","Partial","Yes","No","No","Yes","Yes","?","?","Yes","Yes","Yes","Yes","No"
"XPaint","Yes","Partial","?","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Partial","Yes","No"
"Zoner Photo Studio , URL: /wiki/Zoner_Photo_Studio
","Yes","Partial[32]","?","Yes","No[33]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
