"2002[30] cervical cap and spermicide (discontinued in 2008) used by parous[31][note 3][note 5]","Lea's Shield , URL: /wiki/Lea%27s_Shield
","15 (1 of 6)","no data","Barrier + spermicide","Vaginal insertion","Every act of intercourse"
"1988 cervical cap and spermicide (discontinued in 2005) used by nulliparous[note 4]","Prentif , URL: /wiki/Prentif
","16","9","Barrier + spermicide","Vaginal insertion","Every act of intercourse"
"latex , URL: /wiki/Latex
condom , URL: /wiki/Condom
","Condom","13","2","Barrier","Placed on erect penis","Every act of intercourse"
"Female condom , URL: /wiki/Female_condom
","","21 (1 of 4.7)","5","Barrier","Vaginal insertion","Every act of intercourse"
"Coitus interruptus , URL: /wiki/Coitus_interruptus
","withdrawal method, pulling out","20 (1 of 5)[39]","4","Behavioral","Withdrawal","Every act of intercourse"
"fertility awareness , URL: /wiki/Fertility_awareness
","Billings ovulation method , URL: /wiki/Billings_ovulation_method
Creighton Model , URL: /wiki/Creighton_Model
","24 (1 of 4)","0.40–4","Behavioral","basal body temperature , URL: /wiki/Basal_body_temperature
cervical mucus , URL: /wiki/Cervical_mucus
",""
"Calendar-based methods , URL: /wiki/Calendar-based_methods
","the rhythm method, Knaus-Ogino method, Standard Days method","no data","5","Behavioral","Calendar-based","Daily"
"contraceptive sponge , URL: /wiki/Contraceptive_sponge
","Today sponge, the sponge","27 (1 of 3.7)","20","Barrier & spermicide","Vaginal insertion","Every act of intercourse"
"Spermicidal , URL: /wiki/Spermicide
","","21 (1 of 5)","16","Spermicide","Vaginal insertion","Every act of intercourse"
"1988 cervical cap and spermicide (discontinued in 2005) used by parous[note 5]","Prentif , URL: /wiki/Prentif
","32","26","Barrier + spermicide","Vaginal insertion","Every act of intercourse"
"Abstinence pledge , URL: /wiki/Virginity_pledge
","","50–57.5 (estimated) (1 of 2)","no data","Behavioral","Commitment","Once"
"None (unprotected intercourse)[23]","","85 (6 of 7)","85","Behavioral","Discontinuing birth control","N/A"
"Birth control method","Brand/common name","Typical-use failure rate (%)","Perfect-use failure rate (%)","Type","Implementation","User action required"
