"Model","Codename","Released","CPU support","Fab , URL: /wiki/Fabrication_process
nm , URL: /wiki/Nanometer
","HT , URL: /wiki/HyperTransport
","IGP , URL: /wiki/Graphics_processing_unit#Integrated_graphics_solutions
","CrossFire , URL: /wiki/ATI_CrossFire
","Southbridge","Features / Notes"
"740 , URL: /wiki/AMD_700_chipset_series#740
","RX740","2008","Athlon 64, Phenom, Sempron","55","1000 (HT 2.0)","No","No","SB600, SB700, SB750","Single PCIe 1.1 x16"
"740G , URL: /wiki/AMD_700_chipset_series#740G
","RS740","2008","Athlon 64, Phenom, Sempron","55","1000 (HT 2.0)","","No","SB600, SB700, SB750",""
"760G , URL: /wiki/AMD_700_chipset_series#760G
","RS780L","2009","Athlon 64, Phenom, Sempron","55","2600 (HT 3.0)","Radeon 3000","Hybrid","SB710","DirectX 10 , URL: /wiki/Direct3D#Direct3D_10
HDMI , URL: /wiki/HDMI
HDCP , URL: /wiki/HDCP
"
"770 , URL: /wiki/AMD_700_chipset_series#770
","RX780","2008","Athlon 64, Phenom, Sempron","65","2600 (HT 3.0)","No","No","SB600, SB700, SB710, SB750","Single PCIe 2.0 x16"
"780V , URL: /wiki/AMD_700_chipset_series#780G/780V
","RS780C","2008","Athlon 64, Phenom, Sempron","55","2600 (HT 3.0)","Radeon 3100","No","SB700, SB710, SB750","DirectX 10 , URL: /wiki/Direct3D#Direct3D_10
HDMI , URL: /wiki/HDMI
HDCP , URL: /wiki/HDCP
DisplayPort , URL: /wiki/DisplayPort
"
"780G , URL: /wiki/AMD_700_chipset_series#780G/780V
","RS780I","2008","Athlon 64, Phenom, Sempron","55","2600 (HT 3.0)","Radeon HD 3200","Hybrid","SB700, SB710, SB750","DirectX 10 , URL: /wiki/Direct3D#Direct3D_10
HDMI , URL: /wiki/HDMI
HDCP , URL: /wiki/HDCP
DisplayPort , URL: /wiki/DisplayPort
"
"M780V , URL: /wiki/AMD_700_chipset_series#780G
","RS780MC","2008","Mobile Turion, Mobile Athlon, Athlon Neo","55","2600 (HT 3.0)","Radeon 3100","PowerXpress , URL: /wiki/AMD_700_chipset_series#PowerXpress
AXIOM , URL: /w/index.php?title=Advanced_eXpress_I/O_Module&action=edit&redlink=1
MXM module(s) , URL: /wiki/Mobile_PCI_Express_Module
","SB600, SB700, SB710","DirectX 10 , URL: /wiki/Direct3D#Direct3D_10
HDMI , URL: /wiki/HDMI
HDCP , URL: /wiki/HDCP
DisplayPort , URL: /wiki/DisplayPort
DVI , URL: /wiki/Digital_Visual_Interface
VGA , URL: /wiki/Video_Graphics_Array
"
"M780G , URL: /wiki/AMD_700_chipset_series#780G
","RS780M","2008","Mobile Turion, Mobile Athlon, Athlon Neo","55","2600 (HT 3.0)","","PowerXpress , URL: /wiki/AMD_700_chipset_series#PowerXpress
AXIOM , URL: /w/index.php?title=Advanced_eXpress_I/O_Module&action=edit&redlink=1
MXM module(s) , URL: /wiki/Mobile_PCI_Express_Module
","SB600, SB700, SB710","DirectX 10 , URL: /wiki/Direct3D#Direct3D_10
HDMI , URL: /wiki/HDMI
HDCP , URL: /wiki/HDCP
DisplayPort , URL: /wiki/DisplayPort
DVI , URL: /wiki/Digital_Visual_Interface
VGA , URL: /wiki/Video_Graphics_Array
"
"785G , URL: /wiki/AMD_700_chipset_series#785G
","RS880","2009","Athlon 64, Phenom, Sempron","55","2600 (HT 3.0)","Radeon HD 4200","Hybrid, x16 + x4","SB710, SB750, SB810, SB850","DirectX 10.1 , URL: /wiki/Direct3D#Direct3D_10
HDMI , URL: /wiki/HDMI
HDCP , URL: /wiki/HDCP
DisplayPort , URL: /wiki/DisplayPort
"
"785E","RS785E","?","?","55","2200 (HT 3.0)","Radeon HD 4200","Hybrid","SB810, SB850, SB820M",""
"790GX , URL: /wiki/AMD_700_chipset_series
","RS780D","2008","Athlon 64, Phenom, Sempron","55","2600 (HT 3.0)","Radeon HD 3300","Hybrid, x8 + x8[4]","SB750","DirectX 10 , URL: /wiki/Direct3D#Direct3D_10
HDMI , URL: /wiki/HDMI
HDCP , URL: /wiki/HDCP
DisplayPort , URL: /wiki/DisplayPort
"
"790X , URL: /wiki/AMD_700_chipset_series
","RD780","2008","Athlon 64, Phenom, Sempron","65","2600 (HT 3.0)","No","x8 + x8","SB600, SB700, SB750, SB850","Two PCIe 2.0 x16"
"790FX , URL: /wiki/AMD_700_chipset_series
","RD790","Nov 2007","Athlon 64, Phenom, Sempron","65","2600 (HT 3.0)","No","CrossFire X (dual x16 or quad x8)","SB600, SB750, SB850","AMD Quad FX platform , URL: /wiki/AMD_Quad_FX_platform
NUMA , URL: /wiki/Non-Uniform_Memory_Access
V , URL: /wiki/Volt
FC-BGA , URL: /wiki/Ball_Grid_Array
"
"Model","Codename","Released","CPU support","Fab , URL: /wiki/Fabrication_process
nm , URL: /wiki/Nanometer
","HT , URL: /wiki/HyperTransport
","IGP , URL: /wiki/Graphics_processing_unit#Integrated_graphics_solutions
","CrossFire , URL: /wiki/ATI_CrossFire
","Southbridge","Features / Notes"
