"Software","Collaborative software , URL: /wiki/Collaborative_software
","Issue tracking system , URL: /wiki/Issue_tracking_system
","Scheduling , URL: /wiki/Scheduling_(production_processes)
","Project portfolio management , URL: /wiki/Project_portfolio_management
","Resource management , URL: /wiki/Resource_management
","Document management , URL: /wiki/Document_management_system
","Workflow system , URL: /wiki/Workflow_management_system
","Reporting , URL: /wiki/Report
"
"HeySpace , URL: /wiki/HeySpace
","Yes","Yes","Yes","Yes","No","No","No","No"
"HP Project & Portfolio Software , URL: /wiki/HP_Software_%26_Solutions
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Huddle , URL: /wiki/Huddle_(software)
","Yes","No","No","No","No","Yes","No","No"
"Hyperoffice , URL: /wiki/Hyperoffice
","Yes","No","No","No","No","Yes","No","No"
"iManageProject , URL: /wiki/Imanageproject
","Yes","No","No","No","Yes","Yes","No","No"
"InLoox , URL: /wiki/InLoox
","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"in-Step BLUE , URL: /wiki/In-Step_BLUE
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"IRise , URL: /wiki/IRise
","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Jira , URL: /wiki/Jira_(software)
","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Launchpad , URL: /wiki/Launchpad_(website)
","Yes","Yes","No","Yes","No","No","No","No"
"LibrePlan , URL: /wiki/LibrePlan
","Yes","No","Yes","No","Yes","No","No","Yes"
"LiquidPlanner , URL: /wiki/LiquidPlanner
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"LisaProject , URL: /wiki/LisaProject
","No","No","Yes","No","Yes","No","No","No"
"MacProject , URL: /wiki/MacProject
","No","No","Yes","No","Yes","No","No","No"
"MantisBT , URL: /wiki/Mantis_Bug_Tracker
","No","Yes","No","No","No","No","No","No"
"Métier , URL: /wiki/M%C3%A9tier
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Microsoft Dynamics AX , URL: /wiki/Microsoft_Dynamics_AX
","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"Microsoft Office Project Server , URL: /wiki/Microsoft_Office_Project_Server
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Microsoft Project , URL: /wiki/Microsoft_Project
","No","No","Yes","No","Yes","No","No","Yes"
"Microsoft SharePoint Server , URL: /wiki/Microsoft_SharePoint_Server
","Yes","Yes","Yes","No","No","Yes","Yes","No"
"Microsoft Team Foundation Server , URL: /wiki/Team_Foundation_Server
","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"Milestones Professional , URL: /wiki/Milestones_Professional
","No","Yes","Yes","No","No","Yes","No","No"
"MyWorkPLAN , URL: /wiki/WorkPLAN
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NetPoint , URL: /wiki/NetPoint
","No","No","Yes","No","Yes","No","No","No"
"NetSuite , URL: /wiki/NetSuite
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"O3Spaces , URL: /wiki/O3Spaces
","Yes","No","No","No","No","Yes","No","No"
"OnePager Pro , URL: /wiki/Onepager_pro
","Yes","No","Yes","Yes","Yes","Yes","No","Yes"
"OmniPlan , URL: /wiki/OmniPlan
","Yes","No","Yes","No","Yes","No","No","Yes"
"Open Workbench , URL: /wiki/Open_Workbench
","No","No","Yes","No","Yes","No","No","No"
"OpenProj , URL: /wiki/OpenProj
","No","No","Yes","No","Yes","No","No","No"
"OpenProject , URL: /wiki/OpenProject
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes (via OpenProject plug-ins)[22]"
"Oracle Primavera EPPM , URL: /wiki/Primavera_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"phpGroupWare , URL: /wiki/PhpGroupWare
","Yes","Yes","No","Unknown","Yes","Yes","No","No"
"PHProjekt , URL: /wiki/PHProjekt
","Yes","Yes","Yes","No","No","No","No","No"
"Pivotal Tracker , URL: /wiki/Pivotal_Tracker
","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"Plandora , URL: /wiki/Plandora
","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Planisware , URL: /wiki/Planisware
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PLANTA Project , URL: /wiki/PLANTA_Project
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Project KickStart , URL: /wiki/Project_KickStart
","No","No","Yes","No","Yes","Yes[23]","Yes[24]","Yes[25]"
"Project Team Builder , URL: /wiki/Project_Team_Builder
","Yes","No","Yes[26]","Yes[26]","Yes[26]","No","Yes","Yes[26]"
"ProjectLibre , URL: /wiki/ProjectLibre
","No (Enterprise ProjectLibre and PPMLibre under development)[8][27]","No","Yes","No (Enterprise ProjectLibre and PPMLibre under development)[8][27]","Yes","No[28]","No","Yes"
"ProjectLink , URL: /wiki/Windchill_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ProjectManager.com , URL: /wiki/ProjectManager.com
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Project.net , URL: /wiki/Project.net
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Projector PSA , URL: /wiki/Projector_PSA
","No","No","Yes","No","Yes","Yes","Yes","Yes"
"Projectplace , URL: /wiki/Projectplace_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Projektron BCS , URL: /wiki/Projektron_BCS
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ProjeQtOr , URL: /wiki/ProjeQtOr
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Proliance , URL: /wiki/Meridian_Systems
","Yes","Yes","Yes","Yes","Yes","Yes","Yes[29]","Yes [30]"
"Prolog , URL: /wiki/Meridian_Systems
","Yes","Yes","No","Yes","No","Yes","Yes","Yes"
"Pyrus , URL: /wiki/Pyrus_(software)
","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"RationalPlan , URL: /wiki/RationalPlan
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Realisor , URL: /wiki/Realisor
","Yes","No","Yes","Yes","Yes","No","No","Yes"
"Redbooth , URL: /wiki/Redbooth
","Yes[1]","Unknown","Unknown","Yes[31]","Yes[1]","Yes[1]","Unknown","Unknown"
"Redmine , URL: /wiki/Redmine
","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"Rillsoft Project , URL: /wiki/Rillsoft_Project
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"SAP Business ByDesign , URL: /wiki/SAP_Business_ByDesign
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Sciforma , URL: /wiki/Sciforma
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Scoro , URL: /wiki/Scoro
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Severa , URL: /wiki/Severa
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Smartsheet , URL: /wiki/Smartsheet
","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"Spider Project , URL: /wiki/Spider_Project
","No","No","Yes","Yes","Yes","No","No","Yes"
"Streamtime Software , URL: /wiki/Streamtime_Software
","Yes","No","Yes","Yes","Yes","No","Yes","Yes"
"TACTIC , URL: /wiki/TACTIC_(web_framework)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Talygen , URL: /wiki/Talygen_Business_Intelligence
","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"TaskJuggler , URL: /wiki/TaskJuggler
","Yes","No","Yes","No","Yes","No","No","No"
"Teamcenter , URL: /wiki/Teamcenter
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TeamDynamixHE , URL: /wiki/TeamDynamixHE
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TeamLab , URL: /wiki/TeamLab
","Yes","No","Yes","Yes","No","Yes","No","Yes"
"Trac , URL: /wiki/Trac
","Yes","Yes","No","No","No","No","Yes","No"
"TrackerSuite.Net , URL: /wiki/Tracker_(Business_Software)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Traction TeamPage , URL: /wiki/Traction_TeamPage
","Yes","Yes","Yes","Yes","No","Yes","No","Yes"
"Trello , URL: /wiki/Trello
","Yes","Yes","Yes","Unknown","Unknown","No","No","Unknown"
"Triskell , URL: /wiki/Triskell
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Tuleap , URL: /wiki/Tuleap
","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"Twproject , URL: /wiki/Twproject
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"UniPhi , URL: /wiki/UniPhi
","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"VPMi , URL: /wiki/VPMi
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"web2project , URL: /wiki/Web2project
","Yes","Yes","No","Yes","Yes","Yes","No","Yes"
"Workamajig , URL: /wiki/Workamajig
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Workfront , URL: /wiki/Workfront
","Yes","Yes[17]","Yes[17]","Yes[17]","Yes","Yes","Yes","Yes"
"WorkPLAN Enterprise , URL: /wiki/WorkPLAN
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Workspace.com , URL: /wiki/Workspace.com
","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown"
"Wrike , URL: /wiki/Wrike_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Zoho Projects , URL: /wiki/Zoho_Office_Suite
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
