"OS","Version","Claimed IPv6-ready","Installed by default","DHCPv6 , URL: /wiki/DHCPv6
","ND , URL: /wiki/Neighbor_Discovery_Protocol
","Notes"
"Ubuntu , URL: /wiki/Ubuntu_(operating_system)
","All supported versions","Yes","Yes","Yes","Yes","RDNSS support available so long as NetworkManager uses IPv6 ""Automatic"" setting, otherwise ""rdnssd"" package required."
"webOS , URL: /wiki/WebOS
","2.1.0","No","No","No","No","[26]"
"Windows NT , URL: /wiki/Windows_NT
Windows 10 Mobile , URL: /wiki/Windows_10_Mobile
","XP , URL: /wiki/Windows_XP
","Yes","No","Addon[9]","No","Windows XP users can use Dibbler, an open source DHCPv6 implementation. --update: Windows XP fully supports IPv6- but NOT IPv6 DNS queries (nslookup)[27]"
"Windows NT , URL: /wiki/Windows_NT
Windows 10 Mobile , URL: /wiki/Windows_10_Mobile
","Vista , URL: /wiki/Windows_Vista
7 , URL: /wiki/Windows_7
8 , URL: /wiki/Windows_8
8.1 , URL: /wiki/Windows_8.1
10 RTM-Anniversary Update , URL: /wiki/Windows_10
","Yes[28]","Yes","Yes[9]","No","dnssd-win32 provides an open source implementation of ND RDNSS[29]"
"Windows NT , URL: /wiki/Windows_NT
Windows 10 Mobile , URL: /wiki/Windows_10_Mobile
","10 Creators Update , URL: /wiki/Windows_10
","Yes[28]","Yes","Yes[9]","Yes","Windows 10 Creators Update introduces support for RFC 8106 (6106) RDNSS."
"Windows NT , URL: /wiki/Windows_NT
Windows 10 Mobile , URL: /wiki/Windows_10_Mobile
","11","","Yes","","","Not yet enough information of any changes."
"Windows Mobile , URL: /wiki/Windows_Mobile
","6.5","Yes","Yes","Lite[30]","No","If the OEM explicitly unsets the SYSGEN_TCPIP6 pre-processor symbol, the built image will not have any IPv6 capabilities."
"Windows Phone , URL: /wiki/Windows_Phone
","7.5","No","No","No","No",""
"Windows Phone , URL: /wiki/Windows_Phone
","8(.1)[31]","Yes","Yes","Yes","No","Private lab research. No privacy extensions (RFC4941)."
"z/OS , URL: /wiki/Z/OS
","V1R4.0","Yes","Yes","No[32]","",""
"z/VM , URL: /wiki/Z/VM
","V5R1.0","Yes","Yes","No","No","[33]"
"z/VSE , URL: /wiki/VSE_(operating_system)
","V4R2","Addon[34]","No","","","Via a third party TCP/IP stack, IP6/VSE from Barnard Software, Inc."
