"State","Highest court","High court seats","High court term","High court judicial placement method","Mandatory retirement age[note 9]"
"Idaho , URL: /wiki/Courts_of_Idaho
","Idaho Supreme Court , URL: /wiki/Idaho_Supreme_Court
","5","6 years","Non-partisan election",""
"Illinois , URL: /wiki/Judiciary_of_Illinois
","Supreme Court of Illinois , URL: /wiki/Supreme_Court_of_Illinois
","7","10 years","Partisan election",""
"Indiana , URL: /wiki/Courts_of_Indiana
","Indiana Supreme Court , URL: /wiki/Indiana_Supreme_Court
","5","10 years[note 10]","Missouri Plan , URL: /wiki/Missouri_Plan
","75[note 11]"
"Iowa , URL: /wiki/Judiciary_of_Iowa
","Iowa Supreme Court , URL: /wiki/Iowa_Supreme_Court
","7","8 years","Missouri Plan , URL: /wiki/Missouri_Plan
","72"
"Kansas , URL: /wiki/Courts_of_Kansas
","Kansas Supreme Court , URL: /wiki/Kansas_Supreme_Court
","7","6 years","Missouri Plan , URL: /wiki/Missouri_Plan
","70 (or end of current term)"
"Kentucky , URL: /wiki/Courts_of_Kentucky
","Kentucky Supreme Court , URL: /wiki/Kentucky_Supreme_Court
","7","8 years","Non-partisan election",""
"Louisiana , URL: /wiki/Judiciary_of_Louisiana
","Supreme Court of Louisiana , URL: /wiki/Supreme_Court_of_Louisiana
","7","10 years","Partisan election",""
"Maine , URL: /wiki/Courts_of_Maine
","Maine Supreme Judicial Court , URL: /wiki/Maine_Supreme_Judicial_Court
","7","7 years","Appointment by the Governor",""
"Maryland , URL: /wiki/Courts_of_Maryland
","Maryland Court of Appeals , URL: /wiki/Maryland_Court_of_Appeals
","7","10 years","Appointment by the Governor","70"
"Massachusetts , URL: /wiki/Courts_of_Massachusetts
","Massachusetts Supreme Judicial Court , URL: /wiki/Massachusetts_Supreme_Judicial_Court
","7","Lifetime","Appointment by the Governor","70"
"Michigan , URL: /wiki/Judiciary_of_Michigan
","Michigan Supreme Court , URL: /wiki/Michigan_Supreme_Court
","7","8 years","Non-partisan election[note 12]","Must be under 70 at time of election"
"Minnesota , URL: /wiki/Courts_of_Minnesota
","Minnesota Supreme Court , URL: /wiki/Minnesota_Supreme_Court
","7","6 years","Non-partisan election","70"
"Mississippi , URL: /wiki/Courts_of_Mississippi
","Supreme Court of Mississippi , URL: /wiki/Supreme_Court_of_Mississippi
","9","8 years","Non-partisan election",""
"Missouri , URL: /wiki/Courts_of_Missouri
","Supreme Court of Missouri , URL: /wiki/Supreme_Court_of_Missouri
","7","12 years","Missouri Plan , URL: /wiki/Missouri_Plan
",""
"Montana , URL: /wiki/Courts_of_Montana
","Montana Supreme Court , URL: /wiki/Montana_Supreme_Court
","7","8 years","Non-partisan election",""
"Nebraska , URL: /wiki/Courts_of_Nebraska
","Nebraska Supreme Court , URL: /wiki/Nebraska_Supreme_Court
","7","6 years","Missouri Plan , URL: /wiki/Missouri_Plan
",""
"Nevada , URL: /wiki/Courts_of_Nevada
","Supreme Court of Nevada , URL: /wiki/Supreme_Court_of_Nevada
","7","6 years","Non-partisan election",""
"New Hampshire , URL: /wiki/Courts_of_New_Hampshire
","New Hampshire Supreme Court , URL: /wiki/New_Hampshire_Supreme_Court
","5","Lifetime","Appointment by Governor","70"
"New Jersey , URL: /wiki/Judiciary_of_New_Jersey
","New Jersey Supreme Court , URL: /wiki/New_Jersey_Supreme_Court
","7","7 years[10]","Appointment by Governor","70"
"New Mexico , URL: /wiki/Courts_of_New_Mexico
","New Mexico Supreme Court , URL: /wiki/New_Mexico_Supreme_Court
","5","8 years","Partisan election/Retention election",""
"New York , URL: /wiki/Judiciary_of_New_York
","New York Court of Appeals , URL: /wiki/New_York_Court_of_Appeals
","7","14 years","Appointed by the Governor","70 (at end of calendar year)"
"North Carolina , URL: /wiki/Courts_of_North_Carolina
","North Carolina Supreme Court , URL: /wiki/North_Carolina_Supreme_Court
","7","8 years","Non-partisan election",""
"North Dakota , URL: /wiki/Courts_of_North_Dakota
","North Dakota Supreme Court , URL: /wiki/North_Dakota_Supreme_Court
","5","10 years","Non-partisan election",""
"Ohio , URL: /wiki/Courts_of_Ohio
","Ohio Supreme Court , URL: /wiki/Ohio_Supreme_Court
","7","6 years","Non-partisan election","70 (at end of term)"
"Oklahoma , URL: /wiki/Judiciary_of_Oklahoma
","Oklahoma Supreme Court , URL: /wiki/Oklahoma_Supreme_Court
Oklahoma Court of Criminal Appeals , URL: /wiki/Oklahoma_Court_of_Criminal_Appeals
","Supreme Court: 9 Court of Criminal Appeals: 5","6 years (both)","Missouri Plan , URL: /wiki/Missouri_Plan
",""
"Oregon , URL: /wiki/Courts_of_Oregon
","Oregon Supreme Court , URL: /wiki/Oregon_Supreme_Court
","7","6 years","Non-partisan election","75"
"Pennsylvania , URL: /wiki/Judiciary_of_Pennsylvania
","Supreme Court of Pennsylvania , URL: /wiki/Supreme_Court_of_Pennsylvania
","7","10 years","Partisan election","78"
"Rhode Island , URL: /wiki/Courts_of_Rhode_Island
","Rhode Island Supreme Court , URL: /wiki/Rhode_Island_Supreme_Court
","5","Lifetime[11]","Missouri Plan , URL: /wiki/Missouri_Plan
","None[11]"
"South Carolina , URL: /wiki/Courts_of_South_Carolina
","South Carolina Supreme Court , URL: /wiki/South_Carolina_Supreme_Court
","5","10 years","Election by State Legislature","72"
"South Dakota , URL: /wiki/Courts_of_South_Dakota
","South Dakota Supreme Court , URL: /wiki/South_Dakota_Supreme_Court
","5","8 years","Non-partisan election",""
"Tennessee , URL: /wiki/Courts_of_Tennessee
","Tennessee Supreme Court , URL: /wiki/Tennessee_Supreme_Court
","5","8 years","Tennessee Plan , URL: /wiki/Tennessee_Plan
",""
"Texas , URL: /wiki/Judiciary_of_Texas
","Texas Supreme Court , URL: /wiki/Texas_Supreme_Court
Texas Court of Criminal Appeals , URL: /wiki/Texas_Court_of_Criminal_Appeals
","9 (both)","6 years (both)","Partisan election","75 (may finish term or 4 years of term, whichever is shorter)"
"Utah , URL: /wiki/Courts_of_Utah
","Utah Supreme Court , URL: /wiki/Utah_Supreme_Court
","5","4 years","Missouri Plan , URL: /wiki/Missouri_Plan
",""
"Vermont , URL: /wiki/Judiciary_of_Vermont
","Vermont Supreme Court , URL: /wiki/Vermont_Supreme_Court
","5","6 years","Election by State Legislature",""
"Virginia , URL: /wiki/Judiciary_of_Virginia
","Supreme Court of Virginia , URL: /wiki/Supreme_Court_of_Virginia
","7","12 years","Election by State Legislature","70[12]"
"Washington , URL: /wiki/Courts_of_Washington_(U.S._state)
","Washington Supreme Court , URL: /wiki/Washington_Supreme_Court
","9","6 years","Non-partisan election","75"
"West Virginia , URL: /wiki/Courts_of_West_Virginia
","Supreme Court of Appeals of West Virginia , URL: /wiki/Supreme_Court_of_Appeals_of_West_Virginia
","5","12 years","Partisan election",""
"Wisconsin , URL: /wiki/Courts_of_Wisconsin
","Wisconsin Supreme Court , URL: /wiki/Wisconsin_Supreme_Court
","7","10 years","Non-partisan election",""
"Wyoming , URL: /wiki/Courts_of_Wyoming
","Wyoming Supreme Court , URL: /wiki/Wyoming_Supreme_Court
","5","8 years","Missouri Plan , URL: /wiki/Missouri_Plan
",""
