"System","Web , URL: /wiki/Web_page
","Mobile web , URL: /wiki/Mobile_web
","Email , URL: /wiki/Email
","CLI , URL: /wiki/Command-line_interface
","GUI , URL: /wiki/Graphical_user_interface
","REST , URL: /wiki/Representational_State_Transfer
","SOAP , URL: /wiki/SOAP
","Mylyn , URL: /wiki/Mylyn
","Visual Studio , URL: /wiki/Microsoft_Visual_Studio
","IntelliJ IDEA , URL: /wiki/IntelliJ_IDEA
","Others"
"Redmine , URL: /wiki/Redmine
","Yes","Yes[66]","Yes","Partial [notes 2]","No","Yes","No","Yes","No","Yes","Yes - Android App, iOS App"
"Request Tracker , URL: /wiki/Request_Tracker
","Yes","Yes Responsive layout after 1.5.0. Partial in previous versions.","Yes","Yes","No","Yes[67]","No","No","No","No","No"
"Roundup , URL: /wiki/Roundup_(issue_tracker)
","Yes","No can be implemented in tracker instance","Yes","Yes","No","Yes new in 2.0","No","No","No","No","XMLRPC , URL: /wiki/XMLRPC
"
"StarTeam , URL: /wiki/StarTeam
","Yes","No","No","No","Yes","No","No","No","Yes","No","No"
"Supportworks , URL: /wiki/Supportworks
","Yes","No","Yes","No","Yes","Yes[69]","No","No","No","No","No"
"SysAid , URL: /wiki/SysAid_Technologies
","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","No"
"Team Foundation Server , URL: /wiki/Team_Foundation_Server
","Yes","No","Yes","Yes","No","No","Yes","Yes","No","Yes, via plugin","No"
"Trac , URL: /wiki/Trac
","Yes","No[70]","Optional[57]","No","No","No","No","Yes","No","Yes","XMLRPC , URL: /wiki/XMLRPC
"
"TrackerSuite.Net , URL: /wiki/Tracker_(business_software)
","Yes","No","Yes","No","No","No","No","No","No","No","No"
"Trello , URL: /wiki/Trello
","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","No"
"Tuleap , URL: /wiki/Tuleap
","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No"
"Twproject , URL: /wiki/Twproject
","Yes","No","Yes","No","No","No","No","No","No","No","No"
"Wrike , URL: /wiki/Wrike_(software)
","Yes","No","No","No","No","No","No","No","No","Yes, via plugin","No"
"YouTrack , URL: /wiki/YouTrack
","Yes","Yes[71]","Yes","No","Yes","Yes","No","Yes[72]","No","Yes","No"
"Zammad , URL: /wiki/Zammad
","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No"
"System","Web , URL: /wiki/Web_page
","Mobile Web , URL: /wiki/Mobile_Web
","Email , URL: /wiki/Email
","CLI , URL: /wiki/Command-line_interface
","GUI , URL: /wiki/Graphical_user_interface
","REST , URL: /wiki/Representational_State_Transfer
","SOAP , URL: /wiki/SOAP
","Mylyn , URL: /wiki/Mylyn
","Visual Studio , URL: /wiki/Microsoft_Visual_Studio
","IntelliJ IDEA , URL: /wiki/IntelliJ_IDEA
","Others"
