"Distribution","Free software repositories","packages , URL: /wiki/Package_(package_management_system)
","Approximate number of source packages","Default package management tool(s)","Package format","Default installer","Graphical , URL: /wiki/Graphical_user_interface
","Netinstall , URL: /wiki/Installation_(computer_programs)#Network_installation
","Netboot , URL: /wiki/Netboot
"
"Guix System , URL: /wiki/GNU_Guix
","Free only","18,921[200]","18,921","Guix , URL: /wiki/GNU_Guix
",".scm , URL: /wiki/Scheme_(programming_language)
.go , URL: /wiki/Guile_(programming_language)
","guix system init[201]","Yes[202]","Yes[203]","No"
"Hyperbola GNU/Linux-libre , URL: /wiki/Hyperbola_GNU/Linux-libre
","Free only","5,257[204]","?","Pacman , URL: /wiki/Pacman_(package_manager)
",".pkg.tar.lz , URL: /wiki/Tar_(file_format)
","None (third-party install scripts only)","No","Yes","?"
"Knoppix , URL: /wiki/Knoppix
","Free, and nonfree","[i][192]","?","APT",".deb","","No","?","?"
"LibreCMC , URL: /wiki/LibreCMC
","Free only","826","?","?","?","","No","No","No"
"Linux Mint , URL: /wiki/Linux_Mint
","Free, and nonfree","[j][192]","?","APT",".deb","Ubiquity , URL: /wiki/Ubiquity_(software)
","Yes","?","?"
"Mageia , URL: /wiki/Mageia
","Free, and nonfree","17,283 (i586), 11,409 (x86-64)[205]","8,834[206]","urpmi , URL: /wiki/Urpmi
rpmdrake , URL: /wiki/Rpmdrake
","RPM","DrakX , URL: /wiki/DrakX
","Yes","Yes","?"
"Mandriva Linux , URL: /wiki/Mandriva_Linux
","Free, and nonfree","22,600","?","urpmi, rpmdrake","RPM","DrakX","Yes","?","?"
"Manjaro Linux , URL: /wiki/Manjaro_Linux
","Free, and nonfree","?","[k][187]","Pacman , URL: /wiki/Pacman_(package_manager)
",".pkg.tar.xz , URL: /wiki/Tar_(file_format)
","Calamares , URL: /wiki/Calamares_(software)
","Yes[208]","Yes","iPXE , URL: /wiki/IPXE
"
"MEPIS , URL: /wiki/MEPIS
","Free, and nonfree","[l][192]","?","APT",".deb","MEPIS Install","Yes","?","?"
"Musix GNU+Linux , URL: /wiki/Musix_GNU%2BLinux
","Free only","1,819","?","APT",".deb","Debian-Installer , URL: /wiki/Debian-Installer
","Yes","No","No"
"OpenELEC , URL: /wiki/OpenELEC
","Free, and nonfree","140[209]","?","XBMCbuntu , URL: /wiki/XBMC#XBMCbuntu
",".zip , URL: /wiki/ZIP_file_format
","","Yes","?","?"
"openSUSE , URL: /wiki/OpenSUSE
","Free, and nonfree","42,236 with PackMan[210]","34,000","YaST , URL: /wiki/YaST
Zypper , URL: /wiki/Zypper
","RPM","YaST","Yes","Yes","?"
"OpenWrt , URL: /wiki/OpenWrt
","Free, and nonfree","2,000","?","opkg , URL: /wiki/Opkg
",".ipk","-","No","?","?"
"Parabola GNU/Linux-libre , URL: /wiki/Parabola_GNU/Linux-libre
","Free only","23,000[211]","?","Pacman , URL: /wiki/Pacman_(package_manager)
",".pkg.tar.xz , URL: /wiki/Tar_(file_format)
","Calamares , URL: /wiki/Calamares_(software)
","Yes","Yes","?"
"Pardus , URL: /wiki/Pardus_(operating_system)
","Free, and nonfree","4,000","?","PiSi",".pisi","YALI","Yes","?","?"
"Parsix , URL: /wiki/Parsix
","Free, and nonfree","[m][192]","14,900","APT",".deb","","Yes","?","?"
"PCLinuxOS , URL: /wiki/PCLinuxOS
","Free, and nonfree","12,000","?","APT, RPM","RPM","","Yes","?","?"
"Puppy , URL: /wiki/Puppy_Linux
","Free, and nonfree","700","?","DotPup , URL: /wiki/DotPup
",".pup, .pet","","Yes","?","?"
"Red Hat Enterprise Linux , URL: /wiki/Red_Hat_Enterprise_Linux
","Free, and nonfree","3,000 (plus 9,155 from EPEL[212])","?","RPM, yum","RPM","Anaconda","Yes","?","?"
"Rxart , URL: /wiki/Pixart
","Free, and nonfree","[n][192]","?","APT",".deb","","Yes","?","?"
"Sabayon Linux , URL: /wiki/Sabayon_Linux
","Free, and nonfree","[o]","?","Portage, Entropy","ebuild, .tbz2","Calamares , URL: /wiki/Calamares_(software)
","Yes","?","?"
"Scientific , URL: /wiki/Scientific_Linux
","Free, and nonfree","[p]","?","APT/yum","RPM","","Yes","?","?"
"Slackware , URL: /wiki/Slackware
","Free, and nonfree","2,292","7,705 from SlackBuilds[213]","slackpkg",".txz , URL: /wiki/Tar_(file_format)
.tlz , URL: /wiki/Lzm_(file_format)
","bash script , URL: http://ponce.cc/slackware/testing/slackware-setup-scripts/
","No","Yes","Yes"
"Slax , URL: /wiki/Slax
","Free, and nonfree","2,050","?","none",".lzm","","","?","?"
"SliTaz GNU/Linux , URL: /wiki/SliTaz_GNU/Linux
","Free, and nonfree","3,381[215]","?","Tazpkg",".tazpkg","tazinst","Yes","iPXE , URL: /wiki/IPXE
","iPXE , URL: /wiki/IPXE
"
"Solus , URL: /wiki/Solus_(operating_system)
","Free, and nonfree","9,500","?","eopkg",".eopkg","os-installer","Yes","No","No"
"Source Mage GNU/Linux , URL: /wiki/Source_Mage_GNU/Linux
","Free, and nonfree","118","8,876","Sorcery Package Manager","src","","Yes","?","?"
"SUSE Linux , URL: /wiki/SUSE_Linux
","Free, and nonfree","24,094","11,385","YaST, Zypper","RPM","YaST","Yes","?","?"
"Tiny Core Linux , URL: /wiki/Tiny_Core_Linux
","Free, and nonfree","25,160","?","ab, tce-load","tcz","tc-install, core2usb","Yes","?","?"
"Tiny SliTaz , URL: /wiki/Tiny_SliTaz
","Free, and nonfree","50","?","Web site[216]","tazpkg","","No","?","iPXE , URL: /wiki/IPXE
"
"Trisquel , URL: /wiki/Trisquel
","Free only","52,748[217]","?","APT",".deb","Ubiquity","Yes","Yes","?"
"TurnKey GNU/Linux , URL: /wiki/TurnKey_Linux_Virtual_Appliance_Library
","Free, and nonfree","[q][192] (plus ≈30 custom packages)","21,041[r] (currently TurnKey only supplies source code for custom packages)","APT",".deb","DI-Live (custom fork of Debian Installer)","No","No","No"
"Ubuntu , URL: /wiki/Ubuntu_(operating_system)
Kubuntu , URL: /wiki/Kubuntu
Xubuntu , URL: /wiki/Xubuntu
","Free, and nonfree","93,920[s][192][218]","24,474[t]","APT",".deb","Ubiquity","Yes","Yes","PXE , URL: /wiki/Preboot_Execution_Environment
"
"Ututo , URL: /wiki/Ututo
","Free only","5,000","?","UTUTO Package Manager","ebuild","?","?","No","No"
"Vector Linux , URL: /wiki/Vector_Linux
","Free, and nonfree","?","?","slapt-get , URL: /wiki/Slapt-get
gslapt , URL: /wiki/Gslapt
","tgz","","Yes","?","?"
"Void Linux , URL: /wiki/Void_Linux
","Free, nonfree and multilib","6,000","6,719","xbps",".xbps","ncurses script","Yes","Yes","No"
"XBMC Live , URL: /wiki/XBMC_Live
","Free, and nonfree","?","?","APT",".deb","","No","?","?"
"Zentyal , URL: /wiki/Zentyal
","Free, and nonfree","[u][192]","?","APT",".deb","dpkg","Yes","?","?"
"Zenwalk , URL: /wiki/Zenwalk
","Free, and nonfree","2,000","?","netpkg, installpkg, upgradepkg","tgz, txz","","Yes","?","?"
"Distribution","Free software repositories","packages , URL: /wiki/Package_(package_management_system)
","Approximate number of source packages","Default package management tools","Package format","Default installer","Graphical , URL: /wiki/Graphical_user_interface
","Netinstall , URL: /wiki/Installation_(computer_programs)#Network_installation
","Netboot , URL: /wiki/Netboot
"
