"Software","Web-based , URL: /wiki/Web-based
","Hosted on-premises , URL: /wiki/On-premises_software
","SaaS , URL: /wiki/Software_as_a_service
","License , URL: /wiki/Software_license
","Programming language"
"Copper Project , URL: /wiki/Copper_Project
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"dotProject , URL: /wiki/DotProject
","Yes","Yes","Yes","GPL , URL: /wiki/GPL
","PHP , URL: /wiki/PHP
"
"DynaRoad , URL: /wiki/DynaRoad
","No","Unknown","Unknown","Proprietary , URL: /wiki/Proprietary_software
",""
"Easy projects , URL: /wiki/Easy_projects
","Yes[4]","Yes[4]","Yes[4]","Proprietary , URL: /wiki/Proprietary_software
","ASP.NET , URL: /wiki/ASP.NET
"
"Endeavour Software Project Management , URL: /wiki/Endeavour_Software_Project_Management
","Yes","Unknown","Unknown","GPL , URL: /wiki/GPL
","Java , URL: /wiki/Java_(programming_language)
"
"eGroupWare , URL: /wiki/EGroupWare
","Yes","Unknown","Unknown","GPL , URL: /wiki/GPL
","PHP , URL: /wiki/PHP
"
"enQuire , URL: /wiki/EnQuire
","Yes","Unknown","Yes","Proprietary , URL: /wiki/Proprietary_software
","Java , URL: /wiki/Java_(programming_language)
"
"FastTrack Schedule , URL: /wiki/FastTrack_Schedule
","No","Yes","No","Proprietary , URL: /wiki/Proprietary_software
",""
"Feng Office Community Edition , URL: /wiki/Feng_Office_Community_Edition
","Yes","Yes","Yes","AGPLv3 , URL: /wiki/Affero_General_Public_License
","PHP , URL: /wiki/PHP
"
"FinancialForce.com , URL: /wiki/FinancialForce.com
","Yes","Unknown","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"FogBugz , URL: /wiki/FogBugz
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","ASP.NET , URL: /wiki/ASP.NET
"
"Fossil-scm , URL: /wiki/Fossil_(software)
","Yes[5]","Yes[6]","Yes[7]","2-clause BSD license , URL: /wiki/BSD_licence
","SQLite , URL: /wiki/SQLite
C , URL: /wiki/C_(programming_language)
"
"Freedcamp , URL: /wiki/Freedcamp
","Yes","No","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"FusionForge , URL: /wiki/FusionForge
","Yes","Yes","Unknown","GPL , URL: /wiki/GPL
","PHP , URL: /wiki/PHP
"
"GanttProject , URL: /wiki/GanttProject
","No","Yes","Unknown","GPL , URL: /wiki/GPL
","Java , URL: /wiki/Java_(programming_language)
"
"Genius Project , URL: /wiki/Genius_Project
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Goalscape , URL: /wiki/Goalscape_Visual_Information_Management_Software
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Group-Office , URL: /wiki/Group-Office
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"GroveSite , URL: /wiki/GroveSite
","Yes","Unknown","Yes","Unknown",""
"Hall.com , URL: /wiki/Hall.com_(software)
","Yes","Unknown","Yes","Unknown",""
"Helix ALM , URL: /wiki/Helix_ALM
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","C++ , URL: /wiki/C%2B%2B
"
"HeySpace , URL: /wiki/HeySpace
","Yes","No","Yes","Proprietary , URL: /wiki/Proprietary_software
","JavaScript"
"HP Project & Portfolio Software , URL: /wiki/HP_Software_%26_Solutions
","Yes","Yes","Unknown","Proprietary , URL: /wiki/Proprietary_software
",""
"Huddle , URL: /wiki/Huddle_(software)
","Yes","Unknown","Unknown","Proprietary , URL: /wiki/Proprietary_software
",""
"Hyperoffice , URL: /wiki/Hyperoffice
","Yes","Unknown","Unknown","Proprietary , URL: /wiki/Proprietary_software
",""
"iManageProject , URL: /wiki/Imanageproject
","Yes","Unknown","Yes","Unknown",""
"InLoox , URL: /wiki/InLoox
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"in-Step BLUE , URL: /wiki/In-Step_BLUE
","Yes","Yes","No","Proprietary , URL: /wiki/Proprietary_software
",""
"IRise , URL: /wiki/IRise
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Java , URL: /wiki/Java_(programming_language)
"
"Jira , URL: /wiki/Jira_(software)
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Java , URL: /wiki/Java_(programming_language)
"
"Launchpad , URL: /wiki/Launchpad_(website)
","Yes","No","Yes","AGPL , URL: /wiki/Affero_General_Public_License
","Python , URL: /wiki/Python_(programming_language)
"
"Leantime , URL: /w/index.php?title=Leantime&action=edit&redlink=1
","Yes","Yes","Yes","GPL , URL: /wiki/General_Public_License
","PHP , URL: /wiki/PHP
"
"LibrePlan , URL: /wiki/LibrePlan
","Yes","Yes","Yes","AGPL , URL: /wiki/Affero_General_Public_License
","Java , URL: /wiki/Java_(programming_language)
"
"LiquidPlanner , URL: /wiki/LiquidPlanner
","Yes","No","Yes","Proprietary , URL: /wiki/Proprietary_software
","Ruby , URL: /wiki/Ruby_(programming_language)
"
"LisaProject , URL: /wiki/LisaProject
","No","Unknown","Unknown","Proprietary , URL: /wiki/Proprietary_software
",""
"MacProject , URL: /wiki/MacProject
","No","Unknown","Unknown","Proprietary , URL: /wiki/Proprietary_software
",""
"MantisBT , URL: /wiki/Mantis_Bug_Tracker
","Yes","Yes","No","GPL , URL: /wiki/GPL
","PHP , URL: /wiki/PHP
"
"Métier , URL: /wiki/M%C3%A9tier
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Microsoft Dynamics AX , URL: /wiki/Microsoft_Dynamics_AX
","No","Yes","No","Proprietary , URL: /wiki/Proprietary_software
","X++ , URL: /wiki/Microsoft_Dynamics_AX#MorphX_and_X++
"
"Microsoft Office Project Server , URL: /wiki/Microsoft_Office_Project_Server
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Microsoft Project , URL: /wiki/Microsoft_Project
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Microsoft SharePoint Server , URL: /wiki/Microsoft_SharePoint_Server
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Microsoft Team Foundation Server , URL: /wiki/Team_Foundation_Server
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Milestones Professional , URL: /wiki/Milestones_Professional
","No","Yes","No","Proprietary , URL: /wiki/Proprietary_software
","C++ , URL: /wiki/C%2B%2B
"
"Mingle , URL: /wiki/Mingle
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Ruby on Rails , URL: /wiki/Ruby_on_Rails
"
"MyWorkPLAN , URL: /wiki/WorkPLAN
","No","Unknown","Unknown","Proprietary , URL: /wiki/Proprietary_software
",""
"NetPoint , URL: /wiki/NetPoint
","No","Unknown","Unknown","Proprietary , URL: /wiki/Proprietary_software
",""
"NetSuite , URL: /wiki/NetSuite
","Yes","Unknown","Yes","Unknown",""
"O3Spaces , URL: /wiki/O3Spaces
","No","Unknown","Unknown","Proprietary , URL: /wiki/Proprietary_software
",""
"OmniPlan , URL: /wiki/OmniPlan
","No","Yes","No","Proprietary , URL: /wiki/Proprietary_software
",""
"Onepager pro , URL: /wiki/Onepager_pro
","No","Yes","No","Proprietary , URL: /wiki/Proprietary_software
","ASP.NET , URL: /wiki/ASP.NET
"
"Open Workbench , URL: /wiki/Open_Workbench
","No","Unknown","Unknown","Open source , URL: /wiki/Open_source_software
",""
"OpenProj , URL: /wiki/OpenProj
","No","Unknown","Yes","CPAL , URL: /wiki/CPAL
","Java , URL: /wiki/Java_(programming_language)
"
"OpenProject , URL: /wiki/OpenProject
","Yes","Yes","Yes","GPL , URL: /wiki/GPL
","Ruby on Rails , URL: /wiki/Ruby_on_Rails
Angular , URL: /wiki/Angular_(web_framework)
"
"OnlyOffice , URL: /wiki/OnlyOffice
","Yes","Yes","Yes","GPL , URL: /wiki/GPL
","ASP.NET , URL: /wiki/ASP.NET
"
"Oracle Primavera EPPM , URL: /wiki/Primavera_(software)
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"phpGroupWare , URL: /wiki/PhpGroupWare
","Yes","Unknown","Unknown","GPL , URL: /wiki/GPL
","PHP , URL: /wiki/PHP
"
"PHProjekt , URL: /wiki/PHProjekt
","Yes","Unknown","Unknown","LGPL , URL: /wiki/LGPL
","PHP , URL: /wiki/PHP
"
"Pivotal Tracker , URL: /wiki/Pivotal_Tracker
","Yes","No","Yes","Unknown","Ruby , URL: /wiki/Ruby_(programming_language)
"
"Plandora , URL: /wiki/Plandora
","Yes","Yes","Unknown","LGPL , URL: /wiki/LGPL
","Java , URL: /wiki/Java_(programming_language)
"
"Planisware , URL: /wiki/Planisware
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"PLANTA Project , URL: /wiki/PLANTA_Project
","Yes","Yes","No","Proprietary , URL: /wiki/Proprietary_software
",""
"Project KickStart , URL: /wiki/Project_KickStart
","No","Yes","Unknown","Proprietary , URL: /wiki/Proprietary_software
",""
"Project Team Builder , URL: /wiki/Project_Team_Builder
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Projector PSA , URL: /wiki/Projector_PSA
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"ProjectLibre , URL: /wiki/ProjectLibre
","No (Cloud based version under development)[8]","Yes","No (Included in future plans)[9]","CPAL , URL: /wiki/CPAL
","Java , URL: /wiki/Java_(programming_language)
"
"ProjectManager.com , URL: /wiki/ProjectManager.com
","Yes[10]","No","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Project.net , URL: /wiki/Project.net
","Yes","Yes","Yes","GPL , URL: /wiki/GPL
","Java , URL: /wiki/Java_(programming_language)
"
"Projectplace , URL: /wiki/Projectplace_(software)
","Yes","No","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Projektron BCS , URL: /wiki/Projektron_BCS
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Java , URL: /wiki/Java_(programming_language)
"
"ProjeQtOr , URL: /wiki/ProjeQtOr
","Yes","Yes","Yes","AGPL , URL: /wiki/Affero_General_Public_License
","PHP , URL: /wiki/PHP
"
"Proliance , URL: /wiki/Meridian_Systems
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"ProjectLink , URL: /wiki/Windchill_(software)
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Prolog , URL: /wiki/Meridian_Systems
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Priority Matrix , URL: /wiki/Priority_Matrix
","Yes","No","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Pyrus , URL: /wiki/Pyrus_(software)
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"RationalPlan , URL: /wiki/RationalPlan
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Realisor , URL: /wiki/Realisor
","No","Yes","No","Proprietary , URL: /wiki/Proprietary_software
",""
"Redbooth , URL: /wiki/Redbooth
","Yes[11]","Yes","Yes[11]","AGPL , URL: /wiki/Affero_General_Public_License
Proprietary , URL: /wiki/Proprietary_software
","Ruby on Rails , URL: /wiki/Ruby_on_Rails
"
"Redmine , URL: /wiki/Redmine
","Yes","Yes","Yes [13][14][15]","GPL , URL: /wiki/GPL
","Ruby , URL: /wiki/Ruby_(programming_language)
"
"Rillsoft Project , URL: /wiki/Rillsoft_Project
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","C++ , URL: /wiki/C%2B%2B
PHP , URL: /wiki/PHP
"
"RiskyProject , URL: /wiki/Intaver_Institute
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"SAP Business ByDesign , URL: /wiki/SAP_Business_ByDesign
","Yes","Unknown","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Sciforma , URL: /wiki/Sciforma
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Scoro , URL: /wiki/Scoro
","Yes","No","Yes","Proprietary , URL: /wiki/Proprietary_software
","PHP , URL: /wiki/PHP
"
"Seavus Project Viewer (software) , URL: /wiki/Seavus_Project_Viewer_(software)
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","C++ , URL: /wiki/C%2B%2B
"
"Severa , URL: /wiki/Severa
","Yes","Unknown","Yes","Unknown",""
"Smartsheet , URL: /wiki/Smartsheet
","Yes","Unknown","Yes","Proprietary , URL: /wiki/Proprietary_software
","PHP , URL: /wiki/PHP
"
"Spider Project , URL: /wiki/Spider_Project
","No","No","No","Proprietary , URL: /wiki/Proprietary_software
",""
"Streamtime Software , URL: /wiki/Streamtime_Software
","Yes","No","Yes","Proprietary , URL: /wiki/Proprietary_software
","PHP , URL: /wiki/PHP
"
"TACTIC , URL: /wiki/TACTIC_(web_framework)
","Yes","Yes","Yes","Eclipse Public License , URL: /wiki/Eclipse_Public_License
","Python , URL: /wiki/Python_(programming_language)
"
"Taiga , URL: /wiki/Taiga_(project_management)
","Yes","Yes","Yes","AGPL , URL: /wiki/GNU_Affero_General_Public_License
","Python , URL: /wiki/Python_(programming_language)
"
"Talygen , URL: /wiki/Talygen_Business_Intelligence
","Yes","No","Yes","Proprietary , URL: /wiki/Proprietary_software
","ASP.NET , URL: /wiki/ASP.NET
"
"TaskJuggler , URL: /wiki/TaskJuggler
","No","Yes","No","GPL , URL: /wiki/GPL
","Ruby , URL: /wiki/Ruby_(programming_language)
"
"Teamcenter , URL: /wiki/Teamcenter
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"TeamDynamixHE , URL: /wiki/TeamDynamixHE
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Tom's Planner , URL: /wiki/Tom%27s_Planner
","Yes","Unknown","Unknown","Proprietary , URL: /wiki/Proprietary_software
",""
"Trac , URL: /wiki/Trac
","Yes","Yes","Yes","BSD license , URL: /wiki/BSD_license
","Python , URL: /wiki/Python_(programming_language)
"
"TrackerSuite.Net , URL: /wiki/Tracker_(Business_Software)
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Traction TeamPage , URL: /wiki/Traction_TeamPage
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Java , URL: /wiki/Java_(programming_language)
"
"Trello , URL: /wiki/Trello
","Yes","No","Yes","Proprietary , URL: /wiki/Proprietary_software
","CoffeeScript , URL: /wiki/CoffeeScript
Backbone.js , URL: /wiki/Backbone.js
HTML5 , URL: /wiki/HTML5
Mustache , URL: /wiki/Mustache_(template_system)
templating language , URL: /wiki/Templating_language
MongoDB , URL: /wiki/MongoDB
Node.js , URL: /wiki/Node.js
Socket.io , URL: /wiki/Socket.io
"
"Triskell , URL: /wiki/Triskell
","Yes","No","Yes","Proprietary , URL: /wiki/Proprietary_software
","Java , URL: /wiki/Java_(programming_language)
"
"Tuleap , URL: /wiki/Tuleap
","Yes","Yes","Yes","GPL , URL: /wiki/GPL
",""
"Twproject , URL: /wiki/Twproject
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"UniPhi , URL: /wiki/UniPhi
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","ASP.NET , URL: /wiki/ASP.NET
"
"Vpmi , URL: /wiki/Vpmi
","Yes","Unknown","Unknown","Proprietary , URL: /wiki/Proprietary_software
",""
"web2project , URL: /wiki/Web2project
","Yes","Unknown","Unknown","GPL , URL: /wiki/GPL
","PHP , URL: /wiki/PHP
"
"Workamajig , URL: /wiki/Workamajig
","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Workfront , URL: /wiki/Workfront
","Yes[17]","No","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"WorkPLAN , URL: /wiki/WorkPLAN
","No","Unknown","Unknown","Proprietary , URL: /wiki/Proprietary_software
",""
"Workspace.com , URL: /wiki/Workspace.com
","Yes","Unknown","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Wrike , URL: /wiki/Wrike_(software)
","Yes","Unknown","Yes","Proprietary , URL: /wiki/Proprietary_software
",""
"Zoho Projects , URL: /wiki/Zoho_Office_Suite
","Yes","No","Yes","Proprietary , URL: /wiki/Proprietary_software
","PHP , URL: /wiki/PHP
"
