"Model","Launch","Micro-archi-tecture","Core","Fab (nm)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Memory","Memory","Memory","Memory","GFLOPS , URL: /wiki/GFLOPS
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","Notes"
"FireGL V3350","2006","R500","Radeon 1300 Pro , URL: /wiki/Radeon_R520
","90","PCIe , URL: /wiki/PCI_Express
","600","400","2:4:4:41","2.4","2.4","","6.4","GDDR2 , URL: /wiki/GDDR2
","64","","9.0c","2.0","N/A",""
"FireGL V3400","2006","R500","Radeon 1600 Pro/XT , URL: /wiki/Radeon_R520
","90","PCIe , URL: /wiki/PCI_Express
","500","500","5:12:4:41","2","2","128","16.0","GDDR3 , URL: /wiki/GDDR3
","128","Unknown","9.0c","2.0","N/A",""
"FireGL V3600[234]","2007","Tera-Scale 1","HD 2600 Pro , URL: /wiki/Radeon_R600
","65","PCIe , URL: /wiki/PCI_Express
","600","500","1202(24×5):8:4:3","2.4","4.8","256","16.0","GDDR3 , URL: /wiki/GDDR3
","128","144","10","3.3","N/A","Shader Model 4.0, APP Stream"
"FireGL V5000","2005","R400","Radeon X700 Pro/XT , URL: /wiki/Radeon_R420
","130","PCIe , URL: /wiki/PCI_Express
","425","430","6:8:8:81","3.4","3.4","128","13.6","GDDR3 , URL: /wiki/GDDR3
","128","Unknown","9.0b","2.0","N/A",""
"FireGL V5100","2005","R400","Radeon X800 Pro , URL: /wiki/Radeon_R420
","130","PCIe , URL: /wiki/PCI_Express
","450","350","6:12:12:121","5.4","5.4","128","22.4","DDR , URL: /wiki/DDR_SDRAM
","256","Unknown","9.0b","2.0","N/A",""
"FireGL V5200","2005","R500","Radeon X1600 XT , URL: /wiki/Radeon_R520
","90","PCIe , URL: /wiki/PCI_Express
","600","700","5:12:4:41","2.4","2.4","256","22.4","GDDR3 , URL: /wiki/GDDR3
","128","Unknown","9.0c","2.0","N/A",""
"FireGL V5600[235]","2007","Tera-Scale 1","HD 2600 XT , URL: /wiki/Radeon_R600
","65","PCIe","800","1100","1202(24×5):8:4:3","3.2","6.4","512","35.2","GDDR4 , URL: /wiki/GDDR4
","128","192","10","3.3","N/A","Shader Model 4.0, APP Stream"
"FireGL V7100","2005","R400","Radeon X800 XT , URL: /wiki/Radeon_R420
","130","PCIe","500","450","6:16:16:161","8","8","256","28.8","GDDR3 , URL: /wiki/GDDR3
","256","Unknown","9.0c","2.0","N/A",""
"FireGL V7200","2006","R500","Radeon X1800 XT , URL: /wiki/Radeon_R520
","90","PCIe x16","600","650","6:16:16:161","9.6","9.6","256","41.6","GDDR3 , URL: /wiki/GDDR3
","256","Unknown","9.0c","2.0","N/A",""
"FireGL V7300[236]","2006","R500","X1800 XT , URL: /wiki/Radeon_R520
","90","PCIe","600","650","6:16:16:161","9.6","9.6","","41.6","GDDR3 , URL: /wiki/GDDR3
","256","","9.0c","2.0","N/A",""
"FireGL V7350[237]","2006","R500","X1800 XT , URL: /wiki/Radeon_R520
","90","PCIe","600","650","6:16:16:161","9.6","9.6","","41.6","GDDR3 , URL: /wiki/GDDR3
","256","","9.0c","2.0","N/A",""
"FireGL V7400","2006 (Canceled)","R500","Radeon X1950 Pro , URL: /wiki/Radeon_R520
","80","PCIe","550?","650?","8:36:16:161","19.8?","19.8?","512?","41.6?","GDDR3 , URL: /wiki/GDDR3
","256","Unknown","9.0c","2.0","N/A","never released, superseded by 2007 series"
"FireGL V7600[238]","2007","Tera-Scale 1","HD 2900 GT , URL: /wiki/Radeon_R600
","80","PCIe","600","800","2402(48×5):12:12:3","9.6","9.6","512","51.2","GDDR3 , URL: /wiki/GDDR3
","256","288","10","3.3","N/A","Shader Model 4.0, APP Stream"
"FireGL V7700[239]","2007 (2008)","Tera-Scale 1","HD 3870 , URL: /wiki/Radeon_HD_3000_series
","55","PCIe 2.0","775","1125","3202(64×5):16:16:4","12.4","12.4","512","72","GDDR4 , URL: /wiki/GDDR4
","256","496","10.1 (SM4.1)","3.3","N/A","DisplayPort , URL: /wiki/DisplayPort
"
"FireGL V8600[240]","2007","Tera-Scale 1","HD 2900 XT , URL: /wiki/Radeon_R600
","80","PCIe","688","868","3202(64×5):16:16:4","11.01","11.01","1024","111.1[241]","GDDR4 , URL: /wiki/GDDR4
","512","440.32","10","3.3","N/A","Shader Model 4.0, APP Stream"
"FireGL V8650[242]","2007","Tera-Scale 1","HD 2900 XT , URL: /wiki/Radeon_R600
","80","PCIe","688","868","3202(64×5):16:16:4","11.01","11.01","","","GDDR4 , URL: /wiki/GDDR4
","512","440.32","10","3.3","N/A","Shader Model 4.0, APP Stream"
