"","Display","Resolution , URL: /wiki/Display_resolution
","Colors , URL: /wiki/Color_depth
","Controller , URL: /wiki/Game_controller
","media , URL: /wiki/Multimedia
","Operating System , URL: /wiki/Operating_system
"
"Timetop Gameking 1 & 2 , URL: /wiki/GameKing
","2.1 in. Reflective LCD (Backlit in Gameking 2).","48 × 32","4 shades of gray","Four-directional digital pad","Proprietary solid-state cartridge",""
"GP32 , URL: /wiki/GP32
","TFT , URL: /wiki/Thin-film_transistor
","320 × 240","65,536 colors","Four-directional digital stick","SmartMedia , URL: /wiki/SmartMedia
",""
"Dingoo A320 , URL: /wiki/Dingoo_A320
","2.8 in. LCD","240 × 320","65,536 colors","Four-directional digital pad, shoulder buttons, action buttons, start & select buttons","miniSD , URL: /wiki/Secure_Digital
","μC/uOS-II , URL: /wiki/MicroC/OS-II
"
"Tapwave Zodiac , URL: /wiki/Tapwave_Zodiac
","3.8 in. LCD","480 × 320","65,536 colors","8-directional analog thumbstick, stylus-driven touchscreen","SD , URL: /wiki/Secure_Digital
",""
"N-Gage , URL: /wiki/N-Gage_(device)
","2.1 in. LCD","176 × 208","4,096 colors","Four-directional digital pad","MMC , URL: /wiki/MultiMediaCard
","Symbian OS , URL: /wiki/Symbian_OS
"
"Game Boy Advance SP , URL: /wiki/Game_Boy_Advance_SP
","2.9 in. LCD","240 × 160","32,768 colors","D-Pad","Proprietary solid-state cartridge",""
"Game Boy Advance , URL: /wiki/Game_Boy_Advance
","2.9 in. LCD","240 × 160","32,768 colors","D-Pad","Proprietary solid-state cartridge",""
"Swan Crystal , URL: /wiki/WonderSwan
","2.8 in. TFT LCD","224 × 144","4,096 colors, 241 simultaneous","Four-directional digital pad","Proprietary solid-state cartridge",""
"WonderSwan Color , URL: /wiki/WonderSwan
","2.8 in. FSTN reflective LCD","224 × 144","4,096 colors, 241 simultaneous","Four-directional digital pad","Proprietary solid-state cartridge",""
"WonderSwan , URL: /wiki/WonderSwan
","2.49 in. FSTN Reflection LCD","224 × 144","","Four-directional digital pad","Proprietary solid-state cartridge",""
"Game Boy Color , URL: /wiki/Game_Boy_Color
","TFT LCD","160 × 144","32,768 colors; 10, 32 or 56 simultaneous","Four-directional digital pad","Proprietary solid-state cartridge",""
"Neo Geo Pocket Color , URL: /wiki/Neo_Geo_Pocket_Color
","TFT LCD","160 × 152","4,096 colors, 146 simultaneous","8-directional digital thumbstick","Proprietary solid-state cartridge",""
"Neo Geo Pocket , URL: /wiki/Neo_Geo_Pocket
","TFT LCD","160 × 152","16 palettes per plane?","8-directional digital thumbstick","Proprietary solid-state cartridge",""
"game.com , URL: /wiki/Game.com
","3.9 in. LCD","200 × 160","4","Four-directional digital pad, touchscreen","Proprietary solid-state cartridge",""
"Game Boy Light , URL: /wiki/Game_Boy#Game_Boy_Light
","Backlit Reflective LCD","160 × 144","4","D-Pad","Proprietary solid-state cartridge",""
"Game Boy Pocket , URL: /wiki/Game_Boy#Game_Boy_Pocket
","Reflective LCD","160 × 144","4","D-Pad","Proprietary solid-state cartridge",""
"Sega Nomad , URL: /wiki/Sega_Nomad
","3 in. LCD","320 × 224","512 available, 64 simultaneous","Four-directional digital pad","Sega Genesis , URL: /wiki/Sega_Genesis
",""
"Mega Duck/Cougar Boy , URL: /wiki/Mega_Duck
","2.7"" (48 (h) x 51 (w) mm) STN dot matriix","160 × 144","4 monochrome green shades","Four-directional digital pad","Proprietary solid-state cartridge",""
"Watara Supervision , URL: /wiki/Watara_Supervision
","3.4"", 61 mm x 61 mm (2.37"" x 2.37"") LCD SuperVision FAQ","160 × 160 pixel display","4 monochrome green shades","Four-directional digital pad","Proprietary solid-state cartridge",""
"Atari Lynx II , URL: /wiki/Atari_Lynx
","3.5"" LCD","160 × 102","4096 (12-bit), 16 per scanline","Four-directional digital pad","Proprietary solid-state cartridge",""
"Game Gear , URL: /wiki/Sega_Game_Gear
","3.2 in. LCD","160 × 144","4,096 available, 32 simultaneous","Four-directional digital pad","Proprietary solid-state cartridge",""
"TurboExpress , URL: /wiki/TurboExpress
","2.6 in. TFT LCD","256 × 256","512","Four-directional digital pad","TurboGrafx-16 , URL: /wiki/TurboGrafx-16
",""
"Game Boy , URL: /wiki/Game_Boy
","Reflective LCD","160 × 144","4","D-Pad","Proprietary solid-state cartridge",""
"Atari Lynx , URL: /wiki/Atari_Lynx
","3.5"" LCD (diagonal); 3.25"" x 1.88""[24]","160 × 102","4096 (12-bit), 16 per scanline","Four-directional digital pad","Proprietary solid-state cartridge",""
"Game Pocket Computer , URL: /wiki/Epoch_Game_Pocket_Computer
","LCD","75 × 64","2","Four-directional control pad","Proprietary solid-state cartridge",""
"Microvision , URL: /wiki/Microvision
","LCD","16 × 16","4","paddle , URL: /wiki/Paddle_(game_controller)
","Proprietary solid-state cartridge",""
"Mi2 console , URL: /wiki/Mi2_(console)
","3.5 in. LCD","240 × 320","""full color""","Four-directional digital pad, shoulder buttons, action buttons, menu buttons, touch-screen, camera and motion sense","SD , URL: /wiki/Secure_Digital
",""
"Xperia PLAY , URL: /wiki/Xperia_Play
","4""","854 × 480","16M colors","Touchscreen , URL: /wiki/Touchscreen
","Google Play , URL: /wiki/Google_Play
","Android , URL: /wiki/Android_(operating_system)
"
