"","Union , URL: /wiki/Union_(SQL)
","Intersect , URL: /wiki/Intersect_(sql)
","Except , URL: /wiki/Except_(SQL)
","Inner joins , URL: /wiki/Inner_join
","Outer joins , URL: /wiki/Outer_join
","Inner selects","Merge joins , URL: /wiki/Join_(SQL)#Merge_join
","Blobs , URL: /wiki/Binary_large_object
Clobs , URL: /wiki/Character_large_object
","Common Table Expressions , URL: /wiki/Common_table_expressions
","Windowing Functions , URL: /wiki/Window_function_(SQL)
","Parallel Query","System-versioned Tables , URL: /wiki/Temporal_database
"
"Pervasive PSQL , URL: /wiki/Pervasive_PSQL
","Yes","No","No","Yes","Yes","?","?","Yes","No","No","No","?"
"Polyhedra DBMS , URL: /wiki/Polyhedra_DBMS
","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","?"
"PostgreSQL , URL: /wiki/PostgreSQL
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[138]","No[122]"
"Raima Database Manager , URL: /wiki/Raima_Database_Manager
","No","No","No","Yes","Yes","No","No","Yes","No","No","No","?"
"RDM Server , URL: /wiki/RDM_Server
","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","?"
"SAP HANA , URL: /wiki/SAP_HANA
","?","?","?","?","?","?","?","?","?","?","?","?"
"solidDB , URL: /wiki/SolidDB
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","?"
"SQL Anywhere , URL: /wiki/SQL_Anywhere
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"SQLite , URL: /wiki/SQLite
","Yes","Yes","Yes","Yes","LEFT only","Yes","No","Yes","3.8.3+[139]","3.25+[140]","No","No[122]"
"SQream DB , URL: /wiki/SQream_DB
","ALL only","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","?"
"Teradata , URL: /wiki/Teradata
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"UniVerse , URL: /wiki/UniVerse
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","?","?"
"","Union , URL: /wiki/Union_(SQL)
","Intersect , URL: /wiki/Intersect_(sql)
","Except , URL: /wiki/Except_(SQL)
","Inner joins , URL: /wiki/Inner_join
","Outer joins , URL: /wiki/Outer_join
","Inner selects","Merge joins , URL: /wiki/Join_(SQL)#Merge_join
","Blobs , URL: /wiki/Binary_large_object
Clobs , URL: /wiki/Character_large_object
","Common Table Expressions , URL: /wiki/Common_table_expressions
","Windowing Functions , URL: /wiki/Window_function_(SQL)
","Parallel Query","System-versioned Tables , URL: /wiki/Temporal_database
"
