"Image viewer , URL: /wiki/Image_viewer
","Gwenview , URL: /wiki/Gwenview
","Eye of GNOME , URL: /wiki/Eye_of_GNOME
","Eye of MATE , URL: /wiki/MATE_(software)#Components
","Xviewer","Ristretto","GPicView","Picky","","Eimage","Ephoto"
"Office suite , URL: /wiki/Office_suite
","Calligra Suite , URL: /wiki/Calligra_Suite
KOffice , URL: /wiki/KOffice
","GnomeOffice","","","","","","","",""
"Web browser , URL: /wiki/Web_browser
","Konqueror , URL: /wiki/Konqueror
Falkon , URL: /wiki/Falkon
","Web , URL: /wiki/Web_(web_browser)
","","","Midori , URL: /wiki/Midori_(web_browser)
","","","","","Eve"
"E-mail client , URL: /wiki/E-mail_client
","Kmail , URL: /wiki/Kontact#E-Mail
","Evolution , URL: /wiki/Evolution_(software)
","","","","","GNUMail , URL: /wiki/GNUMail
","","",""
"Personal information manager , URL: /wiki/Personal_information_management#Personal_information_manager
","Kontact , URL: /wiki/Kontact
","Evolution , URL: /wiki/Evolution_(software)
","","","","","Contacts","","",""
"Instant messenger , URL: /wiki/Instant_messenger
","Kopete , URL: /wiki/Kopete
KDE Telepathy , URL: /wiki/KDE_Telepathy
","Empathy , URL: /wiki/Empathy_(software)
","","","","","","","","Shotgun"
"Archive manager , URL: /wiki/File_archiver
","Ark , URL: /wiki/Ark_(software)
","Archive Manager , URL: /wiki/Archive_Manager
","Engrampa , URL: /wiki/MATE_(software)#Components
","Archive Manager , URL: /wiki/Archive_Manager
","Xarchiver , URL: /wiki/Xarchiver
","Xarchiver , URL: /wiki/Xarchiver
","Archive","","",""
"PDF , URL: /wiki/PDF
","Okular , URL: /wiki/Okular
KPDF , URL: /wiki/KPDF
SC 4 , URL: /wiki/KDE_Software_Compilation_4
","Evince , URL: /wiki/Evince
","Atril , URL: /wiki/MATE_(software)#Components
","Xreader","","","","Vindaloo","","Epdf"
"IDE , URL: /wiki/Integrated_development_environment
","KDevelop , URL: /wiki/KDevelop
","Anjuta , URL: /wiki/Anjuta
GNOME Builder , URL: /wiki/GNOME_Builder
","","","","","","Gorm , URL: /wiki/Gorm_(computing)
","","EDI"
"X session manager , URL: /wiki/X_session_manager
","ksmserver , URL: /w/index.php?title=Ksmserver&action=edit&redlink=1
","gnome-session , URL: /w/index.php?title=Gnome-session&action=edit&redlink=1
","mate-session , URL: /w/index.php?title=Mate-session&action=edit&redlink=1
","cinnamon-session , URL: /w/index.php?title=Cinnamon-session&action=edit&redlink=1
","Xfce4-session , URL: /w/index.php?title=Xfce4-session&action=edit&redlink=1
","LXSession , URL: /w/index.php?title=LXSession&action=edit&redlink=1
","ROX-Session , URL: /w/index.php?title=ROX-Session&action=edit&redlink=1
","","",""
"Widget engine , URL: /wiki/Widget_engine
","Plasma , URL: /wiki/KDE_Plasma_Workspaces
SuperKaramba , URL: /wiki/SuperKaramba
SC 4 , URL: /wiki/KDE_Software_Compilation_4
","gDesklets , URL: /wiki/GDesklets
","","","","","","","","Elementary"
"Licenses , URL: /wiki/Software_license
","GPL , URL: /wiki/GPL
LGPL , URL: /wiki/LGPL
BSD , URL: /wiki/BSD_licenses
","GPL , URL: /wiki/GPL
LGPL , URL: /wiki/LGPL
","GPL , URL: /wiki/GPL
LGPL , URL: /wiki/LGPL
","GPLv2 (or later) , URL: /wiki/GNU_General_Public_License#Version_2
","GPL , URL: /wiki/GPL
LGPL , URL: /wiki/LGPL
BSD , URL: /wiki/BSD_licenses
","GPL , URL: /wiki/GPL
LGPL , URL: /wiki/LGPL
","GPL , URL: /wiki/GPL
","GPL , URL: /wiki/GPL
BSD , URL: /wiki/BSD_licenses
","GPL , URL: /wiki/GPL
LGPL , URL: /wiki/LGPL
","BSD , URL: /wiki/BSD_licenses
LGPL , URL: /wiki/LGPL
"
"","KDE Software Compilation","GNOME","MATE","Cinnamon","Xfce","LXDE","ROX Desktop","Étoilé","EDE","Enlightenment"
