"Company","Software","On-demand scan","On-access scan , URL: /wiki/Real-time_protection
","Boot-time scans","Heuristics , URL: /wiki/Heuristic_(computer_science)
","CloudAV , URL: /wiki/Cloud_computing
","Firewall , URL: /wiki/Firewall_(computing)
","IDS , URL: /wiki/Intrusion_Detection_System
","IPS , URL: /wiki/Intrusion_prevention_system
","Sandbox , URL: /wiki/Sandbox_(computer_security)
","Email Security , URL: /wiki/Email_security#Privacy_concerns
","AntiSpam , URL: /wiki/Antispam
","Web protection , URL: /wiki/Web_filter
","Macro protection","Live Update","Support","Settings Import/ Export","MIMA , URL: /wiki/Man-in-the-middle_attack
","License , URL: /wiki/Software_license
","Price","First release","Country of origin","Original author/s","Notes"
"F-Secure , URL: /wiki/F-Secure
","F-Secure Antivirus , URL: /wiki/F-Secure
","Yes","Yes","Yes","Yes","No","No","No","No","?","Yes","No","No","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","1991","Finland , URL: /wiki/Finland
","Petri Allas and Risto Siilasmaa","Bitdefender , URL: /wiki/Bitdefender
"
"F-Secure , URL: /wiki/F-Secure
","F-Secure SAFE , URL: /wiki/F-Secure
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2004","Finland , URL: /wiki/Finland
","Petri Allas and Risto Siilasmaa","Bitdefender , URL: /wiki/Bitdefender
"
"FRISK Software , URL: /wiki/FRISK_Software_International
","F-PROT Antivirus , URL: /wiki/FRISK_Software_International
","Yes","Yes","Yes","Yes","No","No","No","No","?","Yes","No","No","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Trialware , URL: /wiki/Trialware
","1989","Iceland , URL: /wiki/Iceland
","Friðrik Skúlason , URL: /wiki/Fri%C3%B0rik_Sk%C3%BAlason
Dr. Vesselin Bontchev , URL: /w/index.php?title=Vesselin_Bontchev&action=edit&redlink=1
","EOL 2021"
"Fortinet , URL: /wiki/Fortinet
","FortiClient , URL: /wiki/Fortinet
","Yes","Yes","Yes","No","No","Yes","No","No","?","No","No","Yes","No","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2004","United States , URL: /wiki/United_States
","",""
"G Data CyberDefense , URL: /wiki/G_Data_CyberDefense
","G DATA AntiVirus , URL: /wiki/G_Data_CyberDefense
","Yes","Yes","Yes","Yes","No","No","No","No","?","No","No","Yes","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","1987","Germany , URL: /wiki/Germany
","Andreas Lüning and Kai Figge","Bitdefender , URL: /wiki/Bitdefender
"
"G Data CyberDefense , URL: /wiki/G_Data_CyberDefense
","G DATA Internet Security , URL: /wiki/G_Data_CyberDefense
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2004","Germany , URL: /wiki/Germany
","Andreas Lüning and Kai Figge","Bitdefender , URL: /wiki/Bitdefender
"
"G Data CyberDefense , URL: /wiki/G_Data_CyberDefense
","G DATA Total Security , URL: /wiki/G_Data_CyberDefense
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2004","Germany , URL: /wiki/Germany
","Andreas Lüning and Kai Figge","Bitdefender , URL: /wiki/Bitdefender
"
"Kaspersky Lab , URL: /wiki/Kaspersky_Lab
","Kaspersky Anti-Virus , URL: /wiki/Kaspersky_Anti-Virus
","Yes","Yes","Yes","Yes","No","No","No","No","?","Yes","No","Yes","No","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","1997","Russia , URL: /wiki/Russia
","Eugene Kaspersky and Natalia Kaspersky","USG , URL: /wiki/Federal_government_of_the_United_States
"
"Kaspersky Lab , URL: /wiki/Kaspersky_Lab
","Kaspersky Internet Security , URL: /wiki/Kaspersky_Internet_Security
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2007","Russia , URL: /wiki/Russia
","Eugene Kaspersky and Natalia Kaspersky","USG , URL: /wiki/Federal_government_of_the_United_States
"
"Kaspersky Lab , URL: /wiki/Kaspersky_Lab
","Kaspersky Total Security , URL: /wiki/Kaspersky_Total_Security
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","","Russia , URL: /wiki/Russia
","Eugene Kaspersky and Natalia Kaspersky","USG , URL: /wiki/Federal_government_of_the_United_States
"
"Malwarebytes , URL: /wiki/Malwarebytes
","Malwarebytes , URL: /wiki/Malwarebytes_(software)
","Yes","Yes","","","","","","","","","","Yes","","","Yes","","","Proprietary","","2008","United States , URL: /wiki/United_States
","Marcin Kleczynski and Bruce Harrison",""
"McAfee , URL: /wiki/McAfee
","McAfee Antivirus , URL: /wiki/McAfee
","Yes","Yes","Yes","Yes","No","No","No","No","?","Yes","No","No","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","1987","United States , URL: /wiki/United_States
","John McAfee","John McAfee ""uninstall video"" scandal , URL: /wiki/McAfee
"
"McAfee , URL: /wiki/McAfee
","McAfee Internet Security , URL: /wiki/McAfee
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2006","United States , URL: /wiki/United_States
","John McAfee","John McAfee ""uninstall video"" scandal , URL: /wiki/McAfee
"
"Microsoft , URL: /wiki/Microsoft
","Windows Defender , URL: /wiki/Windows_Defender
","Yes","Yes","No","No Only Windows 10","No","Windows Firewall , URL: /wiki/Windows_Firewall
","No","No","?","No","No","No","No","Yes","Yes","No","?","Proprietary , URL: /wiki/Proprietary_software
","Free","2012","United States , URL: /wiki/United_States
","",""
"NANO Security Ltd","NANO Antivirus , URL: /wiki/NANO_Antivirus
","Yes","Yes","No","Yes","No","No","No","No","?","Yes","No","Yes","No","Yes","Yes","No","?","Proprietary , URL: /wiki/Proprietary_software
","Free","2009","Russia , URL: /wiki/Russia
","",""
"NortonLifelock (formerly Symantec) , URL: /wiki/NortonLifeLock
","Norton Internet Security , URL: /wiki/Norton_Internet_Security
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2000","United States , URL: /wiki/United_States
","","backdoor , URL: /wiki/Backdoor_(computing)
"
"NortonLifelock (formerly Symantec) , URL: /wiki/NortonLifeLock
PC Tools , URL: /wiki/PC_Tools_(company)
","Spyware Doctor with AntiVirus , URL: /wiki/Spyware_Doctor
","Yes","Yes","No","No","No","No","No","No","?","No","No","Yes","No","Yes","No","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2003","United States , URL: /wiki/United_States
","",""
"Panda Security , URL: /wiki/Panda_Security
","Panda Antivirus Pro , URL: /wiki/Panda_Security
","Yes","Yes","Yes","Yes","Yes","Yes","No","No","?","No","Yes","No","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","1990","Spain , URL: /wiki/Spain
","Mikel Urizarbarrena",""
"Panda Security , URL: /wiki/Panda_Security
","Panda Internet Security , URL: /wiki/Panda_Security
","Yes","Yes","Yes","Yes","Yes","Yes","No","No","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2002","Spain , URL: /wiki/Spain
","Mikel Urizarbarrena",""
"Panda Security , URL: /wiki/Panda_Security
","Panda Antivirus Free , URL: /wiki/Panda_Security
","Yes","Yes","Yes","Yes","Yes","Yes","No","No","?","No","No","Yes","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Trialware , URL: /wiki/Trialware
","2009","Spain , URL: /wiki/Spain
","",""
"Qihoo 360 , URL: /wiki/Qihoo_360
","360 Total Security , URL: /wiki/360_Total_Security
","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Free","2006","China , URL: /wiki/China
","",""
"Sophos , URL: /wiki/Sophos
","Sophos Anti-Virus , URL: /wiki/Sophos
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","Yes","No","No","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","1988","United Kingdom , URL: /wiki/United_Kingdom
","Jan Hruska and Peter Lammer",""
"Sophos , URL: /wiki/Sophos
","Sophos EndUser Protection , URL: /wiki/Sophos
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2000","United Kingdom , URL: /wiki/United_Kingdom
","Jan Hruska and Peter Lammer",""
"Trend Micro , URL: /wiki/Trend_Micro
","Titanium Antivirus Plus , URL: /wiki/Trend_Micro
","Yes","Yes","Yes","Yes","No","No","No","No","?","No","Yes","No","No","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","1990","Japan , URL: /wiki/Japan
","",""
"Trend Micro , URL: /wiki/Trend_Micro
","Titanium Internet Security , URL: /wiki/Trend_Micro_Internet_Security
","Yes","Yes","Yes","Yes","Yes","No","No","No","?","No","No","Yes","No","Yes","Yes","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2008","Japan , URL: /wiki/Japan
","",""
"VirusBlokAda , URL: /wiki/VirusBlokAda
","Vba32 AntiVirus , URL: /wiki/Vba32_AntiVirus
","Yes","Yes","No","No","No","No","No","No","?","No","No","No","No","No","No","?","?","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2010","Belarus , URL: /wiki/Belarus
","",""
"Company","Software","On-demand scan","On-access scan , URL: /wiki/Real-time_protection
","Boot-time scans","Heuristics , URL: /wiki/Heuristic_(computer_science)
","CloudAV , URL: /wiki/Cloud_computing
","Firewall , URL: /wiki/Firewall_(computing)
","IDS , URL: /wiki/Intrusion_Detection_System
","IPS , URL: /wiki/Intrusion_prevention_system
","Sandbox , URL: /wiki/Sandbox_(computer_security)
","Email Security , URL: /wiki/Email_security#Privacy_concerns
","AntiSpam , URL: /wiki/Antispam
","Web protection , URL: /wiki/Web_filter
","Macro protection","Live-Update","Support","Settings Import/Export","MIMA , URL: /wiki/Man-in-the-middle_attack
","License , URL: /wiki/Software_license
","Price","First release","Country of origin","Original author/s","Notes"
