"Resort name and website","Nearest city","State/province","Peak elevation (ft)","Base elevation (ft)","Vertical drop (ft)","Skiable acreage","Total trails","Total lifts","Avg annual snowfall (in)","Adult weekend lift ticket window price (USD)","Date statistics updated"
"Telluride Ski Resort , URL: /wiki/Telluride_Ski_Resort
","Telluride , URL: /wiki/Telluride,_CO
","Colorado , URL: /wiki/Colorado
","13,150","8,725","4,425","2,000","147","18","309","$149","December 11, 2019"
"Arapahoe Basin , URL: /wiki/Arapahoe_Basin
","Keystone , URL: /wiki/Keystone,_CO
","Colorado , URL: /wiki/Colorado
","13,050","10,520","2,530","1,428","147","9","350","$109","November 5, 2019[29]"
"Pajarito Mountain Ski Area , URL: /wiki/Pajarito_Mountain_Ski_Area
[6] , URL: https://www.pajarito.ski/
","Los Alamos , URL: /wiki/Los_Alamos,_NM
","New Mexico , URL: /wiki/New_Mexico
","10,440","9,000","1,440","750","44","5","163","$59","December 11, 2019[30]"
"Taos Ski Valley , URL: /wiki/Taos_Ski_Valley
[7] , URL: https://www.skitaos.com/
","Taos , URL: /wiki/Taos,_NM
","New Mexico , URL: /wiki/New_Mexico
","12,481","9,200","3,281","1,294","110","14","300","$110","September 9, 2019[31]"
"Ski Santa Fe , URL: /wiki/Ski_Santa_Fe
[8] , URL: https://skisantafe.com/
","Santa Fe , URL: /wiki/Santa_Fe,_NM
","New Mexico , URL: /wiki/New_Mexico
","12,075","10,350","1,725","660","83","7","225","$84","September 9, 2019[32]"
"Big Sky Resort , URL: /wiki/Big_Sky_Resort
","Bozeman , URL: /wiki/Bozeman,_MT
","Montana , URL: /wiki/Montana
","11,166","6,800","4,350","5,800","317","36","400","$170","December 11, 2019[33]"
"Beartooth Basin Summer Ski Area , URL: /wiki/Beartooth_Basin_Summer_Ski_Area
","Red Lodge , URL: /wiki/Red_Lodge,_Montana
","Montana , URL: /wiki/Montana
","10,900","9,900","1,000","600","9","2","","$45","November 7, 2019[34]"
"Jackson Hole Mountain Resort , URL: /wiki/Jackson_Hole_Mountain_Resort
","Teton Village , URL: /wiki/Teton_Village,_WY
","Wyoming , URL: /wiki/Wyoming
","10,450","6,311","4,139","2,500","133","15","459","$140","November 7, 2019[35]"
"Loveland Ski Area , URL: /wiki/Loveland_Ski_Area
","Georgetown , URL: /wiki/Georgetown,_CO
","Colorado , URL: /wiki/Colorado
","13,010","10,800","2,210","1,800","94","11","422","$89","November 7, 2019[36]"
"Revelstoke Mountain Resort , URL: /wiki/Revelstoke_Mountain_Resort
","Revelstoke , URL: /wiki/Revelstoke,_BC
","British Columbia , URL: /wiki/British_Columbia
","7,300","1,680","5,620","3,121","75","5","413","$119","March 16, 2019[37]"
"Mount Ashland Ski Area , URL: /wiki/Mount_Ashland_Ski_Area
","Ashland , URL: /wiki/Ashland,_OR
","Oregon , URL: /wiki/Oregon
","7,533","6,383","1,150","220","23","5","265","$52","September 29, 2019[38]"
"Keystone Resort , URL: /wiki/Keystone_Resort
","Keystone , URL: /wiki/Keystone,_CO
","Colorado , URL: /wiki/Colorado
","12,408","9,280","3,128","3,148","131","20","235","$169","December 11, 2019[39]"
"Breckenridge Ski Resort , URL: /wiki/Breckenridge_Ski_Resort
","Breckenridge , URL: /wiki/Breckenridge,_CO
","Colorado , URL: /wiki/Colorado
","12,998","9,600","3,398","2,908","187","34","353","$189","December 11, 2019[40]"
"Palisades Tahoe , URL: /wiki/Palisades_Tahoe
[9] , URL: https://palisadestahoe.com/
","Truckee , URL: /wiki/Truckee,_CA
","California , URL: /wiki/California
","9,050","6,200","2,850","6,400","277","43","450","$169","December 11, 2019[41]"
"Mammoth Mountain , URL: /wiki/Mammoth_Mountain_Ski_Area
","Mammoth Lakes , URL: /wiki/Mammoth_Lakes,_CA
","California , URL: /wiki/California
","11,053","7,953","3,100","3,500","150","28","420","$179","December 11, 2019[42]"
"Heavenly Mountain Resort , URL: /wiki/Heavenly_Mountain_Resort
[10] , URL: http://www.skiheavenly.com/
","South Lake Tahoe , URL: /wiki/South_Lake_Tahoe,_California
","California , URL: /wiki/California
","10,067","7,200","3,500","4,800","94","30","360","$164","December 11, 2019[43]"
"Mount Shasta Ski Park , URL: /wiki/Mount_Shasta_Ski_Park
","Mount Shasta , URL: /wiki/Mount_Shasta,_CA
","California , URL: /wiki/California
","9,200","7,800","1,435","425","32","4","275","$69","December 11, 2019[44]"
"Boreal , URL: /wiki/Boreal_Mountain_Resort
","Soda Springs , URL: /wiki/Soda_Springs,_Nevada_County,_California
","California , URL: /wiki/California
","7,700","7,200","500","380","41","8","400","$74","December 11, 2019[45]"
"Donner Ski Ranch , URL: /wiki/Donner_Ski_Ranch
","Norden , URL: /wiki/Norden,_California
","California , URL: /wiki/California
","7,781","7,031","750","435","52","8","400","$79","December 11, 2019[46]"
"Homewood , URL: /wiki/Homewood_Mountain_Resort
","Homewood , URL: /wiki/Homewood,_CA
","California , URL: /wiki/California
","7,881","6,223","1,658","1,260","60","7","400","$139","December 11, 2019[47]"
"Kirkwood , URL: /wiki/Kirkwood_Mountain_Resort
","Kirkwood , URL: /wiki/Kirkwood,_CA
","California , URL: /wiki/California
","9,800","7,800","2,000","2,300","86","15","500","$119","October 29, 2019"
"Northstar California , URL: /wiki/Northstar_California
","Truckee , URL: /wiki/Truckee,_CA
","California , URL: /wiki/California
","8,610","6,330","2,280","2,904","93","19","350","$169","December 11, 2019[48]"
"Sierra-at-Tahoe , URL: /wiki/Sierra-at-Tahoe
","Twin Bridges , URL: /wiki/Twin_Bridges,_CA
","California , URL: /wiki/California
","8,852","6,640","2,212","2,000","46","12","480","$110","December 11, 2019[49]"
"Sugar Bowl , URL: /wiki/Sugar_Bowl_Ski_Resort
","Norden , URL: /wiki/Norden,_California
","California , URL: /wiki/California
","8,383","6,883","1,500","1,500","94","13","500","$121","December 11, 2019[50]"
"Soda Springs , URL: https://www.skisodasprings.com/
","Soda Springs , URL: /wiki/Soda_Springs,_Nevada_County,_California
","California , URL: /wiki/California
","7,325","6,673","652","200","15","2","400","$50","December 11, 2019[51]"
"Tahoe Donner , URL: /wiki/Tahoe_Donner_Downhill_Ski_Area
","Truckee , URL: /wiki/Truckee,_CA
","California , URL: /wiki/California
","7,350","6,750","600","120","10","3","400","$94","December 11, 2019[52]"
"Badger Pass , URL: /wiki/Badger_Pass_Ski_Area
","Yosemite National Park , URL: /wiki/Yosemite_National_Park
","California , URL: /wiki/California
","8,000","7,200","800","90","10","5","300","$59","December 11, 2019[53]"
"Bear Valley , URL: /wiki/Bear_Valley_(resort)
","Angels Camp , URL: /wiki/Angels_Camp,_CA
","California , URL: /wiki/California
","8,500","6,600","1,900","1,280","67","10","359","$105","December 11, 2019[54]"
"Dodge Ridge , URL: /wiki/Dodge_Ridge_Ski_Area
","Sonora , URL: /wiki/Sonora,_CA
","California , URL: /wiki/California
","8,200","6,600","1,600","832","62","12","300","$79","December 11, 2019[55]"
"June Mountain , URL: /wiki/June_Mountain
","June Lake , URL: /wiki/June_Lake,_California
","California , URL: /wiki/California
","10,090","7,545","2,590","500","35","7","250","$119","December 11, 2019[56]"
"China Peak , URL: /wiki/Sierra_Summit
","Lakeshore , URL: /wiki/Lakeshore,_Fresno_County,_California
","California , URL: /wiki/California
","8,709","7,030","1,673","1,200","45","11","300","$99","December 11, 2019[57]"
"Alta Sierra , URL: https://www.altasierra.com/
","Wofford Heights , URL: /wiki/Wofford_Heights,_California
","California , URL: /wiki/California
","7,091","6,491","600","","6","2","80[58]","$65","December 11, 2019[59]"
"Buckhorn Ski and Snowboard Club , URL: /wiki/Buckhorn_Ski_and_Snowboard_Club
","Three Points , URL: /wiki/Three_Points,_California
","California , URL: /wiki/California
","7,903","7,203","680","40","5","2","180","Private Club","April 20, 2012"
"Bear Mountain , URL: /wiki/Bear_Mountain_(ski_area)
","Big Bear Lake , URL: /wiki/Big_Bear_Lake,_CA
","California , URL: /wiki/California
","8,805","7,104","1,665","198","24","12","100","$115","December 11, 2019[60]"
"Mount Baldy Ski Lifts , URL: /wiki/Mount_Baldy_Ski_Lifts
","Mount Baldy , URL: /wiki/Mount_Baldy,_California
","California , URL: /wiki/California
","8,600","6,500","2,100","800","26","4","170","$99","December 11, 2019[61]"
"Mount Waterman , URL: /wiki/Mount_Waterman
","Three Points , URL: /wiki/Three_Points,_California
","California , URL: /wiki/California
","8,030","7,000","1,030","150","27","3","180","$60","December 11, 2019[62]"
"Mountain High , URL: /wiki/Mountain_High
","Wrightwood , URL: /wiki/Wrightwood,_CA
","California , URL: /wiki/California
","8,200","6,600","1,600","290","59","13","132[63]","$79","December 11, 2019[64]"
"Snow Summit , URL: /wiki/Snow_Summit
","Big Bear Lake , URL: /wiki/Big_Bear_Lake,_CA
","California , URL: /wiki/California
","8,174","6,965","1,209","240","30","14","100","$115","December 11, 2019[60]"
"Snow Valley Mountain Resort , URL: /wiki/Snow_Valley_Mountain_Resort
","Running Springs , URL: /wiki/Running_Springs,_CA
","California , URL: /wiki/California
","7,841","6,800","1,041","240","29","12","150","$72","December 11, 2019[65]"
"Wolf Creek Ski Area , URL: /wiki/Wolf_Creek_Ski_Area
","Pagosa Springs , URL: /wiki/Pagosa_Springs,_CO
","Colorado , URL: /wiki/Colorado
","11,904","10,300","1,604","1,600","77","7","465","$76","December 11, 2019[66]"
"Kicking Horse Resort , URL: /wiki/Kicking_Horse_Resort
","Golden , URL: /wiki/Golden,_British_Columbia
","British Columbia , URL: /wiki/British_Columbia
","8,218","3,900","4,314","3,486","120","3","295","$73","March 16, 2019[67]"
"Eldora Mountain Resort , URL: /wiki/Eldora_Mountain_Resort
[11] , URL: http://www.eldora.com/
","Nederland , URL: /wiki/Nederland,_Colorado
","Colorado , URL: /wiki/Colorado
","10,600","9,400","1,200","680","53","12","300","$129","December 11, 2019[68]"
"Alyeska Resort , URL: /wiki/Alyeska_Resort
[12] , URL: http://www.alyeskaresort.com/
","Girdwood , URL: /wiki/Girdwood,_Anchorage
","Alaska , URL: /wiki/Alaska
","3,939","250","2,500","1,400","73","9","643","$89","November 7, 2019"
"Marmot Basin , URL: /wiki/Marmot_Basin
[13] , URL: http://www.skimarmot.com/
","Jasper , URL: /wiki/Jasper,_Alberta
","Alberta , URL: /wiki/Alberta
","8,570","5,570","3,000","1,675","86","8","160","$105","September 19, 2019"
"Lake Louise Mountain Resort , URL: /wiki/Lake_Louise_Mountain_Resort
[14] , URL: http://www.skilouise.com/
","Lake Louise , URL: /wiki/Lake_Louise,_Alberta
","Alberta , URL: /wiki/Alberta
","8,650","5,400","3,250","4,200","139","9","180[69]","$84.95[70]","February 14, 2014"
"Big White Ski Resort , URL: /wiki/Big_White_Ski_Resort
[15] , URL: http://www.bigwhite.com/
","Kelowna , URL: /wiki/Kelowna
","British Columbia , URL: /wiki/British_Columbia
","7,606","4,950","2,656","2,800","118","16","294","$76","November 19, 2010"
"Silver Star Mountain Resort , URL: /wiki/Silver_Star_Mountain_Resort
[16] , URL: http://www.skisilverstar.com/
","Vernon , URL: /wiki/Vernon,_British_Columbia
","British Columbia , URL: /wiki/British_Columbia
","6,282","3,789","2,500","3,269","128","12","275","$81","April, 2015[71]"
"Whistler Blackcomb , URL: /wiki/Whistler_Blackcomb
[17] , URL: http://www.whistlerblackcomb.com/
","Whistler , URL: /wiki/Whistler,_British_Columbia
","British Columbia , URL: /wiki/British_Columbia
","7,494","2,140","5,280","8,171","200","26","404","$93","December 23, 2017"
"Steamboat Springs , URL: /wiki/Steamboat_Springs,_Colorado
[18] , URL: http://www.steamboat.com/
","Steamboat Springs , URL: /wiki/Steamboat_Springs,_Colorado
","Colorado , URL: /wiki/Colorado
","10,568","6,900","3,668","2,956","165","16","349","$155","December 11, 2019[72]"
"Copper Mountain (Colorado) , URL: /wiki/Copper_Mountain_(Colorado)
[19] , URL: http://www.coppercolorado.com/
","Frisco , URL: /wiki/Frisco,_Colorado
","Colorado , URL: /wiki/Colorado
","12,313","9,712","2,601","2,450","126","22","282","$190","December 11, 2019[73]"
"Vail Ski Resort , URL: /wiki/Vail_Ski_Resort
","Vail , URL: /wiki/Vail,_Colorado
","Colorado , URL: /wiki/Colorado
","11,570","8,120","3,450","5,289","195","31","354","$209","December 11, 2019[74]"
"Beaver Creek , URL: /wiki/Beaver_Creek_Resort
","Avon , URL: /wiki/Avon,_Colorado
","Colorado , URL: /wiki/Colorado
","11,440","8,100","3,340","2,082","167","24","325","$209","December 11, 2019[75]"
"Winter Park Resort , URL: /wiki/Winter_Park_Resort
","Winter Park , URL: /wiki/Winter_Park,_Colorado
","Colorado , URL: /wiki/Colorado
","12,060","9,000","3,060","3,000","143","25","365","$109","December 8, 2019"
"Saddleback Maine , URL: /wiki/Saddleback_Maine
","Farmington , URL: /wiki/Farmington,_Maine
","Maine , URL: /wiki/Maine
","4,120","2,120","2,000","485","66","5","200","Temporarily Closed","December 11, 2019[76]"
"Boyne Mountain , URL: /wiki/Boyne_Mountain
","Boyne City , URL: /wiki/Boyne_City,_Michigan
","Michigan , URL: /wiki/Michigan
","1,120","620","500","41","60","10","140","$102","December 11, 2019[77]"
"Mountain Creek , URL: /wiki/Mountain_Creek
","Vernon Township , URL: /wiki/Vernon_Township,_New_Jersey
","New Jersey , URL: /wiki/New_Jersey
","1,480","440","1,040","200","41","8","65","$80","December 11, 2019[78]"
"Blue Mountain , URL: /wiki/Blue_Mountain_(ski_resort)
","Collingwood , URL: /wiki/Collingwood,_Ontario
","Ontario , URL: /wiki/Ontario
","1,483","741","742","250","34","15","109","$67",""
"Mt Bachelor , URL: /wiki/Mount_Bachelor_ski_area
[20] , URL: https://web.archive.org/web/20100331205610/http://www.mtbachelor.com/winter/index.html
","Bend , URL: /wiki/Bend,_Oregon
","Oregon , URL: /wiki/Oregon
","9,065","5,700","3,365","4,318","101","11","462","$99","September 29, 2019[79]"
"Mount Hood Meadows , URL: /wiki/Mount_Hood_Meadows
[21] , URL: http://www.skihood.com/
","Portland , URL: /wiki/Portland,_Oregon
","Oregon , URL: /wiki/Oregon
","7,300","4,523","2,777","2,150","85","11","430","$79","December 11, 2019[80]"
"Mont-Sainte-Anne , URL: /wiki/Mont-Sainte-Anne
","Beaupré , URL: /wiki/Sainte-Anne-de-Beaupr%C3%A9,_Quebec
","Quebec , URL: /wiki/Quebec
","2,625","575","2,050","450","65","13","187","$65",""
"Mont Tremblant Resort , URL: /wiki/Mont_Tremblant_Resort
","Mont Tremblant , URL: /wiki/Mont_Tremblant
","Quebec , URL: /wiki/Quebec
","2,870","750","2,120","627","95","14","156","$70.35",""
"Le Massif , URL: /wiki/Le_Massif
","Petite-Rivière-Saint-François , URL: /wiki/Petite-Rivi%C3%A8re-Saint-Fran%C3%A7ois
","Quebec , URL: /wiki/Quebec
","2,645","118","2,527","410","48","4","248","$61",""
"Brian Head , URL: /wiki/Brian_Head_Ski_Resort
","Brian Head , URL: /wiki/Brian_Head,_Utah
","Utah , URL: /wiki/Utah
","11,307","9,600","1,548","650","14","8","370","$45","December 11, 2019[81]"
"Park City Mountain Resort , URL: /wiki/Park_City_Mountain_Resort
","Park City , URL: /wiki/Park_City,_Utah
","Utah , URL: /wiki/Utah
","10,000","6,900","3,100","7,300","348","41","360","$179","December 11, 2019"
"Deer Valley , URL: /wiki/Deer_Valley
","Park City , URL: /wiki/Park_City,_Utah
","Utah , URL: /wiki/Utah
","9,570","6,570","3,000","2,026","100","21","280","$209","December 11, 2019[81]"
"Brighton Ski Resort , URL: /wiki/Brighton_Ski_Resort
[22] , URL: http://www.brightonresort.com
","Salt Lake City , URL: /wiki/Salt_Lake_City
","Utah , URL: /wiki/Utah
","10,500","8,755","1,745","1,500","66","6","500","$99","December 11, 2019[83]"
"Alta Ski Area , URL: /wiki/Alta_Ski_Area
[23] , URL: http://www.alta.com
","Salt Lake City , URL: /wiki/Salt_Lake_City
","Utah , URL: /wiki/Utah
","10,550","8,530","2,020","2,200","116","10","560","$125","December 11, 2019[84]"
"Snowbird , URL: /wiki/Snowbird,_Utah
[24] , URL: http://www.snowbird.com
","Salt Lake City , URL: /wiki/Salt_Lake_City
","Utah , URL: /wiki/Utah
","10,992","7,760","3,240","2,500","85","13","500","$145","December 11, 2019[85]"
"Smuggler's Notch , URL: /wiki/Smuggler%27s_Notch
","Jeffersonville , URL: /wiki/Jeffersonville,_Vermont
","Vermont , URL: /wiki/Vermont
","3,640","1,030","2,610","1,000","78","16","288","$82","December 11, 2019[86]"
"Windham Mountain , URL: /wiki/Windham_Mountain
","Windham , URL: /wiki/Windham,_New_York
","New York , URL: /wiki/New_York_(state)
","3,100","1,500","1,600","279","52","12","100[87]","$98","December 11, 2019[88]"
"Hunter Mountain , URL: /wiki/Hunter_Mountain_(ski_area)
","Hunter , URL: /wiki/Hunter,_New_York
","New York , URL: /wiki/New_York_(state)
","3,200","1,600","1,600","240","58","10","120[89]","$91","December 11, 2019[90]"
"Killington Ski Resort , URL: /wiki/Killington_Ski_Resort
","Killington , URL: /wiki/Killington,_Vermont
","Vermont , URL: /wiki/Vermont
","4,241","1,165","3,050","1,509","155","21","250","$125","December 11, 2019[91]"
"Okemo Mountain , URL: /wiki/Okemo_Mountain
","Ludlow , URL: /wiki/Ludlow_(town),_Vermont
","Vermont , URL: /wiki/Vermont
","3,344","1,144","2,200","632","119","19","200","$119","December 11, 2019[92]"
"Stowe Mountain Resort , URL: /wiki/Stowe_Mountain_Resort
","Stowe , URL: /wiki/Stowe,_Vermont
","Vermont , URL: /wiki/Vermont
","3,719","1,559","2,160","485","116","13","333","$139","December 11, 2019[93]"
"Sugarbush Resort , URL: /wiki/Sugarbush_Resort
","Warren , URL: /wiki/Warren,_Vermont
","Vermont , URL: /wiki/Vermont
","4,083","1,483","2,600","508","111","16","269","$128","December 11, 2019[94]"
"Sugarloaf , URL: /wiki/Sugarloaf_(ski_resort)
","Carrabassett Valley , URL: /wiki/Carrabassett_Valley,_Maine
","Maine , URL: /wiki/Maine
","4,237","1,417","2,820","1,153","154","14","200","$105","December 11, 2019[95]"
"Snowshoe Mountain , URL: /wiki/Snowshoe_Mountain
","Marlinton , URL: /wiki/Marlinton,_West_Virginia
","West Virginia , URL: /wiki/West_Virginia
","4,848","3,348","1,500","244","60","14","180","$109","December 11, 2019[96]"
"Sunshine Village , URL: /wiki/Sunshine_Village
[25] , URL: http://www.skibanff.com/
","Banff , URL: /wiki/Banff,_Alberta
","Alberta , URL: /wiki/Alberta
","8,954","5,440","3,514","3,358","107","12","360","$82","January 19, 2013"
"Mt. Norquay , URL: /wiki/Mt._Norquay
[26] , URL: https://web.archive.org/web/20130201145013/http://banffnorquay.com/
","Banff , URL: /wiki/Banff,_Alberta
","Alberta , URL: /wiki/Alberta
","8,040","5,500","1,650","190","28","5","120","$59","January 19, 2013"
"Grouse Mountain , URL: /wiki/Grouse_Mountain
[27] , URL: http://grousemountain.com//
","North Vancouver , URL: /wiki/North_Vancouver_(district_municipality)
","British Columbia , URL: /wiki/British_Columbia
","4,039","899","1,198","212","26","5","120","$58","April 2, 2013"
"Mount Seymour , URL: /wiki/Mount_Seymour
[28] , URL: http://www.mountseymour.com//
","North Vancouver , URL: /wiki/North_Vancouver_(district_municipality)
","British Columbia , URL: /wiki/British_Columbia
","4,150","935","1,083","200","23","5","394","$51","April 2, 2013"
"Cypress Mountain , URL: /wiki/Cypress_Mountain
[29] , URL: http://cypressmountain.com//
","West Vancouver , URL: /wiki/West_Vancouver,_British_Columbia
","British Columbia , URL: /wiki/British_Columbia
","4,724","2,985","2,001","600","53","6","245","$60","April 2, 2013"
"Stevens Pass , URL: /wiki/Stevens_Pass
[30] , URL: http://stevenspass.com//
","Stevens Pass , URL: /wiki/Stevens_Pass,_Washington
","Washington , URL: /wiki/Washington_(state)
","5,845","4,061","1,800","1,125","37","10","450","$111","December 11, 2019[97]"
"Sun Peaks Resort , URL: /wiki/Sun_Peaks_Resort
","Kamloops , URL: /wiki/Kamloops
","British Columbia , URL: /wiki/British_Columbia
","6,824","3,930","2,894","4,270","135","12","237","$74","December 23, 2017"
"Crystal Mountain , URL: /wiki/Crystal_Mountain_(Washington)
","Enumclaw , URL: /wiki/Enumclaw
","Washington , URL: /wiki/Washington_(state)
","7,012","3,912","3,100","2,600","57","12","350","$96","December 11, 2019[98]"
"Red Mountain Resort , URL: /wiki/Red_Mountain_Resort
[31] , URL: https://web.archive.org/web/20141101081339/http://www.redresort.com/
","Rossland , URL: /wiki/Rossland,_British_Columbia
[32] , URL: https://web.archive.org/web/20141101060814/http://tourismrossland.com//
","British Columbia , URL: /wiki/British_Columbia
","6,807","3,887","2,919","4,200","110","7","300","$74","February 26, 2019"
"Mt Baker , URL: /wiki/Mt_Baker
[33] , URL: https://web.archive.org/web/20151207213740/http://www.mtbaker.us/
","Glacier , URL: /wiki/Glacier
","Washington , URL: /wiki/Washington_(state)
","5,089","3,500","1,589","1,000","31","10","641","$63","December 11, 2019[99]"
"Whiteface Mountain , URL: /wiki/Whiteface_Mountain
","Lake Placid , URL: /wiki/Lake_Placid,_New_York
","New York , URL: /wiki/New_York_(state)
","4,650","1,220","3,430","314","87","11","168[100]","$104","December 11, 2019[101]"
"Powder Mountain , URL: /wiki/Powder_Mountain
","Eden , URL: /wiki/Eden,_Utah
","Utah , URL: /wiki/Utah
","9,422[102]","6,900","2,205","8,464[102]","167","9","500","$95","December 11, 2019[103]"
"Sugar Mountain Resort , URL: /w/index.php?title=Sugar_Mountain_Resort&action=edit&redlink=1
[34] , URL: https://web.archive.org/web/20180306142534/http://www.skisugar.com/
","Banner Elk , URL: /wiki/Banner_Elk,_North_Carolina
","North Carolina , URL: /wiki/North_Carolina
","5,300","4,100","1,200","120","21","8","77","$77","December 11, 2019[104]"
