"Software","Type","Version","Operating systems","Developer","License , URL: /wiki/Software_license
","FDA cleared","Supported Devices","Under Active Development","~Price Bracket"
"Mind WorkStation , URL: https://web.archive.org/web/20120304101754/http://www.transparentcorp.com/products/mindws/index.php
","Neurofeedback , URL: /wiki/Neurofeedback
Biofeedback , URL: /wiki/Biofeedback
","1.3","Windows , URL: /wiki/Microsoft_Windows
","Transparent Corporation","Proprietary , URL: /wiki/Proprietary_software
","No but can use Bioexplorer, Biograph, BioEra links","See Bioexplorer, Biograph, BioEra","",""
"MindReflector , URL: http://www.mindreflector.com/
","Neurofeedback , URL: /wiki/Neurofeedback
","1.1","Windows , URL: /wiki/Microsoft_Windows
","MindReflector Technologies, LLC","Proprietary , URL: /wiki/Proprietary_software
","No","NeuroSky , URL: /wiki/NeuroSky
","",""
"Narbis , URL: http://www.narbis.com/
","Narbis Neurofeedback Smart Glasses","1.0","Android","Narbis","Proprietary , URL: /wiki/Proprietary_software
","""FDA Class II 510(k) Exempt CE, IEC 62368-1:2014 (Second Edition), CFR 47 FCC Part 15 Subpart B EN 61000-3-2:2014 EN 61000-3-3:2013 EN 61326-1:2013""","Narbis Bluetooth Smart Glasses [22]","","$690"
"NeuroField , URL: http://www.neurofield.org/
","Neurofeedback & Analysis","8.7.5","Windows","NeuroField, Inc.","Proprietary","FDA Class II[23]","X3000 Plus[24] and Q20 EEG[25][26]","",""
"neuromore Studio , URL: http://www.neuromore.com/
","Biofeedback , URL: /wiki/Biofeedback
","1.2.0","Windows , URL: /wiki/Microsoft_Windows
Mac OS , URL: /wiki/Mac_OS
Linux , URL: /wiki/Linux
Android , URL: /wiki/Android_(operating_system)
iOS , URL: /wiki/IOS
","neuromore Inc.","Proprietary , URL: /wiki/Proprietary_software
","No","","",""
"NeurOptimal , URL: http://www.zengar.com/
","Neurofeedback , URL: /wiki/Neurofeedback
","3.0","Windows , URL: /wiki/Microsoft_Windows
","Valdeane W. Brown, Ph.D.","Proprietary , URL: /wiki/Proprietary_software
","Unknown – not stated or in FDA database","zAmp[2] from Zengar","",""
"NeuroRT Suite , URL: http://www.mensiatech.com/
","Neuromodulation , URL: /wiki/Neuromodulation
Bio , URL: /wiki/Biofeedback
Neurofeedback , URL: /wiki/Neurofeedback
","2.2","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
Android , URL: /wiki/Android_(operating_system)
","Mensia Technologies","Proprietary , URL: /wiki/Proprietary_software
","Medical device CE class IIa","ANT: All devices Biosemi: ActiveTwo Mk I and ActiveTwo Mk II Brainmaster: Atlantis and Discovery 24 Brain Products: ActiCHamp, BrainAmp series, QuickAmp and vAMP Cognionics: Cognionics64 EGI: NetAmps 300 Emotiv: EPOC g.Tec: gMobilab+ and gUSBamp MindMedia: NeXus32, NeXus10 Mitsar: EEG 202; NeuroElectrics: Enobio OpenEEG: ModularEEG Shimmer TMSi: Porti, Refa, MOBITA, MOBI, MOBI mini Wearable Sensing: DSI24 and DSI6","",""
"NeuroServer , URL: http://openeeg.sourceforge.net/doc/sw/NeuroServer/
","Raw EEG to TCP/IP + EDF converter","0.7.4","Linux , URL: /wiki/Linux
Windows , URL: /wiki/Microsoft_Windows
","[Rudi Cilibrasi]","GPL , URL: /wiki/GPL
","No","","",""
"OpenViBE , URL: /wiki/OpenVibe
","BCI , URL: /wiki/Brain_computer_interface
Neurofeedback , URL: /wiki/Neurofeedback
","0.18","Linux , URL: /wiki/Linux
Windows , URL: /wiki/Microsoft_Windows
","INRIA , URL: http://openvibe.inria.fr/
","AGPL-3 , URL: /wiki/Affero_General_Public_License
","No","List of compatible systems , URL: http://openvibe.inria.fr/supported-hardware/
","",""
"SmartMind , URL: http://www.braintrain.com/professionals/smartmind_neurofeedback/smartmind.htm
","Neurofeedback , URL: /wiki/Neurofeedback
","v2010","Windows , URL: /wiki/Microsoft_Windows
","BrainTrain, Inc.","Proprietary , URL: /wiki/Proprietary_software
","Unknown – not stated or in FDA database","Smartmind,[2] Brainmaster,[4] Thought Technology,[4] J&J,[4] Pocket Neurobics,[1] NeuroSky[2]","",""
"Myndlift , URL: http://www.myndlift.com/
","Neurofeedback , URL: /wiki/Neurofeedback
","?","Android , URL: /wiki/Android_(operating_system)
iOS , URL: /wiki/IOS
","Myndlift LTD","Proprietary , URL: /wiki/Proprietary_software
","No","Muse","",""
"Vilistus , URL: http://www.vilistus.com
","Neurofeedback , URL: /wiki/Neurofeedback
Biofeedback , URL: /wiki/Biofeedback
","v5.2.5","Windows , URL: /wiki/Windows
","Stephen Clark","Proprietary","No","Vilistus","",""
