"Audio compression format , URL: /wiki/Audio_compression_format
","Algorithm , URL: /wiki/Algorithm
","Sample rate , URL: /wiki/Sampling_frequency
","Bit rate , URL: /wiki/Bit_rate
","Latency , URL: /wiki/Latency_(audio)
","CBR , URL: /wiki/Constant_bit_rate
","VBR , URL: /wiki/Variable_bit_rate
","Stereo , URL: /wiki/Stereophonic_sound
","Multichannel , URL: /wiki/Surround_sound
"
"E-AC3 , URL: /wiki/E-AC3
","MDCT , URL: /wiki/Modified_discrete_cosine_transform
","32, 44.1, 48 kHz","32–6144 kbit/s","5.33–48 ms","Yes","No","Yes","Yes: Up to 15 channels"
"E-aptX , URL: /wiki/AptX
","Subband , URL: /wiki/Sub-band_coding
ADPCM , URL: /wiki/ADPCM
","15–48 kHz","60, 384, 767, 1024 kbit/s, 1.28 Mbit/s","?","Yes (4:1)","No","Yes","Yes: Up to 8 channels"
"GSM-HR , URL: /wiki/Half_Rate
","VSELP , URL: /wiki/Vector_sum_excited_linear_prediction
","8 kHz","5.6 kbit/s","25 ms","Yes","No","No","No"
"GSM-FR , URL: /wiki/GSM-FR
","RPE-LTP , URL: /wiki/Long_Term_Prediction
","8 kHz","13 kbit/s","20–30 ms","Yes","No","No","No"
"GSM-EFR , URL: /wiki/GSM-EFR
","ACELP , URL: /wiki/ACELP
","8 kHz","12.2 kbit/s","20–30 ms","Yes","No","No","No"
"HE-AAC , URL: /wiki/HE-AAC
","?","22 ~ 96 kHz","16 ~ 80 kbit/s","?","Yes","Yes","Intensity , URL: /wiki/Stereophonic_sound#Recording_methods
","Yes: Up to 48 channels"
"HVXC , URL: /wiki/HVXC
","Speech , URL: /wiki/Speech_encoding
","8 kHz","2, 4 kbit/s","36 ms","Yes","Yes","No","No"
"iLBC , URL: /wiki/ILBC
","Block Independent LPC , URL: /wiki/Linear_predictive_coding
","8 kHz","13.33, 15.20 kbit/s","25, 40 ms","Yes","No","No","No"
"iSAC , URL: /wiki/Internet_Speech_Audio_Codec
","Transform coding","16, 32 kHz","10–52 kbit/s","33, 63 ms","Yes","Yes","No","No"
"MP3 , URL: /wiki/MPEG-1_Audio_Layer_3
","MDCT , URL: /wiki/Modified_discrete_cosine_transform
Subband , URL: /wiki/Sub-band_coding
","8, 11.025, 12, 16, 22.05, 24, 32, 44.1, 48 kHz","8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160, 192, 224, 256, 288, 320 kbit/s",">100 ms","Yes","Yes","Intensity , URL: /wiki/Stereophonic_sound#Recording_methods
","No"
"MPEG-1 Audio Layer II , URL: /wiki/MPEG-1_Audio_Layer_II
","Subband , URL: /wiki/Sub-band_coding
","32, 44.1, 48 kHz","32, 48, 56, 64, 80, 96, 112, 128, 160, 192, 224, 256, 320, 384 kbit/s","","Yes","Yes: but decoders are not required to support it","Intensity , URL: /wiki/Stereophonic_sound#Recording_methods
","No"
"MPEG-2 Audio Layer II , URL: /wiki/MPEG-2_Audio_Layer_II
","Subband , URL: /wiki/Sub-band_coding
","16, 22.05, 24 kHz[53][54]","8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160 kbit/s[53]","","Yes","Yes: but decoders are not required to support it","Yes","MPEG Multichannel , URL: /wiki/MPEG_Multichannel
"
"Musepack , URL: /wiki/Musepack
","Subband , URL: /wiki/Sub-band_coding
","32, 37.8, 44.1, 48 kHz","20–350 kbit/s","?","No","Yes","Yes","Yes: Up to 8 channels"
"Opus , URL: /wiki/Opus_(codec)
","MDCT , URL: /wiki/Modified_discrete_cosine_transform
LPC , URL: /wiki/Linear_predictive_coding
LTP , URL: /wiki/Long_Term_Prediction
","8–48 kHz","6–510 kbit/s","5–66.5 ms","Yes","Yes","Yes","Yes: Up to 255 channels[55]"
"RealAudio , URL: /wiki/RealAudio
","MDCT , URL: /wiki/Modified_discrete_cosine_transform
","article , URL: /wiki/RealAudio
","article , URL: /wiki/RealAudio
","Varies","Yes","Yes","Yes","Yes: Up to 6 channels"
"SILK , URL: /wiki/SILK
","LPC , URL: /wiki/Linear_predictive_coding
LTP , URL: /wiki/Long_Term_Prediction
","8, 12, 16, 24 kHz","6–40 kbit/s","25 ms","Yes","?","?","?"
"Siren , URL: /wiki/Siren_Codec
","Derived from PT716plus, MLT","16 kHz","16, 24, 32 kbit/s","40 ms","Yes","No","No","No"
"Siren , URL: /wiki/Siren_Codec
","MLT","32 kHz","24, 32, 48 kbit/s (mono) 48, 64, 96 kbit/s (stereo)","40 ms","Yes","No","Yes","No"
"Siren , URL: /wiki/Siren_Codec
","MLT","48 kHz","32, 48, 64 kbit/s (mono) 64, 96, 128 kbit/s (stereo)","40 ms","Yes","No","Yes","No"
"Speex , URL: /wiki/Speex
","CELP , URL: /wiki/Code-excited_linear_prediction
","8, 16, 32, (48) kHz","NB , URL: /wiki/Narrowband
WB , URL: /wiki/Wideband
","30 ms (NB) 34 ms (WB)","Yes","Yes","Intensity , URL: /wiki/Stereophonic_sound#Recording_methods
","Yes"
"VMR-WB , URL: /wiki/VMR-WB
","ACELP , URL: /wiki/ACELP
","16 kHz","8.55, 4.0, 0.8, 13.3, 6.2, 2.7, 1.0 kbit/s","33.75 ms","Yes","Yes","?","?"
"Vorbis , URL: /wiki/Vorbis
Ogg , URL: /wiki/Ogg
","MDCT , URL: /wiki/Modified_discrete_cosine_transform
","8–192 kHz","45-500 kbit/s (32-500 kbit/s for aoTuV tunings)",">100 ms","Yes/ABR","Yes","Intensity , URL: /wiki/Stereophonic_sound#Recording_methods
","Yes: Up to 255 channels"
"WavPack Lossy , URL: /wiki/WavPack
","Prediction, Quantization","1 Hz to 16.777216 MHz","196 kbit/s and up in lossy mode (for CD audio)","3523.8 ms","Yes","Yes","Yes","Yes: Up to 256 channels"
"Windows Media Audio Standard , URL: /wiki/Windows_Media_Audio#Windows_Media_Audio
","MDCT , URL: /wiki/Modified_discrete_cosine_transform
","8, 11.025, 16, 22.05, 32, 44.1, 48 kHz","8–768 kbit/s",">100 ms","Yes","Yes","Yes","No"
"Windows Media Audio Pro , URL: /wiki/WMA_Pro
","MDCT , URL: /wiki/Modified_discrete_cosine_transform
","8, 11.025, 16, 22.05, 32, 44.1, 48, 88.2, 96 kHz","4–768 kbit/s",">100 ms","Yes","Yes","Yes","Yes: At least 8 channels, expandable"
