"LiteSpeed Web Server , URL: /wiki/LiteSpeed_Web_Server
","LiteSpeed Technologies","Non-free proprietary","5.4.8","2020-07-01"
"Mongoose , URL: /wiki/Mongoose_(web_server)
","Cesanta Software","GNU GPLv2 , URL: /wiki/GNU_General_Public_License#Version_2
","6.18","2020-05-21"
"Monkey HTTP Server , URL: /wiki/Monkey_HTTP_Server
","Monkey Software","Apache , URL: /wiki/Apache_License
","1.6.9","2016-06-04"
"NaviServer , URL: /wiki/NaviServer
","Various","Mozilla 1.1","4.99.23","2021-12-31"
"NCSA HTTPd , URL: /wiki/NCSA_HTTPd
","Robert McCool , URL: /wiki/Robert_McCool
","Non-free proprietary","1.5.2a","1996-10-08 (discontinued)"
"Nginx , URL: /wiki/Nginx
","NGINX, Inc. , URL: /wiki/NGINX,_Inc.
","BSD , URL: /wiki/BSD_licenses
","1.21.0","2021-05-25"
"OpenBSD , URL: /wiki/OpenBSD
","Reyk Floeter","ISC , URL: /wiki/ISC_license
","5.8","2015-08-18"
"OpenLink Virtuoso , URL: /wiki/Virtuoso_Universal_Server
","OpenLink Software","GNU GPL and proprietary versions","8.3.3316","2020-03-10"
"OpenLiteSpeed Web Server","LiteSpeed Technologies","GNU GPL","1.7.6","2020-11-10"
"Oracle HTTP Server , URL: /wiki/Oracle_HTTP_Server
","Oracle Corporation , URL: /wiki/Oracle_Corporation
","Non-free proprietary","12cR2 (12.2.1.4)[2]","Unknown"
"Oracle iPlanet Web Server , URL: /wiki/Oracle_iPlanet_Web_Server
","Oracle Corporation , URL: /wiki/Oracle_Corporation
","BSD , URL: /wiki/BSD_licenses
","7.0.27","2017-10-01"
"Oracle WebLogic Server , URL: /wiki/Oracle_WebLogic_Server
","Oracle Corporation , URL: /wiki/Oracle_Corporation
BEA Systems , URL: /wiki/BEA_Systems
","Non-free proprietary","14c (14.1.1.0) [2]","2020-03-30"
"Resin Open Source , URL: /wiki/Resin_Server
","Caucho Technology , URL: /wiki/Caucho_Technology
","GNU GPLv3 , URL: /wiki/GNU_General_Public_License#Version_3
","4.0.65","2020-07-29"
"Resin Professional , URL: /wiki/Resin_Server
","Caucho Technology","Non-free proprietary","4.0.65","2020-07-29"
"thttpd , URL: /wiki/Thttpd
","Jef Poskanzer , URL: /wiki/Jef_Poskanzer
","BSD , URL: /wiki/BSD_licenses
","2.29","2018-05-24"
"TUX web server , URL: /wiki/TUX_web_server
","Ingo Molnár , URL: /wiki/Ingo_Moln%C3%A1r
","GNU GPL","3.2.6.18","2006-09-20 (discontinued)"
"Wakanda Server , URL: /wiki/Wakanda_(software)
","Wakanda","GNU AGPLv3 , URL: /wiki/GNU_Affero_General_Public_License#Version_3
","2.7.0","2019-04-29 (Discontinued)"
"WEBrick , URL: /wiki/WEBrick
","Ruby Community","BSD , URL: /wiki/BSD_licenses#2-clause
","1.6.0","2019-11-30"
"Web Server for Chrome , URL: https://chrome.google.com/webstore/detail/web-server-for-chrome/ofhbbkphhbklhfoeikjpcbhemlocgigb
","Kyle Graehl","MIT , URL: /wiki/MIT_license
","0.5.2","2021-04-06"
"Xitami , URL: /wiki/Xitami
","iMatix Corporation , URL: /wiki/IMatix_Corporation
","BSD , URL: /wiki/BSD_licenses
","5.0a0","2009-02-19 (discontinued)"
"Yaws , URL: /wiki/Yaws_(web_server)
","Claes Wikström","BSD , URL: /wiki/BSD_licenses
","2.0.7","2019-07-14"
"Zeus Web Server , URL: /wiki/Zeus_Web_Server
","Zeus Technology , URL: /wiki/Zeus_Technology
","Non-free proprietary","4.3r5","2010-01-13 (discontinued)"
"Zope , URL: /wiki/Zope
","Zope Corporation","Zope , URL: /wiki/Zope_Public_License
","2.13.30","2020-02-14"
"Server","Developed by","Software license","Last stable version","Latest release date"
