"","Manufacturer , URL: /wiki/Console_manufacturer
","First public release date","Product line","USD , URL: /wiki/United_States_dollar
","Units sold , URL: /wiki/List_of_best-selling_game_consoles
"
"Nintendo 3DS , URL: /wiki/Nintendo_3DS
","Nintendo","26 February 2011[14]","Nintendo DS","$249.99[15]","72,890,000 (as of June 2018)[16]"
"Nintendo Switch , URL: /wiki/Nintendo_Switch
","Nintendo","3 March 2017","Nintendo Switch","$299.99","49,570,000 (as of March 31, 2020)[17]"
"Nintendo Switch Lite , URL: /wiki/Nintendo_Switch_Lite
","Nintendo","20 September 2019","Nintendo Switch","$199.99","6,190,000 (as of March 31, 2020)[17]"
"Nintendo 2DS , URL: /wiki/Nintendo_2DS
","Nintendo","12 October 2013","Nintendo DS","$79.99",""
"Nintendo 2DS XL , URL: /wiki/New_Nintendo_2DS_XL
","Nintendo","June 15, 2017","Nintendo DS","$149.99",""
"N-Gage , URL: /wiki/N-Gage_(device)
","Nokia , URL: /wiki/Nokia
","7 October 2003","N-Gage","$299[1]","3,000,000[1]"
"N-Gage QD , URL: /wiki/N-Gage_QD
","Nokia","27 July 2004","N-Gage","$0–245 (depending on cell provider subsidies)",""
"Pandora , URL: /wiki/Pandora_(console)
","OpenPandora","22 May 2010","Pandora","$349[18] (1st and 2nd batch) Rebirth edition: €370 (€440 incl. VAT)","7,500[19]"
"PlayStation Portable , URL: /wiki/PlayStation_Portable
","Sony Computer Entertainment , URL: /wiki/Sony_Computer_Entertainment
","12 December 2004","PlayStation , URL: /wiki/PlayStation
","$249.99","[2] , URL: https://web.archive.org/web/20100304185904/http://www.gamezine.co.uk/news/playstation-3-and-xbox-360-worldwide-sales-equal-in-2008-%241264624.htm
"
"PlayStation Portable Slim and Lite , URL: /wiki/PlayStation_Portable#PSP-2000
","Sony Computer Entertainment","5 September 2007","PlayStation","$199.99",""
"PlayStation Vita , URL: /wiki/PlayStation_Vita
","Sony Computer Entertainment , URL: /wiki/Sony_Computer_Entertainment
","17 December 2011","PlayStation , URL: /wiki/PlayStation
","$299.99 Wi-Fi+3G $249.99 Wi-Fi Only","4,000,000 (as of 2015)"
"PocketFami , URL: /wiki/PocketFami
","GameTech","2004","PocketFami","$80",""
"Sega Game Gear , URL: /wiki/Sega_Game_Gear
","Sega , URL: /wiki/Sega
","6 October 1990","Sega Game Gear","$150[1]","11,000,000[1]"
"Sega Nomad , URL: /wiki/Sega_Nomad
","Sega","1995[1]","Sega Nomad","$180[1]","1,000,000[1]"
"SwanCrystal , URL: /wiki/WonderSwan
","Bandai , URL: /wiki/Bandai
","16 November 2002","WonderSwan , URL: /wiki/WonderSwan
","$65",""
"Tapwave Zodiac , URL: /wiki/Tapwave_Zodiac
","Tapwave , URL: /wiki/Tapwave_Zodiac
","1 November 2003","Tapwave Zodiac","$300–400 (depending on configuration)","200,000[1]"
"TurboExpress , URL: /wiki/TurboExpress
","NEC , URL: /wiki/NEC
","1990[1]","TurboExpress","$349[1]","1,500,000[1]"
"VG Pocket , URL: /wiki/Pelican_VG_Pocket
","Pelican Accessories , URL: /w/index.php?title=Pelican_Accessories&action=edit&redlink=1
","August 2006","VG Pocket","$39.99",""
"Watara Supervision , URL: /wiki/Watara_Supervision
","Watara","1992","Supervision","$50[20]",""
"WonderSwan , URL: /wiki/WonderSwan
","Bandai","4 March 1999[21]","WonderSwan","",""
"WonderSwan Color , URL: /wiki/WonderSwan
","Bandai","30 December 2000","WonderSwan","$65",""
"Xperia PLAY , URL: /wiki/Xperia_Play
","Sony Ericsson , URL: /wiki/Sony_Ericsson
","April 1, 2011","Xperia , URL: /wiki/Xperia
","",""
"Steam Deck , URL: /wiki/Steam_Deck
","Valve , URL: /wiki/Valve_Corporation
","December 2021","Steam Deck","$399 64 GB $529 256 GB $649 512 GB",""
