"Driver","802.11 , URL: /wiki/802.11
","802.11 , URL: /wiki/802.11
","802.11 , URL: /wiki/802.11
","802.11 , URL: /wiki/802.11
","802.11 , URL: /wiki/802.11
","802.11 , URL: /wiki/802.11
","802.11 , URL: /wiki/802.11
","Bus interface","Wireless Security","Wireless Security","Wireless Security","Monitor mode , URL: /wiki/Monitor_mode
","AP , URL: /wiki/Wireless_access_point
","Ad-Hoc mode , URL: /wiki/Wireless_ad_hoc_network
","IEEE 802.11s"
"brcmsmac , URL: https://web.archive.org/web/20121029101459/http://linuxwireless.org/en/users/Drivers/brcm80211
","Yes","Yes","Yes","Yes","No","?","?","PCI , URL: /wiki/Peripheral_Component_Interconnect
Mini PCI , URL: /wiki/Mini_PCI
Mini PCIe , URL: /wiki/PCI_Express_Mini_Card
","Yes","Yes","Yes","Yes","Yes [31]","Yes [32]",""
"hostap , URL: https://web.archive.org/web/20080221092622/http://hostap.epitest.fi/
","No","Yes","No","No","No","?","?","PCI , URL: /wiki/Peripheral_Component_Interconnect
Mini PCI , URL: /wiki/Mini_PCI
PC card , URL: /wiki/PC_card
","Yes","Yes [33]","Yes [33]","Yes","Yes","Yes",""
"ipw2100 , URL: http://ipw2100.sourceforge.net/
","No","Yes","No","No","No","?","?","Mini PCI , URL: /wiki/Mini_PCI
","Yes","Yes","Yes","Yes","?","?",""
"ipw2200 , URL: http://ipw2200.sourceforge.net/
","Yes","Yes","Yes","No","No","?","?","Mini PCI , URL: /wiki/Mini_PCI
","Yes","Yes","Yes","Yes","No","Yes",""
"ipw2200-ap , URL: http://ipw2200-ap.sourceforge.net/
","No","Yes","Yes","No","No","?","?","Mini PCI , URL: /wiki/Mini_PCI
","?","?","?","Yes","Yes","?",""
"ipw3945 , URL: http://ipw3945.sourceforge.net/
","Yes","Yes","Yes","No","No","?","?","Mini PCI , URL: /wiki/Mini_PCI
Mini PCIe , URL: /wiki/PCI_Express_Mini_Card
","Yes","Yes","Yes","Yes","No","Yes",""
"islsm , URL: http://www.prism54.org
","?","?","?","?","?","?","?","PCI , URL: /wiki/Peripheral_Component_Interconnect
USB , URL: /wiki/USB
","No","No","No","?","No","?",""
"iwlwifi , URL: https://web.archive.org/web/20120206221202/http://intellinuxwireless.org/?p=iwlwifi
","Yes","Yes","Yes","Yes","Yes","?","?","Mini PCI , URL: /wiki/Mini_PCI
Mini PCIe , URL: /wiki/PCI_Express_Mini_Card
M.2 , URL: /wiki/M.2
","Yes","Yes","Yes","Yes","2.4 GHz only Exp.[34][35]","Yes",""
"libertas , URL: https://web.archive.org/web/20080411175117/http://linuxwireless.org/en/users/Drivers/libertas
","No","Yes","Yes","No","No","?","?","USB , URL: /wiki/USB
CF , URL: /wiki/CompactFlash
SDIO , URL: /wiki/Secure_Digital_card#SDIO
","?","?","?","?","No","?",""
"madwifi , URL: http://madwifi-project.org/
","Yes","Yes","Yes","No","No","?","?","PCI , URL: /wiki/Peripheral_Component_Interconnect
PC card , URL: /wiki/PC_card
Mini PCI , URL: /wiki/Mini_PCI
","Yes","Yes","Yes","Yes","Yes","Yes",""
"mt76 , URL: https://github.com/openwrt/mt76/issues
","Yes","Yes","Yes","Yes","Yes","?","?","PCIe , URL: /wiki/PCI_Express
USB , URL: /wiki/USB
","Yes","Yes","Yes","Yes","Yes","Yes",""
"mt7601u , URL: https://github.com/kuba-moo/mt7601u
","No","Yes","Yes","Yes","No","?","?","USB , URL: /wiki/USB
","Yes","Yes","Yes","Yes","?","?",""
"orinoco , URL: http://www.nongnu.org/orinoco/
","No","Yes","No","No","No","?","?","Mini PCI , URL: /wiki/Mini_PCI
PC card , URL: /wiki/PC_card
","Yes","Yes [36]","No","Yes","No","Yes",""
"p54 , URL: https://web.archive.org/web/20090129114522/http://linuxwireless.org/en/users/Drivers/p54
","No","Yes","Yes","No","No","?","?","Mini PCI , URL: /wiki/Mini_PCI
USB , URL: /wiki/USB
Cardbus , URL: /wiki/Cardbus
","Yes","Yes","Yes","Yes","Yes","Yes",""
"prism54 , URL: https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/tree/drivers/net/wireless/intersil/prism54
","No","Yes","Yes","No","No","?","?","PCI , URL: /wiki/Peripheral_Component_Interconnect
","Yes","No","?","Yes","Yes","?",""
"rndis_wlan , URL: https://web.archive.org/web/20110325121008/http://linuxwireless.org/en/users/Drivers/rndis_wlan
","No","Yes","Yes","No","No","?","?","USB , URL: /wiki/USB
","Yes","Yes","Yes","No","No","Yes",""
"rt2x00 , URL: https://web.archive.org/web/20141120043216/http://rt2x00.serialmonkey.com/
","No","Yes","Yes","No","No","?","?","PCI , URL: /wiki/Peripheral_Component_Interconnect
USB , URL: /wiki/USB
Mini PCI , URL: /wiki/Mini_PCI
","Yes","Yes [37]","Yes [38]","Yes","Yes [39]","Yes",""
"rtl8180 , URL: http://rtl8180-sa2400.sourceforge.net/
","Yes","Yes","Yes","No","No","?","?","PCI , URL: /wiki/Peripheral_Component_Interconnect
PC card , URL: /wiki/PC_card
Mini PCI , URL: /wiki/Mini_PCI
","?","?","?","?","Yes","?",""
"rtl8187 , URL: https://wireless.wiki.kernel.org/en/users/Drivers/rtl8187/
","Yes","Yes","Yes","No","No","?","?","USB , URL: /wiki/USB
","Yes","Yes","Yes","Yes","?","?",""
"zd1201 , URL: http://linux-lc100020.sourceforge.net/
","No","Yes","No","No","No","?","?","USB , URL: /wiki/USB
","Yes","No [40]","No [40]","Yes","Yes","?",""
"zd1211 , URL: https://archive.today/20121225160546/http://zd1211.wiki.sourceforge.net/VendorBasedDriver
","Yes","Yes","Yes","No","No","?","?","USB , URL: /wiki/USB
","Yes","Yes","Yes","Yes","Yes","?",""
"zd1211rw , URL: https://web.archive.org/web/20070406154055/http://zd1211.ath.cx/wiki/DriverRewrite
","No","Yes","Yes","No","No","?","?","USB , URL: /wiki/USB
","Yes","Yes","Yes","Yes","Yes [41]","Yes",""
