"","Version","Operating systems","Office suite , URL: /wiki/Office_suite
","Developer","License , URL: /wiki/Software_license
","ECMA-376","ISO/IEC 29500:2008","Notes"
"Jarte , URL: /wiki/Jarte
","3.0+[18][19]","Windows","Standalone","Carolina Road Software , URL: /w/index.php?title=Carolina_Road_Software&action=edit&redlink=1
","Proprietary , URL: /wiki/Proprietary_software
","Yes","","Import only[20][21]"
"Kingsoft Office , URL: /wiki/Kingsoft_Office
","2009[22] 6.3.0.1733","Windows","Kingsoft Office , URL: /wiki/Kingsoft_Office
","Kingsoft , URL: /wiki/Kingsoft
","Proprietary , URL: /wiki/Proprietary_software
","Yes","","Import only beta support"
"LibreOffice , URL: /wiki/LibreOffice
","All versions","Windows, OS X, Linux, Unix","LibreOffice , URL: /wiki/LibreOffice
","The Document Foundation , URL: /wiki/The_Document_Foundation
","MPL , URL: /wiki/Mozilla_Public_License
","Yes","Yes",""
"Microsoft Office OneNote , URL: /wiki/Microsoft_Office_OneNote
","2007","Windows","Microsoft Office , URL: /wiki/Microsoft_Office
","Microsoft , URL: /wiki/Microsoft
","Proprietary , URL: /wiki/Proprietary_software
","Yes","","Export only"
"Microsoft Office Publisher , URL: /wiki/Microsoft_Office_Publisher
","2013","Windows","Microsoft Office","Microsoft","Proprietary , URL: /wiki/Proprietary_software
","Yes","",""
"Microsoft Office Word , URL: /wiki/Microsoft_Office_Word
","2011 for Mac , URL: /wiki/Microsoft_Office_2011_for_Mac
","Windows, Mac OS X","Microsoft Office","Microsoft","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes",""
"Microsoft Office Mobile , URL: /wiki/Microsoft_Office_Mobile
","6.1[23]","Windows Mobile","Microsoft Office Mobile , URL: /wiki/Microsoft_Office_Mobile
","Microsoft","Proprietary , URL: /wiki/Proprietary_software
","Yes","",""
"Microsoft Works , URL: /wiki/Microsoft_Works
","9[24]","Windows","Microsoft Works , URL: /wiki/Microsoft_Works
","Microsoft","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes",""
"NeoOffice , URL: /wiki/NeoOffice
","2.2.1[25]","Mac OS X","NeoOffice , URL: /wiki/NeoOffice
","Patrick Luby and Edward Peterlin","GPL , URL: /wiki/GPL
","Yes","",""
"Nisus Writer , URL: /wiki/Nisus_Writer
","1.2[26]","Mac OS X v10.4 , URL: /wiki/Mac_OS_X_v10.4
","Standalone","Nisus Software, Inc.","Proprietary , URL: /wiki/Proprietary_software
","Yes","",""
"ONLYOFFICE , URL: /wiki/OnlyOffice
","5.2[27]","Web application , URL: /wiki/Web_application
","ONLYOFFICE , URL: /wiki/OnlyOffice
","Ascensio System SIA","Proprietary , URL: /wiki/Proprietary_software
AGPL , URL: /wiki/GNU_Affero_General_Public_License
","Yes","",""
"OpenOffice Writer , URL: /wiki/OpenOffice.org
","3.0","Windows, Linux, Unix, Mac OS X","OpenOffice.org , URL: /wiki/OpenOffice.org
","Apache OpenOffice","LGPL , URL: /wiki/LGPL
","Yes","","Import only"
"OpenXML Writer , URL: http://www.openxml.biz/OpenXMLWriter.html
","1.0[28]","Windows","Standalone","OpenXML.biz","Ms-RL , URL: /wiki/Ms-RL
","Yes","",""
"Pages , URL: /wiki/Pages_(iWork)
","'08[29]","Mac OS X","iWork , URL: /wiki/IWork
","Apple Inc. , URL: /wiki/Apple_Inc.
","Proprietary , URL: /wiki/Proprietary_software
","Yes","",""
"StarOffice , URL: /wiki/StarOffice
","9[30]","Solaris , URL: /wiki/Solaris_(operating_system)
","StarOffice , URL: /wiki/StarOffice
","Sun Microsystems , URL: /wiki/Sun_Microsystems
","Proprietary , URL: /wiki/Proprietary_software
","Yes","","Import only[31]"
"TextEdit , URL: /wiki/TextEdit
","Mac OS X v10.5 , URL: /wiki/Mac_OS_X_v10.5
","Mac OS X","Standalone","Apple Inc. , URL: /wiki/Apple_Inc.
","BSD , URL: /wiki/BSD
","Yes","","Bundled , URL: /wiki/Product_bundling
"
"TextMaker , URL: /wiki/TextMaker
","2010","Windows CE , URL: /wiki/Windows_CE
Android , URL: /wiki/Android_(operating_system)
","SoftMaker Office , URL: /wiki/SoftMaker_Office
","SoftMaker , URL: /wiki/SoftMaker
","Proprietary , URL: /wiki/Proprietary_software
","Yes","",""
"Thinkfree Office , URL: /wiki/Thinkfree_Office
","[33]","Windows, Mac OS X, Linux","Thinkfree Office , URL: /wiki/Thinkfree_Office
","ThinkFree Corp","Proprietary , URL: /wiki/Proprietary_software
","Yes","",""
"WordPerfect , URL: /wiki/WordPerfect
","X4 (2008)[34]","Windows","Corel , URL: /wiki/Corel
WordPerfect Office , URL: /wiki/WordPerfect_Office
","Corel , URL: /wiki/Corel
","Proprietary , URL: /wiki/Proprietary_software
","Yes","","Import only"
"Zoho Writer , URL: /wiki/Zoho_Office_Suite#Zoho_Writer
","(current)","Web application , URL: /wiki/Web_application
","Zoho Office Suite , URL: /wiki/Zoho_Office_Suite
","AdventNet Inc. , URL: /w/index.php?title=AdventNet_Inc.&action=edit&redlink=1
","Proprietary , URL: /wiki/Proprietary_software
","Yes","",""
"","Version","Operating systems","Office suite","Developer","License","ECMA-376","ISO/IEC 29500:2008","Notes"
