"Name","Hard drive , URL: /wiki/Hard_drive
","File systems , URL: /wiki/File_system
"MS-DOS 8.0 , URL: /wiki/MS-DOS_8.0
Windows Me , URL: /wiki/Windows_Me
","124.55 GB with FAT32[13]","FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"PC DOS 1.0 , URL: /wiki/PC_DOS_1.0
","n/a","FAT12","n/a","160 KB","n/a","No","No"
"PC DOS 1.1 , URL: /wiki/PC_DOS_1.1
","n/a","FAT12","n/a","160 KB; 320 KB (double-sided)","n/a","No","No"
"PC DOS 2.0 , URL: /wiki/PC_DOS_2.0
2.1 , URL: /wiki/PC_DOS_2.1
","16 MB (32 MB with third-party FORMAT)[10]","FAT12","n/a","160 KB; 180 KB; 320 KB; 360 KB","n/a","No","No"
"PC DOS 3.0 , URL: /wiki/PC_DOS_3.0
","32 MB","FAT16 , URL: /wiki/FAT16
","n/a","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"PC DOS 3.1 , URL: /wiki/PC_DOS_3.1
","32 MB","FAT12, FAT16","n/a","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"PC DOS 3.2 , URL: /wiki/PC_DOS_3.2
","32 MB","FAT12, FAT16","720 KB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"PC DOS 3.3 , URL: /wiki/PC_DOS_3.3
","32 MB","FAT12, FAT16","720 KB; 1.44 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"IBM DOS 4.0 , URL: /wiki/IBM_DOS_4.0
","2 GB","FAT16B , URL: /wiki/FAT16B
","720 KB; 1.44 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"IBM DOS 5.0 , URL: /wiki/IBM_DOS_5.0
","2 GB","FAT12, FAT16, FAT16B","720 KB, 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"PC DOS 6.1 , URL: /wiki/PC_DOS_6.1
","2 GB","FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"PC DOS 6.1 , URL: /wiki/PC_DOS_6.1
PC DOS 6.3 , URL: /wiki/PC_DOS_6.3
","2 GB","FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","SuperStor , URL: /wiki/SuperStor
","No"
"PC DOS 7.0 , URL: /wiki/PC_DOS_7.0
PC DOS 2000 , URL: /wiki/PC_DOS_2000
","2 GB","FAT12, FAT16, FAT16B","XDF , URL: /wiki/IBM_Extended_Density_Format
","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB, 1.54 MB (XDF)","n/a","Stacker , URL: /wiki/Stac_Electronics
","No"
"PC DOS 7.10 , URL: /wiki/PC_DOS_7.10
","?","FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 1.86 MB (XDF), 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB, 1.54 MB (XDF)","n/a","Stacker, not on FAT32","No"
"DOS Plus 1.1 , URL: /wiki/DOS_Plus_1.1
","32 MB","CP/M-86 , URL: /wiki/CP/M-86
","CP/M , URL: /wiki/CP/M-86
MSX-DOS , URL: /wiki/MSX-DOS
","CP/M , URL: /wiki/CP/M-86
","n/a","No","No"
"DOS Plus 1.2 , URL: /wiki/DOS_Plus_1.2
2.1 , URL: /wiki/DOS_Plus_2.1
","32 MB","CP/M-86 , URL: /wiki/CP/M-86
","Apricot , URL: /wiki/Apricot_PC
","Acorn , URL: /wiki/BBC_Master_512
CP/M , URL: /wiki/CP/M-86
","n/a","No","No"
"DR DOS 3.31 , URL: /wiki/DR_DOS_3.31
3.35 , URL: /wiki/DR_DOS_3.35
","2 GB[citation needed]","FAT12, FAT16, FAT16B","720 KB; 1.44 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"DR DOS 3.40 , URL: /wiki/DR_DOS_3.40
3.41 , URL: /wiki/DR_DOS_3.41
","2 GB","FAT12, FAT16, FAT16B","720 KB; 1.44 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","(250.25 KB[17])","No","No"
"DR DOS 5.0 , URL: /wiki/DR_DOS_5.0
","2 GB","FAT12, FAT16, FAT16B","720 KB; 1.44 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","(250.25 KB[17])","No","No"
"DR DOS 6.0 , URL: /wiki/DR_DOS_6.0
","2 GB","FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","(250.25 KB[17])","SuperStor","No"
"PalmDOS 1.0 , URL: /wiki/PalmDOS_1.0
","2 GB","FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","(250.25 KB[17])","SuperStor","No"
"Novell DOS 7 , URL: /wiki/Novell_DOS_7
","2 GB","FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","(250.25 KB[17])","Stacker","No"
"OpenDOS 7.01 , URL: /wiki/OpenDOS_7.01
","2 GB","FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","(250.25 KB[17])","Stacker","No"
"DR-OpenDOS 7.02 , URL: /wiki/DR-OpenDOS_7.02
","2 GB","FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","(250.25 KB[17])","Stacker","No"
"DR-DOS 7.02 , URL: /wiki/DR-DOS_7.02
","2 GB","FAT12, FAT16, FAT16B, (FAT32 in FDISK only)","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","(250.25 KB[17])","Stacker","COMMAND.COM , URL: /wiki/COMMAND.COM
LONGNAME , URL: /wiki/LONGNAME
"
"DR-DOS 7.03 , URL: /wiki/DR-DOS_7.03
","2 GB","FAT12, FAT16, FAT16B, (FAT32 in FDISK only)","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","(250.25 KB[17])","Stacker","COMMAND.COM , URL: /wiki/COMMAND.COM
LONGNAME , URL: /wiki/LONGNAME
"
"DR-DOS 7.04 , URL: /wiki/DR-DOS_7.04
7.05 , URL: /wiki/DR-DOS_7.05
","?","FAT12, FAT16, FAT16B, FAT32 (non-bootable)","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","(250.25 KB[17])","Stacker, not on FAT32","COMMAND.COM , URL: /wiki/COMMAND.COM
LONGNAME , URL: /wiki/LONGNAME
"
"DR-DOS 7.06 , URL: /wiki/DR-DOS_7.06
7.07 , URL: /wiki/DR-DOS_7.07
","?","FAT12, FAT16, FAT16B, FAT32 (bootable)","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","(250.25 KB[17])","Stacker, not on FAT32","COMMAND.COM , URL: /wiki/COMMAND.COM
LONGNAME , URL: /wiki/LONGNAME
"
"DR-DOS 8.0","?","FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","(250.25 KB[17])","Supported, not on FAT32","COMMAND.COM , URL: /wiki/COMMAND.COM
"
"DR-DOS 8.1","?","FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB","360 KB; 1.2 MB","n/a","No","No"
"FreeDOS 1.0 , URL: /wiki/FreeDOS_1.0
","2 TB[citation needed]","FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB","360 KB; 1.2 MB","n/a","?","No"
"FreeDOS 1.1 , URL: /wiki/FreeDOS_1.1
1.2 , URL: /wiki/FreeDOS_1.2
","2 TB[citation needed]","FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB","360 KB; 1.2 MB","n/a","No","Yes"
"PTS-DOS , URL: /wiki/PTS-DOS
","?","FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB","360 KB; 1.2 MB","n/a","No","No"
"PTS-DOS 2000 , URL: /wiki/PTS-DOS_2000
","?","FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB","360 KB; 1.2 MB","n/a","No","No"
"PTS-DOS 2000 PRO","?","FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB","360 KB; 1.2 MB","n/a","No","No"
"Datalight ROM-DOS , URL: /wiki/Datalight_ROM-DOS
","?","FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB","360 KB; 1.2 MB","n/a","No","Yes"
"DIP DOS , URL: /wiki/DIP_DOS
","n/a","FAT12","n/a","n/a","n/a","No","No"
