"File system","Hard links , URL: /wiki/Hard_link
","Symbolic links , URL: /wiki/Symbolic_link
","Block journaling , URL: /wiki/Journaling_file_system
","Metadata-only journaling , URL: /wiki/Journaling_file_system
","Case-sensitive , URL: /wiki/Case-sensitive
","Case-preserving , URL: /wiki/Case-preserving
","File Change Log , URL: /wiki/File_Change_Log
","XIP , URL: /wiki/Execute_in_place
"
"NWFS , URL: /wiki/NetWare_File_System
","Yes[bv]","Yes[bv]","No","No","Yes[bt]","Yes[bt]","Yes[bu]","No"
"ODS-2 , URL: /wiki/ODS-2
","Yes","Yes[bw]","No","Yes","No","No","Yes","No"
"ODS-5 , URL: /wiki/ODS-5
","Yes","Yes[bw]","No","Yes","No","Yes","Yes","?"
"UDF , URL: /wiki/Universal_Disk_Format
","Yes","Yes","Yes[bn]","Yes[bn]","Yes","Yes","No","Yes"
"VxFS , URL: /wiki/Veritas_File_System
","Yes","Yes","Yes","No","Yes","Yes","Yes","?"
"Fossil , URL: /wiki/Fossil_(file_system)
","No","No","No","No","Yes","Yes","Yes","No"
"ZFS , URL: /wiki/ZFS
","Yes","Yes","Yes[bx]","No[bx]","Yes","Yes","No","No"
"Btrfs , URL: /wiki/Btrfs
","Yes","Yes","Yes[by]","No","Yes","Yes","?","?"
"Minix V1 , URL: /wiki/MINIX_file_system
","Yes","Yes","No","No","Yes","Yes","No","No"
"Minix V2 , URL: /wiki/MINIX_file_system
","Yes","Yes","No","No","Yes","Yes","No","No"
"Minix V3 , URL: /wiki/MINIX_file_system
","Yes","Yes","No","No","Yes","Yes","No","No"
"VMFS2 , URL: /wiki/VMFS2
","Yes","Yes","No","Yes","Yes","Yes","No","No"
"VMFS3 , URL: /wiki/VMFS3
","Yes","Yes","No","Yes","Yes","Yes","No","No"
"ReFS , URL: /wiki/ReFS
","No","Yes","?","?","Yes[bh]","Yes","?","?"
"ISO 9660 , URL: /wiki/ISO_9660
","No","No","No","No","No","No","No","No"
"Rock Ridge , URL: /wiki/Rock_Ridge
","Yes","Yes","No","No","Yes","Yes","No","No"
"Joliet (""CDFS"") , URL: /wiki/Joliet_(file_system)
","No","No","No","No","No","Yes","No","No"
"SquashFS , URL: /wiki/SquashFS
","Yes","Yes","No","No","Yes","Yes","No","No"
"BlueStore/Cephfs , URL: /wiki/Ceph_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"File system","Hard links , URL: /wiki/Hard_link
","Symbolic links , URL: /wiki/Symbolic_link
","Block journaling , URL: /wiki/Journaling_file_system
","Metadata-only journaling , URL: /wiki/Journaling_file_system
","Case-sensitive , URL: /wiki/Case-sensitive
","Case-preserving , URL: /wiki/Case-preserving
","File Change Log , URL: /wiki/File_Change_Log
","XIP , URL: /wiki/Execute_in_place
"
