"Name","Interface","Type of Client","XOVER , URL: /wiki/XOVER
","PAR , URL: /wiki/Parchive
","NZB , URL: /wiki/NZB
","unZip or unRAR","Integrated Search Service (retention / $$$/yr)","IPv6 , URL: /wiki/IPv6
","SSL/TLS","Audio Video Streaming","Price","Platform , URL: /wiki/Computing_platform
","License","Other"
"slrn , URL: /wiki/Slrn
","text-based , URL: /wiki/Text-based_(computing)
","Traditional Newsreader","Yes","Yes (using macros)","Yes (using macros)","Yes (using macros)","No","Yes","Yes","No","Free","Cross-platform , URL: /wiki/Cross-platform
","GPLv2+ , URL: /wiki/GPL
","S-Lang , URL: /wiki/S-Lang_(programming_language)
"
"Sylpheed , URL: /wiki/Sylpheed
","GUI , URL: /wiki/GUI
","Traditional Newsreader","Yes","No","No","","","","Yes","","Free","Cross-platform , URL: /wiki/Cross-platform
","GPL , URL: /wiki/GPL
LGPL , URL: /wiki/LGPL
","Gtk+"
"tin , URL: /wiki/Tin_(newsreader)
","text-based , URL: /wiki/Text-based_(computing)
","Traditional Newsreader","Yes","No","No","No","","Yes","No","","Free","Unix-like , URL: /wiki/Unix-like
","BSD , URL: /wiki/BSD_licenses
","Free Software , URL: /wiki/Free_Software
"
"Unison , URL: /wiki/Unison_(Usenet_client)
","GUI , URL: /wiki/GUI
","Combination","Yes","Yes","Yes","Yes","","Yes","Yes","Yes (audio only)","Free","Mac OS X , URL: /wiki/Mac_OS_X
","Proprietary , URL: /wiki/Proprietary_software
","Development has ceased. Free but unsupported."
"Usenet Explorer , URL: /wiki/Usenet_Explorer
","GUI , URL: /wiki/GUI
","Combination","Yes","Yes","Yes","Yes","Yes ( 1500 days / $23.34/yr )","Yes","Yes","","$35","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Proprietary , URL: /wiki/Proprietary_software
","Shareware"
"Windows Live Mail , URL: /wiki/Windows_Live_Mail
","GUI , URL: /wiki/GUI
","Traditional Newsreader","Yes","","","","","Yes","","","Free","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Proprietary , URL: /wiki/Proprietary_software
",""
"Windows Mail , URL: /wiki/Windows_Mail
","GUI , URL: /wiki/GUI
","Traditional Newsreader","Yes","","","","","Yes","","","","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Proprietary , URL: /wiki/Proprietary_software
","Windows Vista , URL: /wiki/Windows_Vista
Windows Server 2008 , URL: /wiki/Windows_Server_2008
Windows 10 , URL: /wiki/Windows_10
"
"Xnews , URL: /wiki/Xnews
","GUI , URL: /wiki/GUI
","Combination","Yes","No","No (Can create NBZs)","","","No","","","Free","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Proprietary , URL: /wiki/Proprietary_software
",""
"XPN , URL: /wiki/XPN_(newsreader)
","GUI , URL: /wiki/GUI
","Traditional Newsreader","Yes","No","No","","","","Yes","","Free","Cross-platform , URL: /wiki/Cross-platform
","GPL , URL: /wiki/GPL
",""
"Name","Interface","Type of Client","XOVER , URL: /wiki/XOVER
","PAR , URL: /wiki/Parchive
","NZB , URL: /wiki/NZB
","unZip unRAR","Integrated Search Service (retention / $$$/yr)","IPv6 , URL: /wiki/IPv6
","SSL/TLS","Audio Video Streaming","Price","Platform , URL: /wiki/Platform_(computing)
","License","Other"
