"Licence","Author","Latest version","Publication date","Linking","Distribution","Modification","Patent grant","Private use","Sublicensing","TM grant"
"LaTeX Project Public License , URL: /wiki/LaTeX_Project_Public_License
","LaTeX project","1.3c","?","Permissive","?","Permissive","?","?","?","?"
"Microsoft Public License , URL: /wiki/Microsoft_Public_License
","Microsoft , URL: /wiki/Microsoft
","N/A","?","Copylefted","Copylefted","Copylefted","No","Permissive","?","No"
"MIT license / X11 license , URL: /wiki/MIT_License
","MIT , URL: /wiki/Massachusetts_Institute_of_Technology
","N/A","1988","Permissive[33]","Permissive[33]","Permissive[33]","Manually[33]","Yes[33]","Permissive[33]","Manually[33]"
"Mozilla Public License , URL: /wiki/Mozilla_Public_License
","Mozilla Foundation , URL: /wiki/Mozilla_Foundation
","2.0","2012January 3, 2012","Permissive[34]","Copylefted[34]","Copylefted[34]","Yes[34]","Yes[34]","Copylefted[34]","No[34]"
"Netscape Public License , URL: /wiki/Netscape_Public_License
","Netscape , URL: /wiki/Netscape
","1.1","?","Limited","?","Limited","?","?","?","?"
"Open Software License , URL: /wiki/Open_Software_License
","Lawrence Rosen","3.0","2005","Permissive","Copylefted","Copylefted","Yes","Yes","Copylefted","?"
"OpenSSL license , URL: /wiki/OpenSSL_license
","OpenSSL Project","N/A","?","Permissive","?","Permissive","?","?","?","?"
"PHP License , URL: /wiki/PHP_License
","PHP Group","3.01","2019","With restrictions","With restrictions","With restrictions","Yes","Yes","With restrictions","Manually"
"Python Software Foundation License , URL: /wiki/Python_Software_Foundation_License
","Python Software Foundation","3.9.1","2020-10-05","Permissive","Permissive","Permissive","Yes","Permissive","Permissive","No"
"Q Public License , URL: /wiki/Q_Public_License
","Trolltech , URL: /wiki/Trolltech
","?","?","Limited","?","Limited","?","?","?","?"
"Sleepycat License , URL: /wiki/Sleepycat_License
","Sleepycat Software , URL: /wiki/Sleepycat_Software
","N/A","1996","Permissive","With restrictions","Permissive","No","Yes","No","No"
"Unlicense , URL: /wiki/Unlicense
","unlicense.org","1","2010December 2010","Permissive/Public domain","Permissive/Public domain","Permissive/Public domain","?","Permissive/Public domain","Permissive/Public domain","?"
"W3C Software Notice and License , URL: /wiki/W3C_Software_Notice_and_License
","W3C , URL: /wiki/World_Wide_Web_Consortium
","20021231","2002December 31, 2002","Permissive","?","Permissive","?","?","?","?"
"Do What The Fuck You Want To Public License , URL: /wiki/WTFPL
","Sam Hocevar , URL: /wiki/Sam_Hocevar
","2","2004December 2004","Permissive/Public domain","Permissive/Public domain","Permissive/Public domain","No","Yes","Yes","No"
"XCore Open Source License , URL: /wiki/XCore_Open_Source_License
","XMOS , URL: /wiki/XMOS
","?","2011February 2011","Permissive","Permissive","Permissive","Manually","Yes","Permissive","?"
"XFree86 1.1 License , URL: /wiki/XFree86
","The XFree86 Project, Inc","?","?","Permissive","?","Permissive","?","?","?","?"
"zlib/libpng license , URL: /wiki/Zlib/libpng_license
","Jean-Loup Gailly and Mark Adler","?","?","Permissive","?","Permissive","?","?","?","?"
