"DDC , URL: /wiki/Dewey_Decimal_Classification
","LCC , URL: /wiki/Library_of_Congress_Classification
","Description"
"410","P101–410","Linguistics , URL: /wiki/Linguistics
"
"411","P327–327.5","Writing systems , URL: /wiki/Writing_systems
"
"412","P321–324.5","Etymology , URL: /wiki/Etymology
"
"414","P?","Phonology , URL: /wiki/Phonology
phonetics , URL: /wiki/Phonetics
"
"415","P201–299","Grammar , URL: /wiki/Grammar
"
"419","PM8001–8995","Sign language , URL: /wiki/Sign_language
"
"420","PE","English language , URL: /wiki/English_language
"
"430","PD","Germanic languages , URL: /wiki/Germanic_language
"
"440","PC2001–3761","French language , URL: /wiki/French_language
"
"449","PC3201–3366","Provençal , URL: /wiki/Proven%C3%A7al_dialect
"
"449","PC3801–3976","Catalan , URL: /wiki/Catalan_language
"
"450","PC1001–1977","Italian language , URL: /wiki/Italian_language
"
"459","PC601–872","Romanian language , URL: /wiki/Romanian_language
"
"459","PC901–986","Rhaeto–Romanic language , URL: /wiki/Rhaeto-Romanic_language
"
"460","PC4001–4977","Spanish language , URL: /wiki/Spanish_language
"
"469","PC5001–5498","Portuguese language , URL: /wiki/Portuguese_language
"
"470","PA2001–2915","Latin language , URL: /wiki/Latin
"
"480","PA201–899","Greek language , URL: /wiki/Greek_language
"
"490","P501–769","Indo-European Languages , URL: /wiki/Indo-European_Languages
"
"492","PJ991–995","Afro-Asiatic languages , URL: /wiki/Afro-Asiatic_languages
"
"494","PL1–481","Altaic languages , URL: /wiki/Altaic_languages
"
"495","PL3521–4001","Sino-Tibetan languages , URL: /wiki/Sino-Tibetan_languages
"
"496","PL8000–8844","African languages , URL: /wiki/African_languages
"
"497","PM101–2711","Native American languages , URL: /wiki/Native_American_languages
"
"498","PM3001–4566","Native American languages , URL: /wiki/Native_American_languages
"
"498","PM5001–7356","Native American languages , URL: /wiki/Native_American_languages
"
"500","Q","Natural sciences , URL: /wiki/Natural_sciences
mathematics , URL: /wiki/Mathematics
"
"510","QA","Mathematics , URL: /wiki/Mathematics
"
"512","QA150–272","Algebra , URL: /wiki/Algebra
"
"513","QA101–145","Arithmetic , URL: /wiki/Arithmetic
"
"514","QA612–699","Topology , URL: /wiki/Topology
"
"515","QA299–433","Analysis , URL: /wiki/Mathematical_analysis
Calculus , URL: /wiki/Calculus
"
"516","QA440–611","Geometry , URL: /wiki/Geometry
"
"519","QA273–299","Probability , URL: /wiki/Probability
Statistics , URL: /wiki/Statistics
Numerical analysis , URL: /wiki/Numerical_analysis
"
"520","QB","Astronomy , URL: /wiki/Astronomy
"
"521","QB349–421","Celestial mechanics , URL: /wiki/Celestial_mechanics
"
"530","QC","Physics , URL: /wiki/Physics
"
"531","QC120–168.85","Classical mechanics; Solid mechanics"
"532","QC120–168.85","Fluid mechanics; Liquid mechanics"
"533","QC120–168.85","Gas mechanics"
"534","QC221–246","Sound & related vibrations"
"535","QC350–467","Light & paraphotic phenomena"
"536","QC251–338.5","Heat"
"537","QC501–721","Electricity & electronics"
"538","QC750–766","Magnetism , URL: /wiki/Magnetism
"
"539","QC770–798","Modern physics"
"540","QD","Chemistry , URL: /wiki/Chemistry
"
"541","QD450–801","Physical & theoretical chemistry"
"542","QD1–65","Techniques, equipment, materials"
"543","QD71–142","Analytical chemistry"
"544","QD71–142","Qualitative analysis"
"545","QD71–142","Quantitative analysis"
"546","QD146–197","Inorganic chemistry , URL: /wiki/Inorganic_chemistry
"
"547","QD241–441","Organic chemistry , URL: /wiki/Organic_chemistry
"
"548","QD0001–0999","Crystallography , URL: /wiki/Crystallography
"
"549","QE351–399.2","Mineralogy , URL: /wiki/Mineralogy
"
"550","QE","Earth sciences"
"551","QE","Geology , URL: /wiki/Geology
"
"551","GB651–2998","Hydrology , URL: /wiki/Hydrology
"
"551","QC851–999","Meteorology , URL: /wiki/Meteorology
"
"552","QE420–499","Petrology , URL: /wiki/Petrology
"
"553","QE?","Economic geology , URL: /wiki/Economic_geology
"
"560","QE701–760","Paleontology"
"560","QE7601–899","Paleozoology"
"570","QH301–705.5","Life sciences , URL: /wiki/Life_sciences
Biology , URL: /wiki/Biology
"
"572","QD415–436","Biochemistry , URL: /wiki/Biochemistry
"
"572","GN","Anthropology , URL: /wiki/Anthropology
"
"573","GN49–298","Physical anthropology , URL: /wiki/Physical_anthropology
"
"574","QH301–705.5","Biology , URL: /wiki/Biology
"
"575","QH359–425","Evolution , URL: /wiki/Evolution
"
"575","QH426–470","Genetics , URL: /wiki/Genetics
"
"576","QH573–671","Microbiology , URL: /wiki/Microbiology
"
"577","QH540–549.5","Ecology , URL: /wiki/Ecology
"
"578","QH201–278.5","Microscopy in biology"
"579","QH1–199.5","Collection and preservation"
"580","QK","Botanical sciences"
"581","QK","Botany"
"582","QK474.8–495","Spermatophyta , URL: /wiki/Spermatophyta
"
"585","K494–494.5","Gymnospermae , URL: /wiki/Gymnospermae
"
"586","QK504–638","Cryptogamia , URL: /wiki/Cryptogamia
"
"590","QL","Animals , URL: /wiki/Animal
"
"591","QL1–355","Zoology , URL: /wiki/Zoology
"
"592","QL360–599.82","Invertebrates , URL: /wiki/Invertebrate
"
"593","QL360–599.82","Protozoa , URL: /wiki/Protozoa
Echinodermata , URL: /wiki/Echinodermata
"
"594","QL360–599.82","Mollusca , URL: /wiki/Mollusca
Molluscoidea , URL: /wiki/Molluscoidea
"
"595","QL360–599.82","Other invertebrates"
"596","QL605–739.8","Vertebrata , URL: /wiki/Vertebrata
Craniata , URL: /wiki/Craniata
"
"597","QL614–639.8","Fishes , URL: /wiki/Fish
"
"597","QL640–669.3","Reptiles , URL: /wiki/Reptile
amphibians , URL: /wiki/Amphibian
"
"598","QL671–699","Aves , URL: /wiki/Aves
"
"599","QL700–739.8","Mammalia , URL: /wiki/Mammalia
"
"600","T","Technology , URL: /wiki/Technology
Applied sciences , URL: /wiki/Applied_sciences
"
"607","T61–173","Education"
"607","T175–178","Research"
"608","T201–342","Invention & patents"
"608","Q","Invention , URL: /wiki/Invention
patents , URL: /wiki/Patent
"
"610","R","Medicine , URL: /wiki/Medicine
"
"611","QM","anatomy , URL: /wiki/Anatomy
"
"611","QH573–671","Cytology , URL: /wiki/Cell_biology
"
"611","QM550–577.8","Histology , URL: /wiki/Histology
"
"612","QP","Human physiology"
"615","RM","Pharmacology , URL: /wiki/Pharmacology
Therapeutics , URL: /wiki/Therapeutics
"
"617","RD","Surgery , URL: /wiki/Surgery
"
"618","RG","Gynecology"
"618","R","Other medical specialties"
"619","R735–854","Experimental medicine"
"620","TA","Engineering & allied operations"
"621","TJ","Mechanical engineering , URL: /wiki/Mechanical_engineering
"
"621","QC","Applied physics"
"622","TN","Mining , URL: /wiki/Mining
"
"623","UG1–620","Military engineering , URL: /wiki/Military_engineering
"
"623","VM","Nautical engineering , URL: /wiki/Nautical_engineering
"
"624","TA","Civil engineering , URL: /wiki/Civil_engineering
"
"","TG","Bridge Engineering"
"625","TF","Engineering of railways"
"625","TE","Engineering of highways"
"627","TC1–978","Hydraulic engineering"
"628","TD","Sanitary & engineering"
"628","TD159–168","Municipal engineering"
"629","T","Engineering , URL: /wiki/Engineering
"
"","TK","Electrical Engineering, electronics, nuclear engineering"
"","TL","Motor vehicles, Aeronautics, Astronautix"
"","TP","Chemical Technology"
"630","S","Agriculture , URL: /wiki/Agriculture
"
"631","S1–972","Techniques, equipment, materials"
"632","SB599–990.5","Plant injuries, diseases, pests"
"633","SB317.5–319.864","Horticulture , URL: /wiki/Horticulture
"
"634","SB354–402","Fruits , URL: /wiki/Fruit
"
"634","SD","Forestry , URL: /wiki/Forestry
"
"634","SB169–172.5","Orchards , URL: /wiki/Orchard
"
"636","SF","Animal husbandry , URL: /wiki/Animal_husbandry
"
"637","SF250.5–275","Processing dairy & related products"
"638","SF518–561","Insect culture"
"639","SK","Hunting, fishing"
"639","S604.5–604.64","Conservation"
"640","TX","Home economics , URL: /wiki/Home_economics
"
"650","HD28–70","Management , URL: /wiki/Management
"
"653","Z53–102","Shorthand"
"657","HF5601–5689","Accounting , URL: /wiki/Accounting
"
"658","HD28–70","General management , URL: /wiki/General_management
"
"659","HF5801–6182","Advertising , URL: /wiki/Advertising
"
"660","TP155–156","Chemical engineering"
"670","HD9720–9975","Manufacturing , URL: /wiki/Manufacturing
"
"680","TT","Handicrafts , URL: /wiki/Handicrafts
"
"690","TH","Buildings"
"700","N","Arts , URL: /wiki/Arts
"
"708","N400–3990","Museums , URL: /wiki/Museums
"
"710","SB469–476","Landscape art"
"720","NA","Architecture , URL: /wiki/Architecture
"
"730","NB","Plastic arts , URL: /wiki/Plastic_arts
Sculpture , URL: /wiki/Sculpture
"
"736","NB0001–1952","Carving , URL: /wiki/Sculpture
carvings , URL: /wiki/Sculpture
"
"738","NB0001–1952","Ceramic , URL: /wiki/Ceramic
"
"739","NB0001–1952","Metalwork , URL: /wiki/Metalwork
"
"740","NC","Drawing , URL: /wiki/Drawing
"
"740","NK","Decorative arts , URL: /wiki/Decorative_arts
"
"746","NK8800–9505.5","Textile arts , URL: /wiki/Textile_arts
"
"748","NK5100–5440","Glass , URL: /wiki/Glass
"
"749","NK2200–2750","Furniture , URL: /wiki/Furniture
"
"750","ND","Painting , URL: /wiki/Painting
"
"760","NE","Graphic arts , URL: /wiki/Graphic_arts
Printmaking , URL: /wiki/Printmaking
"
"761","NE1330–1352","Relief processes (Block printing)"
"763","NE2250–2570","Lithography , URL: /wiki/Lithography
"
"764","NE2236–2240.6","Chromolithography & serigraphy"
"765","NE1400–1879","Metal engraving"
"767","NE1940–2232.5","Etching & drypoint"
"770","TR","Photography , URL: /wiki/Photography
photographs , URL: /wiki/Photographs
"
"780","M","Music , URL: /wiki/Music
"
"781","MT","General principles & musical forms"
"782","M1495–5000","Vocal music"
"783","M1528–1529.5","Music for solo voice"
"784","M1000–1075","Orchestras , URL: /wiki/Orchestras
ensembles , URL: /wiki/Musical_ensemble
"
"785","M1000–1075","Ensembles with one instrument per part , URL: /w/index.php?title=Ensembles_with_one_instrument_per_part&action=edit&redlink=1
"
"786","MT180–255","Keyboard instrument , URL: /wiki/Keyboard_instrument
"
"787","MT259–338","String instruments , URL: /wiki/String_instruments
"
"788","MT339–533","Wind instruments , URL: /wiki/Wind_instruments
"
"790","PN1560–1590","Performing arts"
"790","GV","Recreation"
"792","PN2000–3307","Theater , URL: /wiki/Theater
"
"793","GV1221–1469.63","Indoor games & amusements"
"795","GV1301–1311","Games of chance , URL: /wiki/Games_of_chance
"
"796","GV557–1198.995","Sport , URL: /wiki/Sport
"
"797","GV750–770.27","Air sports , URL: /wiki/Air_sports
"
"797","GV770.3–840","Aquatic sports , URL: /wiki/Water_sport_(recreation)
"
"799","SK","Fishing , URL: /wiki/Fishing
Hunting , URL: /wiki/Hunting
Shooting , URL: /wiki/Shooting
"
"800","P","Literature , URL: /wiki/Literature
rhetoric , URL: /wiki/Rhetoric
"
"810","PS","American literature , URL: /wiki/American_literature
"
"820","PR","English literature , URL: /wiki/English_literature
"
"830","PT1–4897","German literature , URL: /wiki/German_literature
"
"840","PQ0001–3999","French literature , URL: /wiki/French_literature
"
"850","PQ4001–5999","Italian literature , URL: /wiki/Italian_literature
"
"860","PQ6001–8929","Spanish literature , URL: /wiki/Spanish_literature
"
"869","PQ9000–9999","Portuguese literature , URL: /wiki/Portuguese_literature
"
"870","PA6001–8595","Latin literature , URL: /wiki/Latin_literature
"
"880","PA3050–5660","Greek literature , URL: /wiki/Greek_literature
"
"890","PN","World literature , URL: /wiki/World_literature
"
"900","G","Geography , URL: /wiki/Geography
"
"900","D","History , URL: /wiki/History
"
"910","G","Geography , URL: /wiki/Geography
"
"911","G141","Historical geography"
"912","GA","Graphic representations of earth"
"914","G1791–2196","Geography of Europe , URL: /wiki/Geography_of_Europe
"
"915","G2200–2444","Geography of Asia , URL: /wiki/Geography_of_Asia
"
"916","G2445–2739","Geography of Africa , URL: /wiki/Geography_of_Africa
"
"917","G1105–1692","Geography of North America , URL: /wiki/Geography_of_North_America
"
"918","G1700–1779","Geography of South America , URL: /wiki/Geography_of_South_America
"
"919","G2740–2799","Geography of Oceania , URL: /wiki/Geography_of_Oceania
"
"920","CT","Biography , URL: /wiki/Biography
"
"920","CS","Genealogy , URL: /wiki/Genealogy
"
"920","CR4480–4485","Insignia"
"930","D51–90","History of ancient world , URL: /wiki/Ancient_history
"
"938","DE","History of the Greco-Roman World"
"940","DAW1031–1051","History of Europe , URL: /wiki/History_of_Europe
"
"942","DA","History of Britain , URL: /wiki/History_of_the_British_Isles
"
"943","DD","History of Germany"
"943.6","DB","History of Austria and Liechtenstein"
"943.9","DB","History of Hungary"
"944","DC","History of France , URL: /wiki/History_of_France
"
"945","DG","History of Italy , URL: /wiki/History_of_Italy
"
"946","DP","Iberian Peninsula , URL: /wiki/Iberian_Peninsula
"
"947","DJK","History of Eastern Europe"
"947","DK","History of Russia , URL: /wiki/History_of_Russia
"
"948","DL","History of Northern Europe; Scandinavia"
"949.2","DH","History of the Netherlands"
"949.3","DH","History of Belgium"
"949.4","DQ","History of Switzerland"
"949.5","DF","History of Greece"
"949.6","DR","History of the Balkan Peninsula"
"950","DS","history of Asia , URL: /wiki/History_of_Asia
"
"951","DS701–799.9","History of China , URL: /wiki/History_of_China
"
"952","DS801–897","History of Japan , URL: /wiki/History_of_Japan
"
"953","DS201–248","History of Saudi Arabia , URL: /wiki/History_of_Saudi_Arabia
"
"954","DS401–486.8","History of India , URL: /wiki/History_of_India
"
"955","DS251–326","History of Iran , URL: /wiki/History_of_Iran
Persia , URL: /wiki/Persia
"
"960","DT","History of Africa , URL: /wiki/History_of_Africa
"
"961","DT211–239","History of Libya , URL: /wiki/History_of_Libya
"
"961","DT241–269","History of Tunisia , URL: /wiki/History_of_Tunisia
"
"962","DT154.1–159.9","History of Sudan , URL: /wiki/History_of_Sudan
"
"962","DT43–154","History of Egypt , URL: /wiki/History_of_Egypt
"
"963","DT371–390","History of Ethiopia , URL: /wiki/History_of_Ethiopia
"
"963","DT391–398","History of Eritrea , URL: /wiki/History_of_Eritrea
"
"965","DT271–299","History of Algeria , URL: /wiki/History_of_Algeria
"
"966","DT470–671","History of West Africa , URL: /wiki/History_of_West_Africa
"
"967","DT?","History of Central Africa , URL: /wiki/History_of_Central_Africa
"
"968","DT1701–2405","History of South Africa , URL: /wiki/History_of_South_Africa
"
"969","DS349.8–349.9","History of South Indian Ocean islands"
"970","F","History of North America , URL: /wiki/History_of_North_America
"
"971","F1001–1145.2","History of Canada , URL: /wiki/History_of_Canada
"
"972","F1421–1440","History of Central America , URL: /wiki/History_of_Central_America
"
"972","F1201–1392","History of Mexico , URL: /wiki/History_of_Mexico
"
"973","E","History of United States , URL: /wiki/History_of_United_States
"
"980","F2201–3799","History of South America , URL: /wiki/History_of_South_America
"
"981","F2501–2659","History of Brazil , URL: /wiki/History_of_Brazil
"
"982","F2801–3021","History of Argentina , URL: /wiki/History_of_Argentina
"
"983","F3051–3285","History of Chile , URL: /wiki/History_of_Chile
"
"984","F3301–3359","History of Bolivia , URL: /wiki/History_of_Bolivia
"
"985","F3401–3619","History of Peru , URL: /wiki/History_of_Peru
"
"987","F2301–2349","History of Venezuela , URL: /wiki/History_of_Venezuela
"
"988","F2351–2471","History of Guiana , URL: /w/index.php?title=History_of_Guiana&action=edit&redlink=1
"
"990","DU","Oceania , URL: /wiki/Oceania
"
"993","DU400–430","History of New Zealand , URL: /wiki/History_of_New_Zealand
"
"994","DU80–398","History of Australia , URL: /wiki/History_of_Australia
"
"995","DU490","History of Melanesia , URL: /wiki/History_of_Melanesia
"
"995","DU739–747","History of New Guinea , URL: /wiki/History_of_New_Guinea
"
"803","AG","Dictionaries and other general reference works"
"069","AM","Museums. Collectors and collecting"
"050","AP","Periodicals"
"060–068","AS","Academies and learned societies"
"030","AY","Yearbooks. Almanacs. Directories"
"001","AZ","History of scholarship and learning. The humanities"
"110–140","BD","Speculative philosophy"
"111.85","BH","Aesthetics"
"200","BL","Mythology"
"230","BT","Doctrinal Theology"
"240–260","BV","Practical Theology"
"280","BX","Christian Denominations"
"","C","Auxiliary Sciences of History , URL: /wiki/Auxiliary_sciences_of_history
"
"909","CB","History of Civilization"
"930.1","CC","Archaeology"
"929.1 – 929.3","CD","Diplomatics. Archives. Seals"
"529","CE","Technical Chronology. Calendar"
"737","CJ","Numismatics"
"411.7","CN","Inscriptions. Epigraphy"
"929.6","CR","Heraldry"
"909.0491497","DX","History of Romanies"
"551.4","GB","Physical geography"
"551.46","GC","Oceanography"
"333.7","GE","Environmental Sciences"
"304","GF","Human ecology. Anthropogeography"
"310","HA","Social science statistics"
"330.9","HC","Economic history and conditions"
"331–338","HD","Industries. Land use. Labor"
"649.1–641.7","HQ","The family. Marriage. Women"
"","HT","Communities. Classes. Races"
"364","HV","Social pathology. Social and public welfare. Criminology"
"335","HX","Socialism. Communism. Anarchism"
"","J","General legislative and executive papers"
"320","JA","Political science (General)"
"320.5","JC","Political theory"
"","JJ","Political institutions and public administration (North America)"
"320.973","JK","Political institutions and public administration (United States)"
"320.971","JL","Political institutions and public administration (Canada, Latin America, etc.)"
"320.94","JN","Political institutions and public administration (Europe)"
"320.95–320.969","JQ","Political institutions and public administration (Asia, Africa, Australia, Pacific Area, etc.)"
"","JV","Colonies and colonization. Emigration and immigration. International migration"
"","KB","Religious law in general. Comparative religious law. Jurisprudence"
"","KD","Law of the United Kingdom, Ireland, America. North America"
"340.971","KE","Law of Canada"
"340.973","KF","Law of United States"
"","KG","Law of Latin America – Mexico and Central America/West Indies. Caribbean area"
"","KH","Law of South America"
"340.94","KJ–KK","Law of Europe"
"340.95–340.969","KL–KW","Law of Asia and Eurasia, Africa, Pacific Area, and Antarctica"
"370.9","LA","History of education"
"370.1","LB","Theory and practice of education"
"","LC","Special aspects of education"
"378.73–378.79","LD","Individual educational institutions – United States"
"378.8","LE","Individual educational institutions – America (except United States)"
"378.4","LF","Individual educational institutions – Europe"
"378.5–378.6","LG","Individual educational institutions – Asia, Africa, Indian Ocean islands, Australia, New Zealand, Pacific islands"
"378","LH","College and school magazines and papers"
"","LJ","Student fraternities and societies, United States"
"","LT","Textbooks"
