"Driver","802.11 , URL: /wiki/802.11
","Bus interface","WEP , URL: /wiki/Wired_Equivalent_Privacy
","WPA , URL: /wiki/Wi-Fi_Protected_Access
","WPA2 , URL: /wiki/Wi-Fi_Protected_Access
","Monitor mode , URL: /wiki/Monitor_mode
","Master mode","Ad-Hoc mode"
"otus , URL: https://man.openbsd.org/otus.4
","802.11a , URL: /wiki/802.11a
802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","USB , URL: /wiki/USB
","Yes","Yes","Yes","Yes","No","No"
"pgt , URL: https://man.openbsd.org/pgt.4
","802.11a , URL: /wiki/802.11a
802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","Cardbus , URL: /wiki/Cardbus
PCI , URL: /wiki/Peripheral_Component_Interconnect
","Yes","No","No","Yes","Yes","Yes"
"ral , URL: https://man.openbsd.org/ral.4
","802.11a , URL: /wiki/802.11a
802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","Cardbus , URL: /wiki/Cardbus
PCI , URL: /wiki/Peripheral_Component_Interconnect
Mini PCI , URL: /wiki/Mini_PCI
","Yes","Yes","Yes","Yes","Yes","Yes"
"ray , URL: https://man.openbsd.org/OpenBSD-5.4/ray.4
","N/A","PC Card , URL: /wiki/PC_Card
","No","No","No","No","No","Yes"
"rtw , URL: https://man.openbsd.org/rtw.4
","802.11b , URL: /wiki/802.11b
","Cardbus , URL: /wiki/Cardbus
PCI , URL: /wiki/Peripheral_Component_Interconnect
","Yes","No","No","Yes","Yes","Yes"
"rtwn , URL: https://man.openbsd.org/rtwn.4
","802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","Mini PCIE , URL: /wiki/Mini_PCIE
","Yes","Yes","Yes","Yes","No","No"
"rum , URL: https://man.openbsd.org/rum.4
","802.11a , URL: /wiki/802.11a
802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","USB , URL: /wiki/USB
","Yes","Yes","Yes","Yes","Yes","Yes"
"run , URL: https://man.openbsd.org/run.4
","802.11a , URL: /wiki/802.11a
802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","USB , URL: /wiki/USB
","Yes","Yes","Yes","Yes","No","No"
"uath , URL: https://man.openbsd.org/uath.4
","802.11a , URL: /wiki/802.11a
802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","USB , URL: /wiki/USB
","Yes","No","No","Yes","No","No"
"upgt , URL: https://man.openbsd.org/upgt.4
","802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","USB , URL: /wiki/USB
","Yes","Yes","Yes","Yes","No","No"
"ural , URL: https://man.openbsd.org/ural.4
","802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","USB , URL: /wiki/USB
","Yes","Yes","Yes","Yes","Yes","Yes"
"urtw , URL: https://man.openbsd.org/urtw.4
","802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","USB , URL: /wiki/USB
","Yes","Yes","Yes","Yes","No","No"
"urtwn , URL: https://man.openbsd.org/urtwn.4
","802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","USB , URL: /wiki/USB
","Yes","Yes","Yes","Yes","No","No"
"wi , URL: https://man.openbsd.org/wi.4
","802.11b , URL: /wiki/802.11b
","PC Card , URL: /wiki/PC_Card
PCI , URL: /wiki/Peripheral_Component_Interconnect
USB , URL: /wiki/USB
","Yes","No","No","No","Yes","Yes"
"wpi , URL: https://man.openbsd.org/wpi.4
","802.11a , URL: /wiki/802.11a
802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","PCI , URL: /wiki/Peripheral_Component_Interconnect
","Yes","Yes","Yes","Yes","No","No"
"zyd , URL: https://man.openbsd.org/zyd.4
","802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","USB , URL: /wiki/USB
","Yes","Yes","Yes","Yes","No","No"
