"Format","Compression algorithm , URL: /wiki/Compression_algorithm
","Raster , URL: /wiki/Raster_graphics
vector , URL: /wiki/Vector_graphics
","Color depth , URL: /wiki/Color_depth
","Indexed color , URL: /wiki/Indexed_color
","Transparency , URL: /wiki/Transparency_in_graphic_files
","Metadata , URL: /wiki/Metadata
","Interlacing , URL: /wiki/Interlace_(bitmaps)
","Multi-page","Animation , URL: /wiki/Animation
","Layers","Color management , URL: /wiki/Color_management
","Extendable","HDR format , URL: /wiki/High_dynamic_range_imaging
"
"KRA , URL: /wiki/Krita
","None","Both","grayscale , URL: /wiki/Grayscale
RGB , URL: /wiki/RGB
XYZ , URL: /wiki/XYZ_color_space
CMYK , URL: /wiki/CMYK
L*a*b* , URL: /wiki/Lab_color_space
YCbCr , URL: /wiki/YCbCr
","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"ORA , URL: /wiki/OpenRaster
","Lossless","Both","1, 2, 4, 8, 16, 24, 32, 48, and 64","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"PAM , URL: /wiki/PAM_graphics_format
","None","Raster","Up to 16","No","Yes","Yes","No","Yes","No","No","No","Yes","No"
"PCX , URL: /wiki/PCX
","RLE , URL: /wiki/Run-length_encoding
","Raster","1, 2, 4, 8, 24 and 32","Yes","Yes","No","No","Yes","No","No","No","No","No"
"PGF , URL: /wiki/Progressive_Graphics_File
","DWT , URL: /wiki/Discrete_Wavelet_Transform
","Raster","grayscale , URL: /wiki/Grayscale
RGB , URL: /wiki/RGB
","Yes","Yes","Yes","Yes","No","No","No","No","Unknown","No"
"PICT , URL: /wiki/PICT
","RLE , URL: /wiki/Run-length_encoding
","Both","1, 2, 4, 8, 16, 24, and 32","Yes","Yes","Yes","Unknown","No","No","No","Unknown","No?","No"
"PLD","Optional ZIP, JPEG","Both","1, 4, 8, 16, 24, 32, 48, and 64","Unknown","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes"
"PNG , URL: /wiki/Portable_Network_Graphics
","deflate , URL: /wiki/Deflate
","Raster","bitmap , URL: /wiki/Binary_image
indexed , URL: /wiki/Indexed_color
grayscale , URL: /wiki/Grayscale
RGB , URL: /wiki/RGB
","Yes","indexed , URL: /wiki/Indexed_color
grayscale , URL: /wiki/Grayscale
RGB , URL: /wiki/RGB
","Yes","Adam7 algorithm , URL: /wiki/Adam7_algorithm
","No","MNG , URL: /wiki/Multiple-image_Network_Graphics
APNG , URL: /wiki/Animated_Portable_Network_Graphics
","No","Yes","Yes, via chunks","No, see discussion"
"PPM , URL: /wiki/Portable_pixmap
","None","Raster","Up to 16","No","No","Yes","No","Yes","No","No","No","No","No"
"PSD and PSB , URL: /wiki/Adobe_Photoshop
","RLE , URL: /wiki/Run-length_encoding
","Both","bitmap , URL: /wiki/Binary_image
duotone , URL: /wiki/Duotone
indexed , URL: /wiki/Indexed_color
grayscale , URL: /wiki/Grayscale
RGB , URL: /wiki/RGB
CMYK , URL: /wiki/CMYK
Lab , URL: /wiki/Lab_color_space
","Yes","indexed , URL: /wiki/Indexed_color
grayscale , URL: /wiki/Grayscale
RGB , URL: /wiki/RGB
CMYK , URL: /wiki/CMYK
Lab , URL: /wiki/Lab_color_space
","Yes","N/A","No","Yes","Yes","Yes","No?","Yes"
"PSP , URL: /wiki/Corel_Paint_Shop_Pro
","None","Both","1, 2, 8, 16, 24, 32, and 48","Yes","alpha channel , URL: /wiki/Alpha_channel
","Yes","No","Unknown","No","Yes","Unknown","Unknown","No"
"SVG , URL: /wiki/Scalable_Vector_Graphics
","gzip , URL: /wiki/Gzip
","Vector[9]","RGB , URL: /wiki/RGB
","No","Yes","Yes","N/A","Yes (1.2 draft)[10]","SMIL , URL: /wiki/Synchronized_Multimedia_Integration_Language
SVG , URL: /wiki/Scalable_Vector_Graphics
","Yes","Yes[11]","XML , URL: /wiki/XML
","N/A"
"TGA , URL: /wiki/Truevision_TGA
","RLE , URL: /wiki/Run-length_encoding
","Raster","1, 2, 4, 8, 16, 24, and 32","Yes","Yes","Yes","No","No","No","No","No","Unknown","No"
"TIFF , URL: /wiki/Tagged_Image_File_Format
","LZW , URL: /wiki/LZW
RLE , URL: /wiki/Run-length_encoding
ZIP , URL: /wiki/ZIP_(file_format)
","Both","1, 2, 4, 8, 16, 24, and 32","Yes (1–8 bit modes)","Yes","Yes","Yes, for JPEG compression","Yes","No","Yes","Yes","Yes, via tags","Yes, TIFF float"
"WebP , URL: /wiki/WebP
","Lossy and lossless","Raster","YUV , URL: /wiki/YUV
YUV , URL: /wiki/YUV
RGB , URL: /wiki/RGB
","Internally in lossless mode, but not user-accessible[12][13]","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No"
"XAML , URL: /wiki/XAML
","None","Vector","32 and 64","No","Yes","Yes","N/A","Yes","Yes","Yes","No","Yes","Yes"
"XCF , URL: /wiki/XCF_(file_format)
","gzip , URL: /wiki/Gzip
bzip2 , URL: /wiki/Bzip2
xz , URL: /wiki/XZ_Utils
","Both","indexed , URL: /wiki/Indexed_color
grayscale , URL: /wiki/Grayscale
RGB , URL: /wiki/RGB
","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes"
"Format","Compression algorithm , URL: /wiki/Compression_algorithm
","Raster , URL: /wiki/Raster_graphics
vector , URL: /wiki/Vector_graphics
","Color depth , URL: /wiki/Color_depth
","Indexed color , URL: /wiki/Indexed_color
","Transparency , URL: /wiki/Transparency_in_graphic_files
","Metadata , URL: /wiki/Metadata
","Interlacing , URL: /wiki/Interlace_(bitmaps)
","Multi-page","Animation , URL: /wiki/Animation
","Layers","Color management , URL: /wiki/Color_management
","Extendable","HDR format , URL: /wiki/High_dynamic_range_imaging
"
