"File archivers","Developer","Initial release","Platform","Latest release","Latest release","License , URL: /wiki/Software_license
","USD , URL: /wiki/United_States_dollar
"
"ALZip , URL: /wiki/ALZip
","ESTsoft , URL: /wiki/ESTsoft
","1999[a]","Windows","
URL: https://www.wikidata.org/wiki/Q294542?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-03-10","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"Archive Manager , URL: /wiki/GNOME_Archive_Manager
","Paolo Bacchilega","2001-05-12","BSD","
URL: https://www.wikidata.org/wiki/Q1143010?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-05-01","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Archive Manager , URL: /wiki/GNOME_Archive_Manager
","Paolo Bacchilega","2001-05-12","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q1143010?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-05-01","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Archive Manager , URL: /wiki/GNOME_Archive_Manager
","Paolo Bacchilega","2001-05-12","Unix","
URL: https://www.wikidata.org/wiki/Q1143010?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-05-01","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Archive Utility , URL: /wiki/Archive_Utility
","Apple Inc. , URL: /wiki/Apple_Inc.
","2003-10-24","macOS","
URL: https://www.wikidata.org/wiki/Q963462?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2014-10-16","Proprietary , URL: /wiki/Proprietary_software
","Bundled[c]"
"Ark , URL: /wiki/Ark_(software)
","KDE , URL: /wiki/KDE
","1997","BSD","
URL: https://www.wikidata.org/wiki/Q671759?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-28","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Ark , URL: /wiki/Ark_(software)
","KDE , URL: /wiki/KDE
","1997","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q671759?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-28","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Ark , URL: /wiki/Ark_(software)
","KDE , URL: /wiki/KDE
","1997","Unix","
URL: https://www.wikidata.org/wiki/Q671759?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-28","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"B1 Free Archiver , URL: /wiki/B1_Free_Archiver
","Adam Buyer","2011-08","Android","
URL: https://www.wikidata.org/wiki/Q15894894?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2019-04-03","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"B1 Free Archiver , URL: /wiki/B1_Free_Archiver
","Adam Buyer","2011-08","BSD","","","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"B1 Free Archiver , URL: /wiki/B1_Free_Archiver
","Adam Buyer","2011-08","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q15894894?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2014-03","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"B1 Free Archiver , URL: /wiki/B1_Free_Archiver
","Adam Buyer","2011-08","macOS","
URL: https://www.wikidata.org/wiki/Q15894894?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2014-03","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"B1 Free Archiver , URL: /wiki/B1_Free_Archiver
","Adam Buyer","2011-08","Unix","","","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"B1 Free Archiver , URL: /wiki/B1_Free_Archiver
","Adam Buyer","2011-08","Windows","
URL: https://www.wikidata.org/wiki/Q15894894?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2015-09","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"BetterZip , URL: /wiki/BetterZip
","MacItBetter","2006-05","macOS","
URL: https://www.wikidata.org/wiki/Q4898429?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-06-17","Proprietary , URL: /wiki/Proprietary_software
","$29.95 USD"
"Commander One , URL: /wiki/Commander_One
","Eltima Software","2015-08-04","macOS","
URL: https://www.wikidata.org/wiki/Q21043313?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-09-10","Proprietary , URL: /wiki/Proprietary_software
","Standard at no cost. $29.95 Pro Pack."
"Compressed Folders , URL: /wiki/ZIP_(file_format)
","Microsoft Inc. , URL: /wiki/Microsoft_Inc.
","1998-06-25","Windows","Windows 8.1 , URL: /wiki/Windows_8.1
","2013-08-27","Proprietary , URL: /wiki/Proprietary_software
","Bundled[d]"
"Disk ARchiver , URL: /wiki/Dar_(disk_archiver)
","Denis Corbin","2002","BSD","
URL: https://www.wikidata.org/wiki/Q3011110?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-05-17","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Disk ARchiver , URL: /wiki/Dar_(disk_archiver)
","Denis Corbin","2002","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q3011110?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-05-17","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Disk ARchiver , URL: /wiki/Dar_(disk_archiver)
","Denis Corbin","2002","macOS","
URL: https://www.wikidata.org/wiki/Q3011110?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-05-17","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Disk ARchiver , URL: /wiki/Dar_(disk_archiver)
","Denis Corbin","2002","Unix","
URL: https://www.wikidata.org/wiki/Q3011110?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-05-17","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Disk ARchiver , URL: /wiki/Dar_(disk_archiver)
","Denis Corbin","2002","Windows","
URL: https://www.wikidata.org/wiki/Q3011110?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-05-17","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Expander , URL: /wiki/Haiku_Applications#Expander
","Haiku, Inc. , URL: /wiki/Haiku,_Inc.
","2002","Haiku","
URL: https://www.wikidata.org/wiki/Q215448?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-07-26","MIT , URL: /wiki/MIT_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Filzip , URL: /wiki/Filzip
","Philipp Engel","Unknown","Windows","","","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"FreeArc , URL: /wiki/FreeArc
","Bulat Ziganshin","2007-11-01[e]","BSD","
URL: https://www.wikidata.org/wiki/Q3495962?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2010-05-20","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"FreeArc , URL: /wiki/FreeArc
","Bulat Ziganshin","2007-11-01[e]","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q3495962?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2010-05-20","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"FreeArc , URL: /wiki/FreeArc
","Bulat Ziganshin","2007-11-01[e]","Unix","
URL: https://www.wikidata.org/wiki/Q3495962?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2010-05-20","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"FreeArc , URL: /wiki/FreeArc
","Bulat Ziganshin","2007-11-01[e]","Windows","
URL: https://www.wikidata.org/wiki/Q3495962?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2010-05-20","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"iArchiver , URL: /wiki/IArchiver
","Dare to be Creative Ltd.","2007-10-21","macOS","1.4.1","2008-10-30","Proprietary , URL: /wiki/Proprietary_software
","$26"
"Info-ZIP , URL: /wiki/Info-ZIP
","Samuel Smith","1989-03","AmigaOS","6.0","2009-04-29","Info-Zip[10]","No cost , URL: /wiki/Gratis_versus_libre
"
"Info-ZIP , URL: /wiki/Info-ZIP
","Samuel Smith","1989-03","BSD","6.0","2009-04-29","Info-Zip[10]","No cost , URL: /wiki/Gratis_versus_libre
"
"Info-ZIP , URL: /wiki/Info-ZIP
","Samuel Smith","1989-03","DOS","6.0","2009-04-29","Info-Zip[10]","No cost , URL: /wiki/Gratis_versus_libre
"
"Info-ZIP , URL: /wiki/Info-ZIP
","Samuel Smith","1989-03","GNU/Linux","6.0","2009-04-29","Info-Zip[10]","No cost , URL: /wiki/Gratis_versus_libre
"
"Info-ZIP , URL: /wiki/Info-ZIP
","Samuel Smith","1989-03","macOS","6.0","2009-04-29","Info-Zip[10]","No cost , URL: /wiki/Gratis_versus_libre
"
"Info-ZIP , URL: /wiki/Info-ZIP
","Samuel Smith","1989-03","Unix","6.0","2009-04-29","Info-Zip[10]","No cost , URL: /wiki/Gratis_versus_libre
"
"Info-ZIP , URL: /wiki/Info-ZIP
","Samuel Smith","1989-03","Windows","6.0","2009-04-29","Info-Zip[10]","No cost , URL: /wiki/Gratis_versus_libre
"
"Info-ZIP , URL: /wiki/Info-ZIP
","Samuel Smith","1989-03","Windows Mobile","6.0","2009-04-29","Info-Zip[10]","No cost , URL: /wiki/Gratis_versus_libre
"
"KGB Archiver , URL: /wiki/KGB_Archiver
","Tomasz Pawlak","2006-04-01","Android","
URL: https://www.wikidata.org/wiki/Q2493681?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2006-11-01","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"KGB Archiver , URL: /wiki/KGB_Archiver
","Tomasz Pawlak","2006-04-01","DOS","
URL: https://www.wikidata.org/wiki/Q2493681?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2006-11-01","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"KGB Archiver , URL: /wiki/KGB_Archiver
","Tomasz Pawlak","2006-04-01","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q2493681?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2006-11-01","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"KGB Archiver , URL: /wiki/KGB_Archiver
","Tomasz Pawlak","2006-04-01","macOS","
URL: https://www.wikidata.org/wiki/Q2493681?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2006-11-01","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"KGB Archiver , URL: /wiki/KGB_Archiver
","Tomasz Pawlak","2006-04-01","Windows","
URL: https://www.wikidata.org/wiki/Q2493681?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2006-11-01","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"PeaZip , URL: /wiki/PeaZip
","Giorgio Tani","2006-04-19","BSD","
URL: https://www.wikidata.org/wiki/Q1275912?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-20","LGPL-3.0-or-later , URL: /wiki/GNU_Lesser_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"PeaZip , URL: /wiki/PeaZip
","Giorgio Tani","2006-04-19","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q1275912?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-20","LGPL-3.0-or-later , URL: /wiki/GNU_Lesser_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"PeaZip , URL: /wiki/PeaZip
","Giorgio Tani","2006-04-19","macOS","
URL: https://www.wikidata.org/wiki/Q1275912?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-20","LGPL-3.0-or-later , URL: /wiki/GNU_Lesser_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"PeaZip , URL: /wiki/PeaZip
","Giorgio Tani","2006-04-19","Windows","
URL: https://www.wikidata.org/wiki/Q1275912?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-20","LGPL-3.0-or-later , URL: /wiki/GNU_Lesser_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"PKZIP , URL: /wiki/PKZIP
","Phil Katz , URL: /wiki/Phil_Katz
","1989","AmigaOS","12.4[12]","2009-09","Proprietary , URL: /wiki/Proprietary_software
","$29.00"
"PKZIP , URL: /wiki/PKZIP
","Phil Katz , URL: /wiki/Phil_Katz
","1989","DOS","12.4[12]","2009-09","Proprietary , URL: /wiki/Proprietary_software
","$29.00"
"PKZIP , URL: /wiki/PKZIP
","Phil Katz , URL: /wiki/Phil_Katz
","1989","GNU/Linux","12.4[12]","2009-09","Proprietary , URL: /wiki/Proprietary_software
","$29.00"
"PKZIP , URL: /wiki/PKZIP
","Phil Katz , URL: /wiki/Phil_Katz
","1989","Unix","12.4[12]","2009-09","Proprietary , URL: /wiki/Proprietary_software
","$29.00"
"PKZIP , URL: /wiki/PKZIP
","Phil Katz , URL: /wiki/Phil_Katz
","1989","Windows","12.4[12]","2009-09","Proprietary , URL: /wiki/Proprietary_software
","$29.00"
"PowerArchiver , URL: /wiki/PowerArchiver
","ConexWare","1999-03","macOS","
URL: https://www.wikidata.org/wiki/Q29318?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-01-26","Proprietary , URL: /wiki/Proprietary_software
","$22.95"
"PowerArchiver , URL: /wiki/PowerArchiver
","ConexWare","1999-03","Windows","
URL: https://www.wikidata.org/wiki/Q29318?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-07-06","Proprietary , URL: /wiki/Proprietary_software
","$22.95"
"StuffIt , URL: /wiki/StuffIt
","Smith Micro Software , URL: /wiki/Smith_Micro_Software
","1987","macOS","15.0.7[15]","2011-12-01","Proprietary , URL: /wiki/Proprietary_software
","$49.99 Deluxe.[16] $79.99 French Deluxe.[17] Windows: $14.99 Standard.[18] $29.99 Deluxe.[19] $49.99 French (or German) Deluxe.[20][21] No cost for expander."
"StuffIt , URL: /wiki/StuffIt
","Smith Micro Software , URL: /wiki/Smith_Micro_Software
","1987","Windows","15.0.7[15]","2011-12-01","Proprietary , URL: /wiki/Proprietary_software
","$49.99 Deluxe.[16] $79.99 French Deluxe.[17] Windows: $14.99 Standard.[18] $29.99 Deluxe.[19] $49.99 French (or German) Deluxe.[20][21] No cost for expander."
"TAR , URL: /wiki/Tar_(file_format)
","AT&T , URL: /wiki/American_Telephone_%26_Telegraph
","","BSD tar","3.5.2","2021-08-23","BSD-2-Clause , URL: /wiki/BSD_licenses
","No cost , URL: /wiki/Gratis_versus_libre
"
"TAR , URL: /wiki/Tar_(file_format)
","AT&T , URL: /wiki/American_Telephone_%26_Telegraph
","","GNU tar","
URL: https://www.wikidata.org/wiki/Q21283172?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-02-13","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"TAR , URL: /wiki/Tar_(file_format)
","AT&T , URL: /wiki/American_Telephone_%26_Telegraph
","1987","pdtar","","","Public domain","No cost , URL: /wiki/Gratis_versus_libre
"
"TAR , URL: /wiki/Tar_(file_format)
","AT&T , URL: /wiki/American_Telephone_%26_Telegraph
","1997","star","1.6.0","2019-04-15","CDDL-1.0 , URL: /wiki/Common_Development_and_Distribution_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"The Unarchiver , URL: /wiki/The_Unarchiver
","Circlesoft","2006-07-01","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q788083?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-04-20","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"The Unarchiver , URL: /wiki/The_Unarchiver
","Circlesoft","2006-07-01","macOS","
URL: https://www.wikidata.org/wiki/Q788083?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-04-20","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"The Unarchiver , URL: /wiki/The_Unarchiver
","Circlesoft","2006-07-01","Windows","
URL: https://www.wikidata.org/wiki/Q788083?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-04-20","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"Terse , URL: /wiki/Terse_(file_format)
","IBM","1984-07-01","","","","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"TUGZip , URL: /wiki/TUGZip
","Christian Kindahl","2002-08-18","Windows","
URL: https://www.wikidata.org/wiki/Q515380?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2008-04-02","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
