"","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/BSD
","UNIX , URL: /wiki/UNIX
","AmigaOS , URL: /wiki/AmigaOS
","z/OS , URL: /wiki/Z/OS
","iOS , URL: /wiki/IOS
","Android , URL: /wiki/Android_(operating_system)
","OpenVMS , URL: /wiki/OpenVMS
"
"Mimer SQL , URL: /wiki/Mimer_SQL
","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes"
"MonetDB , URL: /wiki/MonetDB
","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No"
"MySQL , URL: /wiki/MySQL
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes[47]","No"
"Omnis Studio , URL: /wiki/Omnis_Studio
","Yes","Yes","Yes","No","No","No","No","No","No","No"
"OpenEdge , URL: /wiki/OpenEdge_Database
","Yes","No","Yes","No","Yes","No","No","No","No","No"
"OpenLink Virtuoso , URL: /wiki/Virtuoso_Universal_Server
","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No"
"Oracle , URL: /wiki/Oracle_Database
","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes"
"Oracle Rdb , URL: /wiki/Oracle_Rdb
","No","No","No","No","No","No","No","No","No","Yes"
"Pervasive PSQL , URL: /wiki/Pervasive_PSQL
","Yes","Yes (OEM only)","Yes","No","No","No","No","No","No","No"
"Polyhedra , URL: /wiki/Polyhedra_DBMS
","Yes","No","Yes","No","Yes","No","No","No","No","No"
"PostgreSQL , URL: /wiki/PostgreSQL
","Yes","Yes","Yes","Yes","Yes","MorphOS , URL: /wiki/MorphOS
","Linux on IBM Z , URL: /wiki/Linux_on_IBM_Z
","No","Yes","No"
"R:Base , URL: /wiki/R:Base
","Yes","No","No","No","No","No","No","No","No","No"
"Raima Database Manager , URL: /wiki/Raima_Database_Manager
","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No"
"RDM Server , URL: /wiki/RDM_Server
","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No"
"SAP HANA , URL: /wiki/SAP_HANA
","Yes","No","Yes","No","No","No","No","No","No","No"
"solidDB , URL: /wiki/SolidDB
","Yes","No","Yes","No","Yes","No","Linux on IBM Z , URL: /wiki/Linux_on_IBM_Z
","No","No","No"
"SQL Anywhere , URL: /wiki/SQL_Anywhere
","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No"
"SQLBase , URL: /wiki/SQLBase
","Yes","No","Yes","No","No","No","No","No","No","No"
"SQLite , URL: /wiki/SQLite
","Yes","Yes","Yes","Yes","Yes","Yes","Maybe","Yes","Yes","No"
"SQream DB , URL: /wiki/SQream_DB
","No","No","Yes","No","No","No","No","No","No","No"
"Superbase , URL: /wiki/Superbase_database
","Yes","No","No","No","No","Yes","No","No","No","No"
"Superbase NG , URL: /wiki/Superbase_database
","Yes","No","Yes","No","No","No","No","No","No","No"
"Teradata , URL: /wiki/Teradata
","Yes","No","Yes","No","Yes","No","No","No","No","No"
"Tibero , URL: /wiki/Tibero
","Yes","No","Yes","No","Yes","No","No","No","No","No"
"UniData , URL: /wiki/UniData
","Yes","No","Yes","No","Yes","No","No","No","No","No"
"UniVerse , URL: /wiki/UniVerse
","Yes","No","Yes","No","Yes","No","No","No","No","No"
"YugabyteDB , URL: /wiki/YugabyteDB
","Yes","Yes","Yes","No","No","No","No","No","No","No"
"","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/BSD
","UNIX , URL: /wiki/UNIX
","AmigaOS , URL: /wiki/AmigaOS
","z/OS , URL: /wiki/Z/OS
","iOS , URL: /wiki/IOS
","Android , URL: /wiki/Android_(operating_system)
","OpenVMS , URL: /wiki/OpenVMS
"
