"Client","Message file format","Encrypted database","Virtual folders , URL: /wiki/Virtual_folder
","Scheduled backup","New mail notification","New mail notification","New mail notification","New mail notification","Customizable interface","Customizable keybindings","Fragmented messages [Note 1]","regular expressions , URL: /wiki/Regular_expression
","Indexed search , URL: /wiki/Indexed_search
","Search folders [Note 2]","IMAP","IMAP","IMAP","IMAP"
"Netscape Messenger , URL: /wiki/Netscape_Messenger
","mbox , URL: /wiki/Mbox
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","",""
"Netscape Messenger 9 , URL: /wiki/Netscape_Messenger_9
","mbox , URL: /wiki/Mbox
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","",""
"nmh / MH , URL: /wiki/MH_Message_Handling_System
","MH","No","Yes","No","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","No","?","",""
"Opera Mail , URL: /wiki/Opera_Mail
","mbox , URL: /wiki/Mbox
MH , URL: /wiki/MH_Message_Handling_System
","No","Yes (all folders are virtual)","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","?","Yes","",""
"Outlook Express , URL: /wiki/Outlook_Express
","Proprietary","No","No","No","?","Yes","No","Yes","No","No","Yes","?","No","?","?","Yes","",""
"Pegasus Mail , URL: /wiki/Pegasus_Mail
","Proprietary (mbox-like)","No","Yes","No","?","Yes","Yes","Yes","Yes","?","?","Yes","?","Yes","Yes","No[39]","",""
"Pine , URL: /wiki/Pine_(email_client)
","mbox , URL: /wiki/Mbox
MIX , URL: /wiki/MIX_(email)
maildir , URL: /wiki/Maildir
MMDF , URL: /wiki/MMDF
MH , URL: /wiki/MH_Message_Handling_System
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","No","",""
"Pocomail , URL: /wiki/Pocomail
","mbox","Yes","Yes","Yes","?","?","?","?","Yes","?","?","Yes","Yes","Yes","?","?","",""
"RoundCube , URL: /wiki/RoundCube
","[IMAP Server]","?","?","?","Yes","No","No","Yes","Yes","Yes","?","?","?","Yes","Yes","?","",""
"i.Scribe / InScribe , URL: /wiki/Scribe_Mail
","Proprietary , URL: /wiki/Proprietary_format
sqlite , URL: /wiki/Sqlite
","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","Yes","",""
"SeaMonkey , URL: /wiki/SeaMonkey
","mbox , URL: /wiki/Mbox
","?","?","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","Yes","Yes","",""
"SquirrelMail , URL: /wiki/SquirrelMail
","[IMAP Server]","?","?","?","Yes","No","No","Yes","Yes","Yes","?","?","?","Yes","Yes","?","",""
"Sylpheed , URL: /wiki/Sylpheed
","MH , URL: /wiki/MH_Message_Handling_System
","No","Yes","No","?","Yes","?","?","Yes","Yes","No","No [Note 13]","No [Note 13]","Yes","?","No","",""
"The Bat! , URL: /wiki/The_Bat!
","Proprietary","AES 128 , URL: /wiki/AES_128
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes (PCRE 6.2)","No","Yes","Yes","Yes","",""
"Trojitá , URL: /wiki/Trojit%C3%A1
","IMAP , URL: /wiki/IMAP
","No","No","No","No","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","Yes","",""
"Turnpike , URL: /wiki/Turnpike_(software)
","Proprietary","Yes","Yes","?","?","?","?","?","?","?","Yes","?","?","Yes","?","?","",""
"Windows Live Mail , URL: /wiki/Windows_Live_Mail
","File System (.eml)","No","No","No","No","Yes","?","Yes","Yes","No","Yes","No","Yes","Yes","?","?","",""
"Windows Mail , URL: /wiki/Windows_Mail
","?","?","?","?","?","?","?","Yes","?","?","?","?","?","?","?","Yes","",""
"YAM , URL: /wiki/YAM_(Yet_Another_Mailer)
","mbox , URL: /wiki/Mbox
maildir , URL: /wiki/Maildir
","No","No","No","?","?","Yes","Yes","Yes","No","No","No","No","No","No","No","",""
"Zimbra , URL: /wiki/Zimbra
","File system , URL: /wiki/File_system
","No","Yes","Yes","?","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","",""
"Client","Message file format","Encrypted database","Virtual folders , URL: /wiki/Virtual_folder
","Scheduled backup","New mail notification","New mail notification","New mail notification","New mail notification","Customizable interface","Customizable keybindings","Fragmented messages [Note 1]","regular expressions , URL: /wiki/Regular_expression
","Indexed search , URL: /wiki/Indexed_search
","Search folders [Note 2]","IMAP","IMAP","IMAP","IMAP"
"Client","Message file format","Encrypted database","Virtual folders , URL: /wiki/Virtual_folder
","Scheduled backup","ticker","tray icon","tooltip","sound","Customizable interface","Customizable keybindings","Fragmented messages [Note 1]","regular expressions , URL: /wiki/Regular_expression
","Indexed search , URL: /wiki/Indexed_search
","Search folders [Note 2]","","","",""
