"File extension , URL: /wiki/File_extension
","MIME , URL: /wiki/MIME
","Official name[3]","Creation platform[4]","Restoration platform[7]","free software , URL: /wiki/Free_software
","Description"
".pit","","PackIt , URL: /wiki/PackIt
","Classic Mac OS , URL: /wiki/Classic_Mac_OS
","","","obsolete"
".qda","","Quadruple D","Windows , URL: /wiki/Microsoft_Windows
","Windows , URL: /wiki/Microsoft_Windows
","","Delphi , URL: /wiki/Embarcadero_Delphi
byte pair compression , URL: /wiki/Byte_pair_compression
"
".rar","application/x-rar-compressed","RAR , URL: /wiki/RAR_(file_format)
","DOS , URL: /wiki/DOS
","Multiple","Yes","proprietary , URL: /wiki/Proprietary_format
"
".rk","","[3] , URL: http://www.msoftware.biz/products/winrk
","Multiple","Multiple","No","PAQ , URL: /wiki/PAQ
PPMD , URL: /wiki/Prediction_by_partial_matching
"
".sda","","Self Dissolving ARChive","Commodore 64, Commodore 128","Commodore 64, Commodore 128","Yes","SDAs refer to Self Dissolving ARC files, and are based on the Commodore 64 and Commodore 128 versions of ARC, originally written by Chris Smeets. While the files share the same extension, they are not compatible between platforms. That is, an SDA created on a Commodore 64 but run on a Commodore 128 in Commodore 128 mode will crash the machine, and vice versa. The intended successor to SDA is SFX."
".sea","","Self Extracting Archive","Classic Mac OS , URL: /wiki/Classic_Mac_OS
","Classic Mac OS , URL: /wiki/Classic_Mac_OS
","","Mac OS X , URL: /wiki/Mac_OS_X
"
".sen","","Scifer","Multiple","Multiple","Yes","Scifer Archive with internal header"
".sfx","","Self Extracting Archive","Commodore 64, Commodore 128","Commodore 64, Commodore 128","Yes","SFX is a Self Extracting Archive which uses the LHArc compression algorithm. It was originally developed by Chris Smeets on the Commodore platform, and runs primarily using the CS-DOS extension for the Commodore 128. Unlike its predecessor SDA, SFX files will run on both the Commodore 64 and Commodore 128 regardless of which machine they were created on."
".shk","","NuFX , URL: /wiki/ShrinkIt
","Originally Apple II, now multiple","Multiple","Yes","An archive format designed for the Apple II series of computers. The canonical implementation is ShrinkIt, which can operate on disk images as well as files. Preferred compression algorithm is a combination of RLE and 12-bit LZW. Archives can be manipulated with the command-line NuLib tool, or the Windows-based CiderPress."
".sit","application/x-stuffit","StuffIt , URL: /wiki/StuffIt
","Classic Mac OS , URL: /wiki/Classic_Mac_OS
","Classic Mac OS , URL: /wiki/Classic_Mac_OS
","Yes","Apple Macintosh , URL: /wiki/Apple_Macintosh
"
".sitx","application/x-stuffitx","StuffIt X , URL: /wiki/StuffIt_X
","Multiple","Multiple","Yes","The replacement for the .sit format that supports more compression methods, UNIX file permissions, long file names, very large files, more encryption options, data specific compressors (JPEG, Zip, PDF, 24-bit image, MP3). The free StuffIt Expander is available for Windows and OS X."
".sqx","","SQX , URL: /wiki/SQX
","Windows , URL: /wiki/Microsoft_Windows
","Windows , URL: /wiki/Microsoft_Windows
","Yes","A royalty-free compressing format"
".tar.gz, .tgz, .tar.Z, .tar.bz2, .tbz2, .tar.lz, .tlz. .tar.xz, .txz, .tar.zst","application/x-gtar","tar with gzip, compress, bzip2, lzip, xz, or zstd","Multiple","Multiple","Yes","Xarchiver , URL: /wiki/Xarchiver
"
".uc .uc0 .uc2 .ucn .ur2 .ue2","","UltraCompressor II","DOS , URL: /wiki/DOS
","DOS , URL: /wiki/DOS
","","UltraCompressor 2.3 was developed to act as an alternative to the then popular PKZIP application. The main feature of the application is its ability to create large archives. This means that compressed archives with the UC2 file extension can hold almost 1 million files."
".uca","","PerfectCompress[10]","Windows , URL: /wiki/Microsoft_Windows
","Windows , URL: /wiki/Microsoft_Windows
","No","Based on PAQ, RZM, CSC, CCM, and 7zip. The format consists of a PAQ, RZM, CSC, or CCM compressed file and a manifest with compression settings stored in a 7z archive."
".uha","","UHarc","DOS , URL: /wiki/DOS
Windows , URL: /wiki/Microsoft_Windows
","DOS , URL: /wiki/DOS
Windows , URL: /wiki/Microsoft_Windows
","Yes","DOS , URL: /wiki/DOS
"
".war","","WAR , URL: /wiki/WAR_(file_format)
","Multiple","Multiple","Yes","Web Application archive (Java-based web app)"
".wim","application/x-ms-wim","Windows Image , URL: /wiki/Windows_Imaging_Format
","Windows , URL: /wiki/Microsoft_Windows
","Windows , URL: /wiki/Microsoft_Windows
","Yes","Microsoft Windows , URL: /wiki/Microsoft_Windows
"
".xar","application/x-xar","XAR , URL: /wiki/Xar_(archiver)
","Multiple","Multiple","Yes",""
".xp3","","KiriKiri , URL: /wiki/KiriKiri
","Windows , URL: /wiki/Microsoft_Windows
","Windows , URL: /wiki/Microsoft_Windows
","Yes","KiriKiri , URL: /wiki/KiriKiri
Visual Novel , URL: /wiki/Visual_Novel
zlib , URL: /wiki/Zlib
UTF-16 , URL: /wiki/UTF-16
Adler-32 , URL: /wiki/Adler-32
"
".yz1","","YZ1 , URL: /w/index.php?title=Yz1_(file_format)&action=edit&redlink=1
","Windows , URL: /wiki/Microsoft_Windows
DOS , URL: /wiki/DOS
Linux , URL: /wiki/Linux
","Windows , URL: /wiki/Microsoft_Windows
DOS , URL: /wiki/DOS
Linux , URL: /wiki/Linux
","Yes","DeepFreezer , URL: https://ja.wikipedia.org/wiki/DeepFreezer
TUGZip , URL: /wiki/TUGZip
ZipZag , URL: /w/index.php?title=ZipZag&action=edit&redlink=1
"
".zip, .zipx","application/zip","ZIP , URL: /wiki/ZIP_(file_format)
","DOS , URL: /wiki/DOS
","Multiple","Yes","Microsoft Windows , URL: /wiki/Microsoft_Windows
Macintosh , URL: /wiki/Apple_Macintosh
Unix , URL: /wiki/Unix
"
".zoo","application/x-zoo","zoo , URL: /wiki/Zoo_(file_format)
","Multiple","Multiple","Yes",""
".zpaq","","ZPAQ , URL: /wiki/ZPAQ
","Multiple","Multiple","Yes","deduplication , URL: /wiki/Data_deduplication
LZ77 , URL: /wiki/LZ77
BWT , URL: /wiki/Burrows%E2%80%93Wheeler_transform
context mixing , URL: /wiki/Context_mixing
Open source , URL: /wiki/Open-source_license
"
".zz","","Zzip , URL: https://web.archive.org/web/20090201134403/http://debin.net/zzip/
","Multiple","Multiple","Yes","Burrows–Wheeler transform , URL: /wiki/Burrows%E2%80%93Wheeler_transform
"
