"Graphics","Launch","Market","Processor , URL: /wiki/List_of_Intel_microprocessors
","Code name","Device ID , URL: /wiki/Device_driver#Identifiers
","Clock rate , URL: /wiki/Clock_rate
MHz , URL: /wiki/Hertz
","Core config1","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","MB , URL: /wiki/Megabyte
","Memory bandwidth , URL: /wiki/Memory_bandwidth
GB/s , URL: /wiki/Gigabyte_per_second
"
"HD Graphics 400","2016","Ultramobile","Celeron J3060 Celeron J3160","Cherryview Braswell , URL: /wiki/Airmont_microarchitecture
","22B0 22B1 22B2 22B3","","96:12:2","11.2","4.3Windows 4.6Linux ES 3.2Linux","2.0Windows 1.2Linux","1.1Linux","-",""
"HD Graphics 405","2016","Ultramobile","Pentium N3710","Cherryview Braswell , URL: /wiki/Airmont_microarchitecture
","22B0 22B1 22B2 22B3","400-700","128:16:2","11.2","4.3Windows 4.6Linux ES 3.2Linux","2.0Windows 1.2Linux","1.1Linux","-",""
"HD Graphics 405","2016","Ultramobile","Pentium J3710","Cherryview Braswell , URL: /wiki/Airmont_microarchitecture
","22B0 22B1 22B2 22B3","400-740","144:18:2","11.2","4.3Windows 4.6Linux ES 3.2Linux","2.0Windows 1.2Linux","1.1Linux","-",""
"HD Graphics","2015","Mobile","Celeron 3205U Celeron 3755U Pentium 3805U","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1606","100–800","96:12:2 (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"HD Graphics","2015","Mobile","Celeron 3215U Celeron 3765U Pentium 3825U","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1606","","96:12:2 (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"HD Graphics 5300","2014","Ultramobile","Core M-5Y10 Core M-5Y10a","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","161E","100–800","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"HD Graphics 5300","2014","Ultramobile","Core M-5Y10c","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","161E","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"HD Graphics 5300","2014","Ultramobile","Core M-5Y70","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","161E","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"HD Graphics 5300","2014","Ultramobile","Core M-5Y31","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","161E","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"HD Graphics 5300","2014","Ultramobile","Core M-5Y51 Core M-5Y71","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","161E","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"HD Graphics 5500","2015","Mobile","Core i3-5005U Core i3-5015U","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1616","300–850","184:23:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"HD Graphics 5500","2015","Mobile","Core i3-5010U Core i3-5020U","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1616","","184:23:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"HD Graphics 5500","2015","Mobile","Core i5-5200U Core i5-5300U","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1616","","","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"HD Graphics 5500","2015","Mobile","Core i7-5500U Core i7-5600U","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1616","","","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"HD Graphics 5600","2015","Mobile","Core i7-5700EQ","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1612","300–1000","","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"HD Graphics 5600","2015","Mobile","Core i7-5700HQ","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1612","","","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"HD Graphics P5700","2015","Mobile","Xeon E3-1258L v4","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","?","700-1000","","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"HD Graphics 6000","2015","Mobile","Core i5-5250U","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1626","300–950","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"HD Graphics 6000","2015","Mobile","Core i5-5350U Core i7-5550U Core i7-5650U","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1626","","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"Iris Graphics 6100","2015","Mobile","Core i3-5157U","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","162B","300–1000","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"Iris Graphics 6100","2015","Mobile","Core i5-5257U","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","162B","","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"Iris Graphics 6100","2015","Mobile","Core i5-5287U Core i7-5557U","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","162B","","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","-","25.6"
"Iris Pro Graphics 6200","2015","Desktop","Core i5-5575R","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1622","300–1050","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","128","25.6"
"Iris Pro Graphics 6200","2015","Desktop","Core i5-5675C Core i5-5675R","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1622","","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","128","25.6"
"Iris Pro Graphics 6200","2015","Desktop","Core i7-5775C Core i7-5775R","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1622","","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","128","25.6"
"Iris Pro Graphics 6200","2015","Mobile","Core i7-5850EQ","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1622","300–1000","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","128","25.6"
"Iris Pro Graphics 6200","2015","Mobile","Core i5-5350H","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1622","","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","128","25.6"
"Iris Pro Graphics 6200","2015","Mobile","Core i7-5750HQ Core i7-5850HQ","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1622","","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","128","25.6"
"Iris Pro Graphics 6200","2015","Mobile","Core i7-5950HQ","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","1622","","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","128","25.6"
"Iris Pro Graphics P6300","2015","Workstation","Xeon E3-1278L v4","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","162A","800–1000","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","128","25.6"
"Iris Pro Graphics P6300","2015","Workstation","Xeon E3-1265L v4","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","162A","","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","128","25.6"
"Iris Pro Graphics P6300","2015","Workstation","Xeon E3-1285 v4 Xeon E3-1285L v4","Broadwell , URL: /wiki/Broadwell_(microarchitecture)
","162A","","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.4Windows 4.1macOS 4.6Linux ES 3.2Linux","2.0Windows 1.2macOS 2.1Linux","1.1Linux","128","25.6"
