"Software","Budget management , URL: /wiki/Budget_management
","Time tracking","Invoicing , URL: /wiki/Invoicing
"
"HP Project & Portfolio Software , URL: /wiki/HP_Software_%26_Solutions
","No","No","No"
"Huddle , URL: /wiki/Huddle_(software)
","No","No","No"
"Hyperoffice , URL: /wiki/Hyperoffice
","No","Yes","No"
"iManageProject , URL: /wiki/Imanageproject
","No","Yes[35]","No"
"InLoox , URL: /wiki/InLoox
","Yes[36]","Yes[36]","Yes[36]"
"in-Step BLUE , URL: /wiki/In-Step_BLUE
","Yes","Yes","No"
"Jira , URL: /wiki/Jira_(software)
","No","Yes","No"
"Launchpad , URL: /wiki/Launchpad_(website)
","No","No","No"
"Leantime , URL: /w/index.php?title=Leantime&action=edit&redlink=1
","Yes","Yes","No"
"LibrePlan , URL: /wiki/LibrePlan
","No","Yes","No"
"LiquidPlanner , URL: /wiki/LiquidPlanner
","No","Yes","No"
"LisaProject , URL: /wiki/LisaProject
","No","No","No"
"MacProject , URL: /wiki/MacProject
","No","No","No"
"MantisBT , URL: /wiki/Mantis_Bug_Tracker
","No","Yes[37]","No"
"Métier , URL: /wiki/M%C3%A9tier
","Yes","Yes","Yes"
"Microsoft Dynamics AX , URL: /wiki/Microsoft_Dynamics_AX
","Yes","Yes","Yes"
"Microsoft Office Project Server , URL: /wiki/Microsoft_Office_Project_Server
","Yes","Yes","No"
"Microsoft Project , URL: /wiki/Microsoft_Project
","Yes","Yes","No"
"Microsoft SharePoint Server , URL: /wiki/Microsoft_SharePoint_Server
","No","No","No"
"Microsoft Team Foundation Server , URL: /wiki/Team_Foundation_Server
","No","No","No"
"Milestones Professional , URL: /wiki/Milestones_Professional
","No","No","No"
"MyWorkPLAN , URL: /wiki/WorkPLAN
","Yes","No","No"
"NetPoint , URL: /wiki/NetPoint
","No","No","No"
"NetSuite , URL: /wiki/NetSuite
","Yes","Yes","No"
"O3Spaces , URL: /wiki/O3Spaces
","No","No","No"
"OmniPlan , URL: /wiki/OmniPlan
","No","No","No"
"OnePager Pro , URL: /wiki/Onepager_pro
","No","No","No"
"Open Workbench , URL: /wiki/Open_Workbench
","No","No","No"
"OpenProj , URL: /wiki/OpenProj
","No","No","No"
"OpenProject , URL: /wiki/OpenProject
","Yes","Yes","No"
"Oracle Primavera EPPM , URL: /wiki/Primavera_(software)
","Yes","Yes","No"
"phpGroupWare , URL: /wiki/PhpGroupWare
","No","No","No"
"PHProjekt , URL: /wiki/PHProjekt
","No","Yes[38]","No"
"Pivotal Tracker , URL: /wiki/Pivotal_Tracker
","No","No","No"
"Plandora , URL: /wiki/Plandora
","Yes","Yes","No"
"Planisware , URL: /wiki/Planisware
","Yes","Yes","Yes"
"PLANTA Project , URL: /wiki/PLANTA_Project
","Yes","Yes","No"
"Project KickStart , URL: /wiki/Project_KickStart
","No","No","No"
"Project Team Builder , URL: /wiki/Project_Team_Builder
","No","No","No"
"ProjectLibre , URL: /wiki/ProjectLibre
","Yes[39]","Yes[40]","No"
"ProjectManager.com , URL: /wiki/ProjectManager.com
","Yes[41]","Yes[42]","No"
"Project.net , URL: /wiki/Project.net
","No","Yes[43]","Yes"
"Projectplace , URL: /wiki/Projectplace_(software)
","No","No","No"
"Projektron BCS , URL: /wiki/ProjektronBCS
","Yes","Yes","Yes"
"ProjeQtOr , URL: /wiki/ProjeQtOr
","Yes","Yes","Yes"
"Proliance , URL: /wiki/Meridian_Systems
","No","No","No"
"Prolog , URL: /wiki/Meridian_Systems
","Yes","Yes","Yes"
"Pyrus , URL: /wiki/Pyrus_(software)
","Yes","Yes","Yes"
"RationalPlan , URL: /wiki/RationalPlan
","Yes","Yes","Yes"
"Realisor , URL: /wiki/Realisor
","No","No","No"
"Redbooth , URL: /wiki/Redbooth
","No","Yes","No"
"Redmine , URL: /wiki/Redmine
","No","Yes","No"
"Rillsoft Project , URL: /wiki/Rillsoft_Project
","Yes","Yes","No"
"SAP Business ByDesign , URL: /wiki/SAP_Business_ByDesign
","Yes","Yes","Yes"
"Sciforma , URL: /wiki/Sciforma
","Yes","Yes[44]","No"
"Scoro , URL: /wiki/Scoro
","Yes","Yes","Yes"
"Severa , URL: /wiki/Severa
","No","Yes","No"
"Smartsheet , URL: /wiki/Smartsheet
","No","No","No"
"Streamtime Software , URL: /wiki/Streamtime_Software
","Yes","Yes","Yes"
"Spider Project , URL: /wiki/Spider_Project
","Yes","Yes","Yes"
"TACTIC , URL: /wiki/TACTIC_(web_framework)
","No","No","No"
"Talygen , URL: /wiki/Talygen_Business_Intelligence
","No","Yes","Yes"
"TaskJuggler , URL: /wiki/TaskJuggler
","No","No","No"
"Teamcenter , URL: /wiki/Teamcenter
","Yes","Yes","No"
"TeamDynamixHE , URL: /wiki/TeamDynamixHE
","Yes","Yes","No"
"TeamLab , URL: /wiki/TeamLab
","No","No","No"
"Tom's Planner , URL: /wiki/Tom%27s_Planner
","No","No","No"
"Trac , URL: /wiki/Trac
","No","No","No"
"TrackerSuite.Net , URL: /wiki/Tracker_(Business_Software)
","No","Yes","No"
"Traction TeamPage , URL: /wiki/Traction_TeamPage
","No","Yes","No"
"Trello , URL: /wiki/Trello
","No","No","No"
"Triskell , URL: /wiki/Triskell
","Yes","Yes","Yes"
"Tuleap , URL: /wiki/Tuleap
","No","No","No"
"Twproject , URL: /wiki/Twproject
","Yes[45]","Yes","No"
"UniPhi , URL: /wiki/UniPhi
","Yes","Yes","Yes"
"VPMi , URL: /wiki/Vpmi
","Yes","Yes","No"
"web2project , URL: /wiki/Web2project
","No","No[46]","No"
"Workamajig , URL: /wiki/Workamajig
","Yes","Yes","No"
"Workfront , URL: /wiki/Workfront
","Yes","Yes","No"
"WorkPLAN Enterprise , URL: /wiki/WorkPLAN
","No","Yes","No"
"Workspace.com , URL: /wiki/Workspace.com
","No","Yes","No"
"Wrike , URL: /wiki/Wrike_(software)
","No","Yes","No"
"Zoho Projects , URL: /wiki/Zoho_Office_Suite
","Yes[47]","Yes[47]","Yes[47]"
