"Product","Vendor","Edition","Last release","Jakarta EE , URL: /wiki/Jakarta_EE
","Servlet , URL: /wiki/Servlet
","JSP , URL: /wiki/Jakarta_Server_Pages
","HTTP/2 , URL: /wiki/HTTP/2
","License"
"Lucee , URL: /wiki/Lucee
Railo , URL: /wiki/Railo
","Lucee Association Switzerland","5.3.2.77","2019-05-27","7 partial platform","3.1","2.3","No","CDDL , URL: /wiki/Common_Development_and_Distribution_License
GPL , URL: /wiki/GNU_General_Public_License
classpath exception , URL: /wiki/Classpath_exception
"
"NetWeaver Application Server , URL: /wiki/SAP_NetWeaver_Application_Server
","SAP AG , URL: /wiki/SAP_AG
","7.4","2013-01-11","5","2.5","2.1","No","Proprietary , URL: /wiki/Proprietary_software
commercial , URL: /wiki/Commercial_software
"
"Oracle Containers for J2EE , URL: /wiki/OC4J
","Oracle Corporation , URL: /wiki/Oracle_Corporation
","10.1.3.5.0","2009-08","1.4","2.4","2.0","No","Proprietary , URL: /wiki/Proprietary_software
commercial , URL: /wiki/Commercial_software
"
"Orion Application Server , URL: /wiki/Orion_Application_Server
","IronFlare","2.0.7","2006-03-09","1.3","2.3","1.2","No","Proprietary , URL: /wiki/Proprietary_software
commercial , URL: /wiki/Commercial_software
"
"Payara , URL: /wiki/Payara_Server
","Payara","5.2021.10","2021-12-15","8 full platform","4.0","2.3","Yes","CDDL , URL: /wiki/Common_Development_and_Distribution_License
GPL , URL: /wiki/GNU_General_Public_License
classpath exception , URL: /wiki/Classpath_exception
"
"Resin Servlet Container (open source) , URL: /wiki/Resin_(software)
","Caucho Technology , URL: /wiki/Caucho_Technology
","4.0.62","2019-05-23","6 Web Profile[4]","3.0","2.2","No","GPL , URL: /wiki/GNU_General_Public_License
"
"Resin Professional Application Server , URL: /wiki/Resin_(software)
","Caucho Technology , URL: /wiki/Caucho_Technology
","4.0.62","2019-05-23","6 Web Profile","3.0","2.2","No","Proprietary , URL: /wiki/Proprietary_software
commercial , URL: /wiki/Commercial_software
"
"Tomcat , URL: /wiki/Apache_Tomcat
","ASF , URL: /wiki/Apache_Software_Foundation
","10.0.4","2021-03-10","8 partial platform","5.0","3.0","Yes","Apache , URL: /wiki/Apache_License
"
"TomEE , URL: /wiki/Apache_TomEE
","ASF , URL: /wiki/Apache_Software_Foundation
","8.0.8","2021-08-31","8 Web Profile","4.0","2.3","Yes","Apache , URL: /wiki/Apache_License
"
"WebLogic Server , URL: /wiki/Oracle_WebLogic_Server
","Oracle Corporation , URL: /wiki/Oracle_Corporation
","14.1.1.0.0","2020-03-30 [5]","8 full platform","4.0","2.3","Yes","Proprietary , URL: /wiki/Proprietary_software
commercial , URL: /wiki/Commercial_software
"
"IBM WebSphere Application Server , URL: /wiki/IBM_WebSphere_Application_Server
","IBM , URL: /wiki/IBM
","9.0","2016-06-24","7 full platform","3.1","2.3","No","Proprietary , URL: /wiki/Proprietary_software
commercial , URL: /wiki/Commercial_software
"
"WebSphere AS Community Edition , URL: /wiki/IBM_WebSphere_Application_Server_Community_Edition
","IBM , URL: /wiki/IBM
","3.0.0.4","2013-06-21","6 full platform","3.0","2.2","No","Proprietary , URL: /wiki/Proprietary_software
commercial , URL: /wiki/Commercial_software
"
