"Name","License , URL: /wiki/Software_license
","Kernel , URL: /wiki/Kernel_(operating_system)
","programming language , URL: /wiki/Programming_language
","thread , URL: /wiki/Thread_(computing)
","OS family","EOL , URL: /wiki/End-of-life_(product)
","Forks , URL: /wiki/Fork_(software_development)
"
"FreeDOS , URL: /wiki/FreeDOS
","GPL","Monolithic","C","","DOS , URL: /wiki/DOS
","1.1",""
"Genode , URL: /wiki/Genode
","AGPL","Microkernel","C++","1:1","Genode","",""
"Haiku , URL: /wiki/Haiku_(operating_system)
","MIT , URL: /wiki/MIT_License
","Hybrid","C, C++","","BeOS , URL: /wiki/BeOS
","No","TiltOS , URL: https://web.archive.org/web/20070114203948/http://kamidake.other-space.com/
"
"House , URL: /wiki/House_(operating_system)
","BSD","","Haskell , URL: /wiki/Haskell_(programming_language)
","","own/original","No",""
"KolibriOS , URL: /wiki/KolibriOS
","GPL","Monolithic","ASM , URL: /wiki/Assembly_language
","","MenuetOS , URL: /wiki/MenuetOS
","No",""
"MenuetOS , URL: /wiki/MenuetOS
","Menuet 64 , URL: http://www.menuetos.net/m64l.txt
","Monolithic","ASM","","own/original","No","KolibriOS"
"GNU , URL: /wiki/GNU
","GPL","Hurd , URL: /wiki/Hurd
Linux-libre , URL: /wiki/Linux-libre
Linux kernel , URL: /wiki/Linux_kernel
GNU Project , URL: /wiki/GNU_Project
","C , URL: /wiki/C_(programming_language)
","1:1","Unix-like , URL: /wiki/Unix-like
","Linux-libre , URL: /wiki/Linux-libre
Hurd , URL: /wiki/Hurd
","Linux , URL: /wiki/Linux
"
"ReactOS , URL: /wiki/ReactOS
","GPL, LGPL","Hybrid","C, C++","","Windows-like , URL: /wiki/Microsoft_Windows
","No",""
"RISC OS , URL: /wiki/RISC_OS
","Apache 2.0","co-operative multitaslking , URL: /w/index.php?title=Co-operative_multitaslking&action=edit&redlink=1
","assembly , URL: /wiki/Assembly_language
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","RISC OS","No","RISC OS 6"
"L4 , URL: /wiki/L4_microkernel_family
Fiasco , URL: /wiki/L4_microkernel_family#L4/Fiasco
Pistachio , URL: /wiki/L4_microkernel_family#L4Ka::Pistachio
","Some GPL, some BSD","Microkernel","C++","","L4","No",""
"Plan 9 , URL: /wiki/Plan_9_from_Bell_Labs
","MIT","Hybrid","C","Cothread , URL: /wiki/Cothread
","own, Unix informed","No","Inferno, Plan B"
"AROS , URL: /wiki/Amiga_Research_Operating_System
","APL , URL: http://www.aros.org/license.html
","Exokernel , URL: /wiki/Exokernel
","C","","AmigaOS , URL: /wiki/AmigaOS
","No",""
"Syllable , URL: /wiki/Syllable_Desktop
","GPL","Monolithic with modules","C, C++","1:1","POSIX , URL: /wiki/POSIX
","No",""
"Inferno , URL: /wiki/Inferno_(operating_system)
","GPL, LGPL; MIT","","C","","Plan 9 , URL: /wiki/Plan_9_from_Bell_Labs
","No","OzInferno , URL: /w/index.php?title=OzInferno&action=edit&redlink=1
"
"NuttX , URL: /wiki/NuttX
","BSD","RTOS , URL: /wiki/Real-time_operating_system
","C","","RTOS","No",""
"eCos , URL: /wiki/ECos
","modified GPL, eCos , URL: http://ecos.sourceware.org/license-overview.html
","RTOS","C, C++","","RTOS","No",""
"RTEMS , URL: /wiki/RTEMS
","modified GPL , URL: http://www.rtems.org/license
","RTOS","C and ASM with native support for other languages including C++ and Ada","POSIX, RTEID/ORKID, uITRON","RTOS","4.7.1",""
"HelenOS , URL: /wiki/HelenOS
","BSD","Microkernel","C","M:N","own/original","No",""
"E/OS","GPLv2 , URL: /wiki/GPLv2
","Monolithic","ASM, C","1:1","BeOS, Unix-like","No",""
"TempleOS , URL: /wiki/TempleOS
","public domain","Monolithic","HolyC, C, C++","","Commodore 64 , URL: /wiki/Commodore_64
","No",""
"Name","License","Kernel type","Kernel programming language","Kernel thread support","OS family","Oldest non-EOL version","Forks"
