"Distribution","Size of media (MB)","RAM use (MB)","Boots from CD , URL: /wiki/Live_CD
","Boots from DVD , URL: /wiki/Live_CD
","Installable live CD/DVD","Installable from USB"
"Solus , URL: /wiki/Solus_(operating_system)
","1,200","1,024","No","Yes","Yes","Yes"
"SystemRescueCD , URL: /wiki/SystemRescueCD
","459","","Yes","Yes","Yes","Yes"
"SliTaz GNU/Linux , URL: /wiki/SliTaz_GNU/Linux
","50","48 to 256","Yes","Yes","Yes","Yes"
"Tails , URL: /wiki/The_Amnesic_Incognito_Live_System
","≈900","≈1,024","No","Yes","Yes","Yes (when run from DVD)"
"Tiny Core Linux , URL: /wiki/Tiny_Core_Linux
","16","46","Yes","Yes","Yes","Yes"
"Tiny SliTaz , URL: /wiki/Tiny_SliTaz
","1.44","4","Yes","Yes","By SliTaz","By SliTaz"
"Trisquel , URL: /wiki/Trisquel
","1,500[225]","384","Yes","Yes","Yes","Yes"
"TurnKey GNU/Linux , URL: /wiki/TurnKey_Linux_Virtual_Appliance_Library
","212","~173","Yes","Yes","Yes","Yes"
"Ubuntu , URL: /wiki/Ubuntu_(operating_system)
","1,700[226]","384","Yes","Yes","Yes","Yes"
"Ututo , URL: /wiki/Ututo
","3,500","?","No","Yes","Yes","?"
"Edubuntu , URL: /wiki/Edubuntu
","2,900[227]","","Yes","Yes","Yes",""
"Kubuntu , URL: /wiki/Kubuntu
","1,400[228]","384","Yes","Yes","Yes","Yes"
"XBMC Live , URL: /wiki/XBMC_Live
","700","256 to 1,024","Yes","No","Yes","Yes"
"Zentyal , URL: /wiki/Zentyal
","600","256","Yes","Yes","Yes","Yes"
"Xubuntu , URL: /wiki/Xubuntu
","1,200[229]","256","Yes","Yes","Yes","Yes"
"Distribution","Size of media (MB)","RAM use (MB)","Boots from CD , URL: /wiki/Live_CD
","Boots from DVD , URL: /wiki/Live_CD
","Installable live CD/DVD","Installable from USB"
