"Architecture , URL: /wiki/Microarchitecture
","Fabrication (nm) , URL: /wiki/Semiconductor_device_fabrication
","Family","Release Date","Code name","Model Group","Cores","SMT , URL: /wiki/Simultaneous_multithreading
","Clock rate , URL: /wiki/Clock_rate
MHz , URL: /wiki/Hertz
","Bus , URL: /wiki/Bus_(computing)
","Cache","Cache","Cache","Socket , URL: /wiki/CPU_socket
","Memory Controller","Features","Features","Features"
"K7","180","Mobile Duron","","Camaro","","1","No","800-1300","100","64+64","64","","Socket A , URL: /wiki/Socket_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
","",""
"K7","130","Sempron , URL: /wiki/Sempron
","","Thoroughbred-B","","1","No","1500-2000","166","64+64","256","","Socket A , URL: /wiki/Socket_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
","",""
"K7","130","Sempron , URL: /wiki/Sempron
","","Thorton","","1","No","1500-2000","166","64+64","256","","Socket A , URL: /wiki/Socket_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
","",""
"K7","130","Sempron , URL: /wiki/Sempron
","","Barton","","1","No","2000–2200","166, 200","64+64","512","","Socket A , URL: /wiki/Socket_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
","",""
"K8 , URL: /wiki/AMD_K8
","130","Opteron , URL: /wiki/Opteron
","","Sledgehammer","100","1","No","1400-2400","800","64+64","1024","","Socket 940 , URL: /wiki/Socket_940
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","PowerNow! , URL: /wiki/PowerNow!
","AMD64 , URL: /wiki/AMD64
ccNUMA , URL: /wiki/CcNUMA
"
"K8 , URL: /wiki/AMD_K8
","130","Opteron , URL: /wiki/Opteron
","","Sledgehammer","200","1","No","1400-2400","800","64+64","1024","","Socket 940 , URL: /wiki/Socket_940
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","PowerNow! , URL: /wiki/PowerNow!
","AMD64 , URL: /wiki/AMD64
ccNUMA , URL: /wiki/CcNUMA
"
"K8 , URL: /wiki/AMD_K8
","130","Opteron , URL: /wiki/Opteron
","","Sledgehammer","800","1","No","1400-2400","800","64+64","1024","","Socket 940 , URL: /wiki/Socket_940
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","PowerNow! , URL: /wiki/PowerNow!
","AMD64 , URL: /wiki/AMD64
ccNUMA , URL: /wiki/CcNUMA
"
"K8 , URL: /wiki/AMD_K8
","90","Opteron , URL: /wiki/Opteron
","","Venus","100","1","No","1600-3000","800","64+64","1024","","Socket 939 , URL: /wiki/Socket_939
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","PowerNow! , URL: /wiki/PowerNow!
","AMD64 , URL: /wiki/AMD64
ccNUMA , URL: /wiki/CcNUMA
"
"K8 , URL: /wiki/AMD_K8
","90","Opteron , URL: /wiki/Opteron
","","Troy","200","1","No","1600-3000","800","64+64","1024","","","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","PowerNow! , URL: /wiki/PowerNow!
","AMD64 , URL: /wiki/AMD64
ccNUMA , URL: /wiki/CcNUMA
"
"K8 , URL: /wiki/AMD_K8
","90","Opteron , URL: /wiki/Opteron
","","Athens","800","1","No","1600-3000","800","64+64","1024","","","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","PowerNow! , URL: /wiki/PowerNow!
","AMD64 , URL: /wiki/AMD64
ccNUMA , URL: /wiki/CcNUMA
"
"K8 , URL: /wiki/AMD_K8
","90","Opteron , URL: /wiki/Opteron
","","Denmark","100","2","No","1600-3200","1000","64+64","1024","","Socket 939 , URL: /wiki/Socket_939
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","PowerNow! , URL: /wiki/PowerNow!
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Opteron , URL: /wiki/Opteron
","","Italy","200","2","No","1600-3200","1000","64+64","1024","","Socket 940 , URL: /wiki/Socket_940
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","PowerNow! , URL: /wiki/PowerNow!
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
ccNUMA , URL: /wiki/CcNUMA
"
"K8 , URL: /wiki/AMD_K8
","90","Opteron , URL: /wiki/Opteron
","","Egypt","800","2","No","1600-3200","1000","64+64","1024","","Socket 940 , URL: /wiki/Socket_940
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","PowerNow! , URL: /wiki/PowerNow!
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
ccNUMA , URL: /wiki/CcNUMA
"
"K8 , URL: /wiki/AMD_K8
","90","Opteron , URL: /wiki/Opteron
","","Santa Ana","1200","2","No","1800-3200","1000","64+64","1024","","Socket AM2 , URL: /wiki/Socket_AM2
","DDR2 , URL: /wiki/DDR2_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","PowerNow! , URL: /wiki/PowerNow!
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Opteron , URL: /wiki/Opteron
","","Santa Rosa","2200","2","No","1800-3200","1000","64+64","1024","","Socket F , URL: /wiki/Socket_F
","DDR2 , URL: /wiki/DDR2_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","PowerNow! , URL: /wiki/PowerNow!
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Opteron , URL: /wiki/Opteron
","","Santa Rosa","8200","2","No","2000-3000","1000","64+64","1024","","Socket F , URL: /wiki/Socket_F
","DDR2 , URL: /wiki/DDR2_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","PowerNow! , URL: /wiki/PowerNow!
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","130","Athlon 64 FX , URL: /wiki/Athlon_64_FX
","","Sledgehammer","FX-51, FX-53","1","No","2200, 2400","800","64+64","1024","","Socket 940 , URL: /wiki/Socket_940
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","130","Athlon 64 FX , URL: /wiki/Athlon_64_FX
","","Clawhammer","FX-53, FX-55","1","No","2400, 2400","1000","64+64","1024","","Socket 939 , URL: /wiki/Socket_939
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Athlon 64 FX , URL: /wiki/Athlon_64_FX
","","San Diego","FX-55, FX-57","1","No","2600, 2800","1000","64+64","1024","","Socket 939 , URL: /wiki/Socket_939
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Athlon 64 FX , URL: /wiki/Athlon_64_FX
","","Toledo","FX-60","2","No","2600","1000","64+64","1024","","Socket 939 , URL: /wiki/Socket_939
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Athlon 64 FX , URL: /wiki/Athlon_64_FX
","","Windsor","FX-62","2","No","2800","1000","64+64","1024","","Socket AM2 , URL: /wiki/Socket_AM2
","DDR2 , URL: /wiki/DDR2_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
AMD-V , URL: /wiki/AMD-V
"
"K8 , URL: /wiki/AMD_K8
","90","Athlon 64 FX , URL: /wiki/Athlon_64_FX
","","Windsor","FX-70, FX-72, FX-74","2","No","2600, 2800, 3000","1000","64+64","1024","","Socket F , URL: /wiki/Socket_F
","DDR2 , URL: /wiki/DDR2_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
AMD-V , URL: /wiki/AMD-V
"
"K8 , URL: /wiki/AMD_K8
","130","Athlon 64 , URL: /wiki/Athlon_64
","","Clawhammer","","1","No","2000-2600","800","64+64","1024","","Socket 754 , URL: /wiki/Socket_754
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","130","Athlon 64 , URL: /wiki/Athlon_64
","","Clawhammer","","1","No","2000-2600","1000","64+64","1024","","Socket 939 , URL: /wiki/Socket_939
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","130","Athlon 64 , URL: /wiki/Athlon_64
","","Newcastle","","1","No","1800-2400","800","64+64","512","","Socket 754 , URL: /wiki/Socket_754
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","130","Athlon 64 , URL: /wiki/Athlon_64
","","Newcastle","","1","No","1800-2400","1000","64+64","512","","Socket 939 , URL: /wiki/Socket_939
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Athlon 64 , URL: /wiki/Athlon_64
","","Winchester","","1","No","1800-2200","1000","64+64","512","","Socket 939 , URL: /wiki/Socket_939
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Athlon 64 , URL: /wiki/Athlon_64
","","Venice","","1","No","1800-2400","800","64+64","512","","Socket 754 , URL: /wiki/Socket_754
","DDR2 , URL: /wiki/DDR2_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Athlon 64 , URL: /wiki/Athlon_64
","","Venice","","1","No","1800-2400","1000","64+64","512","","Socket 939 , URL: /wiki/Socket_939
","DDR2 , URL: /wiki/DDR2_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Athlon 64 , URL: /wiki/Athlon_64
","","San Diego","","1","No","2200-2600","1000","64+64","1024","","Socket 939 , URL: /wiki/Socket_939
","DDR2 , URL: /wiki/DDR2_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Athlon 64 , URL: /wiki/Athlon_64
","","Orleans","","1","No","1800-2600","1000","64+64","512","","Socket AM2 , URL: /wiki/Socket_AM2
","DDR2 , URL: /wiki/DDR2_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
AMD-V , URL: /wiki/AMD-V
"
"K8 , URL: /wiki/AMD_K8
","65","Athlon 64 , URL: /wiki/Athlon_64
","","Lima","","1","No","2000-2800","1000","64+64","512","","Socket AM2 , URL: /wiki/Socket_AM2
","DDR2 , URL: /wiki/DDR2_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
AMD-V , URL: /wiki/AMD-V
"
"K8 , URL: /wiki/AMD_K8
","90","Athlon 64 X2 , URL: /wiki/Athlon_64_X2
","","Manchester","3600+","2","No","2000","1000","64+64","256 PC, FS","","Socket 939 , URL: /wiki/Socket_939
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Athlon 64 X2 , URL: /wiki/Athlon_64_X2
","","Manchester","3800+, 4200+, 4600+","2","No","2000, 2200, 2400","1000","64+64","512 PC, FS","","Socket 939 , URL: /wiki/Socket_939
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Athlon 64 X2 , URL: /wiki/Athlon_64_X2
","","Toledo","3800+, 4200+, 4600+","2","No","2000, 2200, 2400","1000","64+64","512 PC, FS","","Socket 939 , URL: /wiki/Socket_939
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Athlon 64 X2 , URL: /wiki/Athlon_64_X2
","","Toledo","4400+, 4800+","2","No","2200, 2400","1000","64+64","1024 PC, FS","","Socket 939 , URL: /wiki/Socket_939
","DDR , URL: /wiki/DDR_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
