"","Developer , URL: /wiki/Video_game_developer
","First release , URL: /wiki/Software_release_life_cycle#Release
","Latest release","License","Platform"
"Fritz and Chesster","Chessbase , URL: /wiki/Chessbase
","2005","2010","Commercial , URL: /wiki/Commercial_software
Chessbase , URL: /wiki/Chessbase
","Microsoft Windows , URL: /wiki/Microsoft_Windows
Mac , URL: /wiki/Mac_OS_X
Nintendo DS , URL: /wiki/Nintendo_DS
"
"GNOME Chess","Robert Ancell, GNOME Team","2000","2018","Free","Unix-like , URL: /wiki/Unix-like
"
"GNU Chess","Stuart Cracraft, John Stanback, Chua Kong-Sian, Fabien Letouzey","1984","2013","Free","Microsoft Windows , URL: /wiki/Microsoft_Windows
Unix-like , URL: /wiki/Unix-like
"
"HIARCS","Mark Uniacke","1980","2012","Commercial , URL: /wiki/Commercial_software
Chessbase , URL: /wiki/Chessbase
","Microsoft Windows , URL: /wiki/Microsoft_Windows
iOS , URL: /wiki/IOS
Mac OS X , URL: /wiki/Mac_OS_X
Windows Mobile , URL: /wiki/Windows_Mobile
Freescale DragonBall , URL: /wiki/Freescale_DragonBall
ARM , URL: /wiki/ARM_architecture
Palm OS , URL: /wiki/Palm_OS
"
"Houdini","Robert Houdart","2010","2018","Commercial , URL: /wiki/Commercial_software
Chessbase , URL: /wiki/Chessbase
","Microsoft Windows , URL: /wiki/Microsoft_Windows
"
"Junior","Amir Ban, Shay Bushinsky","1997","2014","Commercial , URL: /wiki/Commercial_software
Chessbase , URL: /wiki/Chessbase
","Microsoft Windows , URL: /wiki/Microsoft_Windows
"
"Komodo","Don Dailey , URL: /wiki/Don_Dailey
Larry Kaufman , URL: /wiki/Larry_Kaufman
","2010","2018","Commercial , URL: /wiki/Commercial_software
Chessbase , URL: /wiki/Chessbase
","Microsoft Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
Macintosh Operating System , URL: /wiki/Macintosh_Operating_System
Android , URL: /wiki/Android_(operating_system)
"
"Playchess","Chessbase , URL: /wiki/Chessbase
","2003","2018","Commercial , URL: /wiki/Commercial_software
Chessbase , URL: /wiki/Chessbase
","Microsoft Windows , URL: /wiki/Microsoft_Windows
"
"Play Magnus","Tord Romstad","2014","2018","Free to try with in-app purchases","Android , URL: /wiki/Android_(operating_system)
iOS , URL: /wiki/IOS
"
"Pure Chess","VooFoo Studios","2012","n/a","Commercial , URL: /wiki/Commercial_software
Ripstone , URL: /wiki/Ripstone
","Microsoft Windows , URL: /wiki/Microsoft_Windows
Android , URL: /wiki/Android_(operating_system)
iOS , URL: /wiki/IOS
PlayStation 3 , URL: /wiki/PlayStation_3
PlayStation Vita , URL: /wiki/PlayStation_Vita
"
"pyChess","PyChess Project","2006","2018","GPL , URL: /wiki/GPL
","Unix-like , URL: /wiki/Unix-like
Microsoft Windows , URL: /wiki/Microsoft_Windows
"
"Rybka","Vasik Rajlich , URL: /wiki/Vasik_Rajlich
","2010","","Commercial , URL: /wiki/Commercial_software
Chessbase , URL: /wiki/Chessbase
","Microsoft Windows , URL: /wiki/Microsoft_Windows
"
"Shredder","Stefan Meyer-Kahlen , URL: /wiki/Stefan_Meyer-Kahlen
","1993","2010","Commercial , URL: /wiki/Commercial_software
Chessbase , URL: /wiki/Chessbase
","Microsoft Windows , URL: /wiki/Microsoft_Windows
Mac OS X , URL: /wiki/Mac_OS_X
Linux , URL: /wiki/Linux
iPhone , URL: /wiki/IPhone
iPad , URL: /wiki/IPad
Android , URL: /wiki/Android_(operating_system)
"
"Wii Chess","Fritz Reul","2008","n/a","Commercial , URL: /wiki/Commercial_software
","Nintendo Wii , URL: /wiki/Nintendo_Wii
"
"Winboard/xBoard","Tim Mann, Harm Geert Muller","","2013","GPL , URL: /wiki/GPL
","Unix-like , URL: /wiki/Unix-like
X11 , URL: /wiki/X11
Microsoft Windows , URL: /wiki/Microsoft_Windows
"
