"Format name","Operating system","Filename extension , URL: /wiki/Filename_extension
","Explicit processor declarations","sections , URL: /wiki/Memory_segmentation
","Metadata , URL: /wiki/Metadata
","Digital signature , URL: /wiki/Code_signing
","String table , URL: /wiki/String_(computer_science)
","Symbol table , URL: /wiki/Symbol_table
","64-bit , URL: /wiki/64-bit
","Fat binaries , URL: /wiki/Fat_binary
","icon , URL: /wiki/Icon_(computing)
"
"Amiga Hunk , URL: /wiki/Amiga_Hunk
","AmigaOS , URL: /wiki/AmigaOS
","none","No","Yes","Yes","No","No","Yes","No","Yes","No"
"PEF , URL: /wiki/Preferred_Executable_Format
",""classic" Mac OS , URL: /wiki/Classic_Mac_OS
BeOS , URL: /wiki/BeOS
","none","Yes by file","No","No","No","Yes","Yes","No","No","No"
"CMD , URL: /wiki/CMD_file_(CP/M)
","CP/M-86 , URL: /wiki/CP/M-86
MP/M-86 , URL: /wiki/MP/M-86
Concurrent CP/M-86 , URL: /wiki/Concurrent_CP/M-86
Personal CP/M-86 , URL: /wiki/Personal_CP/M-86
S5-DOS , URL: /wiki/S5-DOS
Concurrent DOS , URL: /wiki/Concurrent_DOS
Concurrent DOS 286 , URL: /wiki/Concurrent_DOS_286
FlexOS , URL: /wiki/FlexOS
S5-DOS/ST , URL: /wiki/S5-DOS/ST
S5-DOS/MT , URL: /wiki/S5-DOS/MT
Concurrent DOS 386 , URL: /wiki/Concurrent_DOS_386
Multiuser DOS , URL: /wiki/Multiuser_DOS
System Manager , URL: /wiki/Datapac_System_Manager
REAL/32 , URL: /wiki/REAL/32
DOS Plus , URL: /wiki/DOS_Plus
",".CMD","No (x86 only)","Yes","No","No","Extension","Extension","No","No","No"
"FlexOS 186","FlexOS 186 , URL: /wiki/FlexOS_186
FlexOS 286 , URL: /wiki/FlexOS_286
S5-DOS/ST , URL: /wiki/S5-DOS/ST
S5-DOS/MT , URL: /wiki/S5-DOS/MT
4680 OS , URL: /wiki/4680_OS
FlexOS 386 , URL: /wiki/FlexOS_386
4690 OS , URL: /wiki/4690_OS
",".186","No (186/188 and higher only)","Yes","No","No","Extension","Extension","No","No","No"
"FlexOS 286","FlexOS 286 , URL: /wiki/FlexOS_286
S5-DOS/ST , URL: /wiki/S5-DOS/ST
S5-DOS/MT , URL: /wiki/S5-DOS/MT
4680 OS , URL: /wiki/4680_OS
FlexOS 386 , URL: /wiki/FlexOS_386
4690 OS , URL: /wiki/4690_OS
",".286","No (286 and higher only)","Yes","No","No","Extension","Extension","No","No","No"
"CP/M-68K","CP/M-68K , URL: /wiki/CP/M-68K
Concurrent DOS 68K , URL: /wiki/Concurrent_DOS_68K
FlexOS 68K , URL: /wiki/FlexOS_68K
",".68K","No (68000 and higher only)","Yes","No","No","Unknown","Unknown","No","No","No"
"COM (CP/M) , URL: /wiki/COM_file_(CP/M)
","CP/M , URL: /wiki/CP/M
MP/M , URL: /wiki/MP/M
Concurrent CP/M , URL: /wiki/Concurrent_CP/M
Personal CP/M , URL: /wiki/Personal_CP/M
",".COM","No (8080/Z80 only)","Extension (BDOS 3 and higher only)","No","No","No","No","No","Extension","No"
"COM (DOS) , URL: /wiki/COM_file#DOS_binary_format
","DOS , URL: /wiki/DOS
OS/2 , URL: /wiki/OS/2
Windows , URL: /wiki/Windows
Concurrent CP/M-86 , URL: /wiki/Concurrent_CP/M-86
Concurrent DOS , URL: /wiki/Concurrent_DOS
Concurrent DOS 286 , URL: /wiki/Concurrent_DOS_286
FlexOS , URL: /wiki/FlexOS
Concurrent DOS 386 , URL: /wiki/Concurrent_DOS_386
Multiuser DOS , URL: /wiki/Multiuser_DOS
System Manager , URL: /wiki/Datapac_System_Manager
REAL/32 , URL: /wiki/REAL/32
DOS Plus , URL: /wiki/DOS_Plus
",".COM","No (x86 only)","No","Extension (Novell/Caldera VERSION etc.)","No","No","No","Extension","Extension","No"
"MZ (DOS) , URL: /wiki/DOS_MZ_executable
","DOS , URL: /wiki/DOS
OS/2 , URL: /wiki/OS/2
Windows , URL: /wiki/Windows
Concurrent DOS 286 , URL: /wiki/Concurrent_DOS_286
FlexOS , URL: /wiki/FlexOS
Concurrent DOS 386 , URL: /wiki/Concurrent_DOS_386
Multiuser DOS , URL: /wiki/Multiuser_DOS
System Manager , URL: /wiki/Datapac_System_Manager
REAL/32 , URL: /wiki/REAL/32
DOS Plus , URL: /wiki/DOS_Plus
",".EXE","No (x86 only)","Yes","Extension(Novell/Caldera VERSION etc.)","No","Extension","Extension","Extension","No","No"
"MZ (GEM)","GEM , URL: /wiki/Graphics_Environment_Manager
ViewMAX , URL: /wiki/ViewMAX
",".APP/.ACC","No (x86 only)","Yes","No","No","Unknown","Unknown","No","No","Unknown"
"NE , URL: /wiki/New_Executable
","MS-DOS 4.0 (multitasking) , URL: /wiki/MS-DOS_4.0_(multitasking)
OS/2 , URL: /wiki/OS/2
Windows , URL: /wiki/Windows
HX DOS Extender , URL: /wiki/HX_DOS_Extender
",".EXE","Unknown","Unknown","Unknown","No","Unknown","Unknown","No","No","Yes"
"LE , URL: /wiki/LE_executable
W3 , URL: /wiki/Windows_W3_executable
W4 , URL: /wiki/Windows_W4_executable
","OS/2 , URL: /wiki/OS/2
DOS extenders , URL: /wiki/DOS_extender
",".EXE","Yes by file (286 and higher only)","Yes","Yes","No","Yes","Yes","No","No","Yes"
"LX , URL: /wiki/LX_executable
","OS/2 , URL: /wiki/OS/2
DOS extenders , URL: /wiki/DOS_extender
",".EXE","Yes by file","Yes","Yes","No","Yes","Yes[9]","No","No","Yes"
"PE , URL: /wiki/Portable_Executable
","Windows , URL: /wiki/Windows
ReactOS , URL: /wiki/ReactOS
HX DOS Extender , URL: /wiki/HX_DOS_Extender
BeOS , URL: /wiki/BeOS
",".EXE","Yes by file","Yes","Yes","Yes[10]","Yes","Yes","No","No","Yes"
"PE32+ , URL: /wiki/Portable_Executable
","Windows , URL: /wiki/Windows
",".EXE","Yes by file","Yes","Yes","Yes","Yes","Yes","Yes","Yes[11][failed verification]","Yes"
"PIM , URL: /wiki/Personal_Information_Manager
XIP , URL: /wiki/Execute_In_Place
","PalmDOS , URL: /wiki/PalmDOS
",".PIM/.XIP","No (x86 only)","Yes","No","No","No","No","No","No","No"
"DL , URL: /wiki/DL_executable
","MS-DOS , URL: /wiki/MS-DOS
System Manager , URL: /wiki/System_Manager_(HP_LX)
",".EXM","No (186/188 and higher only)","Yes","No","No","No","No","No","No","No"
"MP , URL: /wiki/MP_executable
","Phar Lap , URL: /wiki/Phar_Lap_(company)
DOS extenders , URL: /wiki/DOS_extender
",".EXP","Unknown (286 and higher only)","Yes","No","No","Unknown","Unknown","No","No","No"
"P2 , URL: /wiki/P2_executable
","Phar Lap , URL: /wiki/Phar_Lap_(company)
DOS extenders , URL: /wiki/DOS_extender
",".EXP","Unknown (286 and higher only)","Yes","No","No","Unknown","Unknown","No","No","No"
"P3 , URL: /wiki/P3_executable
","Phar Lap , URL: /wiki/Phar_Lap_(company)
DOS extenders , URL: /wiki/DOS_extender
",".EXP","Unknown (386 and higher only)","Yes","No","No","Unknown","Unknown","No","No","No"
"GEOS","PC/GEOS , URL: /wiki/PC/GEOS
Geoworks Ensemble , URL: /wiki/Geoworks_Ensemble
NewDeal Office , URL: /wiki/NewDeal_Office
Breadbox Ensemble , URL: /wiki/Breadbox_Ensemble
",".GEO","Unknown (x86 only)","Unknown","Unknown","No","Unknown","Unknown","No","No","Unknown"
