"iPod classic , URL: /wiki/IPod_classic
","Apple , URL: /wiki/Apple_Inc.
","2007-09-07[26]","Mini","DAP","0160 160","HDD","","104 × 61","10","140","1.1.2[27]"
"iPod nano , URL: /wiki/IPod_nano
","Apple , URL: /wiki/Apple_Inc.
","2010-09-08[28]","Micro","DAP","0016 8/16","Flash","","38 × 41","8.9","21","1.2[29]"
"iPod touch , URL: /wiki/IPod_touch
","Apple , URL: /wiki/Apple_Inc.
","2012-10-09[30]","Mini","PMP","0064 32/64","Flash","","123.4 x 58.6","6.1","88","9.0 , URL: /wiki/IOS_9
"
"iriver clix 2G , URL: /wiki/Iriver_clix#Second_generation
","ReignCom , URL: /wiki/ReignCom
","2007-04-24[31]","Micro","PMP","0008 2/4/8","Flash","","80 × 47","8.1–12.7","54","1.07"
"PSP Slim & Lite , URL: /wiki/PlayStation_Portable_Slim_%26_Lite
","Sony , URL: /wiki/Sony
","2007-08-30[32]","Mid","PMP, HGC","0064 64[33]","","Memory Stick , URL: /wiki/Memory_Stick
","170 × 74","18","189","6.10[34]"
"Rio PMP300 , URL: /wiki/Rio_PMP300
","Diamond Multimedia , URL: /wiki/Diamond_Multimedia
","1998-09-15","Mid","DAP","0.032","Flash","SmartMedia","89x63","16","",""
"Samsung Galaxy Player 4.0 & 5.0 , URL: /wiki/Samsung_Galaxy_Player
","Samsung , URL: /wiki/Samsung
","2011-10-16[35]","Mid","PMP","0008 8/16","Flash","microSDHC","123.7 x 64.2 (4.0), 141.3 x 78.2 (5.0)","9.9 (4.0), 11.9 (5.0)","121 (4.0), 182 (5.0)","2.3.5"
"Samsung T10 , URL: /wiki/Samsung_T10
","Samsung , URL: /wiki/Samsung
","2007-09","","DAP","0008 2/4/8","Flash","","96 × 41.4","7.9","43","3.06[36]"
"Samsung P2 , URL: /wiki/Samsung_P2
","Samsung , URL: /wiki/Samsung
","2007-09","","DAP","0008 4/8","Flash","","100 × 52","9.9","83","5.10[37]"
"Sansa Fuze , URL: /wiki/SanDisk_Sansa#Sansa_Fuze
","SanDisk , URL: /wiki/SanDisk
","2008-03-17[38]","","DAP","0008 2/4/8","Flash","microSDHC","78.7 × 48.3","7.6","59.5","01.02.28 & 02.03.33[39]"
"Sansa Fuze+ , URL: /wiki/Sansa_Fuze%2B
","SanDisk , URL: /wiki/SanDisk
","2010-09-01[40]","","PMP","0008 4/8/16","Flash","microSD microSDHC","96.5 × 50.7","11.1","170","02.38.06[41]"
"Sansa View , URL: /wiki/Sansa_View
","SanDisk , URL: /wiki/SanDisk
","2007-10-26[42]","","PMP","0032 8/16/32","Flash","microSDHC","109 × 50","10","82","01.03.02a[43]"
"Walkman NWZ-A820 series , URL: /wiki/Walkman#Walkman_Video_MP3_Player
","Sony , URL: /wiki/Sony
","2008-03-28[44]","","DAP","0008 4/8/16","Flash","","89 × 43","10","54","1.02"
"Walkman NWZ-E580 series , URL: /wiki/Walkman#Walkman_Video_MP3_Player
","Sony , URL: /wiki/Sony
","2013-07-10[45]","","DAP","0008 8/16","","","42.1 x 92.1","8","49",""
"ZEN , URL: /wiki/ZEN_(portable_media_player)
","Creative , URL: /wiki/Creative_Technology
","2007-09-14[46]","Micro","PMP","0032 2/4/8/16/32","Flash","SDHC[3]","83 × 55","11","65","1.21.01[47]"
"ZEN X-Fi , URL: /wiki/Creative_Zen_X-FI
","Creative , URL: /wiki/Creative_Technology
","2008-07-10","Micro","PMP","0032 8/16/32","Flash","SD","83 × 55","13","69","1.03.01[48]"
"ZEN Vision W , URL: /wiki/ZEN_Vision_W
","Creative , URL: /wiki/Creative_Technology
","2006-08-30","Mid","PMP","0060 30/60","HDD","CF , URL: /wiki/CompactFlash
","134 × 75","22","276","1.10.01[49]"
"Zune 30 , URL: /wiki/Zune_30
","Microsoft , URL: /wiki/Microsoft
","2006-11-14","Mid","PMP","0030 30","HDD","","112 × 61","15","160","3.3[50]"
"Zune 4/8 , URL: /wiki/Zune_4,_8,_16
","Microsoft , URL: /wiki/Microsoft
","2007-11-13[51]","Micro","PMP","0008 4/8","Flash","","91 × 41","8.4","47","3.3[50]"
"Zune 16 , URL: /wiki/Zune_4,_8,_16
","Microsoft , URL: /wiki/Microsoft
","2008-09-16","Micro","PMP","0016 16","Flash","","91 × 41","8.4","47","3.3[50]"
"Zune 80 , URL: /wiki/Zune_80,_120
","Microsoft , URL: /wiki/Microsoft
","2007-11-13[51]","Mid","PMP","0080 80","HDD","","108 × 61","13","128","3.3[50]"
"Zune 120 , URL: /wiki/Zune_80,_120
","Microsoft , URL: /wiki/Microsoft
","2008-09-16","Mid","PMP","0120 120","HDD","","108 × 61","13","128","3.3[50]"
"Zune HD , URL: /wiki/Zune_HD
","Microsoft , URL: /wiki/Microsoft
","2009-09-15","Mini","PMP","0064 16/32/64","Flash","","104 × 53","8.9","74","4.5"
"Zvue 260 , URL: /wiki/Zvue#ZVUE_260
","Zvue","2007-07-17[52]","","DAP","0000 None","HDD","SDHC[3]","106 × 65","13","120","2.80 I_071012[53]"
"Name","Manufacturer","Release","Size","Type","Capacity (GB)[1]","Storage","External","Dimensions (mm × mm)","Depth (mm)","Weight (g)","Firmware"
