"FreeBasic , URL: /wiki/FreeBasic
","Byte or Integer<8>","UByte or UInteger<8>","Short or Integer<16>","UShort or UInteger<16>","Long or Integer<32>","ULong or UInteger<32>","LongInt or Integer<64>","ULongInt or UInteger<64>","Integer","UInteger","N/A"
"Python , URL: /wiki/Python_(programming_language)
","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","int","N/A","long"
"Python 3.x","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","int"
"S-Lang , URL: /wiki/S-Lang_(programming_language)
","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Fortran , URL: /wiki/Fortran
","INTEGER(KIND = n)[f]","N/A","INTEGER(KIND = n)[f]","N/A","INTEGER(KIND = n)[f]","N/A","INTEGER(KIND = n)[f]","N/A","","",""
"PHP , URL: /wiki/PHP
","N/A","N/A","N/A","N/A","int [m]","N/A","int [m]","N/A","N/A","N/A","[e]"
"Perl , URL: /wiki/Perl
","N/A[d]","N/A[d]","N/A[d]","N/A[d]","N/A[d]","N/A[d]","N/A[d]","N/A[d]","N/A[d]","N/A[d]","Math::BigInt"
"Raku , URL: /wiki/Raku_(programming_language)
","int8","uint8","int16","uint16","int32","uint32","int64","uint64","Int","N/A","N/A"
"Ruby , URL: /wiki/Ruby_(programming_language)
","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Fixnum","N/A","Bignum"
"Erlang , URL: /wiki/Erlang_(programming_language)
","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","integer()","N/A","integer()[o]"
"Scala , URL: /wiki/Scala_(programming_language)
","Byte","N/A","Short","Char[l]","Int","N/A","Long","N/A","N/A","N/A","scala.math.BigInt"
"Seed7 , URL: /wiki/Seed7
","N/A","N/A","N/A","N/A","N/A","N/A","integer","N/A","N/A","N/A","bigInteger"
"Smalltalk , URL: /wiki/Smalltalk
","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","SmallInteger[i]","N/A","LargeInteger[i]"
"Windows PowerShell , URL: /wiki/Windows_PowerShell
","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"OCaml , URL: /wiki/OCaml
","N/A","N/A","N/A","N/A","int32","N/A","int64","N/A","int or nativeint","","open Big_int;; big_int"
"F# , URL: /wiki/F_Sharp_(programming_language)
","sbyte","byte","int16","uint16","int32 or int","uint32","int64","uint64","nativeint","unativeint","bigint"
"Standard ML , URL: /wiki/Standard_ML
","N/A","Word8.word","N/A","N/A","Int32.int","Word32.word","Int64.int","Word64.word","int","word","LargeInt.int or IntInf.int"
"Haskell , URL: /wiki/Haskell_(programming_language)
GHC , URL: /wiki/Glasgow_Haskell_Compiler
","«import Int» Int8","«import Word» Word8","«import Int» Int16","«import Word» Word16","«import Int» Int32","«import Word» Word32","«import Int» Int64","«import Word» Word64","Int","«import Word» Word","Integer"
"Eiffel , URL: /wiki/Eiffel_(programming_language)
","INTEGER_8","NATURAL_8","INTEGER_16","NATURAL_16","INTEGER_32","NATURAL_32","INTEGER_64","NATURAL_64","INTEGER","NATURAL","N/A"
"COBOL , URL: /wiki/COBOL
","BINARY-CHAR «SIGNED»","BINARY-CHAR UNSIGNED","BINARY-SHORT «SIGNED»","BINARY-SHORT UNSIGNED","BINARY-LONG «SIGNED»","BINARY-LONG UNSIGNED","BINARY-DOUBLE «SIGNED»","BINARY-DOUBLE UNSIGNED","N/A","N/A","N/A"
"Mathematica , URL: /wiki/Mathematica
","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Integer"
"Wolfram Language , URL: /wiki/Wolfram_Language
","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Integer"
