"Name","Release year","Market","Processor , URL: /wiki/List_of_Intel_microprocessors
","Code name","Device ID , URL: /w/index.php?title=Device_drfiver&action=edit&redlink=1
","Clock rate , URL: /wiki/Clock_rate
","Clock rate , URL: /wiki/Clock_rate
","Core config1","API , URL: /wiki/API
","API , URL: /wiki/API
","API , URL: /wiki/API
","API , URL: /wiki/API
","MB , URL: /wiki/Megabyte
","Memory bandwidth , URL: /wiki/Memory_bandwidth
GB/s , URL: /wiki/Gigabyte_per_second
"
"HD Graphics 510","2015","Mobile","Celeron 3855U Celeron 3955U","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1906","300","900","96:12:2 (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","34.1"
"HD Graphics 510","2015","Mobile","Pentium 4405U","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1906","300","","96:12:2 (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","34.1"
"HD Graphics 510","2015","Desktop","Celeron G3900TE Celeron G3900E Celeron G3900T Celeron G3900 Celeron G3902E Celeron G3920 Pentium G4400TE Pentium G4400T Core i5-6402P","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1902","350","","96:12:2 (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","34.1"
"HD Graphics 510","2015","Desktop","Pentium G4400","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1902","350","","96:12:2 (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","34.1"
"HD Graphics 510","2015","Desktop","Core i3-6098P","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1902","350","","96:12:2 (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","34.1"
"HD Graphics 515","2015","Mobile","Pentium 4405Y","Skylake , URL: /wiki/Skylake_(microarchitecture)
","191E","300","800","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","29.8"
"HD Graphics 515","2015","Mobile","Core m3-6Y30","Skylake , URL: /wiki/Skylake_(microarchitecture)
","191E","300","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","29.8"
"HD Graphics 515","2015","Mobile","Core m5-6Y54 Core m5-6Y57","Skylake , URL: /wiki/Skylake_(microarchitecture)
","191E","300","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","29.8"
"HD Graphics 515","2015","Mobile","Core m7-6Y75","Skylake , URL: /wiki/Skylake_(microarchitecture)
","191E","300","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","29.8"
"HD Graphics 520","2015","Mobile","Core i3-6006U","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1916","300","900","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 520","2015","Mobile","Core i3-6100U Core i5-6200U Core i5-6300U","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1916","300","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 520","2015","Mobile","Core i7-6500U Core i7-6600U","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1916","300","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 530","2015","Mobile","Core i3-6100H","Skylake , URL: /wiki/Skylake_(microarchitecture)
","191B","350","900","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 530","2015","Mobile","Core i3-6100E Core i3-6102E Core i5-6300HQ Core i5-6440HQ","Skylake , URL: /wiki/Skylake_(microarchitecture)
","191B","350","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 530","2015","Mobile","Core i5-6440EQ Core i5-6442EQ Core i7-6820EQ Core i7-6822EQ","Skylake , URL: /wiki/Skylake_(microarchitecture)
","191B","350","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 530","2015","Mobile","Core i7-6700HQ Core i7-6820HK Core i7-6820HQ Core i7-6920HQ","Skylake , URL: /wiki/Skylake_(microarchitecture)
","191B","350","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 530","2015","Desktop","Pentium G4500T Core i3-6100T Core i3-6300T Core i5-6400T Core i5-6400","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1912","350","950","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 530","2015","Desktop","Core i3-6100TE Core i5-6500TE Core i7-6700TE Core i7-6700T","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1912","350","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 530","2015","Desktop","Pentium G4500 Pentium G4520 Core i3-6100 Core i5-6500","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1912","350","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 530","2015","Desktop","Core i5-6500T Core i5-6600T Core i7-6700","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1912","350","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 530","2015","Desktop","Core i3-6300 Core i3-6320 Core i5-6600 Core i5-6600K Core i7-6700K","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1912","350","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics P530","2015","Workstation","Xeon E3-1268L v5","Skylake , URL: /wiki/Skylake_(microarchitecture)
","191D","350","1000","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics P530","2015","Mobile Workstation","Xeon E3-1505L v5","Skylake , URL: /wiki/Skylake_(microarchitecture)
","191D","350","1000","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics P530","2015","Mobile Workstation","Xeon E3-1505M v5 Xeon E3-1535M v5","Skylake , URL: /wiki/Skylake_(microarchitecture)
","191D","350","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics P530","2015","Workstation","Xeon E3-1225 v5","Skylake , URL: /wiki/Skylake_(microarchitecture)
","191D","400","1150","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics P530","2015","Workstation","Xeon E3-1235L v5","Skylake , URL: /wiki/Skylake_(microarchitecture)
","191D","400","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics P530","2015","Workstation","Xeon E3-1245 v5 Xeon E3-1275 v5","Skylake , URL: /wiki/Skylake_(microarchitecture)
","191D","400","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"Iris Graphics 540","2015","Mobile","Core i5-6260U","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1926","300","950","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","64",""
"Iris Graphics 540","2015","Mobile","Core i5-6360U","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1926","300","","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","64",""
"Iris Graphics 540","2015","Mobile","Core i7-6560U Core i7-6650U Core i7-6660U","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1926","300","","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","64",""
"Iris Graphics 550","2015","Mobile","Core i3-6157U Core i3-6167U","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1927","300","1000","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","64",""
"Iris Graphics 550","2015","Mobile","Core i5-6267U","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1927","300","","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","64",""
"Iris Graphics 550","2015","Mobile","Core i5-6287U Core i7-6567U","Skylake , URL: /wiki/Skylake_(microarchitecture)
","1927","300","","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","64",""
"Iris Pro Graphics P555","2016","Workstation","Xeon E3-1558L v5","Skylake , URL: /wiki/Skylake_(microarchitecture)
","192D","650","1000","384:48:6 (GT3)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","128",""
"Iris Pro Graphics 580","2016","Mobile","Core i5-6350HQ","Skylake , URL: /wiki/Skylake_(microarchitecture)
","193B","350","900","576:72:9 (GT4)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","128",""
"Iris Pro Graphics 580","2016","Mobile","Core i7-6770HQ","Skylake , URL: /wiki/Skylake_(microarchitecture)
","193B","350","","576:72:9 (GT4)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","128",""
"Iris Pro Graphics 580","2016","Mobile","Core i7-6870HQ","Skylake , URL: /wiki/Skylake_(microarchitecture)
","193B","350","","576:72:9 (GT4)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","128",""
"Iris Pro Graphics 580","2016","Mobile","Core i7-6970HQ","Skylake , URL: /wiki/Skylake_(microarchitecture)
","193B","350","","576:72:9 (GT4)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","128",""
"Iris Pro Graphics 580","2016","Desktop","Core i5-6585R","Skylake , URL: /wiki/Skylake_(microarchitecture)
","193B","350","","576:72:9 (GT4)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","128",""
"Iris Pro Graphics 580","2016","Desktop","Core i5-6685R Core i7-6785R","Skylake , URL: /wiki/Skylake_(microarchitecture)
","193B","350","","576:72:9 (GT4)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","128",""
"Iris Pro Graphics P580","2016","Workstation","Xeon E3-1578L v5","Skylake , URL: /wiki/Skylake_(microarchitecture)
","193D","700","1000","576:72:9 (GT4)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","128",""
"Iris Pro Graphics P580","2016","Mobile Workstation","Xeon E3-1515M v5","Skylake , URL: /wiki/Skylake_(microarchitecture)
","193D","350","1000","576:72:9 (GT4)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","128",""
"Iris Pro Graphics P580","2016","Mobile Workstation","Xeon E3-1545M v5","Skylake , URL: /wiki/Skylake_(microarchitecture)
","193D","350","","576:72:9 (GT4)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","128",""
"Iris Pro Graphics P580","2016","Mobile Workstation","Xeon E3-1575M v5","Skylake , URL: /wiki/Skylake_(microarchitecture)
","193D","350","","576:72:9 (GT4)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","128",""
"Iris Pro Graphics P580","2016","Workstation","Xeon E3-1565L v5","Skylake , URL: /wiki/Skylake_(microarchitecture)
","193A","350","1050","576:72:9 (GT4)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","128",""
"Iris Pro Graphics P580","2016","Workstation","Xeon E3-1585L v5 Xeon E3-1585 v5","Skylake , URL: /wiki/Skylake_(microarchitecture)
","193A","350","","576:72:9 (GT4)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","128",""
"UHD Graphics 600","2017","Mobile","Celeron N4000 Celeron N4020","Gemini Lake Gemini Lake Refresh , URL: /wiki/Goldmont_Plus
","3185","200","650","96:12:2","12","4.6Windows 4.6Linux ES 3.2Linux","3.0Windows 3.0Linux","1.2Windows 1.2Linux","-","38.4"
"UHD Graphics 600","2017","Mobile","Celeron N4100 Celeron N4120","Gemini Lake Gemini Lake Refresh , URL: /wiki/Goldmont_Plus
","3185","200","","96:12:2","12","4.6Windows 4.6Linux ES 3.2Linux","3.0Windows 3.0Linux","1.2Windows 1.2Linux","-","38.4"
"UHD Graphics 600","2017","Desktop","Celeron J4005 Celeron J4025","Gemini Lake Gemini Lake Refresh , URL: /wiki/Goldmont_Plus
","3185","250","700","96:12:2","12","4.6Windows 4.6Linux ES 3.2Linux","3.0Windows 3.0Linux","1.2Windows 1.2Linux","-","38.4"
"UHD Graphics 600","2017","Desktop","Celeron J4105 Celeron J4125","Gemini Lake Gemini Lake Refresh , URL: /wiki/Goldmont_Plus
","3185","250","","96:12:2","12","4.6Windows 4.6Linux ES 3.2Linux","3.0Windows 3.0Linux","1.2Windows 1.2Linux","-","38.4"
"UHD Graphics 605","2017","Mobile","Pentium Silver N5000 Pentium Silver N5030","Gemini Lake Gemini Lake Refresh , URL: /wiki/Goldmont_Plus
","3184","200","750","144:18:3","12","4.6Windows 4.6Linux ES 3.2Linux","3.0Windows 3.0Linux","1.2Windows 1.2Linux","-","38.4"
"UHD Graphics 605","2017","Desktop","Pentium Silver J5005 Pentium Silver J5040","Gemini Lake Gemini Lake Refresh , URL: /wiki/Goldmont_Plus
","3184","250","800","144:18:3","12","4.6Windows 4.6Linux ES 3.2Linux","3.0Windows 3.0Linux","1.2Windows 1.2Linux","-","38.4"
"HD Graphics 610","2017","Mobile","Celeron 3865U Celeron 3965U","Kaby Lake , URL: /wiki/Kaby_Lake
","5906","300","900","96:12:2 (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","34.1"
"HD Graphics 610","2017","Mobile","Pentium 4415U","Kaby Lake , URL: /wiki/Kaby_Lake
","5906","300","","96:12:2 (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","34.1"
"HD Graphics 610","2017","Desktop","Celeron G3930TE","Kaby Lake , URL: /wiki/Kaby_Lake
","5902","350","950","96:12:2 (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","34.1"
"HD Graphics 610","2017","Desktop","Celeron G3930E Celeron G3930T","Kaby Lake , URL: /wiki/Kaby_Lake
","5902","350","","96:12:2 (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","34.1"
"HD Graphics 610","2017","Desktop","Celeron G3930 Celeron G3950","Kaby Lake , URL: /wiki/Kaby_Lake
","5902","350","","96:12:2 (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","34.1"
"HD Graphics 610","2017","Desktop","Pentium G4560T Pentium G4560","Kaby Lake , URL: /wiki/Kaby_Lake
","5902","350","","96:12:2 (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 610","2017","Desktop","Core i3-7101TE Core i3-7101E","Kaby Lake , URL: /wiki/Kaby_Lake
","5902","350","","96:12:2 (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 615","2017","Mobile","Celeron 3965Y Pentium 4410Y Pentium 4415Y","Kaby Lake , URL: /wiki/Kaby_Lake
","591E","300","850","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","29.8"
"HD Graphics 615","2017","Mobile","Pentium Gold 6500Y Core m3-7Y30 Core m3-7Y32 Core m3-8100Y","Kaby Lake , URL: /wiki/Kaby_Lake
","591E","300","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","29.8"
"HD Graphics 615","2017","Mobile","Core i5-7Y54 Core i5-7Y57 Core m3-8300Y","Kaby Lake , URL: /wiki/Kaby_Lake
","591E","300","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","29.8"
"HD Graphics 615","2017","Mobile","Core i7-7Y75 Core m3-8500Y","Kaby Lake , URL: /wiki/Kaby_Lake
","591E","300","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-","29.8"
"HD Graphics 620","2017","Mobile","Core i3-7020U Core i3-7100U Core i3-7130U Core i5-7200U","Kaby Lake , URL: /wiki/Kaby_Lake
","5916","300","1000","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 620","2017","Mobile","Core i7-7500U","Kaby Lake , URL: /wiki/Kaby_Lake
","5916","300","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 620","2017","Mobile","Core i5-7300U","Kaby Lake , URL: /wiki/Kaby_Lake
","5916","300","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 620","2017","Mobile","Core i7-7600U","Kaby Lake , URL: /wiki/Kaby_Lake
","5916","300","","192:24:3 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.6Windows 4.1macOS 4.6Linux ES 3.2Linux","3.0Windows 1.2macOS 3.0Linux","1.2Windows 1.2Linux","-",""
