"","","","Ultra HD Blu-ray , URL: /wiki/Ultra_HD_Blu-ray
","Blu-ray Disc , URL: /wiki/Blu-ray_Disc
","HD DVD , URL: /wiki/HD_DVD
","CBHD , URL: /wiki/CBHD
CH-DVD , URL: /wiki/CH-DVD
","AVCHD , URL: /wiki/AVCHD
","AVCREC , URL: /wiki/AVCREC
","DVD , URL: /wiki/DVD-Video
"
"Secondary audio decoder","Secondary audio decoder","Secondary audio decoder","TBD","Bonus View , URL: /wiki/Blu-ray_Disc#Player_profiles
","Mandatory","Unknown","Unknown","Unknown","Optional"
"Interactivity","Interactivity","Interactivity","TBD","Blu-ray Disc Java , URL: /wiki/BD-J
","Advanced Content , URL: /wiki/Advanced_Content
","CETC","Rudimentary","Rudimentary","Rudimentary"
"Internet support","Internet support","Internet support","TBD","BD-Live , URL: /wiki/Blu-ray_Disc#Player_profiles
","Mandatory","Unknown","N/A","N/A","N/A"
"Video resolution , URL: /wiki/Image_resolution
","Video resolution , URL: /wiki/Image_resolution
","Video resolution , URL: /wiki/Image_resolution
","4K UHD , URL: /wiki/Ultra-high-definition_television
","1920×1080p","1920×1080p","1920×1080p","1920×1080p","1920×1080p","NTSC , URL: /wiki/NTSC
PAL , URL: /wiki/PAL
"
"Frame rates , URL: /wiki/Frame_rate
","Frame rates , URL: /wiki/Frame_rate
","Frame rates , URL: /wiki/Frame_rate
","HFR , URL: /wiki/High_frame_rate
","24/25/30p , URL: /wiki/Progressive_scan
50/60i , URL: /wiki/Interlaced_video
","24/25/30p, 50/60i","24/25/30p, 50/60i","24/25/30p, 50/60i","Unknown","24/25/30p[g] 50/60i"
"Dynamic range , URL: /wiki/Dynamic_range
","Dynamic range , URL: /wiki/Dynamic_range
","Dynamic range , URL: /wiki/Dynamic_range
","HDR10 , URL: /wiki/HDR10
HDR10+ , URL: /wiki/HDR10%2B
Dolby Vision , URL: /wiki/Dolby_Vision
","SDR , URL: /wiki/Standard-dynamic-range_video
","","","","",""
"Color space , URL: /wiki/Color_space
","Color space , URL: /wiki/Color_space
","Color space , URL: /wiki/Color_space
","Rec. 2020 , URL: /wiki/Rec._2020
","","","","","",""
"Digital Rights Management , URL: /wiki/Digital_Rights_Management
","Digital Rights Management , URL: /wiki/Digital_Rights_Management
","Digital Rights Management , URL: /wiki/Digital_Rights_Management
","","AACS , URL: /wiki/Advanced_Access_Content_System
BD+ , URL: /wiki/BD%2B
ROM-Mark , URL: /wiki/ROM-Mark
","AACS , URL: /wiki/Advanced_Access_Content_System
","AACS , URL: /wiki/Advanced_Access_Content_System
","None (Not intended for prerecorded content)","None (Not intended for prerecorded content)","CSS , URL: /wiki/Content_Scramble_System
"
"Region codes , URL: /wiki/Regional_lockout
","Region codes , URL: /wiki/Regional_lockout
","Region codes , URL: /wiki/Regional_lockout
","","Three region codes , URL: /wiki/Blu-ray_Disc#Region_codes
","None","Unknown","None","None","8 regions , URL: /wiki/DVD_region_code
"
"Hardcoating of disc , URL: /wiki/Anti-scratch_coating
","Hardcoating of disc , URL: /wiki/Anti-scratch_coating
","Hardcoating of disc , URL: /wiki/Anti-scratch_coating
","TBD","Mandatory","Optional","Optional","Optional","Optional","Optional"
