"Driver","Chipset","Integration","Free firmware[note 2]","License","Original/Primary developer","Development","Free software , URL: /wiki/Free_software
"
"rtwn , URL: https://man.openbsd.org/rtwn.4
","Realtek , URL: /wiki/Realtek
","Integrated","No[61]","BSD , URL: /wiki/BSD
","Stefan Sperling","Based on urtwn driver.","Yes"
"rum , URL: https://man.openbsd.org/rum.4
","Ralink , URL: /wiki/Ralink
","Integrated","Yes[43]","BSD , URL: /wiki/BSD
","Niall O'Higgins and Damien Bergamini","Documentation based","Yes"
"run , URL: https://man.openbsd.org/run.4
","Ralink , URL: /wiki/Ralink
","Integrated","Yes[43]","BSD , URL: /wiki/BSD
","Damien Bergamini","Documentation based","Yes"
"uath , URL: https://man.openbsd.org/uath.4
","Atheros , URL: /wiki/Atheros
","Integrated","No[62]","BSD , URL: /wiki/BSD
","Damien Bergamini","Reverse Engineering[59]","Yes"
"upgt , URL: https://man.openbsd.org/upgt.4
","Conexant , URL: /wiki/Conexant
","Integrated","No[63]","BSD , URL: /wiki/BSD
","Marcus Glocker","Reverse engineering","Yes"
"urtw , URL: https://man.openbsd.org/urtw.4
","Realtek , URL: /wiki/Realtek
","Integrated","N/A","BSD , URL: /wiki/BSD
","Weongyo Jeong (FreeBSD)","?","Yes"
"urtwn , URL: https://man.openbsd.org/urtwn.4
","Realtek , URL: /wiki/Realtek
","Integrated (since 4.9)","No","BSD , URL: /wiki/BSD
","Damien Bergamini","Reverse engineering","Yes"
"wi , URL: https://man.openbsd.org/wi.4
","Lucent , URL: /wiki/Lucent
ORiNOCO , URL: /wiki/ORiNOCO
Intersil , URL: /wiki/Intersil
PRISM , URL: /wiki/PRISM_(chipset)
Symbol , URL: /wiki/Symbol_Technologies
","Integrated","Yes for Spectrum24[64] and N/A for others","BSD , URL: /wiki/BSD
","Bill Paul","Documentation based","Yes"
"wpi , URL: https://man.openbsd.org/wpi.4
","Intel , URL: /wiki/Intel
","Integrated","No[66]","BSD , URL: /wiki/BSD
","Damien Bergamini","Reverse engineering","Yes"
"zyd , URL: https://man.openbsd.org/zyd.4
","ZyDAS ZD1211/ZD1211B","Integrated","Yes[67]","BSD , URL: /wiki/BSD
","Florian Stoehr, Damien Bergamini, and Jonathan Gray","Documentation based","Yes"
