"Firefox Sync , URL: /wiki/Firefox_Sync
","Mozilla Foundation , URL: /wiki/Mozilla_Foundation
","Mozilla Public License , URL: /wiki/Mozilla_Public_License
","Extended Support Release","
URL: https://www.wikidata.org/wiki/Q698?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
"
"Google Chrome , URL: /wiki/Google_Chrome#Bookmarks_and_settings_synchronization
","Google , URL: /wiki/Google
","Freeware , URL: /wiki/Freeware
","Windows, macOS, Linux","
URL: https://www.wikidata.org/wiki/Q777?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
"
"Google Chrome , URL: /wiki/Google_Chrome#Bookmarks_and_settings_synchronization
","Google , URL: /wiki/Google
","Freeware , URL: /wiki/Freeware
","Android","
URL: https://www.wikidata.org/wiki/Q777?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
"
"Google Chrome , URL: /wiki/Google_Chrome#Bookmarks_and_settings_synchronization
","Google , URL: /wiki/Google
","Freeware , URL: /wiki/Freeware
","iOS","
URL: https://www.wikidata.org/wiki/Q777?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
"
"Google Chrome , URL: /wiki/Google_Chrome#Bookmarks_and_settings_synchronization
","Google , URL: /wiki/Google
","Freeware , URL: /wiki/Freeware
","Extended Support Release","
URL: https://www.wikidata.org/wiki/Q777?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
"
"Pale Moon , URL: /wiki/Pale_Moon_(web_browser)
","M.C. Straver","Mozilla Public License , URL: /wiki/Mozilla_Public_License
","N/A (part of Pale Moon)","N/A (part of Pale Moon)"
"","","","",""
"Eversync","Nimbus Web Inc","Proprietary , URL: /wiki/Proprietary_software
","Firefox: 15.5.1 (July 5, 2018; 3 years ago (2018-07-05)) [±] Chrome: 17.1.1 (July 5, 2018; 3 years ago (2018-07-05)) [±] IE: Android: 1.11.1 (May 19, 2017; 4 years ago (2017-05-19)) [±] iOS: 2.6 (October 4, 2016; 5 years ago (2016-10-04)) [±] Windows Phone:","Firefox: 15.5.1 (July 5, 2018; 3 years ago (2018-07-05)) [±] Chrome: 17.1.1 (July 5, 2018; 3 years ago (2018-07-05)) [±] IE: Android: 1.11.1 (May 19, 2017; 4 years ago (2017-05-19)) [±] iOS: 2.6 (October 4, 2016; 5 years ago (2016-10-04)) [±] Windows Phone:"
"floccus","Open Source, Marcel Klehr","Freeware , URL: /wiki/Freeware
","https://github.com/marcelklehr/floccus/releases , URL: https://github.com/marcelklehr/floccus/releases
","https://github.com/marcelklehr/floccus/releases , URL: https://github.com/marcelklehr/floccus/releases
"
"Client","Creator","Software license","Latest release","Latest release"
