"
URL: /wiki/File:HP48S_Calculator.png
//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/HP48S_Calculator.png/50px-HP48S_Calculator.png
HP 48S , URL: /wiki/HP_48S
","Clarke , URL: /wiki/HP_Clarke
Saturn , URL: /wiki/HP_Saturn
1LT8 , URL: /wiki/HP_1LT8
","32 KB RAM, not flashable","131×64 pixel monochrome LCD","Entry RPN , URL: /wiki/Entry_RPN
","Dynamic","RPL , URL: /wiki/RPL_(programming_language)
","Rudimentary[8]","RPL character set , URL: /wiki/RPL_character_set
","RS-232 , URL: /wiki/RS-232
HP SIR , URL: /w/index.php?title=HP_SIR&action=edit&redlink=1
","AAA , URL: /wiki/AAA_battery
","1991–1993[11]","HP-28S , URL: /wiki/HP-28S
","HP 48G , URL: /wiki/HP_48G
"
"HP 48SX , URL: /wiki/HP_48SX
","Clarke , URL: /wiki/HP_Clarke
Saturn , URL: /wiki/HP_Saturn
1LT8 , URL: /wiki/HP_1LT8
","32 KB RAM, expandable via 2 card slots of 128 KB RAM/ROM each, not flashable","131×64 pixel monochrome LCD","Entry RPN , URL: /wiki/Entry_RPN
","Dynamic","RPL , URL: /wiki/RPL_(programming_language)
","Rudimentary[8]","RPL character set , URL: /wiki/RPL_character_set
","RS-232 , URL: /wiki/RS-232
HP SIR , URL: /w/index.php?title=HP_SIR&action=edit&redlink=1
","AAA , URL: /wiki/AAA_battery
","1990–1993[11]","HP-28S , URL: /wiki/HP-28S
","HP 48GX , URL: /wiki/HP_48GX
"
"
URL: /wiki/File:HP39Gii_Graphing_Calculator.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/HP39Gii_Graphing_Calculator.jpg/50px-HP39Gii_Graphing_Calculator.jpg
HP 39gII , URL: /wiki/HP_39gII
","Freescale , URL: /wiki/Freescale
SigmaTel , URL: /wiki/SigmaTel
STMP3770 , URL: /wiki/STMP3770
ARM926EJ-S , URL: /wiki/ARM926EJ-S
","256 KB RAM (ca. 240 KB available to user), 128 MB flash (80-105 MB available to user)","256×128 pixel monochrome gray-scale LCD","Algebraic , URL: /wiki/Algebraic_input
","Dynamic","HP Basic , URL: /w/index.php?title=BASIC_(HP_calculators)&action=edit&redlink=1
PPL , URL: /wiki/HP_PPL
","No","Unicode , URL: /wiki/Unicode
","USB-OTG , URL: /wiki/USB-OTG
Micro-AB , URL: /wiki/USB_Micro-AB
","AAA , URL: /wiki/AAA_battery
","2011","HP 39gs , URL: /wiki/HP_39gs
","HP Prime , URL: /wiki/HP_Prime
"
"
URL: /wiki/File:HP40GS.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/HP40GS.jpg/50px-HP40GS.jpg
HP 40gs , URL: /wiki/HP_40gs
","Samsung , URL: /wiki/Samsung
S3C2410A , URL: /wiki/Samsung_S3C2410A
ARM920T , URL: /wiki/ARM920T
ARMv4T , URL: /w/index.php?title=ARMv4T&action=edit&redlink=1
","256 KB RAM, 2 MB flash","131×64 pixel monochrome LCD","Algebraic , URL: /wiki/Algebraic_input
","Dynamic","HP Basic , URL: /w/index.php?title=BASIC_(HP_calculators)&action=edit&redlink=1
","Erable , URL: /wiki/Erable
","RPL character set , URL: /wiki/RPL_character_set
euro sign , URL: /wiki/Euro_sign
","USB , URL: /wiki/USB
RS-232 , URL: /wiki/RS-232
","AAA , URL: /wiki/AAA_battery
CR2032 , URL: /wiki/CR2032
","2006–2011","HP 40G , URL: /wiki/HP_40G
","HP 39gII , URL: /wiki/HP_39gII
HP Prime , URL: /wiki/HP_Prime
"
"
URL: /wiki/File:HP39GS.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/5/5e/HP39GS.jpg/50px-HP39GS.jpg
HP 39gs , URL: /wiki/HP_39gs
","Samsung , URL: /wiki/Samsung
S3C2410A , URL: /wiki/Samsung_S3C2410A
ARM920T , URL: /wiki/ARM920T
ARMv4T , URL: /w/index.php?title=ARMv4T&action=edit&redlink=1
","256 KB RAM, 1 MB flash","131×64 pixel monochrome LCD","Algebraic , URL: /wiki/Algebraic_input
","Dynamic","HP Basic , URL: /w/index.php?title=BASIC_(HP_calculators)&action=edit&redlink=1
","No","RPL character set , URL: /wiki/RPL_character_set
euro sign , URL: /wiki/Euro_sign
","USB , URL: /wiki/USB
IrDA , URL: /wiki/IrDA
RS-232 , URL: /wiki/RS-232
","AAA , URL: /wiki/AAA_battery
CR2032 , URL: /wiki/CR2032
","2006–2011","hp 39g+ , URL: /wiki/Hp_39g%2B
","HP 40gs , URL: /wiki/HP_40gs
HP 39gII , URL: /wiki/HP_39gII
"
"
URL: /wiki/File:HP39g%2B.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/HP39g%2B.jpg/50px-HP39g%2B.jpg
hp 39g+ , URL: /wiki/Hp_39g%2B
","Samsung , URL: /wiki/Samsung
S3C2410X , URL: /wiki/Samsung_S3C2410X
ARM920T , URL: /wiki/ARM920T
ARMv4T , URL: /w/index.php?title=ARMv4T&action=edit&redlink=1
","256 KB RAM, 1 MB flash","131×64 pixel monochrome LCD","Algebraic , URL: /wiki/Algebraic_input
","Dynamic","HP Basic , URL: /w/index.php?title=BASIC_(HP_calculators)&action=edit&redlink=1
","No","RPL character set , URL: /wiki/RPL_character_set
euro sign , URL: /wiki/Euro_sign
","USB , URL: /wiki/USB
IrDA , URL: /wiki/IrDA
","AAA , URL: /wiki/AAA_battery
CR2032 , URL: /wiki/CR2032
","2003–2006","HP 39G , URL: /wiki/HP_39G
","HP 39gs , URL: /wiki/HP_39gs
"
"HP 40G , URL: /wiki/HP_40G
","Yorke , URL: /wiki/HP_Yorke
Saturn , URL: /wiki/HP_Saturn
1LT8 , URL: /wiki/HP_1LT8
","256 KB RAM, not flashable","131×64 pixel monochrome LCD","Algebraic , URL: /wiki/Algebraic_input
","Dynamic","HP Basic , URL: /w/index.php?title=BASIC_(HP_calculators)&action=edit&redlink=1
","Erable , URL: /wiki/Erable
","RPL character set , URL: /wiki/RPL_character_set
euro sign , URL: /wiki/Euro_sign
","RS-232 , URL: /wiki/RS-232
","AAA , URL: /wiki/AAA_battery
","2000–2003","HP 38G , URL: /wiki/HP_38G
","HP 40gs , URL: /wiki/HP_40gs
"
"HP 39G , URL: /wiki/HP_39G
","Yorke , URL: /wiki/HP_Yorke
Saturn , URL: /wiki/HP_Saturn
1LT8 , URL: /wiki/HP_1LT8
","256 KB RAM, not flashable","131×64 pixel monochrome LCD","Algebraic , URL: /wiki/Algebraic_input
","Dynamic","HP Basic , URL: /w/index.php?title=BASIC_(HP_calculators)&action=edit&redlink=1
","No","RPL character set , URL: /wiki/RPL_character_set
euro sign , URL: /wiki/Euro_sign
","IrDA , URL: /wiki/IrDA
RS-232 , URL: /wiki/RS-232
","AAA , URL: /wiki/AAA_battery
","2000–2003","HP 38G , URL: /wiki/HP_38G
","hp 39g+ , URL: /wiki/Hp_39g%2B
"
"
URL: /wiki/File:Calculator_hp38g.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Calculator_hp38g.jpg/50px-Calculator_hp38g.jpg
HP 38G , URL: /wiki/HP_38G
","Yorke , URL: /wiki/HP_Yorke
Saturn , URL: /wiki/HP_Saturn
1LT8 , URL: /wiki/HP_1LT8
","32 KB RAM, not flashable","4-line (131×64 pixel) monochrome LCD","Algebraic , URL: /wiki/Algebraic_input
","Dynamic","HP Basic , URL: /w/index.php?title=BASIC_(HP_calculators)&action=edit&redlink=1
","No","RPL character set , URL: /wiki/RPL_character_set
","HP SIR , URL: /w/index.php?title=HP_SIR&action=edit&redlink=1
RS-232 , URL: /wiki/RS-232
","AAA , URL: /wiki/AAA_battery
","1995","None","HP 39G , URL: /wiki/HP_39G
HP 40G , URL: /wiki/HP_40G
"
"
URL: /wiki/File:HP_28.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/HP_28.jpg/50px-HP_28.jpg
HP-28S , URL: /wiki/HP-28S
","Lewis , URL: /wiki/HP_Lewis
Saturn , URL: /wiki/HP_Saturn
1LT8 , URL: /wiki/HP_1LT8
","32 KB RAM, not flashable","4-line (137×32 pixel) monochrome LCD","Entry RPN , URL: /wiki/Entry_RPN
","Dynamic","RPL , URL: /wiki/RPL_(programming_language)
","Rudimentary[8]","HP Roman 8 , URL: /wiki/HP_82240A_character_set
","HP SIR , URL: /w/index.php?title=HP_SIR&action=edit&redlink=1
","N , URL: /wiki/N_battery
","1988–1992","HP-28C , URL: /wiki/HP-28C
","HP 48 series , URL: /wiki/HP_48_series
"
"HP-28C , URL: /wiki/HP-28C
","Saturn , URL: /wiki/HP_Saturn
1LK7 , URL: /wiki/HP_1LK7
","2 KB RAM, 1709? bytes RAM available for user, not flashable","4-line (137×32 pixel) monochrome LCD","Entry RPN , URL: /wiki/Entry_RPN
","Dynamic","RPL , URL: /wiki/RPL_(programming_language)
","Rudimentary[8]","HP Roman 8 , URL: /wiki/HP_82240A_character_set
","HP SIR , URL: /w/index.php?title=HP_SIR&action=edit&redlink=1
","N , URL: /wiki/N_battery
","1987–1988","HP-41C , URL: /wiki/HP-41C
","HP-28S , URL: /wiki/HP-28S
"
"HP-42S , URL: /wiki/HP-42S
","Lewis , URL: /wiki/HP_Lewis
Saturn , URL: /wiki/HP_Saturn
","8 KB RAM (extensible to 32 KB), 7200? (or 31553) bytes RAM available for user, not flashable","2-line (131×16 pixel) monochrome LCD","Classical RPN , URL: /wiki/Classical_RPN
","4 level , URL: /wiki/4-level_RPN
","FOCAL , URL: /wiki/FOCAL_(Hewlett-Packard)
","None","8-bit proprietary","HP SIR , URL: /w/index.php?title=HP_SIR&action=edit&redlink=1
","LR44 , URL: /wiki/LR44
","1987–1995","HP-41C , URL: /wiki/HP-41C
HP-15C , URL: /wiki/HP-15C
","HP-28S , URL: /wiki/HP-28S
"
"
URL: /wiki/File:HP_9g_graphing_calculator.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/HP_9g_graphing_calculator.jpg/50px-HP_9g_graphing_calculator.jpg
HP 9g , URL: /wiki/HP_9g
","Sunplus , URL: /w/index.php?title=Sunplus&action=edit&redlink=1
SPLB30A , URL: /w/index.php?title=Sunplus_SPLB30A&action=edit&redlink=1
Generalplus , URL: /w/index.php?title=Generalplus&action=edit&redlink=1
GPLB30A , URL: /w/index.php?title=Generalplus_GPLB30A&action=edit&redlink=1
","712? bytes RAM available for user, not flashable","35×23 pixel, 1-line 5-digit 5×7 dot matrix, 1-line 10+3-digit 7-segment monochrome LCD","Algebraic , URL: /wiki/Algebraic_input
","?","Limited, 10 programmable ""expression registers"" that can reference other functions, registers, and memory","No","?","None","CR2025 , URL: /wiki/CR2025
","2003","None","None"
"Model","Processor","Memory","Display","Input method","Stack","Programming languages","Computer algebra system","Character set","Connectivity","Power supply","Release year","Predecessors","Successors"
